time,New York,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Mozgov (S. Vujacic gains possession),,,,Jump ball: R. Lopez vs. T. Mozgov (S. Vujacic gains possession)
11:46.0,Shooting foul by R. Jefferson (drawn by C. Anthony),,0-0,,
11:46.0,C. Anthony makes free throw 1 of 2,1,1-0,,
11:46.0,C. Anthony makes free throw 2 of 2,1,2-0,,
11:22.0,,,2-0,,L. James misses 2-pt shot from 23 ft
11:22.0,Defensive rebound by R. Lopez,,2-0,,
11:10.0,R. Lopez makes 2-pt shot at rim (assist by J. Calderon),2,4-0,,
10:53.0,,,4-0,,T. Mozgov misses 2-pt shot from 2 ft
10:52.0,Defensive rebound by S. Vujacic,,4-0,,
10:37.0,J. Calderon misses 2-pt shot from 17 ft,,4-0,,
10:37.0,,,4-0,,Defensive rebound by K. Love
10:25.0,,,4-0,,R. Jefferson misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by C. Anthony,,4-0,,
10:17.0,K. Porzingis makes 2-pt shot from 1 ft (assist by C. Anthony),2,6-0,,
9:56.0,,,6-2,2,K. Love makes 2-pt shot from 15 ft
9:43.0,K. Porzingis makes 2-pt shot from 15 ft,2,8-2,,
9:30.0,,,8-2,,K. Love misses 3-pt shot from 26 ft
9:29.0,Defensive rebound by R. Lopez,,8-2,,
9:20.0,C. Anthony makes 3-pt shot from 25 ft (assist by K. Porzingis),3,11-2,,
9:19.0,,,11-2,,Cleveland full timeout
8:57.0,,,11-2,,Shooting foul by K. Porzingis (drawn by R. Jefferson)
8:57.0,,,11-2,,R. Jefferson misses free throw 1 of 2
8:57.0,,,11-2,,Offensive rebound by Team
8:57.0,,,11-3,1,R. Jefferson makes free throw 2 of 2
8:32.0,S. Vujacic makes 2-pt shot from 1 ft,2,13-3,,
8:18.0,,,13-3,,L. James misses 3-pt shot from 27 ft
8:18.0,Defensive rebound by S. Vujacic,,13-3,,
7:59.0,C. Anthony misses 2-pt shot from 22 ft,,13-3,,
7:58.0,,,13-3,,Defensive rebound by M. Williams
7:49.0,,,13-5,2,M. Williams makes 2-pt shot from 20 ft
7:39.0,J. Calderon misses 3-pt shot from 24 ft,,13-5,,
7:37.0,,,13-5,,Defensive rebound by K. Love
7:31.0,,,13-7,2,M. Williams makes 2-pt shot from 19 ft (assist by K. Love)
7:12.0,R. Lopez misses 2-pt shot from 12 ft,,13-7,,
7:11.0,Offensive rebound by R. Lopez,,13-7,,
7:08.0,S. Vujacic makes 2-pt shot from 19 ft (assist by R. Lopez),2,15-7,,
6:53.0,,,15-7,,K. Love misses 2-pt shot from 12 ft
6:51.0,Defensive rebound by K. Porzingis,,15-7,,
6:48.0,S. Vujacic misses 3-pt shot from 26 ft,,15-7,,
6:48.0,,,15-7,,Defensive rebound by Team
6:30.0,,,15-7,,R. Jefferson misses 3-pt shot from 23 ft
6:30.0,Defensive rebound by C. Anthony,,15-7,,
6:18.0,K. Porzingis misses 2-pt shot from 14 ft,,15-7,,
6:13.0,,,15-7,,Defensive rebound by T. Mozgov
6:12.0,,,15-9,2,M. Williams makes 2-pt shot from 6 ft
6:12.0,New York full timeout,,15-9,,
6:12.0,K. Seraphin enters the game for K. Porzingis,,15-9,,
6:12.0,K. O'Quinn enters the game for R. Lopez,,15-9,,
6:00.0,S. Vujacic makes 3-pt shot from 24 ft (assist by C. Anthony),3,18-9,,
5:46.0,,,18-9,,L. James misses 2-pt shot from 1 ft (block by C. Anthony)
5:43.0,Defensive rebound by C. Anthony,,18-9,,
5:35.0,K. O'Quinn makes 2-pt shot from 10 ft,2,20-9,,
5:17.0,,,20-9,,M. Williams misses 3-pt shot from 24 ft
5:16.0,,,20-9,,Offensive rebound by K. Love
5:12.0,,,20-9,,K. Love misses 2-pt shot from 8 ft
5:11.0,Defensive rebound by K. O'Quinn,,20-9,,
5:02.0,K. Seraphin makes 2-pt shot from 14 ft,2,22-9,,
4:38.0,,,22-9,,M. Williams misses 2-pt shot from 8 ft
4:36.0,Defensive rebound by C. Anthony,,22-9,,
4:23.0,C. Anthony makes 2-pt shot from 17 ft,2,24-9,,
4:05.0,,,24-9,,M. Dellavedova enters the game for M. Williams
4:05.0,,,24-9,,T. Thompson enters the game for T. Mozgov
4:05.0,L. Galloway enters the game for J. Calderon,,24-9,,
3:56.0,,,24-9,,L. James misses 3-pt shot from 24 ft
3:55.0,Defensive rebound by K. O'Quinn,,24-9,,
3:43.0,Turnover by K. O'Quinn (bad pass; steal by L. James),,24-9,,
3:37.0,,,24-11,2,L. James makes 2-pt shot at rim
3:23.0,K. Seraphin makes 2-pt shot at rim,2,26-11,,
3:15.0,,,26-11,,K. Love misses 3-pt shot from 25 ft
3:14.0,Defensive rebound by C. Anthony,,26-11,,
3:04.0,C. Anthony misses 2-pt shot from 17 ft,,26-11,,
3:03.0,,,26-11,,Defensive rebound by K. Love
2:54.0,,,26-14,3,K. Love makes 3-pt shot from 24 ft (assist by M. Dellavedova)
2:28.0,Turnover by S. Vujacic (lost ball; steal by L. James),,26-14,,
2:21.0,,,26-16,2,L. James makes 2-pt shot at rim (assist by R. Jefferson)
2:04.0,S. Vujacic misses 2-pt shot from 22 ft,,26-16,,
2:04.0,,,26-16,,Defensive rebound by Team
2:04.0,L. Thomas enters the game for C. Anthony,,26-16,,
2:04.0,J. Grant enters the game for S. Vujacic,,26-16,,
2:04.0,,,26-16,,J. Cunningham enters the game for L. James
2:04.0,,,26-16,,J. Jones enters the game for K. Love
2:03.0,Jump ball: K. Seraphin vs. T. Thompson (M. Dellavedova gains possession),,,,Jump ball: K. Seraphin vs. T. Thompson (M. Dellavedova gains possession)
