time,Dallas,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. D. Powell (K. Faried gains possession),,,,Jump ball: N. Jokic vs. D. Powell (K. Faried gains possession)
11:42.0,,,0-0,,N. Jokic misses 2-pt shot from 3 ft
11:41.0,Defensive rebound by D. Powell,,0-0,,
11:40.0,,,0-0,,Personal foul by N. Jokic
11:22.0,D. Nowitzki makes 2-pt shot from 1 ft,2,2-0,,
11:07.0,,,2-0,,J. Sampson misses 2-pt shot from 1 ft (block by D. Powell)
11:06.0,Defensive rebound by J. Anderson,,2-0,,
10:43.0,W. Matthews misses 3-pt shot from 26 ft,,2-0,,
10:43.0,,,2-0,,Defensive rebound by K. Faried
10:32.0,,,2-0,,Turnover by N. Jokic (lost ball; steal by J. Anderson)
10:25.0,D. Nowitzki misses 3-pt shot from 25 ft,,2-0,,
10:25.0,,,2-0,,Defensive rebound by E. Mudiay
10:09.0,,,2-3,3,E. Mudiay makes 3-pt shot from 25 ft (assist by J. Sampson)
9:54.0,D. Nowitzki misses 2-pt shot from 15 ft,,2-3,,
9:53.0,,,2-3,,Defensive rebound by E. Mudiay
9:46.0,,,2-5,2,K. Faried makes 2-pt shot at rim (assist by N. Jokic)
9:23.0,D. Nowitzki misses 2-pt shot from 17 ft,,2-5,,
9:22.0,,,2-5,,Defensive rebound by E. Mudiay
9:18.0,,,2-5,,Shooting foul by R. Felton (drawn by E. Mudiay)
9:18.0,,,2-6,1,E. Mudiay makes free throw 1 of 2
9:18.0,,,2-7,1,E. Mudiay makes free throw 2 of 2
8:58.0,R. Felton misses 2-pt shot from 6 ft,,2-7,,
8:58.0,,,2-7,,Defensive rebound by N. Jokic
8:52.0,,,2-9,2,N. Jokic makes 2-pt shot from 6 ft
8:25.0,W. Matthews makes 3-pt shot from 25 ft (assist by R. Felton),3,5-9,,
8:13.0,,,5-9,,Turnover by K. Faried (lost ball; steal by R. Felton)
8:08.0,J. Anderson makes 2-pt shot at rim,2,7-9,,
7:37.0,,,7-9,,N. Jokic misses 3-pt shot from 23 ft
7:36.0,Defensive rebound by D. Powell,,7-9,,
7:27.0,R. Felton misses 3-pt shot from 26 ft,,7-9,,
7:26.0,,,7-9,,Defensive rebound by N. Jokic
7:16.0,,,7-9,,E. Mudiay misses 2-pt shot from 17 ft
7:15.0,,,7-9,,Offensive rebound by Team
7:15.0,Loose ball foul by D. Powell,,7-9,,
7:08.0,Personal foul by D. Nowitzki,,7-9,,
