time,Minnesota,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. K. Towns (D. Booker gains possession),,,,Jump ball: T. Chandler vs. K. Towns (D. Booker gains possession)
11:41.0,,,0-0,,Turnover by T. Chandler (bad pass)
11:28.0,G. Dieng misses 2-pt shot from 15 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by P. Tucker
11:22.0,,,0-2,2,T. Chandler makes 2-pt shot at rim (assist by P. Tucker)
11:12.0,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio),2,2-2,,
10:55.0,,,2-2,,Turnover by D. Booker (lost ball; steal by G. Dieng)
10:50.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,4-2,,
10:36.0,Violation by G. Dieng (kicked ball),,4-2,,
10:25.0,,,4-2,,A. Len misses 2-pt shot from 14 ft
10:23.0,,,4-2,,Offensive rebound by P. Tucker
10:17.0,,,4-2,,Turnover by P. Tucker (back court)
10:05.0,K. Towns misses 2-pt shot from 17 ft,,4-2,,
10:04.0,,,4-2,,Defensive rebound by A. Len
9:56.0,,,4-2,,B. Knight misses 3-pt shot from 24 ft
9:54.0,Defensive rebound by A. Wiggins,,4-2,,
9:44.0,A. Wiggins misses 2-pt shot from 18 ft,,4-2,,
9:41.0,,,4-2,,Defensive rebound by T. Chandler
9:31.0,,,4-4,2,P. Tucker makes 2-pt shot from 5 ft
9:25.0,Shooting foul by A. Len (drawn by G. Dieng),,4-4,,
9:25.0,Minnesota full timeout,,4-4,,
9:25.0,G. Dieng misses free throw 1 of 2,,4-4,,
9:25.0,Offensive rebound by Team,,4-4,,
9:25.0,G. Dieng makes free throw 2 of 2,1,5-4,,
9:18.0,Personal foul by K. Towns,,5-4,,
9:14.0,,,5-7,3,D. Booker makes 3-pt shot from 23 ft (assist by A. Len)
9:03.0,Z. LaVine makes 3-pt shot from 24 ft (assist by G. Dieng),3,8-7,,
8:49.0,,,8-9,2,T. Chandler makes 2-pt shot from 1 ft (assist by D. Booker)
8:49.0,,,8-9,,Shooting foul by Z. LaVine (drawn by T. Chandler)
8:49.0,,,8-10,1,T. Chandler makes free throw 1 of 1
8:40.0,Shooting foul by A. Len (drawn by A. Wiggins),,8-10,,
8:40.0,A. Wiggins makes free throw 1 of 2,1,9-10,,
8:40.0,,,9-10,,M. Teletovic enters the game for A. Len
