time,Oklahoma City,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Hibbert (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. R. Hibbert (S. Ibaka gains possession)
11:41.0,S. Adams misses 2-pt shot from 2 ft (block by R. Hibbert),,0-0,,
11:39.0,,,0-0,,Defensive rebound by L. Nance
11:22.0,,,0-0,,Shooting foul by R. Westbrook (drawn by R. Hibbert)
11:22.0,,,0-1,1,R. Hibbert makes free throw 1 of 2
11:22.0,,,0-2,1,R. Hibbert makes free throw 2 of 2
11:08.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,2-2,,
11:08.0,Shooting foul by R. Hibbert (drawn by S. Adams),,2-2,,
11:08.0,S. Adams misses free throw 1 of 1,,2-2,,
11:07.0,,,2-2,,Defensive rebound by R. Hibbert
10:46.0,,,2-4,2,R. Hibbert makes 2-pt shot from 15 ft (assist by L. Nance)
10:36.0,R. Westbrook makes 2-pt shot from 12 ft,2,4-4,,
10:13.0,,,4-4,,K. Bryant misses 3-pt shot from 27 ft
10:12.0,Defensive rebound by S. Adams,,4-4,,
9:59.0,A. Roberson makes 2-pt shot from 1 ft,2,6-4,,
9:45.0,,,6-6,2,J. Clarkson makes 2-pt shot from 2 ft (assist by K. Bryant)
9:30.0,Turnover by K. Durant (lost ball; steal by K. Bryant),,6-6,,
9:12.0,,,6-6,,R. Hibbert misses 2-pt shot from 5 ft (block by S. Adams)
9:10.0,Defensive rebound by K. Durant,,6-6,,
9:03.0,R. Westbrook misses 2-pt shot from 10 ft,,6-6,,
9:03.0,Offensive rebound by Team,,6-6,,
9:03.0,,,6-6,,Loose ball foul by L. Nance (drawn by S. Ibaka)
8:56.0,R. Westbrook misses 2-pt shot from 2 ft,,6-6,,
8:55.0,Offensive rebound by S. Adams,,6-6,,
8:52.0,S. Adams misses 2-pt shot from 2 ft,,6-6,,
8:51.0,Offensive rebound by A. Roberson,,6-6,,
8:48.0,A. Roberson makes 2-pt shot at rim,2,8-6,,
8:34.0,,,8-8,2,K. Bryant makes 2-pt shot from 13 ft
8:15.0,Shooting foul by K. Bryant (drawn by K. Durant),,8-8,,
8:15.0,K. Durant makes free throw 1 of 2,1,9-8,,
8:15.0,K. Durant makes free throw 2 of 2,1,10-8,,
8:00.0,,,10-8,,L. Williams misses 2-pt shot from 3 ft
7:57.0,,,10-8,,Offensive rebound by L. Nance
7:53.0,,,10-8,,Turnover by L. Nance (bad pass; steal by R. Westbrook)
7:49.0,R. Westbrook makes 2-pt shot at rim (assist by A. Roberson),2,12-8,,
7:37.0,,,12-8,,K. Bryant misses 2-pt shot from 9 ft
7:36.0,Defensive rebound by S. Adams,,12-8,,
7:26.0,K. Durant misses 3-pt shot from 24 ft,,12-8,,
7:26.0,,,12-8,,Defensive rebound by L. Nance
7:10.0,,,12-8,,R. Hibbert misses 2-pt shot from 4 ft
7:09.0,Defensive rebound by S. Adams,,12-8,,
6:59.0,K. Durant makes 2-pt shot at rim,2,14-8,,
6:46.0,,,14-8,,L. Williams misses 3-pt shot from 23 ft
6:45.0,,,14-8,,Offensive rebound by L. Nance
6:41.0,,,14-10,2,L. Nance makes 2-pt shot from 13 ft
6:28.0,S. Ibaka misses 2-pt shot from 19 ft,,14-10,,
6:28.0,Offensive rebound by Team,,14-10,,
6:28.0,,,14-10,,Loose ball foul by R. Hibbert (drawn by S. Adams)
6:21.0,Turnover by R. Westbrook (bad pass),,14-10,,
6:21.0,,,14-10,,R. Sacre enters the game for R. Hibbert
6:08.0,,,14-10,,Turnover by K. Bryant (bad pass; steal by A. Roberson)
5:56.0,S. Ibaka makes 2-pt shot at rim (assist by K. Durant),2,16-10,,
5:48.0,,,16-10,,K. Bryant misses 3-pt shot from 26 ft (block by K. Durant)
5:47.0,,,16-10,,Offensive rebound by K. Bryant
5:40.0,,,16-10,,K. Bryant misses 2-pt shot from 7 ft (block by K. Durant)
5:38.0,Defensive rebound by K. Durant,,16-10,,
5:33.0,R. Westbrook misses 2-pt shot from 1 ft,,16-10,,
5:32.0,Offensive rebound by S. Ibaka,,16-10,,
5:28.0,S. Ibaka makes 3-pt shot from 24 ft,3,19-10,,
5:21.0,,,19-10,,LA Lakers full timeout
5:21.0,,,19-10,,D. Russell enters the game for J. Clarkson
5:07.0,,,19-10,,K. Bryant misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by S. Ibaka,,19-10,,
4:48.0,A. Roberson misses 3-pt shot from 24 ft,,19-10,,
4:46.0,,,19-10,,Defensive rebound by L. Nance
4:34.0,,,19-10,,R. Sacre misses 2-pt shot from 4 ft
4:33.0,Defensive rebound by S. Ibaka,,19-10,,
4:22.0,R. Westbrook makes 2-pt shot from 1 ft,2,21-10,,
4:12.0,,,21-10,,K. Bryant misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by S. Ibaka,,21-10,,
4:02.0,,,21-10,,Personal foul by D. Russell (drawn by R. Westbrook)
4:02.0,R. Westbrook makes free throw 1 of 2,1,22-10,,
4:02.0,,,22-10,,B. Bass enters the game for L. Nance
4:02.0,N. Collison enters the game for S. Ibaka,,22-10,,
4:02.0,D. Waiters enters the game for A. Roberson,,22-10,,
4:02.0,R. Westbrook misses free throw 2 of 2,,22-10,,
4:01.0,,,22-10,,Defensive rebound by Team
3:53.0,,,22-10,,Turnover by K. Bryant (bad pass; steal by S. Adams)
3:51.0,K. Durant makes 2-pt shot from 2 ft (assist by S. Adams),2,24-10,,
3:51.0,Shooting foul by L. Williams (drawn by K. Durant),,24-10,,
3:51.0,E. Kanter enters the game for S. Adams,,24-10,,
3:51.0,K. Durant makes free throw 1 of 1,1,25-10,,
3:35.0,,,25-10,,B. Bass misses 2-pt shot from 15 ft
3:34.0,Defensive rebound by E. Kanter,,25-10,,
3:22.0,R. Westbrook misses 3-pt shot from 22 ft,,25-10,,
3:21.0,,,25-10,,Defensive rebound by B. Bass
3:11.0,,,25-12,2,B. Bass makes 2-pt shot at rim (assist by L. Williams)
2:49.0,Turnover by K. Durant (bad pass; steal by L. Williams),,25-12,,
2:44.0,,,25-14,2,K. Bryant makes 2-pt shot at rim (assist by L. Williams)
2:38.0,Oklahoma City full timeout,,25-14,,
2:38.0,D. Augustin enters the game for R. Westbrook,,25-14,,
2:38.0,,,25-14,,A. Brown enters the game for K. Bryant
2:20.0,D. Waiters misses 3-pt shot from 24 ft,,25-14,,
2:19.0,,,25-14,,Defensive rebound by B. Bass
1:55.0,,,25-14,,A. Brown misses 3-pt shot from 25 ft (block by K. Durant)
1:55.0,,,25-14,,Offensive rebound by Team
1:55.0,,,25-14,,Turnover by Team (shot clock)
1:55.0,A. Morrow enters the game for K. Durant,,25-14,,
1:38.0,D. Waiters makes 2-pt shot at rim,2,27-14,,
1:23.0,,,27-14,,A. Brown misses 3-pt shot from 24 ft
1:20.0,Defensive rebound by D. Waiters,,27-14,,
1:16.0,Turnover by D. Waiters (discontinued dribble),,27-14,,
1:06.0,,,27-14,,D. Russell misses 2-pt shot from 6 ft
1:02.0,Defensive rebound by E. Kanter,,27-14,,
1:00.0,Turnover by D. Waiters (step out of bounds),,27-14,,
0:49.0,,,27-14,,L. Williams misses 2-pt shot from 19 ft
0:48.0,Defensive rebound by N. Collison,,27-14,,
0:42.0,Turnover by E. Kanter (traveling),,27-14,,
0:33.0,,,27-14,,Shooting foul by E. Kanter (drawn by L. Williams)
0:33.0,,,27-14,,L. Williams misses free throw 1 of 2
0:33.0,,,27-14,,Offensive rebound by Team
0:33.0,,,27-15,1,L. Williams makes free throw 2 of 2
0:19.0,D. Waiters misses 2-pt shot from 11 ft,,27-15,,
0:19.0,,,27-15,,Defensive rebound by R. Sacre
0:04.0,,,27-15,,D. Russell misses 2-pt shot from 3 ft (block by E. Kanter)
0:02.0,,,27-15,,Offensive rebound by R. Sacre
0:01.0,,,27-17,2,R. Sacre makes 2-pt shot from 16 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,27-19,2,J. Clarkson makes 2-pt shot from 19 ft
11:20.0,E. Kanter misses 2-pt shot from 14 ft,,27-19,,
11:19.0,,,27-19,,Defensive rebound by D. Russell
11:08.0,Personal foul by D. Waiters (drawn by J. Clarkson),,27-19,,
10:59.0,,,27-19,,Turnover by Team (back court)
10:43.0,D. Augustin misses 3-pt shot from 25 ft,,27-19,,
10:43.0,,,27-19,,Defensive rebound by A. Brown
10:33.0,,,27-19,,J. Clarkson misses 2-pt shot from 2 ft
10:33.0,Defensive rebound by A. Morrow,,27-19,,
10:26.0,A. Morrow misses 3-pt shot from 25 ft,,27-19,,
10:24.0,,,27-19,,Defensive rebound by A. Brown
10:11.0,,,27-21,2,R. Sacre makes 2-pt shot from 5 ft
9:56.0,E. Kanter makes 2-pt shot from 10 ft (assist by D. Augustin),2,29-21,,
9:40.0,,,29-24,3,D. Russell makes 3-pt shot from 24 ft (assist by J. Clarkson)
9:25.0,Shooting foul by B. Bass (drawn by D. Augustin),,29-24,,
9:25.0,D. Augustin makes free throw 1 of 2,1,30-24,,
9:25.0,R. Westbrook enters the game for D. Waiters,,30-24,,
9:25.0,S. Ibaka enters the game for N. Collison,,30-24,,
9:25.0,S. Adams enters the game for E. Kanter,,30-24,,
9:25.0,,,30-24,,R. Hibbert enters the game for R. Sacre
9:25.0,,,30-24,,K. Bryant enters the game for A. Brown
9:25.0,D. Augustin makes free throw 2 of 2,1,31-24,,
9:08.0,,,31-26,2,K. Bryant makes 2-pt shot from 15 ft
9:08.0,,,31-26,,Shooting foul by R. Westbrook (drawn by K. Bryant)
9:08.0,K. Durant enters the game for D. Augustin,,31-26,,
9:08.0,,,31-27,1,K. Bryant makes free throw 1 of 1
8:55.0,R. Westbrook makes 2-pt shot at rim,2,33-27,,
8:38.0,,,33-29,2,B. Bass makes 2-pt shot from 16 ft
8:20.0,Turnover by S. Ibaka (lost ball),,33-29,,
8:20.0,Official timeout,,33-29,,
8:03.0,,,33-29,,D. Russell misses 3-pt shot from 24 ft
8:02.0,,,33-29,,Offensive rebound by B. Bass
7:56.0,,,33-32,3,K. Bryant makes 3-pt shot from 24 ft (assist by B. Bass)
7:44.0,Turnover by R. Westbrook (bad pass; steal by J. Clarkson),,33-32,,
7:36.0,,,33-32,,K. Bryant misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by S. Adams,,33-32,,
7:30.0,A. Morrow misses 3-pt shot from 23 ft,,33-32,,
7:28.0,,,33-32,,Defensive rebound by B. Bass
7:18.0,,,33-35,3,D. Russell makes 3-pt shot from 24 ft (assist by K. Bryant)
6:58.0,R. Westbrook makes 2-pt shot from 13 ft,2,35-35,,
6:44.0,,,35-37,2,J. Clarkson makes 2-pt shot from 18 ft (assist by R. Hibbert)
6:31.0,Offensive foul by S. Adams,,35-37,,
6:31.0,Turnover by S. Adams (offensive foul),,35-37,,
6:31.0,,,35-37,,L. Nance enters the game for B. Bass
6:31.0,A. Roberson enters the game for A. Morrow,,35-37,,
6:23.0,,,35-37,,J. Clarkson misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by Team,,35-37,,
6:05.0,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Durant),2,37-37,,
5:46.0,,,37-37,,D. Russell misses 2-pt shot from 1 ft (block by S. Ibaka)
5:46.0,,,37-37,,Offensive rebound by Team
5:46.0,,,37-37,,LA Lakers full timeout
5:40.0,,,37-40,3,K. Bryant makes 3-pt shot from 25 ft
5:25.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,39-40,,
5:05.0,,,39-40,,Shooting foul by K. Durant (drawn by K. Bryant)
5:05.0,,,39-41,1,K. Bryant makes free throw 1 of 2
5:05.0,,,39-41,,L. Williams enters the game for D. Russell
5:05.0,,,39-42,1,K. Bryant makes free throw 2 of 2
4:55.0,S. Ibaka misses 3-pt shot from 23 ft,,39-42,,
4:55.0,Offensive rebound by A. Roberson,,39-42,,
4:50.0,A. Roberson makes 2-pt shot at rim,2,41-42,,
4:33.0,,,41-42,,L. Nance misses 2-pt shot from 1 ft (block by S. Adams)
4:32.0,Defensive rebound by R. Westbrook,,41-42,,
4:28.0,R. Westbrook makes 2-pt shot at rim,2,43-42,,
4:05.0,,,43-44,2,K. Bryant makes 2-pt shot from 4 ft
3:54.0,,,43-44,,Personal foul by K. Bryant (drawn by K. Durant)
3:43.0,S. Adams makes 2-pt shot from 10 ft (assist by R. Westbrook),2,45-44,,
3:22.0,,,45-44,,K. Bryant misses 2-pt shot from 12 ft
3:22.0,Defensive rebound by S. Ibaka,,45-44,,
3:17.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,47-44,,
3:17.0,Shooting foul by L. Nance (drawn by S. Ibaka),,47-44,,
3:17.0,S. Ibaka makes free throw 1 of 1,1,48-44,,
3:06.0,,,48-44,,Turnover by L. Nance (bad pass)
2:40.0,S. Ibaka makes 2-pt shot from 9 ft,2,50-44,,
2:32.0,,,50-44,,LA Lakers full timeout
2:32.0,Oklahoma City full timeout,,50-44,,
2:27.0,Jump ball: A. Roberson vs. L. Williams (L. Nance gains possession),,,,Jump ball: A. Roberson vs. L. Williams (L. Nance gains possession)
2:14.0,,,50-44,,J. Clarkson misses 2-pt shot from 19 ft
2:13.0,Defensive rebound by K. Durant,,50-44,,
2:04.0,K. Durant makes 2-pt shot from 5 ft,2,52-44,,
1:46.0,,,52-44,,L. Nance misses 2-pt shot from 1 ft (block by A. Roberson)
1:45.0,Defensive rebound by R. Westbrook,,52-44,,
1:40.0,A. Roberson makes 2-pt shot at rim (assist by K. Durant),2,54-44,,
1:30.0,,,54-44,,Offensive foul by R. Hibbert
1:30.0,,,54-44,,Turnover by R. Hibbert (offensive foul)
1:12.0,R. Westbrook misses 2-pt shot from 20 ft,,54-44,,
1:12.0,,,54-44,,Defensive rebound by J. Clarkson
1:08.0,,,54-44,,J. Clarkson misses 2-pt shot at rim (block by A. Roberson)
1:08.0,,,54-44,,Offensive rebound by Team
1:08.0,,,54-44,,R. Sacre enters the game for R. Hibbert
1:02.0,,,54-46,2,L. Nance makes 2-pt shot from 1 ft (assist by K. Bryant)
0:47.0,K. Durant misses 2-pt shot from 8 ft,,54-46,,
0:45.0,Offensive rebound by A. Roberson,,54-46,,
