time,Orlando,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. M. Plumlee (C. Watson gains possession),,,,Jump ball: D. Dedmon vs. M. Plumlee (C. Watson gains possession)
11:46.0,E. Fournier makes 2-pt shot from 15 ft,2,2-0,,
11:28.0,,,2-0,,N. Vonleh misses 2-pt shot from 3 ft (block by C. Watson)
11:27.0,,,2-0,,Offensive rebound by M. Plumlee
11:25.0,,,2-0,,M. Plumlee misses 2-pt shot at rim
11:24.0,Defensive rebound by D. Dedmon,,2-0,,
11:12.0,V. Oladipo misses 2-pt shot from 2 ft (block by N. Vonleh),,2-0,,
11:11.0,,,2-0,,Defensive rebound by D. Lillard
11:00.0,,,2-0,,M. Plumlee misses 2-pt shot from 6 ft
10:59.0,Defensive rebound by C. Watson,,2-0,,
10:50.0,Turnover by E. Fournier (traveling),,2-0,,
10:31.0,,,2-0,,D. Lillard misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by A. Gordon,,2-0,,
10:16.0,V. Oladipo makes 2-pt shot from 15 ft,2,4-0,,
9:56.0,,,4-2,2,C. McCollum makes 2-pt shot at rim (assist by D. Lillard)
9:33.0,E. Fournier makes 2-pt shot from 4 ft,2,6-2,,
9:23.0,,,6-2,,Offensive charge foul by M. Plumlee
9:23.0,,,6-2,,Turnover by M. Plumlee (offensive foul)
9:06.0,Shooting foul by A. Aminu (drawn by E. Fournier),,6-2,,
9:06.0,E. Fournier makes free throw 1 of 2,1,7-2,,
9:06.0,E. Fournier makes free throw 2 of 2,1,8-2,,
8:50.0,,,8-2,,A. Aminu misses 3-pt shot from 22 ft
8:49.0,Defensive rebound by E. Fournier,,8-2,,
8:38.0,V. Oladipo makes 3-pt shot from 23 ft (assist by C. Watson),3,11-2,,
8:13.0,,,11-5,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
7:56.0,D. Dedmon makes 2-pt shot from 12 ft (assist by V. Oladipo),2,13-5,,
7:35.0,,,13-8,3,A. Aminu makes 3-pt shot from 24 ft (assist by M. Plumlee)
7:18.0,V. Oladipo misses 2-pt shot from 15 ft,,13-8,,
7:18.0,,,13-8,,Defensive rebound by M. Plumlee
7:11.0,,,13-8,,Turnover by D. Lillard (lost ball; steal by A. Gordon)
7:03.0,V. Oladipo misses 2-pt shot from 16 ft,,13-8,,
7:03.0,,,13-8,,Defensive rebound by A. Aminu
6:55.0,,,13-10,2,C. McCollum makes 2-pt shot from 8 ft
6:40.0,E. Fournier misses 3-pt shot from 25 ft,,13-10,,
6:39.0,,,13-10,,Defensive rebound by M. Plumlee
6:31.0,,,13-10,,C. McCollum misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by A. Gordon,,13-10,,
6:26.0,Turnover by A. Gordon (lost ball),,13-10,,
6:26.0,Orlando full timeout,,13-10,,
6:08.0,,,13-12,2,D. Lillard makes 2-pt shot from 21 ft
5:55.0,Turnover by V. Oladipo (palming),,13-12,,
5:41.0,,,13-14,2,C. McCollum makes 2-pt shot from 2 ft (assist by D. Lillard)
5:23.0,V. Oladipo makes 2-pt shot from 13 ft,2,15-14,,
5:01.0,,,15-14,,C. McCollum misses 2-pt shot from 1 ft
5:00.0,Defensive rebound by D. Dedmon,,15-14,,
4:52.0,E. Fournier makes 2-pt shot from 1 ft,2,17-14,,
4:38.0,Personal foul by D. Dedmon,,17-14,,
4:38.0,E. Ilyasova enters the game for A. Gordon,,17-14,,
4:38.0,,,17-14,,M. Leonard enters the game for N. Vonleh
4:38.0,,,17-14,,E. Davis enters the game for M. Plumlee
4:38.0,,,17-14,,A. Crabbe enters the game for C. McCollum
4:29.0,,,17-14,,M. Leonard misses 2-pt shot from 14 ft
4:27.0,,,17-14,,Offensive rebound by A. Crabbe
4:16.0,,,17-16,2,E. Davis makes 2-pt shot from 2 ft (assist by D. Lillard)
4:07.0,C. Watson misses 2-pt shot from 16 ft,,17-16,,
4:06.0,,,17-16,,Defensive rebound by E. Davis
3:56.0,,,17-19,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
3:36.0,V. Oladipo misses 2-pt shot from 19 ft,,17-19,,
3:35.0,Offensive rebound by D. Dedmon,,17-19,,
3:35.0,D. Dedmon misses 2-pt shot at rim,,17-19,,
3:33.0,,,17-19,,Defensive rebound by E. Davis
3:27.0,Personal foul by V. Oladipo,,17-19,,
3:27.0,,,17-19,,G. Henderson enters the game for A. Aminu
3:16.0,,,17-19,,Turnover by E. Davis (lost ball; steal by V. Oladipo)
3:12.0,V. Oladipo makes 2-pt shot from 1 ft,2,19-19,,
2:47.0,,,19-19,,M. Leonard misses 2-pt shot from 2 ft (block by D. Dedmon)
2:46.0,Defensive rebound by D. Dedmon,,19-19,,
2:31.0,V. Oladipo misses 2-pt shot from 13 ft,,19-19,,
2:30.0,,,19-19,,Defensive rebound by M. Leonard
2:18.0,,,19-19,,M. Leonard misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by Team,,19-19,,
2:17.0,,,19-19,,Portland full timeout
2:17.0,J. Smith enters the game for D. Dedmon,,19-19,,
2:12.0,Turnover by C. Watson (bad pass),,19-19,,
2:00.0,Personal foul by V. Oladipo,,19-19,,
2:00.0,M. Hezonja enters the game for V. Oladipo,,19-19,,
1:55.0,Def 3 sec tech foul by E. Ilyasova,,19-19,,
1:55.0,,,19-20,1,D. Lillard makes technical free throw
1:44.0,,,19-23,3,A. Crabbe makes 3-pt shot from 24 ft (assist by M. Leonard)
1:31.0,,,19-23,,Personal foul by G. Henderson
1:19.0,E. Fournier makes 2-pt shot from 2 ft (assist by C. Watson),2,21-23,,
1:02.0,,,21-26,3,A. Crabbe makes 3-pt shot from 24 ft (assist by M. Leonard)
0:44.0,J. Smith misses 2-pt shot from 20 ft,,21-26,,
0:43.0,Offensive rebound by M. Hezonja,,21-26,,
0:36.0,E. Fournier makes 3-pt shot from 23 ft,3,24-26,,
0:33.0,Personal foul by J. Smith,,24-26,,
0:33.0,,,24-27,1,D. Lillard makes free throw 1 of 2
0:33.0,,,24-28,1,D. Lillard makes free throw 2 of 2
0:17.0,Turnover by E. Fournier (bad pass),,24-28,,
0:17.0,,,24-28,,C. McCollum enters the game for E. Davis
0:17.0,A. Gordon enters the game for E. Ilyasova,,24-28,,
0:03.0,,,24-31,3,G. Henderson makes 3-pt shot from 22 ft (assist by C. McCollum)
0:00.0,C. Watson misses 3-pt shot from 49 ft,,24-31,,
0:00.0,Offensive rebound by Team,,24-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,24-31,,A. Crabbe misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by D. Marble,,24-31,,
11:26.0,J. Smith misses 2-pt shot from 19 ft,,24-31,,
11:25.0,,,24-31,,Defensive rebound by G. Henderson
11:14.0,,,24-31,,M. Leonard misses 3-pt shot from 22 ft
11:13.0,Defensive rebound by D. Marble,,24-31,,
10:53.0,C. Watson misses 3-pt shot from 25 ft,,24-31,,
10:53.0,,,24-31,,Defensive rebound by M. Leonard
10:39.0,,,24-33,2,E. Davis makes 2-pt shot from 1 ft (assist by A. Crabbe)
10:20.0,C. Watson misses 2-pt shot from 18 ft,,24-33,,
10:19.0,,,24-33,,Defensive rebound by M. Leonard
10:10.0,,,24-33,,Turnover by C. McCollum (lost ball)
10:10.0,S. Napier enters the game for C. Watson,,24-33,,
9:52.0,J. Smith misses 2-pt shot from 19 ft,,24-33,,
9:52.0,,,24-33,,Defensive rebound by G. Henderson
9:46.0,,,24-35,2,M. Leonard makes 2-pt shot from 1 ft (assist by G. Henderson)
9:25.0,J. Smith misses 2-pt shot from 20 ft,,24-35,,
9:24.0,,,24-35,,Defensive rebound by G. Henderson
9:22.0,,,24-35,,Turnover by G. Henderson (lost ball; steal by M. Hezonja)
9:19.0,A. Gordon makes 2-pt shot from 2 ft (assist by M. Hezonja),2,26-35,,
9:19.0,Shooting foul by G. Henderson (drawn by A. Gordon),,26-35,,
9:19.0,E. Ilyasova enters the game for J. Smith,,26-35,,
9:19.0,A. Gordon misses free throw 1 of 1,,26-35,,
9:17.0,,,26-35,,Defensive rebound by M. Leonard
9:08.0,Personal foul by M. Hezonja,,26-35,,
8:59.0,,,26-37,2,A. Crabbe makes 2-pt shot from 15 ft (assist by M. Leonard)
8:37.0,M. Hezonja makes 3-pt shot from 25 ft (assist by A. Gordon),3,29-37,,
8:14.0,,,29-39,2,C. McCollum makes 2-pt shot from 1 ft
7:58.0,A. Gordon misses 2-pt shot from 18 ft,,29-39,,
7:58.0,,,29-39,,Defensive rebound by A. Crabbe
7:46.0,,,29-39,,Turnover by C. McCollum (back court)
7:46.0,Official timeout,,29-39,,
7:37.0,M. Hezonja makes 3-pt shot from 23 ft (assist by A. Gordon),3,32-39,,
7:20.0,,,32-42,3,M. Leonard makes 3-pt shot from 24 ft (assist by G. Henderson)
6:56.0,E. Ilyasova misses 3-pt shot from 24 ft,,32-42,,
6:56.0,,,32-42,,Defensive rebound by A. Crabbe
6:48.0,,,32-42,,C. McCollum misses 2-pt shot from 1 ft
6:47.0,Defensive rebound by E. Ilyasova,,32-42,,
6:42.0,M. Hezonja makes 2-pt shot from 2 ft (assist by E. Ilyasova),2,34-42,,
6:28.0,,,34-42,,Offensive foul by A. Crabbe
6:28.0,,,34-42,,Turnover by A. Crabbe (offensive foul)
6:11.0,D. Marble misses 2-pt shot from 21 ft,,34-42,,
6:10.0,,,34-42,,Defensive rebound by M. Leonard
5:53.0,,,34-44,2,G. Henderson makes 2-pt shot from 1 ft
5:47.0,Shooting foul by M. Leonard (drawn by A. Gordon),,34-44,,
5:47.0,A. Gordon makes 2-pt shot from 2 ft (assist by S. Napier),2,36-44,,
5:47.0,,,36-44,,Portland full timeout
5:47.0,V. Oladipo enters the game for D. Marble,,36-44,,
5:47.0,,,36-44,,D. Lillard enters the game for C. McCollum
5:47.0,,,36-44,,A. Aminu enters the game for E. Davis
5:47.0,,,36-44,,M. Plumlee enters the game for M. Leonard
5:47.0,A. Gordon misses free throw 1 of 1,,36-44,,
5:46.0,,,36-44,,Defensive rebound by Team
5:46.0,Loose ball foul by E. Ilyasova,,36-44,,
5:28.0,,,36-46,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
5:08.0,A. Gordon misses 2-pt shot from 13 ft,,36-46,,
5:06.0,,,36-46,,Defensive rebound by G. Henderson
4:47.0,,,36-48,2,A. Crabbe makes 2-pt shot at rim (assist by M. Plumlee)
4:35.0,A. Gordon makes 2-pt shot at rim (assist by S. Napier),2,38-48,,
4:35.0,Shooting foul by A. Aminu (drawn by A. Gordon),,38-48,,
4:35.0,C. Watson enters the game for S. Napier,,38-48,,
4:35.0,A. Gordon misses free throw 1 of 1,,38-48,,
4:34.0,,,38-48,,Defensive rebound by M. Plumlee
4:17.0,,,38-50,2,A. Crabbe makes 2-pt shot from 2 ft (assist by D. Lillard)
3:59.0,M. Hezonja misses 3-pt shot from 24 ft,,38-50,,
3:59.0,,,38-50,,Defensive rebound by M. Plumlee
3:50.0,,,38-50,,A. Crabbe misses 3-pt shot from 25 ft
3:48.0,Defensive rebound by C. Watson,,38-50,,
3:39.0,M. Hezonja misses 2-pt shot from 1 ft,,38-50,,
3:38.0,,,38-50,,Defensive rebound by A. Aminu
3:32.0,,,38-53,3,G. Henderson makes 3-pt shot from 22 ft (assist by A. Aminu)
3:28.0,Orlando full timeout,,38-53,,
3:28.0,E. Fournier enters the game for M. Hezonja,,38-53,,
3:19.0,C. Watson misses 2-pt shot at rim (block by A. Aminu),,38-53,,
3:17.0,,,38-53,,Defensive rebound by A. Aminu
3:11.0,,,38-55,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
2:51.0,,,38-55,,Personal foul by M. Plumlee
2:39.0,C. Watson misses 2-pt shot from 21 ft,,38-55,,
2:38.0,Offensive rebound by E. Ilyasova,,38-55,,
2:35.0,E. Ilyasova misses 2-pt shot at rim,,38-55,,
2:34.0,Offensive rebound by E. Ilyasova,,38-55,,
2:34.0,E. Ilyasova makes 2-pt shot at rim,2,40-55,,
2:20.0,,,40-55,,Turnover by D. Lillard (bad pass)
2:08.0,Offensive charge foul by E. Fournier,,40-55,,
2:08.0,Turnover by E. Fournier (offensive foul),,40-55,,
2:08.0,,,40-55,,C. McCollum enters the game for G. Henderson
1:50.0,,,40-57,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
1:43.0,Offensive foul by E. Ilyasova,,40-57,,
1:43.0,Turnover by E. Ilyasova (offensive foul),,40-57,,
1:28.0,,,40-59,2,A. Crabbe makes 2-pt shot from 9 ft (assist by D. Lillard)
1:13.0,E. Fournier misses 2-pt shot from 9 ft,,40-59,,
1:12.0,,,40-59,,Defensive rebound by A. Aminu
