time,Indiana,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. M. Turner (T. Lawson gains possession),,,,Jump ball: G. Monroe vs. M. Turner (T. Lawson gains possession)
11:44.0,S. Hill makes 3-pt shot from 23 ft (assist by T. Lawson),3,3-0,,
11:28.0,,,3-2,2,G. Monroe makes 2-pt shot at rim
11:28.0,,,3-2,,Shooting foul by S. Hill (drawn by G. Monroe)
11:28.0,,,3-3,1,G. Monroe makes free throw 1 of 1
11:12.0,S. Hill makes 3-pt shot from 24 ft (assist by R. Stuckey),3,6-3,,
10:53.0,,,6-3,,G. Antetokounmpo misses 2-pt shot from 4 ft
10:52.0,,,6-3,,Offensive rebound by G. Antetokounmpo
10:48.0,,,6-3,,G. Antetokounmpo misses 3-pt shot from 23 ft
10:47.0,Defensive rebound by S. Hill,,6-3,,
10:38.0,M. Turner misses 2-pt shot from 12 ft,,6-3,,
10:36.0,,,6-3,,Defensive rebound by G. Monroe
10:17.0,,,6-3,,G. Antetokounmpo misses 2-pt shot at rim
10:15.0,Defensive rebound by S. Hill,,6-3,,
10:09.0,R. Stuckey makes 2-pt shot from 1 ft,2,8-3,,
9:56.0,,,8-3,,J. Parker misses 2-pt shot from 17 ft
9:55.0,Defensive rebound by M. Turner,,8-3,,
9:48.0,T. Lawson misses 2-pt shot from 7 ft,,8-3,,
9:47.0,,,8-3,,Defensive rebound by J. Parker
9:43.0,,,8-3,,Shooting foul by L. Allen (drawn by J. Parker)
9:43.0,,,8-4,1,J. Parker makes free throw 1 of 2
9:43.0,,,8-5,1,J. Parker makes free throw 2 of 2
9:36.0,,,8-5,,Personal foul by K. Middleton
9:21.0,R. Stuckey misses 2-pt shot at rim,,8-5,,
9:20.0,Offensive rebound by L. Allen,,8-5,,
9:20.0,L. Allen misses 2-pt shot from 1 ft,,8-5,,
9:19.0,Offensive rebound by L. Allen,,8-5,,
9:18.0,L. Allen makes 2-pt shot from 7 ft,2,10-5,,
9:04.0,,,10-7,2,J. Parker makes 2-pt shot from 17 ft
8:54.0,S. Hill makes 3-pt shot from 26 ft (assist by T. Lawson),3,13-7,,
8:30.0,,,13-7,,Turnover by R. Vaughn (lost ball; steal by M. Turner)
8:26.0,R. Stuckey makes 2-pt shot at rim,2,15-7,,
8:26.0,,,15-7,,Milwaukee full timeout
8:26.0,,,15-7,,T. Ennis enters the game for R. Vaughn
8:07.0,,,15-7,,G. Monroe misses 2-pt shot at rim
8:06.0,Defensive rebound by L. Allen,,15-7,,
7:48.0,S. Hill makes 3-pt shot from 27 ft (assist by R. Stuckey),3,18-7,,
7:35.0,,,18-7,,K. Middleton misses 2-pt shot from 13 ft
7:34.0,Defensive rebound by R. Stuckey,,18-7,,
7:30.0,Shooting foul by T. Ennis (drawn by R. Stuckey),,18-7,,
7:30.0,R. Stuckey makes free throw 1 of 2,1,19-7,,
7:30.0,R. Stuckey makes free throw 2 of 2,1,20-7,,
7:17.0,,,20-9,2,G. Monroe makes 2-pt shot at rim (assist by K. Middleton)
7:10.0,L. Allen makes 2-pt shot from 1 ft (assist by T. Lawson),2,22-9,,
6:54.0,,,22-9,,K. Middleton misses 3-pt shot from 25 ft
6:54.0,,,22-9,,Offensive rebound by Team
6:54.0,Loose ball foul by M. Turner,,22-9,,
6:54.0,,,22-9,,J. O'Bryant enters the game for J. Parker
6:46.0,,,22-9,,J. O'Bryant misses 2-pt shot from 15 ft
6:45.0,Defensive rebound by Team,,22-9,,
6:32.0,R. Stuckey misses 3-pt shot from 24 ft,,22-9,,
6:31.0,,,22-9,,Defensive rebound by G. Antetokounmpo
6:14.0,,,22-9,,Turnover by G. Antetokounmpo (traveling)
6:01.0,L. Allen makes 2-pt shot at rim (assist by R. Stuckey),2,24-9,,
5:47.0,,,24-9,,K. Middleton misses 2-pt shot from 14 ft
5:46.0,Defensive rebound by M. Turner,,24-9,,
5:40.0,Turnover by T. Lawson (lost ball; steal by G. Monroe),,24-9,,
5:34.0,,,24-11,2,J. O'Bryant makes 2-pt shot at rim (assist by G. Antetokounmpo)
5:22.0,L. Allen misses 2-pt shot from 13 ft,,24-11,,
5:21.0,,,24-11,,Defensive rebound by J. O'Bryant
5:17.0,Personal foul by L. Allen,,24-11,,
5:17.0,,,24-11,,M. Plumlee enters the game for G. Monroe
5:17.0,S. Whittington enters the game for L. Allen,,24-11,,
5:11.0,,,24-11,,M. Plumlee misses 2-pt shot at rim
5:09.0,Defensive rebound by M. Turner,,24-11,,
4:59.0,,,24-11,,Personal foul by T. Ennis
4:53.0,S. Hill misses 2-pt shot from 18 ft,,24-11,,
4:52.0,Offensive rebound by M. Turner,,24-11,,
4:50.0,M. Turner makes 2-pt shot from 1 ft,2,26-11,,
4:36.0,,,26-14,3,T. Ennis makes 3-pt shot from 23 ft (assist by K. Middleton)
4:28.0,M. Turner misses 2-pt shot at rim,,26-14,,
4:27.0,,,26-14,,Defensive rebound by T. Ennis
4:23.0,,,26-16,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Ennis)
4:15.0,Indiana full timeout,,26-16,,
4:15.0,,,26-16,,G. Vasquez enters the game for K. Middleton
