time,Brooklyn,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. B. Lopez (E. Payton gains possession),,,,Jump ball: D. Dedmon vs. B. Lopez (E. Payton gains possession)
11:46.0,,,0-0,,Turnover by D. Dedmon (lost ball; steal by T. Robinson)
11:31.0,T. Robinson makes 2-pt shot from 2 ft (assist by B. Lopez),2,2-0,,
11:19.0,,,2-0,,V. Oladipo misses 2-pt shot from 18 ft
11:18.0,Defensive rebound by T. Robinson,,2-0,,
11:00.0,B. Lopez misses 2-pt shot from 7 ft,,2-0,,
10:59.0,Offensive rebound by B. Lopez,,2-0,,
10:58.0,B. Lopez makes 2-pt shot from 2 ft,2,4-0,,
10:45.0,,,4-2,2,A. Gordon makes 2-pt shot from 1 ft (assist by V. Oladipo)
10:31.0,S. Larkin makes 2-pt shot from 10 ft (assist by T. Robinson),2,6-2,,
10:19.0,,,6-2,,Turnover by E. Fournier (lost ball; steal by S. Larkin)
10:15.0,S. Larkin makes 2-pt shot from 2 ft,2,8-2,,
10:00.0,,,8-4,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
9:43.0,Turnover by B. Lopez (lost ball; steal by E. Payton),,8-4,,
9:37.0,,,8-4,,E. Fournier misses 3-pt shot from 24 ft
9:36.0,,,8-4,,Offensive rebound by D. Dedmon
9:30.0,,,8-7,3,A. Gordon makes 3-pt shot from 23 ft (assist by E. Fournier)
9:12.0,T. Robinson makes 2-pt shot from 2 ft (assist by S. Karasev),2,10-7,,
8:55.0,,,10-7,,V. Oladipo misses 2-pt shot from 19 ft
8:53.0,Defensive rebound by T. Robinson,,10-7,,
8:30.0,B. Bogdanovic makes 2-pt shot from 12 ft,2,12-7,,
8:20.0,,,12-7,,Turnover by E. Payton (bad pass)
7:57.0,B. Bogdanovic misses 3-pt shot from 25 ft,,12-7,,
7:55.0,,,12-7,,Defensive rebound by V. Oladipo
7:52.0,,,12-9,2,V. Oladipo makes 2-pt shot from 15 ft
7:39.0,Shooting foul by D. Dedmon (drawn by S. Larkin),,12-9,,
