time,San Antonio,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. T. Duncan (K. Perkins gains possession),,,,Jump ball: A. Davis vs. T. Duncan (K. Perkins gains possession)
11:46.0,,,0-2,2,A. Davis makes 2-pt shot from 9 ft (assist by E. Gordon)
11:22.0,L. Aldridge misses 2-pt shot from 18 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by E. Gordon
11:09.0,,,0-2,,N. Cole misses 2-pt shot from 3 ft (block by L. Aldridge)
11:08.0,Defensive rebound by L. Aldridge,,0-2,,
10:57.0,Turnover by T. Duncan (bad pass; steal by N. Cole),,0-2,,
10:50.0,,,0-4,2,N. Cole makes 2-pt shot from 5 ft
10:49.0,San Antonio full timeout,,0-4,,
10:49.0,P. Mills enters the game for T. Parker,,0-4,,
10:33.0,K. Leonard makes 2-pt shot from 14 ft (assist by D. Green),2,2-4,,
10:14.0,,,2-4,,N. Cole misses 2-pt shot from 19 ft
10:13.0,Defensive rebound by K. Leonard,,2-4,,
10:03.0,K. Leonard makes 3-pt shot from 24 ft (assist by T. Duncan),3,5-4,,
9:41.0,,,5-6,2,E. Gordon makes 2-pt shot from 1 ft
9:19.0,D. Green makes 3-pt shot from 25 ft (assist by P. Mills),3,8-6,,
9:04.0,,,8-8,2,A. Davis makes 2-pt shot from 18 ft (assist by E. Gordon)
8:41.0,Shooting foul by E. Gordon (drawn by D. Green),,8-8,,
8:41.0,D. Green makes free throw 1 of 2,1,9-8,,
8:41.0,D. Green makes free throw 2 of 2,1,10-8,,
8:30.0,,,10-8,,N. Cole misses 3-pt shot from 25 ft
8:29.0,Defensive rebound by L. Aldridge,,10-8,,
8:15.0,T. Duncan misses 2-pt shot from 7 ft (block by A. Davis),,10-8,,
8:15.0,Offensive rebound by T. Duncan,,10-8,,
8:13.0,T. Duncan misses 2-pt shot from 4 ft,,10-8,,
8:11.0,,,10-8,,Defensive rebound by K. Perkins
8:04.0,,,10-10,2,E. Gordon makes 2-pt shot from 2 ft
8:04.0,,,10-10,,Shooting foul by L. Aldridge (drawn by E. Gordon)
8:04.0,,,10-11,1,E. Gordon makes free throw 1 of 1
7:46.0,L. Aldridge makes 2-pt shot from 15 ft (assist by P. Mills),2,12-11,,
7:30.0,,,12-11,,Turnover by N. Cole (lost ball; steal by D. Green)
7:17.0,L. Aldridge misses 2-pt shot from 6 ft,,12-11,,
7:16.0,,,12-11,,Defensive rebound by K. Perkins
7:10.0,,,12-11,,Turnover by A. Davis (bad pass)
6:45.0,D. Green misses 3-pt shot from 23 ft,,12-11,,
6:44.0,,,12-11,,Defensive rebound by E. Gordon
6:36.0,,,12-13,2,D. Cunningham makes 2-pt shot from 21 ft (assist by E. Gordon)
6:23.0,T. Duncan makes 2-pt shot from 19 ft (assist by P. Mills),2,14-13,,
6:03.0,,,14-13,,D. Cunningham misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by K. Leonard,,14-13,,
5:56.0,L. Aldridge makes 2-pt shot at rim (assist by P. Mills),2,16-13,,
5:44.0,,,16-13,,Turnover by A. Davis (lost ball; steal by P. Mills)
5:39.0,,,16-13,,Personal foul by N. Cole (drawn by L. Aldridge)
5:39.0,B. Diaw enters the game for T. Duncan,,16-13,,
5:39.0,K. Anderson enters the game for D. Green,,16-13,,
5:39.0,,,16-13,,R. Anderson enters the game for K. Perkins
5:35.0,K. Leonard misses 2-pt shot from 21 ft,,16-13,,
5:34.0,,,16-13,,Defensive rebound by R. Anderson
5:17.0,,,16-15,2,E. Gordon makes 2-pt shot at rim (assist by D. Cunningham)
4:57.0,B. Diaw misses 2-pt shot from 13 ft,,16-15,,
4:57.0,,,16-15,,Defensive rebound by A. Davis
4:49.0,,,16-17,2,A. Davis makes 2-pt shot at rim (assist by N. Cole)
4:28.0,K. Leonard makes 2-pt shot from 1 ft (assist by B. Diaw),2,18-17,,
4:17.0,,,18-17,,E. Gordon misses 2-pt shot at rim
4:16.0,Defensive rebound by K. Anderson,,18-17,,
4:07.0,K. Leonard makes 2-pt shot at rim,2,20-17,,
3:48.0,,,20-17,,A. Davis misses 3-pt shot from 23 ft
3:47.0,Defensive rebound by K. Anderson,,20-17,,
3:34.0,Turnover by L. Aldridge (lost ball; steal by A. Davis),,20-17,,
3:25.0,,,20-17,,E. Gordon misses 3-pt shot from 25 ft
3:24.0,Defensive rebound by K. Anderson,,20-17,,
3:11.0,K. Leonard misses 2-pt shot from 17 ft,,20-17,,
3:10.0,,,20-17,,Defensive rebound by N. Cole
2:55.0,,,20-17,,D. Cunningham misses 2-pt shot from 18 ft
2:54.0,Defensive rebound by P. Mills,,20-17,,
2:35.0,L. Aldridge makes 2-pt shot from 6 ft,2,22-17,,
2:30.0,,,22-17,,New Orleans full timeout
2:30.0,D. West enters the game for K. Leonard,,22-17,,
2:30.0,D. Green enters the game for L. Aldridge,,22-17,,
