time,LA Clippers,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. G. Monroe (C. Paul gains possession),,,,Jump ball: D. Jordan vs. G. Monroe (C. Paul gains possession)
11:44.0,J. Redick misses 2-pt shot from 14 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by J. Parker
11:20.0,,,0-0,,Turnover by G. Antetokounmpo (lost ball; steal by L. Mbah a Moute)
11:12.0,J. Redick misses 2-pt shot from 21 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by G. Antetokounmpo
10:58.0,,,0-0,,O. Mayo misses 2-pt shot from 20 ft
10:56.0,Defensive rebound by B. Griffin,,0-0,,
10:38.0,Turnover by J. Redick (bad pass; steal by G. Monroe),,0-0,,
10:29.0,,,0-0,,G. Monroe misses 2-pt shot from 4 ft (block by D. Jordan)
10:27.0,Defensive rebound by D. Jordan,,0-0,,
10:20.0,,,0-0,,Personal foul by K. Middleton (drawn by C. Paul)
10:16.0,Turnover by B. Griffin (bad pass; steal by O. Mayo),,0-0,,
10:12.0,,,0-2,2,J. Parker makes 2-pt shot at rim (assist by O. Mayo)
10:01.0,J. Redick makes 3-pt shot from 23 ft (assist by B. Griffin),3,3-2,,
9:48.0,,,3-2,,K. Middleton misses 2-pt shot from 16 ft
9:47.0,Defensive rebound by D. Jordan,,3-2,,
9:35.0,B. Griffin misses 2-pt shot from 16 ft,,3-2,,
9:34.0,Offensive rebound by L. Mbah a Moute,,3-2,,
9:34.0,L. Mbah a Moute misses 2-pt shot at rim,,3-2,,
9:31.0,,,3-2,,Defensive rebound by O. Mayo
9:26.0,,,3-4,2,J. Parker makes 2-pt shot from 1 ft (assist by O. Mayo)
9:12.0,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul),3,6-4,,
8:50.0,,,6-4,,G. Antetokounmpo misses 2-pt shot from 19 ft
8:47.0,Defensive rebound by B. Griffin,,6-4,,
8:33.0,L. Mbah a Moute misses 2-pt shot at rim (block by G. Antetokounmpo),,6-4,,
8:33.0,Offensive rebound by Team,,6-4,,
8:27.0,B. Griffin makes 2-pt shot from 1 ft,2,8-4,,
8:18.0,,,8-6,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by O. Mayo)
8:04.0,C. Paul misses 2-pt shot from 10 ft,,8-6,,
8:03.0,,,8-6,,Defensive rebound by K. Middleton
7:52.0,,,8-8,2,G. Monroe makes 2-pt shot from 3 ft
7:52.0,Violation by D. Jordan (def goaltending),,8-8,,
7:40.0,J. Redick misses 3-pt shot from 25 ft,,8-8,,
7:36.0,,,8-8,,Defensive rebound by G. Monroe
7:27.0,,,8-10,2,O. Mayo makes 2-pt shot from 13 ft
7:04.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul),2,10-10,,
6:38.0,,,10-10,,G. Antetokounmpo misses 2-pt shot at rim
6:36.0,,,10-10,,Offensive rebound by J. Parker
6:34.0,,,10-10,,G. Monroe misses 2-pt shot from 11 ft
6:32.0,Defensive rebound by B. Griffin,,10-10,,
6:26.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,12-10,,
6:26.0,Shooting foul by G. Monroe (drawn by D. Jordan),,12-10,,
6:26.0,D. Jordan misses free throw 1 of 1,,12-10,,
