time,Golden State,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Green vs. D. Jordan (P. Pierce gains possession),,,,Jump ball: D. Green vs. D. Jordan (P. Pierce gains possession)
11:47.0,,,0-2,2,C. Paul makes 2-pt shot from 2 ft (assist by D. Jordan)
11:27.0,,,0-2,,Violation by D. Jordan (def goaltending)
11:27.0,K. Thompson makes 2-pt shot from 12 ft (assist by B. Rush),2,2-2,,
11:14.0,,,2-2,,D. Jordan misses 2-pt shot from 6 ft
11:12.0,Defensive rebound by D. Green,,2-2,,
11:08.0,B. Rush misses 2-pt shot from 3 ft,,2-2,,
11:06.0,,,2-2,,Defensive rebound by D. Jordan
10:49.0,,,2-4,2,P. Pierce makes 2-pt shot from 12 ft (assist by C. Paul)
10:42.0,,,2-4,,Personal foul by J. Redick (drawn by B. Rush)
10:38.0,K. Thompson makes 2-pt shot from 13 ft (assist by S. Curry),2,4-4,,
10:26.0,,,4-4,,J. Redick misses 3-pt shot from 27 ft
10:24.0,Defensive rebound by B. Rush,,4-4,,
10:20.0,K. Thompson misses 3-pt shot from 24 ft,,4-4,,
10:17.0,,,4-4,,Defensive rebound by D. Jordan
10:12.0,,,4-4,,C. Paul misses 2-pt shot from 19 ft
10:09.0,Defensive rebound by S. Curry,,4-4,,
10:04.0,H. Barnes makes 3-pt shot from 28 ft (assist by S. Curry),3,7-4,,
9:38.0,,,7-4,,P. Pierce misses 3-pt shot from 26 ft
9:35.0,Defensive rebound by Team,,7-4,,
9:27.0,S. Curry makes 3-pt shot from 26 ft,3,10-4,,
9:14.0,,,10-4,,L. Mbah a Moute misses 3-pt shot from 23 ft
9:11.0,Defensive rebound by D. Green,,10-4,,
8:59.0,D. Green misses 3-pt shot from 27 ft,,10-4,,
8:57.0,,,10-4,,Defensive rebound by D. Jordan
8:48.0,,,10-6,2,J. Redick makes 2-pt shot from 15 ft (assist by P. Pierce)
8:35.0,,,10-6,,Personal foul by P. Pierce (drawn by S. Curry)
8:34.0,S. Curry misses 2-pt shot from 2 ft,,10-6,,
8:31.0,,,10-6,,Defensive rebound by C. Paul
8:27.0,Personal foul by H. Barnes (drawn by C. Paul),,10-6,,
8:16.0,,,10-6,,J. Redick misses 2-pt shot from 18 ft
8:15.0,Defensive rebound by H. Barnes,,10-6,,
8:07.0,,,10-6,,Personal foul by J. Redick (drawn by D. Green)
8:07.0,,,10-6,,J. Crawford enters the game for J. Redick
8:04.0,D. Green makes 2-pt shot from 2 ft,2,12-6,,
7:46.0,,,12-6,,P. Pierce misses 2-pt shot from 14 ft
7:45.0,Defensive rebound by D. Green,,12-6,,
7:44.0,,,12-6,,Personal foul by C. Paul (drawn by S. Curry)
7:44.0,,,12-6,,W. Johnson enters the game for P. Pierce
7:41.0,H. Barnes misses 3-pt shot from 24 ft,,12-6,,
7:40.0,,,12-6,,Defensive rebound by D. Jordan
7:20.0,,,12-8,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
7:06.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,14-8,,
6:59.0,Personal foul by S. Curry (drawn by C. Paul),,14-8,,
6:56.0,,,14-8,,Turnover by D. Jordan (traveling)
6:50.0,K. Thompson misses 3-pt shot from 25 ft,,14-8,,
6:50.0,Offensive rebound by B. Rush,,14-8,,
6:46.0,K. Thompson makes 3-pt shot from 23 ft (assist by B. Rush),3,17-8,,
6:19.0,,,17-8,,J. Crawford misses 3-pt shot from 25 ft
6:17.0,Defensive rebound by H. Barnes,,17-8,,
6:11.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,19-8,,
6:03.0,,,19-8,,LA Clippers full timeout
6:03.0,,,19-8,,J. Green enters the game for L. Mbah a Moute
6:03.0,A. Iguodala enters the game for H. Barnes,,19-8,,
5:45.0,,,19-10,2,C. Paul makes 2-pt shot from 2 ft
5:26.0,S. Curry misses 2-pt shot from 2 ft,,19-10,,
5:24.0,,,19-10,,Defensive rebound by D. Jordan
5:19.0,,,19-10,,D. Jordan misses 2-pt shot at rim
5:15.0,Defensive rebound by D. Green,,19-10,,
5:10.0,B. Rush makes 2-pt shot from 1 ft (assist by D. Green),2,21-10,,
4:50.0,,,21-10,,J. Crawford misses 2-pt shot from 8 ft
4:48.0,,,21-10,,Offensive rebound by J. Green
4:48.0,,,21-10,,J. Green misses 2-pt shot from 1 ft
4:46.0,,,21-10,,Offensive rebound by J. Green
