time,Dallas,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. S. Mejri (R. Rondo gains possession),,,,Jump ball: D. Cousins vs. S. Mejri (R. Rondo gains possession)
11:45.0,,,0-0,,Turnover by D. Cousins (lost ball; steal by W. Matthews)
11:32.0,D. Nowitzki misses 2-pt shot from 15 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by D. Cousins
11:20.0,,,0-2,2,D. Cousins makes 2-pt shot from 7 ft
11:20.0,,,0-2,,Shooting foul by S. Mejri (drawn by D. Cousins)
11:20.0,,,0-2,,D. Cousins misses free throw 1 of 1
11:19.0,Defensive rebound by S. Mejri,,0-2,,
11:07.0,S. Mejri makes 2-pt shot at rim (assist by R. Felton),2,2-2,,
10:54.0,,,2-2,,R. Gay misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by S. Mejri,,2-2,,
10:29.0,D. Nowitzki misses 3-pt shot from 27 ft,,2-2,,
10:29.0,,,2-2,,Defensive rebound by R. Rondo
10:15.0,,,2-2,,R. Rondo misses 3-pt shot from 24 ft
10:14.0,,,2-2,,Offensive rebound by D. Cousins
10:10.0,Z. Pachulia enters the game for S. Mejri,,2-2,,
10:10.0,,,2-3,1,D. Cousins makes free throw 1 of 2
10:10.0,,,2-3,,Shooting foul by S. Mejri (drawn by D. Cousins)
10:10.0,,,2-4,1,D. Cousins makes free throw 2 of 2
9:59.0,Turnover by J. Barea (lost ball; steal by Q. Acy),,2-4,,
9:57.0,,,2-4,,Turnover by R. Rondo (traveling)
9:50.0,J. Barea makes 2-pt shot from 13 ft,2,4-4,,
9:38.0,,,4-6,2,D. Cousins makes 2-pt shot from 6 ft
9:27.0,Turnover by J. Barea (lost ball; steal by R. Rondo),,4-6,,
9:22.0,,,4-8,2,R. Gay makes 2-pt shot at rim (assist by R. Rondo)
9:04.0,Turnover by D. Nowitzki (lost ball; steal by R. Gay),,4-8,,
8:50.0,,,4-8,,R. Gay misses 3-pt shot from 23 ft
8:49.0,Defensive rebound by R. Felton,,4-8,,
8:36.0,J. Barea makes 2-pt shot from 4 ft,2,6-8,,
8:22.0,,,6-11,3,R. Rondo makes 3-pt shot from 25 ft (assist by D. Cousins)
8:00.0,D. Nowitzki misses 2-pt shot from 21 ft,,6-11,,
8:00.0,,,6-11,,Defensive rebound by D. Cousins
7:47.0,,,6-11,,S. Curry misses 3-pt shot from 24 ft
7:46.0,,,6-11,,Offensive rebound by Q. Acy
7:26.0,,,6-13,2,Q. Acy makes 2-pt shot from 20 ft (assist by R. Rondo)
7:26.0,Dallas full timeout,,6-13,,
7:13.0,D. Nowitzki misses 2-pt shot from 19 ft,,6-13,,
7:12.0,,,6-13,,Defensive rebound by R. Gay
6:58.0,,,6-13,,D. Cousins misses 2-pt shot from 2 ft
6:57.0,Defensive rebound by J. Barea,,6-13,,
6:50.0,J. Barea makes 2-pt shot from 1 ft,2,8-13,,
6:39.0,,,8-13,,R. Gay misses 2-pt shot at rim
6:38.0,Defensive rebound by J. Barea,,8-13,,
6:29.0,R. Felton makes 2-pt shot from 18 ft (assist by W. Matthews),2,10-13,,
6:16.0,Personal foul by W. Matthews,,10-13,,
6:14.0,D. Lee enters the game for D. Nowitzki,,10-13,,
6:03.0,,,10-13,,Turnover by S. Curry (bad pass)
5:51.0,Turnover by D. Lee (lost ball; steal by D. Cousins),,10-13,,
5:50.0,Personal foul by Z. Pachulia,,10-13,,
5:50.0,,,10-13,,W. Cauley-Stein enters the game for Q. Acy
5:50.0,D. Harris enters the game for J. Barea,,10-13,,
5:37.0,,,10-15,2,W. Cauley-Stein makes 2-pt shot from 4 ft (assist by R. Rondo)
5:16.0,R. Felton misses 2-pt shot from 12 ft,,10-15,,
5:15.0,,,10-15,,Defensive rebound by W. Cauley-Stein
4:57.0,,,10-17,2,W. Cauley-Stein makes 2-pt shot from 6 ft
4:53.0,Dallas full timeout,,10-17,,
4:46.0,Shooting foul by W. Cauley-Stein (drawn by D. Harris),,10-17,,
4:46.0,D. Harris misses free throw 1 of 2,,10-17,,
4:46.0,Offensive rebound by Team,,10-17,,
4:46.0,D. Harris makes free throw 2 of 2,1,11-17,,
4:22.0,,,11-17,,S. Curry misses 3-pt shot from 23 ft
