time,Oklahoma City,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Bogut (A. Roberson gains possession),,,,Jump ball: S. Adams vs. A. Bogut (A. Roberson gains possession)
11:45.0,S. Adams misses 2-pt shot from 2 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by Team
11:25.0,,,0-2,2,K. Thompson makes 2-pt shot from 5 ft (assist by A. Bogut)
11:11.0,A. Roberson makes 2-pt shot from 1 ft (assist by K. Durant),2,2-2,,
10:57.0,,,2-2,,S. Curry misses 2-pt shot from 15 ft
10:57.0,Defensive rebound by S. Adams,,2-2,,
10:42.0,S. Ibaka misses 3-pt shot from 25 ft,,2-2,,
10:42.0,,,2-2,,Defensive rebound by D. Green
10:38.0,,,2-2,,Shooting foul by A. Roberson (drawn by D. Green)
10:38.0,,,2-2,,D. Green misses free throw 1 of 2
10:38.0,,,2-2,,Offensive rebound by Team
10:38.0,,,2-3,1,D. Green makes free throw 2 of 2
10:15.0,K. Durant misses 2-pt shot from 13 ft,,2-3,,
10:14.0,Offensive rebound by S. Ibaka,,2-3,,
10:12.0,S. Ibaka makes 2-pt shot from 7 ft,2,4-3,,
10:01.0,,,4-5,2,K. Thompson makes 2-pt shot from 19 ft (assist by S. Curry)
9:49.0,K. Durant makes 2-pt shot from 17 ft (assist by R. Westbrook),2,6-5,,
9:35.0,,,6-5,,S. Curry misses 3-pt shot from 25 ft
9:35.0,Defensive rebound by S. Adams,,6-5,,
9:22.0,Turnover by R. Westbrook (lost ball; steal by S. Curry),,6-5,,
9:16.0,Personal foul by K. Durant,,6-5,,
9:16.0,,,6-6,1,S. Curry makes free throw 1 of 2
9:16.0,,,6-7,1,S. Curry makes free throw 2 of 2
8:59.0,S. Adams makes 2-pt shot from 9 ft (assist by R. Westbrook),2,8-7,,
8:51.0,,,8-9,2,H. Barnes makes 2-pt shot from 17 ft (assist by D. Green)
8:38.0,K. Durant misses 2-pt shot from 19 ft,,8-9,,
8:37.0,,,8-9,,Defensive rebound by A. Bogut
8:27.0,,,8-9,,D. Green misses 2-pt shot from 7 ft
8:26.0,Defensive rebound by K. Durant,,8-9,,
8:16.0,R. Westbrook misses 2-pt shot from 16 ft,,8-9,,
8:16.0,,,8-9,,Defensive rebound by A. Bogut
7:59.0,,,8-9,,K. Thompson misses 2-pt shot from 20 ft
7:58.0,Defensive rebound by A. Roberson,,8-9,,
7:49.0,R. Westbrook misses 2-pt shot from 4 ft (block by A. Bogut),,8-9,,
7:48.0,,,8-9,,Defensive rebound by A. Bogut
7:43.0,,,8-9,,K. Thompson misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by S. Ibaka,,8-9,,
7:31.0,K. Durant misses 3-pt shot from 27 ft,,8-9,,
