time,Minnesota,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. K. Towns (D. Williams gains possession),,,,Jump ball: Z. Pachulia vs. K. Towns (D. Williams gains possession)
12:00.0,,,0-0,,Violation by Team (delay of game)
11:45.0,,,0-2,2,C. Villanueva makes 2-pt shot from 18 ft (assist by Z. Pachulia)
11:25.0,N. Pekovic makes 2-pt shot from 8 ft (assist by R. Rubio),2,2-2,,
11:10.0,,,2-2,,W. Matthews misses 2-pt shot from 20 ft
11:09.0,Defensive rebound by N. Pekovic,,2-2,,
10:50.0,N. Pekovic misses 2-pt shot from 3 ft,,2-2,,
10:50.0,,,2-2,,Defensive rebound by C. Parsons
10:39.0,,,2-4,2,D. Williams makes 2-pt shot from 4 ft
10:22.0,A. Wiggins makes 2-pt shot from 3 ft,2,4-4,,
10:11.0,,,4-4,,D. Williams misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by T. Prince,,4-4,,
10:02.0,N. Pekovic makes 2-pt shot from 4 ft (assist by R. Rubio),2,6-4,,
9:45.0,,,6-4,,C. Villanueva misses 2-pt shot from 16 ft
9:44.0,Defensive rebound by T. Prince,,6-4,,
9:26.0,R. Rubio misses 3-pt shot from 23 ft,,6-4,,
9:25.0,,,6-4,,Defensive rebound by C. Villanueva
9:10.0,,,6-6,2,C. Parsons makes 2-pt shot from 9 ft
9:10.0,,,6-6,,Shooting foul by A. Wiggins (drawn by C. Parsons)
9:10.0,,,6-6,,C. Parsons misses free throw 1 of 1
9:08.0,Defensive rebound by K. Towns,,6-6,,
9:00.0,A. Wiggins makes 3-pt shot from 23 ft (assist by K. Towns),3,9-6,,
8:38.0,,,9-6,,C. Villanueva misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by T. Prince,,9-6,,
8:26.0,K. Towns makes 2-pt shot from 16 ft (assist by R. Rubio),2,11-6,,
8:05.0,,,11-6,,C. Parsons misses 2-pt shot from 3 ft
8:04.0,,,11-6,,Offensive rebound by Z. Pachulia
8:03.0,,,11-8,2,Z. Pachulia makes 2-pt shot from 1 ft
7:41.0,Turnover by N. Pekovic (lost ball; steal by Z. Pachulia),,11-8,,
7:31.0,,,11-10,2,Z. Pachulia makes 2-pt shot from 4 ft (assist by D. Williams)
7:21.0,Minnesota full timeout,,11-10,,
7:21.0,Violation by Team (delay of game),,11-10,,
7:15.0,K. Towns misses 2-pt shot from 9 ft,,11-10,,
7:14.0,,,11-10,,Defensive rebound by C. Parsons
7:00.0,,,11-12,2,D. Williams makes 2-pt shot from 13 ft
6:44.0,A. Wiggins misses 2-pt shot from 17 ft,,11-12,,
6:43.0,,,11-12,,Defensive rebound by C. Parsons
6:19.0,,,11-12,,Z. Pachulia misses 2-pt shot from 12 ft
6:18.0,Defensive rebound by K. Towns,,11-12,,
6:09.0,Turnover by K. Towns (bad pass; steal by C. Villanueva),,11-12,,
6:06.0,,,11-12,,Shooting foul by T. Prince (drawn by C. Villanueva)
6:06.0,,,11-13,1,C. Villanueva makes free throw 1 of 2
6:06.0,N. Bjelica enters the game for N. Pekovic,,11-13,,
6:06.0,,,11-14,1,C. Villanueva makes free throw 2 of 2
5:46.0,T. Prince misses 2-pt shot from 4 ft,,11-14,,
5:45.0,Offensive rebound by K. Towns,,11-14,,
5:45.0,K. Towns makes 2-pt shot at rim,2,13-14,,
5:36.0,,,13-16,2,C. Villanueva makes 2-pt shot from 1 ft (assist by C. Parsons)
5:19.0,A. Wiggins makes 2-pt shot from 15 ft,2,15-16,,
5:09.0,Shooting block foul by K. Towns (drawn by C. Parsons),,15-16,,
5:09.0,,,15-16,,C. Parsons misses free throw 1 of 2
5:09.0,,,15-16,,Offensive rebound by Team
5:09.0,,,15-16,,D. Harris enters the game for W. Matthews
5:09.0,,,15-17,1,C. Parsons makes free throw 2 of 2
4:55.0,K. Towns makes 2-pt shot from 5 ft (assist by R. Rubio),2,17-17,,
4:55.0,Shooting foul by Z. Pachulia (drawn by K. Towns),,17-17,,
4:55.0,,,17-17,,W. Matthews enters the game for C. Parsons
4:55.0,,,17-17,,D. Powell enters the game for Z. Pachulia
4:55.0,K. Towns makes free throw 1 of 1,1,18-17,,
4:35.0,,,18-17,,D. Harris misses 3-pt shot from 22 ft
4:34.0,Defensive rebound by K. Towns,,18-17,,
4:26.0,K. Towns makes 2-pt shot from 22 ft (assist by R. Rubio),2,20-17,,
4:10.0,,,20-19,2,D. Williams makes 2-pt shot from 15 ft
3:42.0,K. Towns misses 2-pt shot from 8 ft,,20-19,,
3:41.0,,,20-19,,Defensive rebound by D. Williams
3:33.0,,,20-19,,W. Matthews misses 3-pt shot from 24 ft
3:32.0,Defensive rebound by K. Towns,,20-19,,
3:29.0,Shooting foul by W. Matthews (drawn by A. Wiggins),,20-19,,
3:29.0,,,20-19,,Dallas full timeout
3:29.0,S. Muhammad enters the game for T. Prince,,20-19,,
3:29.0,G. Dieng enters the game for K. Towns,,20-19,,
3:29.0,A. Wiggins makes free throw 1 of 2,1,21-19,,
3:29.0,A. Wiggins makes free throw 2 of 2,1,22-19,,
3:21.0,,,22-19,,Offensive foul by W. Matthews
3:21.0,,,22-19,,Turnover by W. Matthews (offensive foul)
3:21.0,,,22-19,,J. Barea enters the game for W. Matthews
3:14.0,Offensive foul by G. Dieng,,22-19,,
3:14.0,Turnover by G. Dieng (offensive foul),,22-19,,
3:04.0,,,22-19,,D. Powell misses 2-pt shot from 17 ft
3:03.0,Defensive rebound by A. Wiggins,,22-19,,
2:51.0,N. Bjelica makes 3-pt shot from 25 ft (assist by R. Rubio),3,25-19,,
2:30.0,,,25-19,,C. Villanueva misses 3-pt shot from 23 ft
2:29.0,,,25-19,,Offensive rebound by D. Powell
2:21.0,,,25-19,,D. Williams misses 3-pt shot from 24 ft
2:20.0,,,25-19,,Offensive rebound by C. Villanueva
2:17.0,,,25-19,,C. Villanueva misses 2-pt shot from 2 ft
2:15.0,Defensive rebound by G. Dieng,,25-19,,
2:05.0,N. Bjelica makes 2-pt shot from 9 ft (assist by R. Rubio),2,27-19,,
2:04.0,,,27-19,,Dallas full timeout
2:04.0,,,27-19,,J. McGee enters the game for C. Villanueva
2:04.0,,,27-19,,C. Parsons enters the game for D. Williams
2:04.0,,,27-19,,J. Anderson enters the game for D. Powell
2:04.0,Z. LaVine enters the game for R. Rubio,,27-19,,
1:53.0,,,27-21,2,D. Harris makes 2-pt shot from 1 ft
1:27.0,Turnover by S. Muhammad (lost ball; steal by C. Parsons),,27-21,,
1:22.0,,,27-21,,D. Harris misses 2-pt shot from 1 ft
1:21.0,Defensive rebound by G. Dieng,,27-21,,
1:15.0,,,27-21,,Violation by J. McGee (def goaltending)
1:15.0,S. Muhammad makes 2-pt shot from 1 ft (assist by A. Wiggins),2,29-21,,
1:00.0,,,29-23,2,C. Parsons makes 2-pt shot from 2 ft
0:44.0,A. Wiggins makes 2-pt shot from 13 ft,2,31-23,,
0:25.0,,,31-23,,J. Anderson misses 2-pt shot from 6 ft
0:24.0,Defensive rebound by G. Dieng,,31-23,,
0:01.0,A. Wiggins makes 2-pt shot from 19 ft (assist by Z. LaVine),2,33-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,33-23,,Personal block foul by D. Harris (drawn by K. Martin)
11:26.0,G. Dieng misses 2-pt shot from 10 ft,,33-23,,
11:25.0,,,33-23,,Defensive rebound by J. McGee
11:05.0,,,33-23,,C. Parsons misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by S. Muhammad,,33-23,,
10:56.0,S. Muhammad misses 2-pt shot from 18 ft,,33-23,,
10:55.0,Offensive rebound by Team,,33-23,,
10:43.0,G. Dieng misses 2-pt shot from 6 ft (block by J. McGee),,33-23,,
10:42.0,,,33-23,,Defensive rebound by C. Parsons
10:33.0,,,33-25,2,C. Parsons makes 2-pt shot at rim (assist by J. Barea)
10:12.0,Turnover by N. Bjelica (lost ball),,33-25,,
9:54.0,,,33-25,,J. Barea misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by G. Dieng,,33-25,,
9:34.0,Z. LaVine misses 3-pt shot from 24 ft,,33-25,,
9:33.0,,,33-25,,Defensive rebound by J. McGee
9:24.0,,,33-27,2,J. McGee makes 2-pt shot at rim (assist by J. Barea)
8:59.0,S. Muhammad makes 3-pt shot from 24 ft (assist by Z. LaVine),3,36-27,,
8:38.0,,,36-29,2,C. Parsons makes 2-pt shot at rim
8:22.0,K. Martin misses 2-pt shot from 14 ft,,36-29,,
8:21.0,,,36-29,,Defensive rebound by J. McGee
8:10.0,,,36-29,,J. McGee misses 2-pt shot from 4 ft
8:08.0,,,36-29,,Offensive rebound by J. McGee
8:08.0,,,36-29,,J. McGee misses 2-pt shot from 1 ft
8:07.0,,,36-29,,Offensive rebound by J. McGee
8:07.0,,,36-31,2,J. McGee makes 2-pt shot from 1 ft
7:53.0,Z. LaVine makes 2-pt shot from 1 ft,2,38-31,,
7:50.0,Technical foul by Team,,38-31,,
7:50.0,Official timeout,,38-31,,
7:50.0,,,38-32,1,D. Harris makes technical free throw
7:37.0,,,38-32,,Turnover by D. Harris (bad pass)
7:25.0,Turnover by Z. LaVine (lost ball; steal by D. Harris),,38-32,,
7:22.0,,,38-32,,Shooting foul by K. Martin (drawn by J. Anderson)
7:22.0,,,38-33,1,J. Anderson makes free throw 1 of 2
7:22.0,,,38-33,,D. Williams enters the game for D. Harris
7:22.0,,,38-34,1,J. Anderson makes free throw 2 of 2
7:03.0,S. Muhammad misses 2-pt shot from 7 ft,,38-34,,
7:02.0,Offensive rebound by S. Muhammad,,38-34,,
7:00.0,S. Muhammad makes 2-pt shot from 4 ft,2,40-34,,
