time,Toronto,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. J. Valanciunas (G. Hill gains possession),,,,Jump ball: I. Mahinmi vs. J. Valanciunas (G. Hill gains possession)
11:45.0,,,0-3,3,G. Hill makes 3-pt shot from 23 ft (assist by I. Mahinmi)
11:25.0,Turnover by L. Scola (lost ball),,0-3,,
11:09.0,,,0-5,2,M. Turner makes 2-pt shot from 19 ft
11:01.0,,,0-5,,Personal foul by M. Ellis
10:54.0,D. DeRozan misses 2-pt shot from 20 ft,,0-5,,
10:53.0,,,0-5,,Defensive rebound by G. Hill
10:38.0,,,0-5,,M. Turner misses 2-pt shot from 19 ft
10:37.0,Defensive rebound by D. Carroll,,0-5,,
10:29.0,K. Lowry misses 2-pt shot from 19 ft,,0-5,,
10:28.0,,,0-5,,Defensive rebound by M. Ellis
10:17.0,,,0-7,2,M. Ellis makes 2-pt shot from 20 ft (assist by I. Mahinmi)
9:53.0,J. Valanciunas makes 2-pt shot from 11 ft,2,2-7,,
9:42.0,,,2-9,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by M. Ellis)
9:31.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan),2,4-9,,
9:23.0,,,4-11,2,M. Ellis makes 2-pt shot at rim
8:57.0,,,4-11,,Personal foul by I. Mahinmi
8:51.0,D. Carroll makes 3-pt shot from 23 ft (assist by D. DeRozan),3,7-11,,
8:31.0,,,7-11,,P. George misses 2-pt shot from 18 ft
8:30.0,Defensive rebound by D. DeRozan,,7-11,,
8:24.0,L. Scola misses 2-pt shot at rim (block by M. Turner),,7-11,,
8:24.0,Offensive rebound by Team,,7-11,,
8:21.0,D. DeRozan misses 2-pt shot from 17 ft,,7-11,,
8:20.0,,,7-11,,Defensive rebound by M. Turner
8:12.0,,,7-11,,M. Ellis misses 2-pt shot from 19 ft
8:11.0,Defensive rebound by D. DeRozan,,7-11,,
7:53.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry),2,9-11,,
7:49.0,Personal foul by K. Lowry,,9-11,,
7:27.0,,,9-11,,M. Turner misses 2-pt shot from 10 ft
7:27.0,Defensive rebound by J. Valanciunas,,9-11,,
7:14.0,D. Carroll misses 3-pt shot from 25 ft,,9-11,,
7:14.0,,,9-11,,Defensive rebound by I. Mahinmi
6:56.0,,,9-13,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George)
6:37.0,Turnover by D. DeRozan (lost ball; steal by M. Ellis),,9-13,,
6:33.0,,,9-15,2,P. George makes 2-pt shot at rim (assist by M. Ellis)
6:23.0,Toronto full timeout,,9-15,,
6:08.0,K. Lowry makes 2-pt shot from 20 ft,2,11-15,,
5:48.0,,,11-15,,Turnover by I. Mahinmi (lost ball; steal by D. DeRozan)
5:38.0,J. Valanciunas misses 2-pt shot from 12 ft,,11-15,,
5:38.0,,,11-15,,Defensive rebound by P. George
5:31.0,,,11-17,2,P. George makes 2-pt shot from 2 ft
5:11.0,D. DeRozan makes 2-pt shot from 1 ft,2,13-17,,
4:59.0,,,13-17,,I. Mahinmi misses 2-pt shot from 1 ft
4:59.0,Defensive rebound by L. Scola,,13-17,,
4:53.0,K. Lowry misses 3-pt shot from 26 ft,,13-17,,
4:52.0,,,13-17,,Defensive rebound by G. Hill
4:30.0,,,13-19,2,I. Mahinmi makes 2-pt shot at rim (assist by M. Turner)
4:10.0,Turnover by K. Lowry (lost ball; steal by I. Mahinmi),,13-19,,
4:01.0,,,13-19,,P. George misses 3-pt shot from 27 ft
3:59.0,,,13-19,,Offensive rebound by I. Mahinmi
3:59.0,,,13-19,,I. Mahinmi misses 2-pt shot from 1 ft
3:58.0,Defensive rebound by D. Carroll,,13-19,,
3:53.0,Offensive charge foul by K. Lowry,,13-19,,
3:53.0,Turnover by K. Lowry (offensive foul),,13-19,,
3:53.0,C. Joseph enters the game for K. Lowry,,13-19,,
3:53.0,P. Patterson enters the game for L. Scola,,13-19,,
3:53.0,,,13-19,,S. Hill enters the game for I. Mahinmi
3:42.0,,,13-19,,P. George misses 2-pt shot from 19 ft
3:39.0,Defensive rebound by D. Carroll,,13-19,,
3:22.0,Shooting foul by S. Hill (drawn by P. Patterson),,13-19,,
3:22.0,P. Patterson misses free throw 1 of 2,,13-19,,
3:22.0,Offensive rebound by Team,,13-19,,
3:22.0,P. Patterson makes free throw 2 of 2,1,14-19,,
3:16.0,,,14-19,,Indiana full timeout
3:06.0,,,14-22,3,P. George makes 3-pt shot from 27 ft (assist by G. Hill)
2:45.0,C. Joseph misses 2-pt shot from 2 ft,,14-22,,
2:44.0,,,14-22,,Defensive rebound by M. Ellis
2:39.0,,,14-22,,Turnover by M. Ellis (lost ball; steal by C. Joseph)
2:31.0,D. Carroll misses 3-pt shot from 25 ft,,14-22,,
2:30.0,,,14-22,,Defensive rebound by P. George
2:19.0,,,14-22,,M. Turner misses 2-pt shot from 7 ft
2:18.0,,,14-22,,Offensive rebound by S. Hill
2:15.0,,,14-25,3,G. Hill makes 3-pt shot from 26 ft (assist by S. Hill)
1:55.0,Turnover by D. DeRozan (lost ball; steal by S. Hill),,14-25,,
1:48.0,,,14-28,3,M. Ellis makes 3-pt shot from 26 ft (assist by S. Hill)
1:47.0,Toronto full timeout,,14-28,,
1:47.0,B. Biyombo enters the game for D. Carroll,,14-28,,
1:47.0,T. Ross enters the game for J. Valanciunas,,14-28,,
1:34.0,,,14-28,,Personal foul by G. Hill
1:20.0,D. DeRozan misses 2-pt shot from 18 ft,,14-28,,
1:19.0,,,14-28,,Defensive rebound by P. George
1:12.0,Personal foul by D. DeRozan,,14-28,,
1:12.0,,,14-28,,T. Lawson enters the game for M. Ellis
1:12.0,,,14-28,,R. Stuckey enters the game for G. Hill
1:04.0,Violation by T. Ross (kicked ball),,14-28,,
0:53.0,,,14-28,,T. Lawson misses 2-pt shot from 20 ft
0:52.0,Defensive rebound by B. Biyombo,,14-28,,
0:37.0,,,14-28,,Personal foul by P. George
0:37.0,B. Biyombo makes free throw 1 of 2,1,15-28,,
0:37.0,,,15-28,,I. Mahinmi enters the game for M. Turner
0:37.0,B. Biyombo makes free throw 2 of 2,1,16-28,,
0:16.0,,,16-28,,Offensive foul by S. Hill
0:16.0,,,16-28,,Turnover by S. Hill (offensive foul)
0:00.0,D. DeRozan misses 2-pt shot from 14 ft,,16-28,,
0:00.0,Offensive rebound by Team,,16-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Shooting foul by C. Miles (drawn by B. Biyombo),,16-28,,
11:50.0,B. Biyombo misses free throw 1 of 2,,16-28,,
11:50.0,Offensive rebound by Team,,16-28,,
11:50.0,B. Biyombo makes free throw 2 of 2,1,17-28,,
11:35.0,,,17-30,2,R. Stuckey makes 2-pt shot from 8 ft (assist by T. Lawson)
11:27.0,Turnover by C. Joseph (lost ball; steal by I. Mahinmi),,17-30,,
11:24.0,,,17-32,2,T. Lawson makes 2-pt shot at rim
11:04.0,P. Patterson misses 3-pt shot from 24 ft,,17-32,,
11:03.0,Offensive rebound by B. Biyombo,,17-32,,
11:01.0,Turnover by B. Biyombo (traveling),,17-32,,
10:46.0,,,17-32,,Shooting foul by P. Patterson (drawn by S. Hill)
