time,Washington,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. N. Hilario (J. Wall gains possession),,,,Jump ball: P. Gasol vs. N. Hilario (J. Wall gains possession)
11:41.0,N. Hilario makes 2-pt shot from 11 ft,2,2-0,,
11:29.0,,,2-0,,Turnover by J. Butler (lost ball; steal by N. Hilario)
11:15.0,N. Hilario misses 2-pt shot from 19 ft,,2-0,,
11:14.0,,,2-0,,Defensive rebound by P. Gasol
11:05.0,,,2-0,,Turnover by P. Gasol (bad pass)
10:50.0,J. Wall misses 2-pt shot from 19 ft,,2-0,,
10:49.0,,,2-0,,Defensive rebound by N. Mirotic
10:42.0,Personal foul by J. Dudley (drawn by T. Gibson),,2-0,,
10:27.0,,,2-0,,N. Mirotic misses 2-pt shot from 9 ft
10:27.0,Defensive rebound by Team,,2-0,,
10:21.0,O. Porter makes 2-pt shot at rim (assist by N. Hilario),2,4-0,,
10:11.0,,,4-2,2,D. Rose makes 2-pt shot from 1 ft
9:52.0,G. Temple makes 2-pt shot from 21 ft (assist by J. Wall),2,6-2,,
9:32.0,,,6-2,,J. Butler misses 2-pt shot from 10 ft (block by G. Temple)
9:30.0,Defensive rebound by J. Wall,,6-2,,
9:28.0,G. Temple makes 2-pt shot from 1 ft (assist by J. Wall),2,8-2,,
9:15.0,,,8-2,,P. Gasol misses 2-pt shot from 5 ft
9:15.0,Defensive rebound by Team,,8-2,,
9:15.0,,,8-2,,Loose ball foul by T. Gibson (drawn by J. Dudley)
8:55.0,N. Hilario misses 2-pt shot from 17 ft,,8-2,,
8:54.0,,,8-2,,Defensive rebound by N. Mirotic
8:33.0,,,8-2,,T. Gibson misses 2-pt shot from 12 ft
8:32.0,Defensive rebound by J. Wall,,8-2,,
8:27.0,J. Wall misses 2-pt shot from 20 ft,,8-2,,
8:26.0,,,8-2,,Defensive rebound by T. Gibson
8:17.0,,,8-2,,Shooting foul by G. Temple (drawn by D. Rose)
8:17.0,,,8-3,1,D. Rose makes free throw 1 of 2
8:17.0,,,8-4,1,D. Rose makes free throw 2 of 2
8:08.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,10-4,,
7:50.0,,,10-7,3,D. Rose makes 3-pt shot from 24 ft (assist by J. Butler)
7:41.0,J. Wall misses 2-pt shot from 10 ft,,10-7,,
7:40.0,,,10-7,,Defensive rebound by P. Gasol
7:32.0,,,10-9,2,T. Gibson makes 2-pt shot at rim (assist by J. Butler)
7:18.0,D. Gooden enters the game for N. Hilario,,10-9,,
7:03.0,O. Porter misses 3-pt shot from 23 ft,,10-9,,
7:01.0,Offensive rebound by D. Gooden,,10-9,,
6:57.0,J. Dudley makes 2-pt shot from 22 ft (assist by D. Gooden),2,12-9,,
6:48.0,,,12-9,,Turnover by D. Rose (lost ball; steal by J. Wall)
6:46.0,J. Wall makes 2-pt shot at rim (assist by O. Porter),2,14-9,,
6:46.0,,,14-9,,Chicago full timeout
6:36.0,,,14-9,,D. Rose misses 2-pt shot from 20 ft
6:35.0,,,14-9,,Offensive rebound by Team
6:32.0,,,14-9,,N. Mirotic misses 3-pt shot from 22 ft
6:31.0,Defensive rebound by D. Gooden,,14-9,,
6:16.0,G. Temple makes 3-pt shot from 22 ft (assist by O. Porter),3,17-9,,
6:04.0,,,17-11,2,P. Gasol makes 2-pt shot from 3 ft (assist by J. Butler)
5:51.0,J. Wall misses 2-pt shot from 9 ft (block by D. Rose),,17-11,,
5:50.0,,,17-11,,Defensive rebound by P. Gasol
5:39.0,,,17-11,,J. Butler misses 2-pt shot from 19 ft
5:38.0,,,17-11,,Offensive rebound by J. Butler
5:36.0,,,17-13,2,P. Gasol makes 2-pt shot from 2 ft (assist by J. Butler)
5:30.0,Offensive charge foul by G. Temple,,17-13,,
5:30.0,Turnover by G. Temple (offensive foul),,17-13,,
5:30.0,K. Oubre enters the game for G. Temple,,17-13,,
5:14.0,Personal foul by D. Gooden (drawn by P. Gasol),,17-13,,
5:03.0,,,17-13,,Turnover by T. Gibson (bad pass; steal by J. Wall)
4:52.0,K. Oubre misses 3-pt shot from 23 ft,,17-13,,
4:50.0,Offensive rebound by J. Dudley,,17-13,,
4:44.0,O. Porter misses 3-pt shot from 25 ft,,17-13,,
4:43.0,,,17-13,,Defensive rebound by J. Butler
4:33.0,,,17-13,,Shooting foul by J. Dudley (drawn by D. Rose)
4:33.0,,,17-14,1,D. Rose makes free throw 1 of 2
4:33.0,,,17-14,,T. Snell enters the game for N. Mirotic
4:33.0,D. Blair enters the game for J. Dudley,,17-14,,
4:33.0,,,17-14,,J. Noah enters the game for T. Gibson
4:33.0,,,17-15,1,D. Rose makes free throw 2 of 2
4:19.0,J. Wall makes 3-pt shot from 24 ft (assist by D. Blair),3,20-15,,
4:05.0,,,20-15,,T. Snell misses 3-pt shot from 23 ft
4:05.0,Defensive rebound by Team,,20-15,,
3:53.0,J. Wall makes 2-pt shot from 1 ft,2,22-15,,
3:53.0,Shooting foul by T. Snell (drawn by J. Wall),,22-15,,
3:53.0,J. Wall makes free throw 1 of 1,1,23-15,,
3:29.0,,,23-15,,Turnover by Team (shot clock)
3:13.0,D. Gooden misses 3-pt shot from 25 ft,,23-15,,
3:12.0,,,23-15,,Defensive rebound by J. Noah
3:01.0,,,23-17,2,T. Snell makes 2-pt shot at rim (assist by J. Noah)
2:48.0,D. Blair misses 2-pt shot from 7 ft,,23-17,,
2:47.0,,,23-17,,Defensive rebound by T. Snell
2:36.0,,,23-19,2,P. Gasol makes 2-pt shot from 18 ft (assist by J. Butler)
2:23.0,J. Wall misses 2-pt shot from 21 ft,,23-19,,
2:22.0,,,23-19,,Defensive rebound by J. Noah
2:06.0,,,23-19,,P. Gasol misses 2-pt shot from 4 ft (block by K. Oubre)
2:03.0,Defensive rebound by D. Gooden,,23-19,,
1:57.0,D. Blair makes 2-pt shot from 1 ft (assist by J. Wall),2,25-19,,
1:43.0,Washington full timeout,,25-19,,
1:43.0,,,25-19,,A. Brooks enters the game for D. Rose
1:43.0,R. Sessions enters the game for O. Porter,,25-19,,
1:43.0,G. Neal enters the game for J. Wall,,25-19,,
1:40.0,,,25-19,,J. Butler misses 2-pt shot from 21 ft
1:38.0,Defensive rebound by R. Sessions,,25-19,,
1:25.0,,,25-19,,Personal foul by J. Noah (drawn by K. Oubre)
1:20.0,Shooting foul by A. Brooks (drawn by R. Sessions),,25-19,,
1:20.0,R. Sessions misses free throw 1 of 2,,25-19,,
1:20.0,Offensive rebound by Team,,25-19,,
1:20.0,R. Sessions makes free throw 2 of 2,1,26-19,,
1:08.0,Violation by D. Gooden (def goaltending),,26-19,,
1:08.0,,,26-21,2,P. Gasol makes 2-pt shot from 1 ft (assist by A. Brooks)
0:47.0,G. Neal misses 2-pt shot from 19 ft,,26-21,,
0:46.0,,,26-21,,Defensive rebound by J. Noah
0:38.0,,,26-21,,Shooting foul by D. Blair (drawn by T. Snell)
0:38.0,,,26-22,1,T. Snell makes free throw 1 of 2
0:38.0,,,26-22,,B. Portis enters the game for P. Gasol
0:38.0,,,26-23,1,T. Snell makes free throw 2 of 2
0:28.0,D. Gooden misses 3-pt shot from 23 ft,,26-23,,
0:26.0,,,26-23,,Defensive rebound by B. Portis
0:21.0,,,26-25,2,J. Butler makes 2-pt shot from 9 ft (assist by A. Brooks)
0:03.0,D. Blair makes 2-pt shot from 13 ft (assist by R. Sessions),2,28-25,,
0:00.0,,,28-25,,A. Brooks misses 3-pt shot from 39 ft
0:00.0,,,28-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,28-28,3,A. Brooks makes 3-pt shot from 25 ft
11:18.0,K. Oubre misses 2-pt shot at rim,,28-28,,
11:17.0,,,28-28,,Defensive rebound by D. McDermott
11:10.0,,,28-30,2,A. Brooks makes 2-pt shot from 1 ft
10:58.0,R. Sessions makes 2-pt shot from 3 ft,2,30-30,,
10:39.0,,,30-30,,T. Snell misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by R. Sessions,,30-30,,
10:29.0,G. Neal misses 2-pt shot from 5 ft,,30-30,,
10:28.0,Offensive rebound by D. Gooden,,30-30,,
10:28.0,D. Gooden makes 2-pt shot from 2 ft,2,32-30,,
10:13.0,,,32-33,3,D. McDermott makes 3-pt shot from 25 ft (assist by J. Noah)
10:01.0,G. Neal makes 3-pt shot from 26 ft,3,35-33,,
10:01.0,Shooting foul by D. McDermott (drawn by G. Neal),,35-33,,
10:01.0,G. Neal makes free throw 1 of 1,1,36-33,,
9:45.0,,,36-33,,D. McDermott misses 3-pt shot from 22 ft
9:44.0,Defensive rebound by K. Oubre,,36-33,,
