time,Golden State,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. R. Hibbert (D. Green gains possession),,,,Jump ball: A. Bogut vs. R. Hibbert (D. Green gains possession)
11:45.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,3-0,,
11:22.0,,,3-0,,L. Nance misses 2-pt shot from 11 ft
11:19.0,Defensive rebound by B. Rush,,3-0,,
11:11.0,B. Rush makes 3-pt shot from 24 ft (assist by D. Green),3,6-0,,
10:55.0,,,6-0,,R. Hibbert misses 2-pt shot from 4 ft
10:54.0,Defensive rebound by D. Green,,6-0,,
10:50.0,K. Thompson misses 3-pt shot from 24 ft,,6-0,,
10:50.0,,,6-0,,Defensive rebound by Team
10:41.0,,,6-0,,Turnover by J. Clarkson (bad pass; steal by S. Curry)
10:36.0,S. Curry misses 3-pt shot from 24 ft,,6-0,,
10:34.0,,,6-0,,Defensive rebound by J. Clarkson
10:26.0,,,6-0,,J. Clarkson misses 2-pt shot from 2 ft (block by K. Thompson)
10:24.0,,,6-0,,Offensive rebound by J. Clarkson
10:22.0,,,6-2,2,J. Clarkson makes 2-pt shot from 2 ft
10:13.0,,,6-2,,Personal foul by R. Hibbert (drawn by S. Curry)
10:06.0,D. Green misses 3-pt shot from 23 ft,,6-2,,
10:05.0,Offensive rebound by A. Bogut,,6-2,,
9:58.0,B. Rush makes 2-pt shot from 1 ft (assist by K. Thompson),2,8-2,,
9:42.0,,,8-2,,R. Hibbert misses 2-pt shot from 16 ft
9:42.0,Defensive rebound by A. Bogut,,8-2,,
9:38.0,Turnover by D. Green (dbl dribble),,8-2,,
9:26.0,,,8-2,,Shooting foul by S. Curry (drawn by L. Williams)
9:26.0,,,8-3,1,L. Williams makes free throw 1 of 3
9:26.0,,,8-4,1,L. Williams makes free throw 2 of 3
9:26.0,,,8-5,1,L. Williams makes free throw 3 of 3
9:11.0,K. Thompson makes 2-pt shot from 1 ft,2,10-5,,
9:06.0,,,10-5,,Shooting foul by K. Thompson (drawn by L. Williams)
9:06.0,,,10-6,1,L. Williams makes free throw 1 of 2
9:06.0,,,10-7,1,L. Williams makes free throw 2 of 2
8:51.0,K. Thompson makes 2-pt shot from 16 ft (assist by B. Rush),2,12-7,,
8:34.0,,,12-9,2,L. Nance makes 2-pt shot from 2 ft
8:34.0,,,12-9,,Shooting foul by A. Bogut (drawn by L. Nance)
8:34.0,,,12-10,1,L. Nance makes free throw 1 of 1
8:25.0,D. Green misses 2-pt shot from 2 ft (block by A. Brown),,12-10,,
8:23.0,,,12-10,,Defensive rebound by A. Brown
8:19.0,,,12-12,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
8:07.0,S. Curry misses 2-pt shot from 2 ft,,12-12,,
8:04.0,,,12-12,,Defensive rebound by R. Hibbert
8:00.0,,,12-12,,A. Brown misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by B. Rush,,12-12,,
7:51.0,,,12-12,,Violation by J. Clarkson (kicked ball)
7:43.0,K. Thompson makes 2-pt shot from 17 ft (assist by S. Curry),2,14-12,,
7:35.0,,,14-12,,Shooting foul by A. Bogut (drawn by L. Williams)
7:35.0,,,14-13,1,L. Williams makes free throw 1 of 2
7:35.0,,,14-14,1,L. Williams makes free throw 2 of 2
7:14.0,B. Rush makes 3-pt shot from 25 ft (assist by A. Bogut),3,17-14,,
6:53.0,,,17-14,,R. Hibbert misses 2-pt shot from 9 ft
6:53.0,Defensive rebound by D. Green,,17-14,,
6:41.0,K. Thompson misses 3-pt shot from 27 ft,,17-14,,
6:41.0,,,17-14,,Defensive rebound by J. Clarkson
6:33.0,,,17-14,,Shooting foul by S. Curry (drawn by J. Clarkson)
6:33.0,,,17-15,1,J. Clarkson makes free throw 1 of 2
6:33.0,Golden State full timeout,,17-15,,
6:33.0,M. Speights enters the game for A. Bogut,,17-15,,
6:33.0,Violation by Team (delay of game),,17-15,,
6:33.0,,,17-15,,Violation by Team (delay of game)
6:33.0,,,17-16,1,J. Clarkson makes free throw 2 of 2
6:15.0,M. Speights misses 2-pt shot from 21 ft,,17-16,,
6:15.0,,,17-16,,Defensive rebound by L. Nance
6:02.0,,,17-16,,L. Williams misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by B. Rush,,17-16,,
5:56.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,20-16,,
5:35.0,,,20-16,,L. Williams misses 2-pt shot from 18 ft
5:35.0,Defensive rebound by D. Green,,20-16,,
5:29.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,23-16,,
5:11.0,,,23-18,2,J. Clarkson makes 2-pt shot from 3 ft
4:57.0,K. Thompson makes 2-pt shot from 19 ft,2,25-18,,
4:45.0,,,25-18,,J. Clarkson misses 2-pt shot from 10 ft
4:45.0,Defensive rebound by D. Green,,25-18,,
4:36.0,K. Thompson misses 2-pt shot from 21 ft,,25-18,,
4:35.0,Offensive rebound by B. Rush,,25-18,,
4:34.0,B. Rush misses 2-pt shot at rim,,25-18,,
4:31.0,,,25-18,,Defensive rebound by L. Nance
4:09.0,,,25-18,,L. Nance misses 2-pt shot from 21 ft
4:09.0,Defensive rebound by M. Speights,,25-18,,
3:59.0,S. Curry makes 3-pt shot from 26 ft (assist by B. Rush),3,28-18,,
3:50.0,,,28-18,,LA Lakers full timeout
3:50.0,,,28-18,,B. Bass enters the game for L. Nance
3:50.0,,,28-18,,J. Randle enters the game for R. Hibbert
3:50.0,,,28-18,,N. Young enters the game for L. Williams
3:50.0,A. Iguodala enters the game for B. Rush,,28-18,,
3:50.0,I. Clark enters the game for S. Curry,,28-18,,
3:41.0,,,28-18,,A. Brown misses 3-pt shot from 28 ft
3:40.0,Defensive rebound by I. Clark,,28-18,,
3:19.0,K. Thompson makes 3-pt shot from 26 ft (assist by I. Clark),3,31-18,,
2:58.0,,,31-18,,N. Young misses 3-pt shot from 26 ft
2:58.0,,,31-18,,Offensive rebound by A. Brown
2:53.0,,,31-20,2,A. Brown makes 2-pt shot from 14 ft
2:43.0,M. Speights makes 2-pt shot from 19 ft (assist by I. Clark),2,33-20,,
2:20.0,,,33-20,,J. Randle misses 2-pt shot from 1 ft
2:19.0,,,33-20,,Offensive rebound by J. Randle
2:18.0,,,33-20,,J. Randle misses 2-pt shot from 2 ft
2:17.0,Defensive rebound by Team,,33-20,,
2:17.0,H. Barnes enters the game for D. Green,,33-20,,
2:09.0,,,33-20,,Personal foul by A. Brown (drawn by K. Thompson)
1:59.0,K. Thompson misses 2-pt shot from 17 ft,,33-20,,
1:58.0,Offensive rebound by H. Barnes,,33-20,,
1:48.0,M. Speights misses 2-pt shot from 14 ft,,33-20,,
1:47.0,,,33-20,,Defensive rebound by J. Randle
1:40.0,,,33-20,,Turnover by J. Clarkson (bad pass; steal by H. Barnes)
1:34.0,K. Thompson misses 3-pt shot from 23 ft,,33-20,,
1:31.0,,,33-20,,Defensive rebound by N. Young
1:20.0,,,33-22,2,J. Clarkson makes 2-pt shot at rim (assist by N. Young)
1:06.0,K. Thompson makes 2-pt shot from 1 ft (assist by M. Speights),2,35-22,,
0:57.0,,,35-22,,Shooting foul by M. Speights (drawn by J. Clarkson)
0:57.0,,,35-23,1,J. Clarkson makes free throw 1 of 2
0:57.0,,,35-24,1,J. Clarkson makes free throw 2 of 2
0:41.0,I. Clark misses 2-pt shot from 12 ft,,35-24,,
0:40.0,,,35-24,,Defensive rebound by B. Bass
0:33.0,Def 3 sec tech foul by M. Speights,,35-24,,
0:33.0,,,35-25,1,N. Young makes technical free throw
0:23.0,,,35-25,,Turnover by N. Young (lost ball; steal by A. Iguodala)
0:21.0,A. Iguodala makes 2-pt shot at rim,2,37-25,,
0:02.0,,,37-25,,J. Randle misses 2-pt shot from 6 ft (block by M. Speights)
0:01.0,,,37-25,,Offensive rebound by B. Bass
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,37-25,,Turnover by J. Randle (bad pass; steal by B. Rush)
11:27.0,M. Speights misses 2-pt shot from 16 ft,,37-25,,
11:26.0,,,37-25,,Defensive rebound by M. World Peace
11:09.0,,,37-27,2,M. Huertas makes 2-pt shot from 6 ft
10:50.0,M. Speights makes 2-pt shot from 1 ft (assist by H. Barnes),2,39-27,,
10:47.0,Violation by Team (delay of game),,39-27,,
10:47.0,Technical foul by Team,,39-27,,
10:47.0,,,39-27,,N. Young misses technical free throw
10:47.0,,,39-27,,Offensive rebound by Team
10:32.0,,,39-27,,N. Young misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by I. Clark,,39-27,,
10:23.0,I. Clark misses 2-pt shot from 2 ft,,39-27,,
10:21.0,Offensive rebound by I. Clark,,39-27,,
10:15.0,,,39-27,,Personal foul by M. World Peace (drawn by H. Barnes)
10:15.0,Technical foul by I. Clark,,39-27,,
10:15.0,,,39-27,,N. Young misses technical free throw
10:15.0,Offensive rebound by Team,,39-27,,
10:08.0,A. Iguodala misses 2-pt shot from 9 ft,,39-27,,
10:08.0,,,39-27,,Defensive rebound by Team
9:56.0,,,39-27,,Turnover by N. Young (bad pass)
9:36.0,H. Barnes makes 2-pt shot from 19 ft (assist by M. Speights),2,41-27,,
9:21.0,,,41-27,,M. Huertas misses 2-pt shot from 8 ft (block by I. Clark)
9:19.0,Defensive rebound by H. Barnes,,41-27,,
9:15.0,I. Clark misses 2-pt shot at rim,,41-27,,
9:12.0,,,41-27,,Defensive rebound by J. Randle
9:07.0,,,41-29,2,B. Bass makes 2-pt shot at rim (assist by J. Randle)
8:52.0,H. Barnes misses 2-pt shot from 20 ft,,41-29,,
8:52.0,,,41-29,,Defensive rebound by N. Young
8:44.0,,,41-29,,N. Young misses 2-pt shot from 20 ft
8:44.0,Defensive rebound by Team,,41-29,,
8:44.0,Official timeout,,41-29,,
8:44.0,,,41-29,,L. Williams enters the game for N. Young
8:44.0,D. Green enters the game for M. Speights,,41-29,,
8:44.0,S. Curry enters the game for I. Clark,,41-29,,
8:44.0,J. Thompson enters the game for H. Barnes,,41-29,,
8:20.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,43-29,,
8:13.0,,,43-29,,B. Bass misses 2-pt shot from 13 ft
8:12.0,,,43-29,,Offensive rebound by M. World Peace
8:12.0,,,43-29,,Shooting foul by J. Thompson (drawn by L. Williams)
8:12.0,,,43-30,1,L. Williams makes free throw 1 of 2
8:12.0,,,43-31,1,L. Williams makes free throw 2 of 2
7:49.0,A. Iguodala makes 2-pt shot from 19 ft,2,45-31,,
