time,Atlanta,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Horford (T. Allen gains possession),,,,Jump ball: M. Gasol vs. A. Horford (T. Allen gains possession)
11:44.0,,,0-2,2,J. Green makes 2-pt shot from 2 ft
11:28.0,A. Horford misses 2-pt shot from 1 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by J. Green
11:13.0,,,0-2,,Turnover by M. Conley (bad pass)
10:59.0,K. Korver misses 3-pt shot from 23 ft,,0-2,,
10:58.0,,,0-2,,Defensive rebound by M. Gasol
10:47.0,,,0-4,2,T. Allen makes 2-pt shot at rim
10:36.0,Shooting foul by M. Barnes (drawn by K. Korver),,0-4,,
10:36.0,K. Korver makes free throw 1 of 2,1,1-4,,
10:36.0,K. Korver makes free throw 2 of 2,1,2-4,,
10:12.0,,,2-4,,M. Gasol misses 2-pt shot from 13 ft
10:10.0,,,2-4,,Offensive rebound by T. Allen
10:02.0,,,2-4,,M. Conley misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by K. Bazemore,,2-4,,
9:53.0,P. Millsap misses 3-pt shot from 24 ft,,2-4,,
9:52.0,,,2-4,,Defensive rebound by M. Gasol
9:47.0,,,2-4,,M. Conley misses 2-pt shot from 1 ft
9:45.0,Defensive rebound by J. Teague,,2-4,,
9:39.0,P. Millsap misses 2-pt shot at rim,,2-4,,
9:36.0,,,2-4,,Defensive rebound by M. Gasol
9:25.0,,,2-4,,M. Conley misses 2-pt shot at rim
9:22.0,Defensive rebound by A. Horford,,2-4,,
9:17.0,K. Korver misses 3-pt shot from 25 ft,,2-4,,
9:16.0,Offensive rebound by P. Millsap,,2-4,,
9:11.0,K. Bazemore misses 3-pt shot from 24 ft,,2-4,,
9:11.0,,,2-4,,Defensive rebound by J. Green
8:52.0,,,2-6,2,M. Gasol makes 2-pt shot from 7 ft (assist by M. Conley)
8:37.0,Shooting foul by M. Gasol (drawn by A. Horford),,2-6,,
8:37.0,A. Horford makes free throw 1 of 2,1,3-6,,
8:37.0,A. Horford makes free throw 2 of 2,1,4-6,,
8:21.0,,,4-9,3,J. Green makes 3-pt shot from 23 ft (assist by T. Allen)
8:11.0,Turnover by P. Millsap (traveling),,4-9,,
8:03.0,Personal foul by K. Bazemore (drawn by M. Conley),,4-9,,
7:55.0,,,4-11,2,T. Allen makes 2-pt shot from 1 ft
7:37.0,K. Bazemore makes 3-pt shot from 26 ft (assist by A. Horford),3,7-11,,
7:13.0,,,7-14,3,M. Barnes makes 3-pt shot from 26 ft (assist by M. Conley)
6:51.0,K. Bazemore makes 3-pt shot from 22 ft (assist by K. Korver),3,10-14,,
6:39.0,,,10-17,3,M. Barnes makes 3-pt shot from 22 ft (assist by T. Allen)
6:20.0,P. Millsap makes 2-pt shot from 15 ft (assist by A. Horford),2,12-17,,
5:59.0,,,12-19,2,M. Barnes makes 2-pt shot from 2 ft (assist by J. Green)
5:59.0,Atlanta full timeout,,12-19,,
5:59.0,L. Patterson enters the game for A. Horford,,12-19,,
5:59.0,M. Muscala enters the game for K. Bazemore,,12-19,,
5:46.0,L. Patterson makes 2-pt shot from 1 ft (assist by J. Teague),2,14-19,,
5:29.0,,,14-19,,Turnover by M. Conley (bad pass)
5:18.0,P. Millsap makes 2-pt shot at rim (assist by L. Patterson),2,16-19,,
4:55.0,,,16-21,2,J. Green makes 2-pt shot from 15 ft
4:46.0,Shooting foul by M. Barnes (drawn by J. Teague),,16-21,,
4:46.0,J. Teague makes free throw 1 of 2,1,17-21,,
4:46.0,,,17-21,,J. Green enters the game for M. Barnes
4:46.0,J. Teague makes free throw 2 of 2,1,18-21,,
4:30.0,,,18-21,,T. Allen misses 2-pt shot at rim
4:29.0,Defensive rebound by M. Muscala,,18-21,,
4:19.0,,,18-21,,Personal foul by J. Green (drawn by P. Millsap)
4:19.0,D. Schroder enters the game for J. Teague,,18-21,,
4:06.0,D. Schroder misses 3-pt shot from 25 ft,,18-21,,
4:05.0,Offensive rebound by P. Millsap,,18-21,,
3:56.0,M. Muscala misses 2-pt shot from 17 ft,,18-21,,
3:56.0,,,18-21,,Defensive rebound by T. Allen
3:46.0,Personal foul by M. Muscala (drawn by M. Gasol),,18-21,,
3:46.0,,,18-21,,C. Lee enters the game for T. Allen
3:38.0,,,18-21,,Shooting foul by L. Patterson (drawn by J. Green)
3:38.0,,,18-22,1,J. Green makes free throw 1 of 2
3:38.0,,,18-22,,M. Chalmers enters the game for M. Conley
3:38.0,,,18-23,1,J. Green makes free throw 2 of 2
3:19.0,M. Muscala makes 2-pt shot from 3 ft (assist by D. Schroder),2,20-23,,
3:07.0,,,20-23,,M. Chalmers misses 3-pt shot from 25 ft
3:06.0,Defensive rebound by P. Millsap,,20-23,,
2:57.0,D. Schroder misses 2-pt shot from 2 ft,,20-23,,
2:57.0,,,20-23,,Defensive rebound by J. Green
2:48.0,,,20-23,,Turnover by M. Gasol (bad pass)
2:48.0,,,20-23,,Memphis full timeout
2:29.0,Turnover by P. Millsap (lost ball),,20-23,,
2:16.0,,,20-23,,Turnover by M. Gasol (lost ball)
2:06.0,M. Muscala makes 3-pt shot from 25 ft (assist by D. Schroder),3,23-23,,
1:42.0,,,23-25,2,M. Gasol makes 2-pt shot from 7 ft
1:32.0,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder),3,26-25,,
1:17.0,,,26-27,2,C. Lee makes 2-pt shot from 20 ft (assist by J. Green)
1:06.0,Turnover by L. Patterson (lost ball),,26-27,,
1:06.0,,,26-27,,V. Carter enters the game for M. Gasol
1:06.0,T. Hardaway enters the game for K. Korver,,26-27,,
1:06.0,A. Horford enters the game for P. Millsap,,26-27,,
0:54.0,,,26-29,2,C. Lee makes 2-pt shot from 5 ft
0:48.0,Shooting foul by J. Green (drawn by L. Patterson),,26-29,,
0:48.0,L. Patterson misses free throw 1 of 2,,26-29,,
0:48.0,Offensive rebound by Team,,26-29,,
0:48.0,L. Patterson makes free throw 2 of 2,1,27-29,,
0:33.0,,,27-31,2,C. Lee makes 2-pt shot from 16 ft
0:26.0,M. Muscala makes 2-pt shot from 1 ft (assist by D. Schroder),2,29-31,,
0:09.0,,,29-31,,Shooting foul by A. Horford (drawn by M. Chalmers)
0:09.0,,,29-32,1,M. Chalmers makes free throw 1 of 2
0:09.0,,,29-33,1,M. Chalmers makes free throw 2 of 2
0:04.0,D. Schroder misses 2-pt shot from 1 ft,,29-33,,
0:02.0,,,29-33,,Defensive rebound by V. Carter
0:02.0,,,29-36,3,V. Carter makes 3-pt shot from 64 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. Schroder misses 2-pt shot from 1 ft,,29-36,,
11:41.0,,,29-36,,Defensive rebound by J. Green
11:29.0,,,29-36,,J. Green misses 2-pt shot from 1 ft
11:27.0,,,29-36,,Offensive rebound by Team
11:19.0,,,29-36,,Turnover by M. Chalmers (lost ball; steal by K. Bazemore)
