time,Milwaukee,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. G. Monroe (M. Carter-Williams gains possession),,,,Jump ball: T. Chandler vs. G. Monroe (M. Carter-Williams gains possession)
11:42.0,Turnover by K. Middleton (bad pass; steal by E. Bledsoe),,0-0,,
11:37.0,,,0-0,,E. Bledsoe misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by M. Carter-Williams,,0-0,,
11:31.0,Turnover by M. Carter-Williams (bad pass; steal by E. Bledsoe),,0-0,,
11:26.0,,,0-2,2,B. Knight makes 2-pt shot from 1 ft (assist by P. Tucker)
11:12.0,,,0-2,,Violation by B. Knight (kicked ball)
11:04.0,Shooting foul by E. Bledsoe (drawn by M. Carter-Williams),,0-2,,
11:04.0,M. Carter-Williams makes free throw 1 of 2,1,1-2,,
11:04.0,M. Carter-Williams misses free throw 2 of 2,,1-2,,
11:03.0,,,1-2,,Defensive rebound by J. Leuer
10:49.0,,,1-4,2,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe)
10:30.0,M. Carter-Williams misses 2-pt shot from 3 ft,,1-4,,
10:30.0,,,1-4,,Defensive rebound by J. Leuer
10:20.0,Personal foul by K. Middleton (drawn by T. Chandler),,1-4,,
10:12.0,,,1-4,,Turnover by E. Bledsoe (bad pass; steal by K. Middleton)
10:03.0,G. Monroe makes 2-pt shot at rim (assist by O. Mayo),2,3-4,,
9:49.0,,,3-4,,J. Leuer misses 2-pt shot from 7 ft
9:47.0,Defensive rebound by J. Parker,,3-4,,
9:43.0,J. Parker makes 2-pt shot at rim,2,5-4,,
9:27.0,,,5-4,,B. Knight misses 2-pt shot from 21 ft
9:26.0,Defensive rebound by Team,,5-4,,
9:09.0,Shooting foul by B. Knight (drawn by O. Mayo),,5-4,,
9:09.0,O. Mayo makes free throw 1 of 2,1,6-4,,
9:09.0,O. Mayo misses free throw 2 of 2,,6-4,,
9:07.0,,,6-4,,Defensive rebound by P. Tucker
8:55.0,Violation by G. Monroe (kicked ball),,6-4,,
8:50.0,,,6-4,,Turnover by P. Tucker (traveling)
8:44.0,,,6-4,,Personal foul by J. Leuer (drawn by J. Parker)
8:26.0,Turnover by Team (shot clock),,6-4,,
8:06.0,,,6-4,,Turnover by J. Leuer (bad pass; steal by M. Carter-Williams)
8:00.0,K. Middleton makes 2-pt shot at rim (assist by M. Carter-Williams),2,8-4,,
7:45.0,,,8-4,,J. Leuer misses 2-pt shot from 20 ft
7:45.0,Defensive rebound by O. Mayo,,8-4,,
7:39.0,O. Mayo makes 2-pt shot from 1 ft,2,10-4,,
7:35.0,,,10-4,,Phoenix full timeout
7:35.0,,,10-4,,M. Morris enters the game for J. Leuer
7:27.0,,,10-4,,Turnover by M. Morris (bad pass)
7:16.0,K. Middleton makes 2-pt shot from 10 ft (assist by O. Mayo),2,12-4,,
7:10.0,Personal block foul by G. Monroe (drawn by E. Bledsoe),,12-4,,
7:04.0,,,12-6,2,P. Tucker makes 2-pt shot at rim (assist by M. Morris)
6:45.0,G. Monroe makes 2-pt shot from 1 ft,2,14-6,,
6:39.0,,,14-6,,Offensive foul by M. Morris
6:39.0,,,14-6,,Turnover by M. Morris (offensive foul)
6:25.0,J. Parker misses 2-pt shot from 18 ft,,14-6,,
6:25.0,,,14-6,,Defensive rebound by T. Chandler
6:09.0,,,14-6,,B. Knight misses 2-pt shot from 20 ft
6:09.0,Defensive rebound by M. Carter-Williams,,14-6,,
6:04.0,,,14-6,,Violation by E. Bledsoe (def goaltending)
6:04.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,16-6,,
5:54.0,,,16-8,2,E. Bledsoe makes 2-pt shot at rim
5:39.0,K. Middleton makes 3-pt shot from 24 ft (assist by G. Monroe),3,19-8,,
5:20.0,,,19-11,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by B. Knight)
4:59.0,G. Monroe misses 2-pt shot from 19 ft,,19-11,,
4:58.0,Offensive rebound by J. Parker,,19-11,,
4:55.0,,,19-11,,D. Booker enters the game for B. Knight
4:55.0,,,19-11,,A. Len enters the game for T. Chandler
4:55.0,C. Copeland enters the game for J. Parker,,19-11,,
4:55.0,,,19-11,,Technical foul by M. Morris
4:55.0,Technical foul by O. Mayo,,19-11,,
4:48.0,G. Monroe makes 2-pt shot from 2 ft,2,21-11,,
4:36.0,Personal foul by M. Carter-Williams (drawn by E. Bledsoe),,21-11,,
4:36.0,R. Vaughn enters the game for O. Mayo,,21-11,,
4:28.0,,,21-11,,Turnover by A. Len (bad pass)
4:03.0,C. Copeland misses 3-pt shot from 24 ft,,21-11,,
4:03.0,,,21-11,,Defensive rebound by P. Tucker
3:51.0,,,21-11,,M. Morris misses 2-pt shot from 8 ft
3:50.0,,,21-11,,Offensive rebound by P. Tucker
3:50.0,,,21-13,2,P. Tucker makes 2-pt shot from 1 ft
3:29.0,Turnover by M. Carter-Williams (bad pass; steal by M. Morris),,21-13,,
3:25.0,,,21-13,,Turnover by M. Morris (bad pass)
3:25.0,,,21-13,,T. Warren enters the game for P. Tucker
3:13.0,M. Carter-Williams misses 2-pt shot from 8 ft,,21-13,,
3:12.0,,,21-13,,Defensive rebound by A. Len
2:59.0,,,21-13,,M. Morris misses 2-pt shot from 5 ft
2:58.0,Defensive rebound by K. Middleton,,21-13,,
2:50.0,M. Carter-Williams makes 2-pt shot at rim (assist by G. Monroe),2,23-13,,
2:37.0,Def 3 sec tech foul by C. Copeland,,23-13,,
2:37.0,Milwaukee full timeout,,23-13,,
2:37.0,,,23-14,1,E. Bledsoe makes technical free throw
2:32.0,,,23-16,2,M. Morris makes 2-pt shot at rim (assist by D. Booker)
2:14.0,Turnover by M. Carter-Williams (bad pass; steal by E. Bledsoe),,23-16,,
2:09.0,,,23-16,,T. Warren misses 2-pt shot from 3 ft
2:08.0,Defensive rebound by Team,,23-16,,
2:08.0,J. Henson enters the game for G. Monroe,,23-16,,
1:59.0,,,23-16,,Violation by E. Bledsoe (def goaltending)
1:59.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,25-16,,
1:49.0,,,25-16,,Offensive foul by E. Bledsoe
1:49.0,,,25-16,,Turnover by E. Bledsoe (offensive foul)
