time,Boston,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. R. Lopez (K. Olynyk gains possession),,,,Jump ball: A. Johnson vs. R. Lopez (K. Olynyk gains possession)
11:49.0,Turnover by J. Crowder (traveling),,0-0,,
11:31.0,,,0-0,,Turnover by C. Anthony (bad pass; steal by A. Johnson)
11:24.0,I. Thomas makes 2-pt shot from 1 ft,2,2-0,,
11:05.0,,,2-0,,Shooting foul by K. Olynyk (drawn by K. Porzingis)
11:05.0,,,2-1,1,K. Porzingis makes free throw 1 of 2
11:05.0,,,2-1,,K. Porzingis misses free throw 2 of 2
11:04.0,Defensive rebound by K. Olynyk,,2-1,,
10:53.0,A. Bradley makes 2-pt shot from 19 ft (assist by A. Johnson),2,4-1,,
10:36.0,,,4-3,2,K. Porzingis makes 2-pt shot from 16 ft (assist by C. Anthony)
10:20.0,Turnover by A. Johnson (bad pass; steal by K. Porzingis),,4-3,,
10:15.0,,,4-3,,Shooting foul by A. Bradley (drawn by A. Afflalo)
10:15.0,,,4-4,1,A. Afflalo makes free throw 1 of 2
10:15.0,,,4-5,1,A. Afflalo makes free throw 2 of 2
10:04.0,I. Thomas misses 2-pt shot from 18 ft,,4-5,,
10:04.0,,,4-5,,Defensive rebound by C. Anthony
9:57.0,,,4-5,,Turnover by C. Anthony (traveling)
9:44.0,A. Bradley misses 2-pt shot from 11 ft,,4-5,,
9:43.0,,,4-5,,Defensive rebound by A. Afflalo
9:26.0,,,4-5,,A. Afflalo misses 2-pt shot from 10 ft
9:24.0,Defensive rebound by K. Olynyk,,4-5,,
9:13.0,J. Crowder makes 2-pt shot from 13 ft,2,6-5,,
9:03.0,,,6-8,3,C. Anthony makes 3-pt shot from 25 ft
8:54.0,I. Thomas misses 2-pt shot from 2 ft,,6-8,,
8:53.0,Offensive rebound by A. Johnson,,6-8,,
8:53.0,A. Johnson makes 2-pt shot from 1 ft,2,8-8,,
8:42.0,,,8-11,3,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Calderon)
8:13.0,A. Johnson makes 2-pt shot from 16 ft,2,10-11,,
7:59.0,,,10-11,,Offensive foul by R. Lopez
7:59.0,,,10-11,,Turnover by R. Lopez (offensive foul)
7:45.0,K. Olynyk makes 2-pt shot from 1 ft (assist by I. Thomas),2,12-11,,
7:32.0,,,12-13,2,R. Lopez makes 2-pt shot from 1 ft (assist by J. Calderon)
7:13.0,I. Thomas makes 2-pt shot from 14 ft,2,14-13,,
7:01.0,,,14-16,3,K. Porzingis makes 3-pt shot from 25 ft (assist by R. Lopez)
7:00.0,Boston full timeout,,14-16,,
7:00.0,J. Sullinger enters the game for K. Olynyk,,14-16,,
6:48.0,Turnover by A. Bradley (bad pass),,14-16,,
6:27.0,,,14-18,2,C. Anthony makes 2-pt shot at rim
6:15.0,J. Sullinger makes 2-pt shot from 16 ft (assist by I. Thomas),2,16-18,,
5:58.0,,,16-18,,A. Afflalo misses 2-pt shot from 7 ft
5:58.0,Defensive rebound by J. Crowder,,16-18,,
5:52.0,Turnover by A. Bradley (lost ball; steal by J. Calderon),,16-18,,
5:47.0,,,16-18,,Turnover by J. Calderon (lost ball)
5:38.0,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas),3,19-18,,
5:23.0,,,19-21,3,K. Porzingis makes 3-pt shot from 27 ft (assist by J. Calderon)
5:09.0,J. Crowder misses 3-pt shot from 25 ft,,19-21,,
5:09.0,,,19-21,,Defensive rebound by K. Porzingis
5:04.0,Violation by J. Crowder (kicked ball),,19-21,,
4:52.0,,,19-23,2,C. Anthony makes 2-pt shot from 19 ft (assist by K. Porzingis)
4:36.0,I. Thomas misses 3-pt shot from 25 ft,,19-23,,
4:35.0,,,19-23,,Defensive rebound by K. Porzingis
4:23.0,,,19-26,3,C. Anthony makes 3-pt shot from 25 ft (assist by J. Calderon)
4:09.0,Shooting foul by C. Anthony (drawn by J. Crowder),,19-26,,
4:09.0,J. Crowder makes free throw 1 of 2,1,20-26,,
4:09.0,E. Turner enters the game for A. Bradley,,20-26,,
4:09.0,J. Crowder makes free throw 2 of 2,1,21-26,,
3:51.0,,,21-26,,C. Anthony misses 2-pt shot from 8 ft
3:50.0,,,21-26,,Offensive rebound by K. Porzingis
3:50.0,,,21-28,2,K. Porzingis makes 2-pt shot from 1 ft
