time,New Orleans,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. P. Gasol (D. Rose gains possession),,,,Jump ball: A. Davis vs. P. Gasol (D. Rose gains possession)
11:38.0,,,0-2,2,P. Gasol makes 2-pt shot from 6 ft
11:17.0,A. Davis misses 2-pt shot from 17 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by P. Gasol
11:02.0,,,0-4,2,D. Rose makes 2-pt shot at rim
10:39.0,E. Gordon misses 3-pt shot from 23 ft,,0-4,,
10:38.0,,,0-4,,Defensive rebound by P. Gasol
10:24.0,,,0-4,,T. Snell misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by A. Davis,,0-4,,
10:12.0,T. Evans makes 3-pt shot from 24 ft (assist by A. Davis),3,3-4,,
9:48.0,,,3-4,,T. Gibson misses 2-pt shot from 14 ft (block by A. Davis)
9:44.0,Defensive rebound by A. Ajinca,,3-4,,
9:40.0,T. Evans makes 2-pt shot from 2 ft,2,5-4,,
9:29.0,,,5-4,,Turnover by D. Rose (bad pass; steal by A. Gee)
9:23.0,A. Gee misses 2-pt shot from 17 ft,,5-4,,
9:22.0,,,5-4,,Defensive rebound by T. Gibson
9:08.0,,,5-4,,P. Gasol misses 2-pt shot from 6 ft
9:06.0,Defensive rebound by A. Davis,,5-4,,
9:02.0,Turnover by E. Gordon (bad pass; steal by T. Snell),,5-4,,
8:55.0,,,5-4,,J. Butler misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by A. Davis,,5-4,,
8:35.0,A. Davis misses 2-pt shot from 5 ft,,5-4,,
8:34.0,,,5-4,,Defensive rebound by J. Butler
8:21.0,,,5-6,2,P. Gasol makes 2-pt shot at rim
7:55.0,T. Evans misses 3-pt shot from 23 ft,,5-6,,
7:54.0,,,5-6,,Defensive rebound by T. Gibson
7:40.0,,,5-6,,Turnover by T. Snell (bad pass)
7:22.0,T. Evans makes 2-pt shot from 1 ft,2,7-6,,
7:08.0,,,7-6,,Turnover by P. Gasol (bad pass; steal by A. Gee)
7:05.0,A. Gee makes 2-pt shot at rim,2,9-6,,
6:49.0,,,9-6,,D. Rose misses 2-pt shot from 1 ft
6:48.0,Defensive rebound by A. Davis,,9-6,,
6:48.0,,,9-6,,Personal foul by P. Gasol (drawn by A. Davis)
6:34.0,E. Gordon misses 2-pt shot from 2 ft,,9-6,,
6:33.0,,,9-6,,Defensive rebound by P. Gasol
6:21.0,,,9-6,,P. Gasol misses 2-pt shot from 1 ft
6:20.0,Defensive rebound by A. Ajinca,,9-6,,
6:07.0,A. Ajinca misses 2-pt shot from 22 ft,,9-6,,
6:06.0,,,9-6,,Defensive rebound by T. Gibson
5:53.0,,,9-6,,Turnover by T. Gibson (lost ball)
5:53.0,,,9-6,,Chicago full timeout
5:53.0,,,9-6,,J. Noah enters the game for T. Gibson
5:53.0,,,9-6,,D. McDermott enters the game for T. Snell
5:53.0,,,9-6,,K. Hinrich enters the game for D. Rose
5:53.0,O. Asik enters the game for A. Ajinca,,9-6,,
5:53.0,Violation by Team (delay of game),,9-6,,
5:40.0,A. Davis misses 2-pt shot from 16 ft,,9-6,,
5:39.0,,,9-6,,Defensive rebound by J. Noah
5:29.0,,,9-8,2,J. Butler makes 2-pt shot at rim (assist by P. Gasol)
5:13.0,E. Gordon makes 2-pt shot from 14 ft (assist by T. Evans),2,11-8,,
5:00.0,,,11-10,2,D. McDermott makes 2-pt shot from 3 ft
4:49.0,A. Davis makes 2-pt shot from 14 ft (assist by T. Evans),2,13-10,,
