time,Sacramento,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. G. Monroe (R. Gay gains possession),,,,Jump ball: K. Koufos vs. G. Monroe (R. Gay gains possession)
11:49.0,Shooting foul by G. Antetokounmpo (drawn by R. Gay),,0-0,,
11:49.0,R. Gay makes free throw 1 of 2,1,1-0,,
11:49.0,R. Gay misses free throw 2 of 2,,1-0,,
11:46.0,,,1-0,,Defensive rebound by G. Monroe
11:31.0,,,1-0,,G. Antetokounmpo misses 3-pt shot from 25 ft
11:29.0,Defensive rebound by R. Gay,,1-0,,
11:22.0,R. Gay makes 3-pt shot from 24 ft (assist by R. Rondo),3,4-0,,
11:07.0,,,4-2,2,G. Monroe makes 2-pt shot at rim (assist by K. Middleton)
10:49.0,Turnover by B. McLemore (bad pass; steal by M. Carter-Williams),,4-2,,
10:43.0,,,4-2,,K. Middleton misses 2-pt shot from 22 ft
10:42.0,Defensive rebound by R. Rondo,,4-2,,
10:33.0,R. Gay makes 2-pt shot from 13 ft (assist by R. Rondo),2,6-2,,
10:10.0,,,6-2,,Turnover by M. Carter-Williams (lost ball; steal by B. McLemore)
10:08.0,B. McLemore makes 2-pt shot at rim (assist by R. Rondo),2,8-2,,
10:01.0,,,8-4,2,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton)
9:52.0,Shooting foul by K. Middleton (drawn by B. McLemore),,8-4,,
9:52.0,B. McLemore makes free throw 1 of 2,1,9-4,,
9:52.0,B. McLemore makes free throw 2 of 2,1,10-4,,
9:39.0,,,10-7,3,G. Antetokounmpo makes 3-pt shot from 22 ft (assist by J. Parker)
9:32.0,,,10-7,,Personal block foul by G. Monroe (drawn by R. Rondo)
9:17.0,R. Gay makes 2-pt shot from 9 ft,2,12-7,,
9:09.0,,,12-7,,Shooting foul by R. Gay (drawn by J. Parker)
9:09.0,,,12-8,1,J. Parker makes free throw 1 of 2
9:09.0,,,12-9,1,J. Parker makes free throw 2 of 2
9:01.0,R. Rondo makes 2-pt shot at rim,2,14-9,,
8:49.0,,,14-9,,Shooting foul by W. Cauley-Stein (drawn by J. Parker)
8:49.0,,,14-10,1,J. Parker makes free throw 1 of 2
8:49.0,,,14-11,1,J. Parker makes free throw 2 of 2
8:34.0,R. Rondo misses 2-pt shot from 10 ft,,14-11,,
8:32.0,Offensive rebound by K. Koufos,,14-11,,
8:30.0,K. Koufos makes 2-pt shot at rim,2,16-11,,
8:07.0,,,16-13,2,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo)
7:52.0,K. Koufos makes 2-pt shot from 6 ft (assist by B. McLemore),2,18-13,,
7:37.0,,,18-15,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
7:23.0,Turnover by R. Rondo (bad pass; steal by K. Middleton),,18-15,,
7:20.0,,,18-17,2,K. Middleton makes 2-pt shot at rim
7:02.0,K. Koufos misses 2-pt shot from 6 ft,,18-17,,
7:01.0,,,18-17,,Defensive rebound by G. Monroe
6:55.0,,,18-20,3,K. Middleton makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
6:52.0,Sacramento full timeout,,18-20,,
6:52.0,O. Casspi enters the game for W. Cauley-Stein,,18-20,,
6:39.0,B. McLemore misses 2-pt shot from 15 ft,,18-20,,
6:37.0,,,18-20,,Defensive rebound by J. Parker
6:21.0,,,18-20,,Turnover by M. Carter-Williams (bad pass; steal by B. McLemore)
6:11.0,R. Gay makes 2-pt shot from 7 ft,2,20-20,,
5:50.0,,,20-20,,K. Middleton misses 2-pt shot from 16 ft
5:48.0,Defensive rebound by K. Koufos,,20-20,,
5:37.0,B. McLemore misses 2-pt shot from 3 ft (block by G. Monroe),,20-20,,
5:34.0,,,20-20,,Defensive rebound by J. Parker
5:30.0,,,20-22,2,G. Monroe makes 2-pt shot from 1 ft (assist by J. Parker)
5:08.0,R. Gay misses 2-pt shot from 4 ft,,20-22,,
5:06.0,Offensive rebound by R. Gay,,20-22,,
5:06.0,R. Gay makes 2-pt shot at rim,2,22-22,,
4:49.0,,,22-22,,G. Monroe misses 2-pt shot from 5 ft
4:47.0,Defensive rebound by R. Rondo,,22-22,,
4:39.0,R. Rondo makes 2-pt shot from 1 ft,2,24-22,,
4:24.0,,,24-22,,G. Antetokounmpo misses 2-pt shot from 6 ft
4:24.0,,,24-22,,Offensive rebound by Team
4:24.0,,,24-22,,J. Henson enters the game for G. Monroe
4:24.0,M. Belinelli enters the game for B. McLemore,,24-22,,
4:22.0,,,24-22,,J. Parker misses 2-pt shot from 14 ft
4:20.0,,,24-22,,Offensive rebound by G. Antetokounmpo
4:20.0,,,24-24,2,G. Antetokounmpo makes 2-pt shot at rim
4:10.0,O. Casspi makes 2-pt shot from 1 ft (assist by R. Rondo),2,26-24,,
4:03.0,,,26-26,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
3:41.0,K. Koufos makes 2-pt shot at rim (assist by R. Rondo),2,28-26,,
