time,Atlanta,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Hilario vs. A. Horford (J. Dudley gains possession),,,,Jump ball: N. Hilario vs. A. Horford (J. Dudley gains possession)
11:41.0,,,0-2,2,O. Porter makes 2-pt shot at rim (assist by N. Hilario)
11:23.0,P. Millsap misses 2-pt shot from 12 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by O. Porter
11:12.0,,,0-4,2,N. Hilario makes 2-pt shot at rim (assist by J. Dudley)
10:55.0,K. Bazemore makes 2-pt shot from 1 ft,2,2-4,,
10:37.0,,,2-6,2,N. Hilario makes 2-pt shot at rim (assist by J. Dudley)
10:37.0,,,2-6,,Shooting foul by A. Horford (drawn by N. Hilario)
10:37.0,,,2-6,,N. Hilario misses free throw 1 of 1
10:36.0,Defensive rebound by A. Horford,,2-6,,
10:26.0,J. Teague misses 3-pt shot from 26 ft,,2-6,,
10:24.0,,,2-6,,Defensive rebound by M. Thornton
10:14.0,,,2-6,,M. Thornton misses 2-pt shot from 16 ft
10:13.0,Defensive rebound by K. Bazemore,,2-6,,
10:06.0,J. Teague makes 3-pt shot from 27 ft (assist by K. Bazemore),3,5-6,,
9:56.0,,,5-6,,Turnover by R. Sessions (lost ball; steal by J. Teague)
9:44.0,A. Horford misses 3-pt shot from 26 ft,,5-6,,
9:43.0,,,5-6,,Defensive rebound by J. Dudley
9:37.0,Personal foul by K. Bazemore,,5-6,,
9:30.0,,,5-8,2,N. Hilario makes 2-pt shot from 17 ft (assist by O. Porter)
9:11.0,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague),2,7-8,,
9:04.0,,,7-8,,R. Sessions misses 2-pt shot from 11 ft
9:03.0,Defensive rebound by K. Bazemore,,7-8,,
8:48.0,Turnover by K. Bazemore (lost ball; steal by N. Hilario),,7-8,,
8:43.0,,,7-8,,N. Hilario misses 2-pt shot at rim
8:42.0,,,7-8,,Offensive rebound by N. Hilario
8:42.0,,,7-10,2,N. Hilario makes 2-pt shot at rim
8:26.0,Shooting foul by N. Hilario (drawn by A. Horford),,7-10,,
8:26.0,A. Horford makes free throw 1 of 2,1,8-10,,
8:26.0,A. Horford makes free throw 2 of 2,1,9-10,,
8:14.0,,,9-13,3,M. Thornton makes 3-pt shot from 25 ft (assist by R. Sessions)
7:59.0,J. Teague makes 3-pt shot from 26 ft,3,12-13,,
7:45.0,,,12-15,2,M. Thornton makes 2-pt shot at rim (assist by N. Hilario)
7:31.0,Turnover by J. Teague (bad pass),,12-15,,
7:16.0,,,12-15,,M. Thornton misses 2-pt shot from 7 ft
7:15.0,Defensive rebound by A. Horford,,12-15,,
7:04.0,P. Millsap misses 2-pt shot from 6 ft,,12-15,,
7:03.0,,,12-15,,Defensive rebound by N. Hilario
6:57.0,,,12-17,2,R. Sessions makes 2-pt shot at rim
6:57.0,,,12-17,,Shooting foul by P. Millsap (drawn by R. Sessions)
6:57.0,,,12-18,1,R. Sessions makes free throw 1 of 1
6:47.0,P. Millsap makes 2-pt shot from 2 ft (assist by K. Bazemore),2,14-18,,
6:36.0,,,14-18,,J. Dudley misses 3-pt shot from 27 ft
6:35.0,Defensive rebound by K. Bazemore,,14-18,,
6:27.0,P. Millsap misses 3-pt shot from 23 ft,,14-18,,
6:26.0,,,14-18,,Defensive rebound by M. Thornton
6:15.0,,,14-20,2,J. Dudley makes 2-pt shot from 1 ft (assist by M. Thornton)
6:15.0,Atlanta full timeout,,14-20,,
6:15.0,K. Humphries enters the game for K. Bazemore,,14-20,,
6:15.0,T. Sefolosha enters the game for A. Horford,,14-20,,
5:51.0,K. Humphries misses 2-pt shot from 9 ft,,14-20,,
5:51.0,Offensive rebound by Team,,14-20,,
5:51.0,Turnover by Team (shot clock),,14-20,,
5:35.0,,,14-20,,M. Thornton misses 2-pt shot from 1 ft (block by P. Millsap)
5:32.0,Defensive rebound by P. Millsap,,14-20,,
5:28.0,J. Teague makes 2-pt shot at rim (assist by P. Millsap),2,16-20,,
5:18.0,,,16-20,,R. Sessions misses 2-pt shot from 2 ft
5:17.0,Defensive rebound by K. Humphries,,16-20,,
5:11.0,Turnover by K. Korver (step out of bounds),,16-20,,
5:11.0,,,16-20,,J. Hickson enters the game for N. Hilario
