time,Indiana,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. T. Mozgov (M. Turner gains possession),,,,Jump ball: I. Mahinmi vs. T. Mozgov (M. Turner gains possession)
11:38.0,M. Turner misses 2-pt shot from 15 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by L. James
11:29.0,,,0-0,,T. Mozgov misses 2-pt shot from 1 ft (block by I. Mahinmi)
11:29.0,,,0-0,,Offensive rebound by Team
11:25.0,,,0-0,,J. Smith misses 3-pt shot from 26 ft
11:25.0,Defensive rebound by M. Turner,,0-0,,
11:05.0,M. Ellis makes 2-pt shot from 9 ft,2,2-0,,
10:54.0,,,2-0,,K. Love misses 2-pt shot from 19 ft
10:54.0,,,2-0,,Offensive rebound by T. Mozgov
10:49.0,,,2-0,,J. Smith misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by I. Mahinmi,,2-0,,
10:27.0,I. Mahinmi misses 2-pt shot from 1 ft (block by K. Love),,2-0,,
10:26.0,Offensive rebound by M. Turner,,2-0,,
10:24.0,M. Ellis misses 3-pt shot from 28 ft,,2-0,,
10:23.0,,,2-0,,Defensive rebound by K. Love
10:16.0,,,2-2,2,L. James makes 2-pt shot from 1 ft (assist by K. Irving)
10:08.0,M. Turner makes 2-pt shot at rim (assist by G. Hill),2,4-2,,
9:57.0,Personal foul by I. Mahinmi (drawn by T. Mozgov),,4-2,,
9:44.0,,,4-4,2,K. Love makes 2-pt shot from 1 ft (assist by K. Irving)
9:29.0,P. George misses 2-pt shot from 19 ft,,4-4,,
9:28.0,,,4-4,,Defensive rebound by T. Mozgov
9:19.0,,,4-6,2,L. James makes 2-pt shot from 1 ft
9:04.0,M. Ellis misses 2-pt shot from 19 ft,,4-6,,
9:03.0,Offensive rebound by I. Mahinmi,,4-6,,
9:01.0,I. Mahinmi misses 2-pt shot at rim,,4-6,,
9:01.0,Offensive rebound by P. George,,4-6,,
8:59.0,,,4-6,,Personal foul by K. Irving (drawn by P. George)
8:52.0,G. Hill misses 3-pt shot from 26 ft,,4-6,,
8:52.0,,,4-6,,Defensive rebound by T. Mozgov
8:33.0,,,4-6,,K. Love misses 2-pt shot from 5 ft
8:32.0,Defensive rebound by P. George,,4-6,,
8:20.0,M. Turner misses 2-pt shot from 8 ft,,4-6,,
8:18.0,,,4-6,,Defensive rebound by T. Mozgov
7:55.0,,,4-6,,J. Smith misses 3-pt shot from 27 ft
7:54.0,Defensive rebound by M. Turner,,4-6,,
7:39.0,G. Hill makes 2-pt shot from 4 ft (assist by P. George),2,6-6,,
7:23.0,,,6-6,,K. Love misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by P. George,,6-6,,
7:05.0,Offensive foul by I. Mahinmi,,6-6,,
7:05.0,Turnover by I. Mahinmi (offensive foul),,6-6,,
7:05.0,J. Hill enters the game for I. Mahinmi,,6-6,,
6:44.0,,,6-8,2,L. James makes 2-pt shot from 15 ft
6:27.0,,,6-8,,Personal foul by L. James (drawn by P. George)
6:27.0,,,6-8,,M. Dellavedova enters the game for K. Irving
