time,Detroit,pts.away,score,pts.home,Chicago
11:43.0,M. Morris makes 2-pt shot from 19 ft,2,28-27,,
11:30.0,,,28-27,,D. McDermott misses 3-pt shot from 23 ft
11:29.0,Defensive rebound by Team,,28-27,,
11:12.0,M. Morris misses 2-pt shot from 16 ft,,28-27,,
11:12.0,,,28-27,,Defensive rebound by Team
10:57.0,,,28-29,2,D. McDermott makes 2-pt shot from 1 ft (assist by J. Holiday)
10:37.0,A. Tolliver misses 3-pt shot from 25 ft,,28-29,,
10:36.0,,,28-29,,Defensive rebound by J. Holiday
10:30.0,,,28-29,,Shooting foul by S. Johnson (drawn by D. McDermott)
10:30.0,,,28-30,1,D. McDermott makes free throw 1 of 2
10:30.0,,,28-31,1,D. McDermott makes free throw 2 of 2
10:05.0,S. Johnson misses 3-pt shot from 24 ft,,28-31,,
10:04.0,,,28-31,,Defensive rebound by J. Holiday
9:58.0,,,28-31,,Turnover by A. Brooks (bad pass)
9:39.0,A. Tolliver makes 3-pt shot from 23 ft (assist by S. Blake),3,31-31,,
9:23.0,,,31-31,,Turnover by J. Holiday (lost ball; steal by S. Johnson)
9:08.0,M. Morris makes 3-pt shot from 24 ft (assist by S. Blake),3,34-31,,
9:07.0,,,34-31,,Chicago full timeout
9:07.0,,,34-31,,J. Butler enters the game for J. Holiday
8:51.0,,,34-33,2,C. Felicio makes 2-pt shot from 1 ft (assist by A. Brooks)
8:36.0,A. Tolliver makes 3-pt shot from 22 ft (assist by M. Morris),3,37-33,,
8:18.0,,,37-33,,J. Butler misses 2-pt shot from 21 ft
8:17.0,Defensive rebound by A. Baynes,,37-33,,
8:09.0,S. Johnson misses 2-pt shot from 21 ft,,37-33,,
8:08.0,,,37-33,,Defensive rebound by J. Butler
7:59.0,,,37-33,,A. Brooks misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by S. Johnson,,37-33,,
7:53.0,,,37-33,,Personal foul by C. Felicio
7:43.0,S. Johnson misses 2-pt shot from 3 ft (block by C. Felicio),,37-33,,
7:42.0,,,37-33,,Defensive rebound by C. Felicio
7:29.0,,,37-33,,D. McDermott misses 2-pt shot from 11 ft
7:28.0,Defensive rebound by A. Tolliver,,37-33,,
7:14.0,,,37-33,,Personal foul by A. Brooks
7:14.0,,,37-33,,M. Dunleavy enters the game for D. McDermott
6:59.0,M. Morris misses 2-pt shot from 22 ft,,37-33,,
6:59.0,,,37-33,,Defensive rebound by Team
6:42.0,,,37-33,,J. Butler misses 2-pt shot from 1 ft
6:41.0,,,37-33,,Offensive rebound by J. Butler
6:41.0,,,37-33,,J. Butler misses 2-pt shot from 1 ft
6:40.0,Defensive rebound by S. Blake,,37-33,,
6:36.0,,,37-33,,Personal foul by C. Felicio
6:36.0,,,37-33,,P. Gasol enters the game for C. Felicio
6:36.0,,,37-33,,E. Moore enters the game for A. Brooks
6:36.0,K. Caldwell-Pope enters the game for S. Johnson,,37-33,,
6:36.0,R. Jackson enters the game for S. Blake,,37-33,,
6:27.0,A. Tolliver misses 2-pt shot from 5 ft (block by N. Mirotic),,37-33,,
6:25.0,,,37-33,,Defensive rebound by P. Gasol
6:16.0,,,37-33,,E. Moore misses 3-pt shot from 23 ft
6:14.0,,,37-33,,Offensive rebound by J. Butler
6:08.0,,,37-35,2,J. Butler makes 2-pt shot at rim
5:40.0,Shooting foul by N. Mirotic (drawn by R. Jackson),,37-35,,
5:40.0,Detroit full timeout,,37-35,,
5:40.0,T. Harris enters the game for A. Baynes,,37-35,,
5:40.0,A. Drummond enters the game for A. Tolliver,,37-35,,
5:40.0,,,37-35,,J. Holiday enters the game for N. Mirotic
5:40.0,R. Jackson misses free throw 1 of 2,,37-35,,
5:40.0,Offensive rebound by Team,,37-35,,
5:40.0,R. Jackson makes free throw 2 of 2,1,38-35,,
5:19.0,,,38-38,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Butler)
5:05.0,T. Harris misses 2-pt shot from 6 ft (block by P. Gasol),,38-38,,
5:03.0,,,38-38,,Defensive rebound by J. Butler
4:59.0,,,38-38,,Turnover by J. Holiday (lost ball)
4:46.0,Turnover by R. Jackson (lost ball; steal by J. Butler),,38-38,,
4:41.0,,,38-38,,J. Holiday misses 2-pt shot from 1 ft
4:41.0,,,38-38,,Offensive rebound by E. Moore
4:41.0,,,38-38,,E. Moore misses 2-pt shot from 2 ft
4:39.0,,,38-38,,Offensive rebound by J. Butler
4:39.0,,,38-40,2,J. Butler makes 2-pt shot from 3 ft
4:22.0,A. Drummond makes 2-pt shot from 8 ft (assist by T. Harris),2,40-40,,
4:07.0,,,40-40,,Turnover by J. Butler (lost ball; steal by R. Jackson)
4:04.0,,,40-40,,Personal foul by J. Holiday
4:04.0,A. Drummond misses free throw 1 of 2,,40-40,,
4:04.0,Offensive rebound by Team,,40-40,,
4:04.0,A. Drummond misses free throw 2 of 2,,40-40,,
4:02.0,,,40-40,,Defensive rebound by P. Gasol
3:40.0,,,40-43,3,E. Moore makes 3-pt shot from 24 ft (assist by J. Butler)
3:35.0,,,40-43,,Personal take foul by J. Holiday
3:35.0,A. Drummond misses free throw 1 of 2,,40-43,,
3:35.0,Offensive rebound by Team,,40-43,,
3:35.0,A. Drummond makes free throw 2 of 2,1,41-43,,
3:31.0,Personal foul by R. Jackson,,41-43,,
3:31.0,A. Baynes enters the game for A. Drummond,,41-43,,
3:25.0,Personal foul by M. Morris,,41-43,,
3:10.0,,,41-43,,E. Moore misses 2-pt shot from 7 ft
3:09.0,,,41-43,,Offensive rebound by P. Gasol
3:09.0,,,41-43,,P. Gasol misses 2-pt shot from 1 ft
3:08.0,Defensive rebound by A. Baynes,,41-43,,
2:53.0,T. Harris makes 2-pt shot from 7 ft,2,43-43,,
2:38.0,Detroit full timeout,,43-43,,
2:35.0,,,43-43,,M. Dunleavy misses 2-pt shot from 19 ft
2:33.0,Defensive rebound by A. Baynes,,43-43,,
2:20.0,Turnover by R. Jackson (lost ball; steal by M. Dunleavy),,43-43,,
2:13.0,,,43-43,,Shooting foul by A. Baynes (drawn by J. Butler)
2:13.0,,,43-44,1,J. Butler makes free throw 1 of 2
2:13.0,,,43-45,1,J. Butler makes free throw 2 of 2
2:02.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,43-45,,
2:00.0,,,43-45,,Defensive rebound by J. Butler
1:52.0,,,43-45,,P. Gasol misses 2-pt shot from 8 ft
1:51.0,,,43-45,,Offensive rebound by J. Butler
1:45.0,,,43-45,,P. Gasol misses 2-pt shot from 14 ft
1:44.0,Defensive rebound by T. Harris,,43-45,,
1:37.0,R. Jackson makes 2-pt shot from 14 ft,2,45-45,,
1:21.0,,,45-45,,P. Gasol misses 2-pt shot from 17 ft
1:20.0,Defensive rebound by K. Caldwell-Pope,,45-45,,
1:08.0,Turnover by R. Jackson (lost ball; steal by J. Holiday),,45-45,,
1:00.0,,,45-45,,Turnover by J. Butler (lost ball; steal by M. Morris)
0:55.0,M. Morris misses 2-pt shot from 2 ft (block by J. Butler),,45-45,,
0:53.0,Offensive rebound by M. Morris,,45-45,,
0:53.0,Shooting foul by M. Dunleavy (drawn by K. Caldwell-Pope),,45-45,,
0:53.0,K. Caldwell-Pope misses free throw 1 of 2,,45-45,,
0:53.0,Offensive rebound by Team,,45-45,,
0:53.0,K. Caldwell-Pope makes free throw 2 of 2,1,46-45,,
0:33.0,,,46-45,,P. Gasol misses 2-pt shot from 2 ft
0:32.0,Defensive rebound by T. Harris,,46-45,,
0:21.0,Jump ball: A. Baynes vs. J. Holiday (R. Jackson gains possession),,,,Jump ball: A. Baynes vs. J. Holiday (R. Jackson gains possession)
0:14.0,R. Jackson misses 2-pt shot from 1 ft,,46-45,,
0:13.0,,,46-45,,Defensive rebound by J. Butler
0:00.0,,,46-45,,J. Butler misses 3-pt shot from 26 ft
0:00.0,,,46-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,T. Harris misses 2-pt shot from 19 ft,,46-45,,
11:41.0,,,46-45,,Defensive rebound by J. Butler
