time,Brooklyn,pts.away,score,pts.home,Washington
1:42.0,D. Sloan enters the game for S. Larkin,,21-26,,
1:42.0,M. Brown enters the game for W. Ellington,,21-26,,
1:42.0,,,21-26,,B. Beal enters the game for R. Sessions
1:24.0,B. Bogdanovic misses 2-pt shot at rim (block by N. Hilario),,21-26,,
1:23.0,,,21-26,,Defensive rebound by O. Porter
1:18.0,,,21-26,,G. Temple misses 2-pt shot from 1 ft (block by H. Sims)
1:15.0,,,21-26,,Offensive rebound by B. Beal
1:11.0,,,21-28,2,B. Beal makes 2-pt shot from 1 ft
0:58.0,H. Sims makes 2-pt shot from 19 ft (assist by D. Sloan),2,23-28,,
0:50.0,,,23-30,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Dudley)
0:50.0,,,23-30,,Shooting foul by H. Sims (drawn by N. Hilario)
0:50.0,,,23-30,,K. Oubre enters the game for O. Porter
0:50.0,,,23-30,,N. Hilario misses free throw 1 of 1
0:50.0,Defensive rebound by B. Bogdanovic,,23-30,,
0:40.0,Offensive foul by S. Kilpatrick,,23-30,,
0:40.0,Turnover by S. Kilpatrick (offensive foul),,23-30,,
0:28.0,,,23-30,,Turnover by B. Beal (bad pass)
0:07.0,,,23-30,,Violation by J. Dudley (kicked ball)
0:02.0,B. Bogdanovic misses 2-pt shot from 2 ft,,23-30,,
0:01.0,,,23-30,,Defensive rebound by G. Temple
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,D. Sloan misses 2-pt shot from 18 ft (block by N. Hilario),,23-30,,
11:39.0,,,23-30,,Defensive rebound by J. Dudley
11:23.0,,,23-30,,K. Oubre misses 3-pt shot from 28 ft
11:22.0,,,23-30,,Offensive rebound by N. Hilario
11:10.0,,,23-30,,G. Temple misses 3-pt shot from 23 ft
11:09.0,Defensive rebound by H. Sims,,23-30,,
10:59.0,H. Sims misses 2-pt shot from 6 ft,,23-30,,
10:58.0,,,23-30,,Defensive rebound by J. Dudley
10:55.0,,,23-30,,Turnover by J. Dudley (lost ball; steal by C. McCullough)
10:51.0,M. Brown makes 2-pt shot at rim,2,25-30,,
10:29.0,,,25-30,,Turnover by J. Dudley (lost ball; steal by C. McCullough)
10:24.0,S. Kilpatrick makes 2-pt shot at rim (assist by C. McCullough),2,27-30,,
10:24.0,,,27-30,,Washington full timeout
10:06.0,,,27-30,,J. Dudley misses 2-pt shot from 21 ft
10:05.0,,,27-30,,Offensive rebound by G. Temple
10:02.0,,,27-30,,G. Temple misses 2-pt shot from 16 ft
10:01.0,Defensive rebound by S. Kilpatrick,,27-30,,
9:51.0,M. Brown makes 2-pt shot from 2 ft (assist by D. Sloan),2,29-30,,
9:44.0,,,29-32,2,K. Oubre makes 2-pt shot at rim (assist by B. Beal)
9:43.0,,,29-32,,Technical foul by K. Oubre
9:43.0,S. Kilpatrick makes technical free throw,1,30-32,,
9:29.0,D. Sloan misses 2-pt shot from 4 ft,,30-32,,
9:28.0,,,30-32,,Defensive rebound by K. Oubre
9:08.0,,,30-34,2,N. Hilario makes 2-pt shot at rim
8:55.0,,,30-34,,Personal foul by G. Temple
8:38.0,C. McCullough misses 3-pt shot from 26 ft,,30-34,,
8:36.0,,,30-34,,Defensive rebound by K. Oubre
8:27.0,,,30-36,2,B. Beal makes 2-pt shot from 10 ft
8:13.0,H. Sims makes 2-pt shot from 12 ft (assist by M. Brown),2,32-36,,
8:01.0,,,32-38,2,B. Beal makes 2-pt shot at rim (assist by N. Hilario)
7:55.0,,,32-38,,Personal foul by K. Oubre
7:55.0,,,32-38,,M. Morris enters the game for J. Dudley
7:41.0,S. Kilpatrick misses 3-pt shot from 28 ft,,32-38,,
7:40.0,,,32-38,,Defensive rebound by Team
7:25.0,,,32-40,2,G. Temple makes 2-pt shot from 19 ft
7:08.0,Shooting foul by B. Beal (drawn by M. Brown),,32-40,,
7:08.0,M. Brown misses free throw 1 of 2,,32-40,,
7:08.0,Offensive rebound by Team,,32-40,,
7:08.0,,,32-40,,R. Sessions enters the game for G. Temple
7:08.0,M. Brown makes free throw 2 of 2,1,33-40,,
6:50.0,,,33-40,,M. Morris misses 2-pt shot from 1 ft (block by C. McCullough)
6:49.0,Defensive rebound by C. McCullough,,33-40,,
6:37.0,M. Brown misses 2-pt shot from 20 ft,,33-40,,
6:36.0,,,33-40,,Defensive rebound by Team
6:16.0,,,33-40,,Turnover by N. Hilario (bad pass)
6:16.0,,,33-40,,O. Porter enters the game for K. Oubre
6:00.0,H. Sims makes 2-pt shot from 17 ft (assist by D. Sloan),2,35-40,,
5:38.0,Personal foul by H. Sims,,35-40,,
5:38.0,Official timeout,,35-40,,
5:38.0,,,35-40,,M. Gortat enters the game for N. Hilario
5:29.0,,,35-42,2,M. Gortat makes 2-pt shot from 9 ft (assist by R. Sessions)
5:10.0,H. Sims makes 2-pt shot from 6 ft (assist by D. Sloan),2,37-42,,
5:05.0,,,37-42,,Turnover by M. Morris (lost ball; steal by C. McCullough)
5:01.0,C. McCullough makes 3-pt shot from 26 ft,3,40-42,,
4:36.0,,,40-42,,Turnover by Team (shot clock)
4:17.0,D. Sloan misses 2-pt shot at rim,,40-42,,
4:16.0,,,40-42,,Defensive rebound by M. Gortat
4:10.0,,,40-42,,R. Sessions misses 2-pt shot from 2 ft
4:09.0,,,40-42,,Offensive rebound by M. Gortat
4:04.0,,,40-42,,O. Porter misses 2-pt shot from 1 ft
4:03.0,,,40-42,,Offensive rebound by M. Morris
4:01.0,,,40-42,,M. Morris misses 2-pt shot at rim
3:58.0,Defensive rebound by H. Sims,,40-42,,
3:56.0,M. Brown misses 2-pt shot from 4 ft (block by M. Gortat),,40-42,,
3:54.0,,,40-42,,Defensive rebound by M. Morris
3:52.0,Personal foul by C. McCullough,,40-42,,
3:52.0,Brooklyn full timeout,,40-42,,
3:52.0,S. Larkin enters the game for H. Sims,,40-42,,
3:52.0,T. Robinson enters the game for D. Sloan,,40-42,,
3:52.0,,,40-42,,G. Temple enters the game for B. Beal
3:43.0,,,40-42,,Turnover by M. Morris (lost ball; steal by C. McCullough)
3:39.0,T. Robinson makes 2-pt shot from 1 ft,2,42-42,,
3:24.0,,,42-44,2,M. Gortat makes 2-pt shot at rim (assist by O. Porter)
3:00.0,C. McCullough misses 2-pt shot from 18 ft,,42-44,,
2:59.0,,,42-44,,Defensive rebound by O. Porter
2:53.0,,,42-44,,M. Morris misses 2-pt shot from 1 ft
2:50.0,Defensive rebound by M. Brown,,42-44,,
2:41.0,M. Brown misses 3-pt shot from 26 ft,,42-44,,
2:40.0,Offensive rebound by S. Larkin,,42-44,,
2:37.0,S. Kilpatrick makes 3-pt shot from 26 ft (assist by S. Larkin),3,45-44,,
2:19.0,,,45-47,3,G. Temple makes 3-pt shot from 28 ft (assist by R. Sessions)
1:55.0,S. Larkin makes 2-pt shot from 21 ft,2,47-47,,
1:35.0,,,47-49,2,M. Gortat makes 2-pt shot at rim (assist by R. Sessions)
1:23.0,S. Kilpatrick makes 2-pt shot from 1 ft (assist by S. Larkin),2,49-49,,
1:06.0,,,49-51,2,M. Morris makes 2-pt shot at rim (assist by R. Sessions)
