time,Brooklyn,pts.away,score,pts.home,Washington
5:21.0,,,85-113,,D. Gooden enters the game for J. Dudley
5:21.0,,,85-113,,J. Eddie enters the game for B. Beal
5:21.0,S. Larkin makes free throw 2 of 2,1,86-113,,
5:09.0,,,86-113,,J. Eddie misses 3-pt shot from 28 ft
5:07.0,Defensive rebound by T. Robinson,,86-113,,
4:54.0,S. Larkin makes 2-pt shot from 1 ft (assist by T. Robinson),2,88-113,,
4:34.0,,,88-113,,J. Hickson misses 2-pt shot from 16 ft
4:33.0,Defensive rebound by Team,,88-113,,
4:19.0,T. Robinson misses 2-pt shot from 21 ft,,88-113,,
4:18.0,,,88-113,,Defensive rebound by K. Oubre
4:10.0,,,88-113,,Turnover by K. Oubre (lost ball; steal by C. McCullough)
4:07.0,C. McCullough makes 2-pt shot at rim,2,90-113,,
3:39.0,,,90-113,,Shooting foul by W. Ellington (drawn by J. Eddie)
3:39.0,,,90-114,1,J. Eddie makes free throw 1 of 2
3:39.0,,,90-115,1,J. Eddie makes free throw 2 of 2
3:31.0,Shooting foul by D. Gooden (drawn by C. McCullough),,90-115,,
3:31.0,C. McCullough makes free throw 1 of 2,1,91-115,,
3:31.0,C. McCullough misses free throw 2 of 2,,91-115,,
3:29.0,Offensive rebound by R. Hollis-Jefferson,,91-115,,
3:14.0,Shooting foul by D. Gooden (drawn by C. McCullough),,91-115,,
3:14.0,C. McCullough makes free throw 1 of 2,1,92-115,,
3:14.0,C. McCullough makes free throw 2 of 2,1,93-115,,
3:02.0,,,93-115,,D. Gooden misses 2-pt shot at rim
2:59.0,,,93-115,,Offensive rebound by K. Oubre
2:54.0,,,93-117,2,D. Gooden makes 2-pt shot from 4 ft (assist by K. Oubre)
2:48.0,Shooting foul by D. Gooden (drawn by R. Hollis-Jefferson),,93-117,,
2:48.0,Official timeout,,93-117,,
2:48.0,H. Sims enters the game for C. McCullough,,93-117,,
2:48.0,R. Hollis-Jefferson makes free throw 1 of 2,1,94-117,,
2:48.0,R. Hollis-Jefferson makes free throw 2 of 2,1,95-117,,
2:37.0,,,95-119,2,K. Oubre makes 2-pt shot at rim (assist by J. Eddie)
2:18.0,T. Robinson misses 2-pt shot from 4 ft (block by D. Gooden),,95-119,,
2:18.0,Offensive rebound by Team,,95-119,,
2:15.0,H. Sims misses 3-pt shot from 26 ft,,95-119,,
2:13.0,,,95-119,,Defensive rebound by G. Temple
2:07.0,,,95-119,,D. Gooden misses 3-pt shot from 27 ft
2:05.0,Defensive rebound by S. Larkin,,95-119,,
1:55.0,T. Robinson misses 2-pt shot from 17 ft,,95-119,,
1:54.0,,,95-119,,Defensive rebound by J. Hickson
1:48.0,,,95-119,,D. Gooden misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by H. Sims,,95-119,,
1:33.0,T. Robinson makes 2-pt shot from 10 ft (assist by H. Sims),2,97-119,,
1:14.0,,,97-119,,J. Eddie misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by H. Sims,,97-119,,
1:08.0,Turnover by H. Sims (lost ball; steal by J. Eddie),,97-119,,
1:03.0,,,97-119,,J. Eddie misses 3-pt shot from 26 ft
1:01.0,Defensive rebound by T. Robinson,,97-119,,
0:56.0,W. Ellington makes 3-pt shot from 24 ft (assist by T. Robinson),3,100-119,,
0:37.0,,,100-119,,K. Oubre misses 3-pt shot from 27 ft
0:36.0,,,100-119,,Offensive rebound by Team
0:33.0,,,100-121,2,D. Gooden makes 2-pt shot from 1 ft (assist by G. Temple)
0:18.0,R. Hollis-Jefferson makes 3-pt shot from 27 ft,3,103-121,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
