time,Memphis,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Withey (G. Hayward gains possession),,,,Jump ball: M. Gasol vs. J. Withey (G. Hayward gains possession)
11:39.0,,,0-0,,Shooting foul by J. Green (drawn by T. Lyles)
11:39.0,,,0-1,1,T. Lyles makes free throw 1 of 2
11:39.0,,,0-2,1,T. Lyles makes free throw 2 of 2
11:16.0,M. Gasol misses 2-pt shot from 15 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by Team
11:16.0,Personal foul by T. Allen (drawn by R. Hood),,0-2,,
10:56.0,,,0-2,,R. Neto misses 2-pt shot from 1 ft
10:56.0,Defensive rebound by M. Gasol,,0-2,,
10:37.0,C. Lee makes 3-pt shot from 24 ft (assist by M. Gasol),3,3-2,,
10:24.0,,,3-2,,Turnover by R. Neto (bad pass; steal by T. Allen)
10:20.0,T. Allen makes 2-pt shot at rim,2,5-2,,
9:59.0,,,5-4,2,G. Hayward makes 2-pt shot from 18 ft
9:36.0,Shooting foul by J. Withey (drawn by C. Lee),,5-4,,
9:36.0,C. Lee makes free throw 1 of 2,1,6-4,,
9:36.0,C. Lee makes free throw 2 of 2,1,7-4,,
9:16.0,,,7-6,2,G. Hayward makes 2-pt shot from 8 ft
8:55.0,M. Gasol misses 2-pt shot from 17 ft,,7-6,,
8:55.0,,,7-6,,Defensive rebound by G. Hayward
8:42.0,,,7-8,2,R. Hood makes 2-pt shot from 21 ft
8:25.0,J. Green makes 2-pt shot from 3 ft (assist by M. Conley),2,9-8,,
8:10.0,,,9-8,,Turnover by T. Lyles (bad pass; steal by T. Allen)
8:05.0,M. Conley makes 2-pt shot from 2 ft (assist by T. Allen),2,11-8,,
7:39.0,,,11-10,2,R. Neto makes 2-pt shot from 2 ft (assist by G. Hayward)
7:24.0,T. Allen makes 3-pt shot from 22 ft (assist by M. Gasol),3,14-10,,
7:06.0,,,14-13,3,R. Hood makes 3-pt shot from 23 ft (assist by J. Withey)
6:46.0,M. Conley misses 2-pt shot from 19 ft,,14-13,,
6:45.0,,,14-13,,Defensive rebound by J. Withey
6:30.0,,,14-13,,Shooting foul by C. Lee (drawn by G. Hayward)
6:30.0,,,14-14,1,G. Hayward makes free throw 1 of 2
6:30.0,Z. Randolph enters the game for C. Lee,,14-14,,
6:30.0,,,14-15,1,G. Hayward makes free throw 2 of 2
6:11.0,Turnover by M. Gasol (bad pass; steal by R. Hood),,14-15,,
6:05.0,,,14-17,2,R. Hood makes 2-pt shot at rim (assist by R. Neto)
5:34.0,J. Green misses 3-pt shot from 24 ft,,14-17,,
5:33.0,Offensive rebound by Z. Randolph,,14-17,,
5:19.0,M. Conley misses 2-pt shot from 9 ft,,14-17,,
5:19.0,,,14-17,,Defensive rebound by T. Lyles
5:12.0,,,14-17,,R. Neto misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by M. Gasol,,14-17,,
4:58.0,J. Green misses 3-pt shot from 24 ft,,14-17,,
4:57.0,,,14-17,,Defensive rebound by R. Hood
4:47.0,Violation by M. Gasol (kicked ball),,14-17,,
4:47.0,,,14-17,,Utah full timeout
4:47.0,,,14-17,,T. Booker enters the game for J. Withey
4:41.0,,,14-17,,R. Hood misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by T. Allen,,14-17,,
4:26.0,Z. Randolph makes 2-pt shot from 2 ft,2,16-17,,
4:01.0,,,16-17,,Turnover by Team (shot clock)
3:51.0,,,16-17,,Personal foul by G. Hayward (drawn by M. Conley)
3:51.0,M. Conley makes free throw 1 of 2,1,17-17,,
3:51.0,C. Lee enters the game for T. Allen,,17-17,,
3:51.0,,,17-17,,T. Pleiss enters the game for T. Lyles
3:51.0,,,17-17,,T. Burke enters the game for R. Neto
3:51.0,M. Conley misses free throw 2 of 2,,17-17,,
3:50.0,,,17-17,,Defensive rebound by T. Pleiss
3:29.0,,,17-17,,R. Hood misses 2-pt shot from 10 ft
3:29.0,,,17-17,,Offensive rebound by R. Hood
3:16.0,,,17-17,,R. Hood misses 2-pt shot from 11 ft
3:15.0,,,17-17,,Offensive rebound by T. Booker
3:07.0,,,17-20,3,R. Hood makes 3-pt shot from 23 ft (assist by T. Booker)
2:58.0,Memphis full timeout,,17-20,,
2:58.0,M. Chalmers enters the game for M. Conley,,17-20,,
2:58.0,,,17-20,,C. Johnson enters the game for R. Hood
2:54.0,Turnover by C. Lee (offensive foul),,17-20,,
2:54.0,Offensive foul by C. Lee,,17-20,,
2:39.0,,,17-20,,G. Hayward misses 3-pt shot from 24 ft
2:38.0,Defensive rebound by J. Green,,17-20,,
2:27.0,M. Gasol misses 2-pt shot from 10 ft,,17-20,,
2:27.0,,,17-20,,Defensive rebound by T. Pleiss
2:10.0,,,17-22,2,T. Pleiss makes 2-pt shot from 20 ft (assist by C. Johnson)
1:51.0,M. Chalmers makes 3-pt shot from 24 ft (assist by Z. Randolph),3,20-22,,
1:28.0,,,20-22,,G. Hayward misses 2-pt shot from 14 ft
1:28.0,Defensive rebound by M. Gasol,,20-22,,
1:16.0,Z. Randolph misses 2-pt shot from 17 ft,,20-22,,
1:16.0,,,20-22,,Defensive rebound by G. Hayward
1:11.0,Personal foul by M. Chalmers (drawn by G. Hayward),,20-22,,
1:11.0,R. Hollins enters the game for M. Gasol,,20-22,,
1:11.0,V. Carter enters the game for J. Green,,20-22,,
1:02.0,,,20-22,,T. Burke misses 2-pt shot from 19 ft
1:01.0,,,20-22,,Offensive rebound by T. Pleiss
0:56.0,,,20-25,3,C. Johnson makes 3-pt shot from 24 ft (assist by T. Pleiss)
0:40.0,M. Chalmers makes 3-pt shot from 24 ft (assist by V. Carter),3,23-25,,
0:24.0,,,23-27,2,T. Burke makes 2-pt shot from 2 ft
0:24.0,,,23-27,,Shooting foul by M. Chalmers (drawn by T. Burke)
0:24.0,,,23-28,1,T. Burke makes free throw 1 of 1
0:02.0,M. Chalmers makes 2-pt shot from 22 ft,2,25-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,25-28,,Personal foul by T. Pleiss (drawn by M. Chalmers)
11:37.0,Z. Randolph misses 2-pt shot from 11 ft,,25-28,,
11:36.0,Offensive rebound by R. Hollins,,25-28,,
11:36.0,Turnover by Team (shot clock),,25-28,,
11:19.0,,,25-28,,J. Ingles misses 3-pt shot from 23 ft
11:19.0,,,25-28,,Offensive rebound by T. Booker
11:12.0,,,25-30,2,T. Pleiss makes 2-pt shot from 1 ft (assist by T. Burke)
11:00.0,Turnover by M. Chalmers (bad pass; steal by T. Burke),,25-30,,
10:56.0,,,25-30,,Shooting foul by V. Carter (drawn by T. Burke)
10:56.0,,,25-30,,T. Burke misses free throw 1 of 2
10:56.0,,,25-30,,Offensive rebound by Team
10:56.0,J. Green enters the game for Z. Randolph,,25-30,,
10:56.0,,,25-31,1,T. Burke makes free throw 2 of 2
10:45.0,Turnover by M. Chalmers (lost ball),,25-31,,
10:45.0,Memphis full timeout,,25-31,,
10:27.0,Violation by V. Carter (kicked ball),,25-31,,
10:21.0,,,25-31,,T. Burke misses 2-pt shot from 17 ft
10:21.0,Defensive rebound by V. Carter,,25-31,,
10:06.0,C. Lee misses 2-pt shot from 16 ft,,25-31,,
10:03.0,Offensive rebound by Team,,25-31,,
10:03.0,,,25-31,,Personal foul by T. Pleiss (drawn by R. Hollins)
10:03.0,,,25-31,,J. Withey enters the game for T. Pleiss
9:55.0,V. Carter misses 3-pt shot from 24 ft,,25-31,,
9:55.0,,,25-31,,Defensive rebound by J. Withey
9:32.0,,,25-31,,T. Booker misses 2-pt shot from 3 ft
9:30.0,,,25-31,,Offensive rebound by J. Withey
9:30.0,,,25-33,2,J. Withey makes 2-pt shot from 2 ft
9:09.0,R. Hollins misses 2-pt shot from 5 ft,,25-33,,
9:09.0,,,25-33,,Defensive rebound by R. Hood
9:01.0,,,25-33,,Shooting foul by J. Green (drawn by J. Withey)
