time,Miami,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. H. Whiteside (L. Allen gains possession),,,,Jump ball: I. Mahinmi vs. H. Whiteside (L. Allen gains possession)
11:46.0,,,0-2,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis)
11:28.0,C. Bosh makes 2-pt shot from 18 ft,2,2-2,,
11:12.0,,,2-2,,M. Ellis misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by H. Whiteside,,2-2,,
10:50.0,Turnover by H. Whiteside (lost ball; steal by I. Mahinmi),,2-2,,
10:40.0,,,2-2,,P. George misses 2-pt shot from 3 ft
10:40.0,Defensive rebound by H. Whiteside,,2-2,,
10:34.0,D. Wade misses 2-pt shot from 2 ft (block by L. Allen),,2-2,,
10:32.0,Offensive rebound by G. Dragic,,2-2,,
10:32.0,G. Dragic makes 2-pt shot from 3 ft,2,4-2,,
10:24.0,,,4-2,,Shooting foul by H. Whiteside (drawn by I. Mahinmi)
10:24.0,,,4-3,1,I. Mahinmi makes free throw 1 of 2
10:24.0,,,4-4,1,I. Mahinmi makes free throw 2 of 2
10:07.0,Turnover by G. Dragic (bad pass; steal by I. Mahinmi),,4-4,,
9:50.0,,,4-4,,Turnover by P. George (bad pass)
9:36.0,C. Bosh misses 2-pt shot at rim,,4-4,,
9:35.0,Offensive rebound by H. Whiteside,,4-4,,
9:32.0,H. Whiteside makes 2-pt shot from 2 ft,2,6-4,,
9:24.0,,,6-6,2,M. Ellis makes 2-pt shot from 20 ft
9:01.0,D. Wade misses 2-pt shot from 1 ft,,6-6,,
9:01.0,,,6-6,,Defensive rebound by L. Allen
8:50.0,,,6-6,,P. George misses 3-pt shot from 23 ft
8:50.0,Defensive rebound by H. Whiteside,,6-6,,
8:41.0,C. Bosh misses 3-pt shot from 24 ft,,6-6,,
8:39.0,,,6-6,,Defensive rebound by I. Mahinmi
8:39.0,Personal foul by H. Whiteside (drawn by I. Mahinmi),,6-6,,
8:39.0,A. Stoudemire enters the game for H. Whiteside,,6-6,,
8:28.0,,,6-6,,M. Ellis misses 2-pt shot from 18 ft
8:28.0,Defensive rebound by L. Deng,,6-6,,
8:13.0,C. Bosh makes 2-pt shot from 16 ft (assist by G. Dragic),2,8-6,,
8:09.0,,,8-6,,Turnover by G. Hill (bad pass; steal by C. Bosh)
8:03.0,D. Wade makes 2-pt shot from 11 ft,2,10-6,,
7:55.0,,,10-8,2,G. Hill makes 2-pt shot from 2 ft
7:39.0,D. Wade makes 2-pt shot from 15 ft (assist by G. Dragic),2,12-8,,
7:26.0,,,12-8,,Turnover by P. George (bad pass)
7:10.0,Turnover by D. Wade (bad pass),,12-8,,
6:55.0,,,12-8,,P. George misses 2-pt shot from 2 ft
6:54.0,,,12-8,,Offensive rebound by I. Mahinmi
6:54.0,,,12-10,2,I. Mahinmi makes 2-pt shot from 2 ft
6:38.0,L. Deng misses 3-pt shot from 22 ft,,12-10,,
6:37.0,,,12-10,,Defensive rebound by G. Hill
6:22.0,,,12-10,,Turnover by M. Ellis (bad pass)
6:12.0,C. Bosh misses 2-pt shot from 15 ft,,12-10,,
6:11.0,,,12-10,,Defensive rebound by M. Ellis
5:58.0,,,12-10,,Shooting foul by C. Bosh (drawn by I. Mahinmi)
5:58.0,,,12-10,,Indiana full timeout
5:58.0,,,12-10,,C. Miles enters the game for L. Allen
5:58.0,J. Winslow enters the game for G. Dragic,,12-10,,
5:58.0,,,12-11,1,I. Mahinmi makes free throw 1 of 2
5:58.0,,,12-12,1,I. Mahinmi makes free throw 2 of 2
5:40.0,D. Wade makes 2-pt shot from 15 ft,2,14-12,,
5:20.0,,,14-14,2,P. George makes 2-pt shot from 1 ft
5:03.0,L. Deng misses 3-pt shot from 24 ft,,14-14,,
5:02.0,,,14-14,,Defensive rebound by I. Mahinmi
4:55.0,,,14-14,,C. Miles misses 2-pt shot from 4 ft
4:54.0,Defensive rebound by J. Winslow,,14-14,,
4:37.0,Turnover by J. Winslow (bad pass; steal by M. Ellis),,14-14,,
4:32.0,,,14-14,,C. Miles misses 3-pt shot from 26 ft (block by A. Stoudemire)
4:32.0,,,14-14,,Offensive rebound by Team
4:32.0,G. Green enters the game for C. Bosh,,14-14,,
4:32.0,,,14-14,,J. Hill enters the game for I. Mahinmi
4:32.0,,,14-14,,R. Stuckey enters the game for G. Hill
4:26.0,,,14-14,,P. George misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by Team,,14-14,,
4:12.0,D. Wade misses 2-pt shot from 2 ft,,14-14,,
4:12.0,,,14-14,,Defensive rebound by R. Stuckey
4:06.0,,,14-14,,C. Miles misses 3-pt shot from 26 ft
4:06.0,Defensive rebound by G. Green,,14-14,,
3:54.0,Turnover by D. Wade (bad pass; steal by J. Hill),,14-14,,
3:48.0,,,14-14,,R. Stuckey misses 2-pt shot at rim
3:47.0,,,14-14,,Offensive rebound by C. Miles
3:47.0,,,14-16,2,C. Miles makes 2-pt shot from 1 ft
3:38.0,Miami full timeout,,14-16,,
3:38.0,G. Dragic enters the game for D. Wade,,14-16,,
3:30.0,Shooting foul by C. Miles (drawn by A. Stoudemire),,14-16,,
3:30.0,A. Stoudemire misses free throw 1 of 2,,14-16,,
3:30.0,Offensive rebound by Team,,14-16,,
3:30.0,A. Stoudemire makes free throw 2 of 2,1,15-16,,
3:16.0,,,15-16,,R. Stuckey misses 2-pt shot at rim (block by G. Green)
3:14.0,,,15-16,,Offensive rebound by J. Hill
3:05.0,,,15-16,,C. Miles misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by G. Dragic,,15-16,,
2:56.0,G. Green makes 2-pt shot from 2 ft (assist by G. Dragic),2,17-16,,
2:47.0,,,17-16,,C. Miles misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by A. Stoudemire,,17-16,,
2:26.0,A. Stoudemire misses 2-pt shot from 3 ft,,17-16,,
2:25.0,,,17-16,,Defensive rebound by C. Miles
2:11.0,,,17-16,,Shooting foul by G. Green (drawn by J. Hill)
2:11.0,,,17-17,1,J. Hill makes free throw 1 of 2
2:11.0,,,17-18,1,J. Hill makes free throw 2 of 2
1:59.0,G. Dragic misses 2-pt shot from 18 ft,,17-18,,
1:58.0,Offensive rebound by A. Stoudemire,,17-18,,
1:57.0,A. Stoudemire misses 2-pt shot at rim (block by C. Miles),,17-18,,
1:55.0,,,17-18,,Defensive rebound by C. Miles
1:35.0,,,17-18,,R. Stuckey misses 2-pt shot from 15 ft
1:35.0,Defensive rebound by Team,,17-18,,
1:35.0,J. Richardson enters the game for L. Deng,,17-18,,
1:35.0,C. Bosh enters the game for A. Stoudemire,,17-18,,
1:22.0,C. Bosh misses 2-pt shot from 2 ft,,17-18,,
1:21.0,Offensive rebound by J. Winslow,,17-18,,
1:21.0,J. Winslow makes 2-pt shot at rim,2,19-18,,
1:04.0,,,19-18,,M. Ellis misses 2-pt shot from 7 ft
1:04.0,Defensive rebound by G. Green,,19-18,,
0:55.0,J. Winslow misses 3-pt shot from 24 ft,,19-18,,
0:54.0,Offensive rebound by C. Bosh,,19-18,,
0:52.0,C. Bosh makes 2-pt shot from 12 ft,2,21-18,,
0:35.0,,,21-20,2,M. Ellis makes 2-pt shot from 1 ft (assist by R. Stuckey)
0:15.0,C. Bosh misses 3-pt shot from 24 ft,,21-20,,
0:14.0,Offensive rebound by C. Bosh,,21-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,G. Green makes 2-pt shot from 17 ft,2,23-20,,
11:29.0,,,23-20,,Shooting foul by J. Richardson (drawn by R. Stuckey)
11:29.0,,,23-21,1,R. Stuckey makes free throw 1 of 2
11:29.0,,,23-22,1,R. Stuckey makes free throw 2 of 2
11:18.0,G. Green misses 2-pt shot from 6 ft (block by C. Budinger),,23-22,,
11:17.0,,,23-22,,Defensive rebound by C. Budinger
11:16.0,Personal foul by G. Green (drawn by C. Budinger),,23-22,,
11:02.0,,,23-22,,J. Hill misses 2-pt shot from 3 ft (block by J. Winslow)
11:01.0,Defensive rebound by C. Bosh,,23-22,,
10:52.0,Turnover by C. Bosh (back court),,23-22,,
10:27.0,,,23-22,,R. Stuckey misses 2-pt shot from 12 ft
10:27.0,Defensive rebound by C. Bosh,,23-22,,
10:16.0,J. Richardson misses 3-pt shot from 24 ft,,23-22,,
10:12.0,,,23-22,,Defensive rebound by R. Stuckey
10:12.0,,,23-22,,Turnover by R. Stuckey (bad pass)
10:05.0,C. Bosh makes 2-pt shot from 16 ft (assist by G. Dragic),2,25-22,,
9:43.0,,,25-22,,G. Hill misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by J. Richardson,,25-22,,
9:34.0,Turnover by J. Richardson (bad pass; steal by C. Budinger),,25-22,,
