time,Toronto,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: K. Towns vs. J. Valanciunas (K. Lowry gains possession)
11:41.0,N. Powell makes 2-pt shot from 12 ft (assist by D. DeRozan),2,2-0,,
11:23.0,,,2-0,,Shooting foul by L. Scola (drawn by A. Wiggins)
11:23.0,,,2-1,1,A. Wiggins makes free throw 1 of 2
11:23.0,,,2-2,1,A. Wiggins makes free throw 2 of 2
11:00.0,L. Scola misses 2-pt shot from 17 ft,,2-2,,
10:58.0,Offensive rebound by J. Valanciunas,,2-2,,
10:55.0,Turnover by J. Valanciunas (bad pass; steal by A. Wiggins),,2-2,,
10:41.0,,,2-2,,Shooting foul by J. Valanciunas (drawn by K. Towns)
10:41.0,,,2-4,2,K. Towns makes 2-pt shot from 1 ft
10:41.0,,,2-5,1,K. Towns makes free throw 1 of 1
10:22.0,,,2-5,,Personal foul by R. Rubio (drawn by K. Lowry)
10:11.0,Shooting foul by A. Wiggins (drawn by D. DeRozan),,2-5,,
10:11.0,D. DeRozan misses free throw 1 of 2,,2-5,,
10:11.0,Offensive rebound by Team,,2-5,,
10:11.0,D. DeRozan makes free throw 2 of 2,1,3-5,,
9:55.0,,,3-5,,Shooting foul by J. Valanciunas (drawn by K. Towns)
9:55.0,,,3-6,1,K. Towns makes free throw 1 of 2
9:55.0,B. Biyombo enters the game for J. Valanciunas,,3-6,,
9:55.0,,,3-7,1,K. Towns makes free throw 2 of 2
9:44.0,Shooting foul by Z. LaVine (drawn by D. DeRozan),,3-7,,
9:44.0,D. DeRozan misses free throw 1 of 2,,3-7,,
9:44.0,Offensive rebound by Team,,3-7,,
9:44.0,D. DeRozan makes free throw 2 of 2,1,4-7,,
9:35.0,Personal foul by N. Powell (drawn by A. Wiggins),,4-7,,
9:30.0,,,4-9,2,Z. LaVine makes 2-pt shot from 20 ft (assist by G. Dieng)
9:06.0,K. Lowry makes 2-pt shot at rim,2,6-9,,
8:53.0,,,6-11,2,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng)
8:31.0,D. DeRozan misses 2-pt shot from 15 ft,,6-11,,
8:30.0,Offensive rebound by L. Scola,,6-11,,
8:29.0,Shooting foul by K. Towns (drawn by L. Scola),,6-11,,
8:29.0,L. Scola misses free throw 1 of 2,,6-11,,
8:29.0,Offensive rebound by Team,,6-11,,
8:29.0,L. Scola makes free throw 2 of 2,1,7-11,,
8:16.0,,,7-11,,A. Wiggins misses 2-pt shot from 4 ft (block by K. Lowry)
8:15.0,,,7-11,,Offensive rebound by Team
8:12.0,,,7-11,,K. Towns misses 2-pt shot from 17 ft
8:11.0,Defensive rebound by N. Powell,,7-11,,
8:01.0,Shooting foul by K. Towns (drawn by L. Scola),,7-11,,
8:01.0,L. Scola makes free throw 1 of 2,1,8-11,,
8:01.0,,,8-11,,N. Bjelica enters the game for K. Towns
8:01.0,L. Scola makes free throw 2 of 2,1,9-11,,
7:45.0,,,9-11,,Z. LaVine misses 2-pt shot from 2 ft (block by B. Biyombo)
7:43.0,Defensive rebound by N. Powell,,9-11,,
7:38.0,N. Powell makes 2-pt shot from 2 ft,2,11-11,,
7:19.0,,,11-11,,Turnover by N. Bjelica (3 sec)
7:11.0,D. DeRozan makes 2-pt shot from 22 ft (assist by K. Lowry),2,13-11,,
7:00.0,Personal foul by N. Powell (drawn by R. Rubio),,13-11,,
7:00.0,,,13-12,1,R. Rubio makes free throw 1 of 2
