time,Philadelphia,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. K. Towns (T. McConnell gains possession),,,,Jump ball: N. Noel vs. K. Towns (T. McConnell gains possession)
11:41.0,Turnover by J. Okafor (lost ball),,0-0,,
11:26.0,,,0-0,,K. Garnett misses 2-pt shot from 18 ft
11:24.0,Defensive rebound by Team,,0-0,,
11:09.0,N. Noel misses 2-pt shot from 13 ft,,0-0,,
11:07.0,Offensive rebound by J. Okafor,,0-0,,
11:06.0,Shooting foul by R. Rubio (drawn by J. Okafor),,0-0,,
11:06.0,J. Okafor makes free throw 1 of 2,1,1-0,,
11:06.0,J. Okafor makes free throw 2 of 2,1,2-0,,
10:52.0,,,2-0,,K. Martin misses 2-pt shot from 19 ft
10:50.0,,,2-0,,Offensive rebound by R. Rubio
10:35.0,,,2-0,,K. Martin misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by J. Okafor,,2-0,,
10:24.0,J. Grant misses 3-pt shot from 25 ft,,2-0,,
10:22.0,,,2-0,,Defensive rebound by K. Towns
10:14.0,,,2-2,2,R. Rubio makes 2-pt shot from 18 ft
9:57.0,Shooting foul by K. Towns (drawn by N. Stauskas),,2-2,,
9:57.0,N. Stauskas makes free throw 1 of 2,1,3-2,,
9:57.0,N. Stauskas makes free throw 2 of 2,1,4-2,,
9:45.0,,,4-5,3,A. Wiggins makes 3-pt shot from 24 ft (assist by K. Garnett)
9:25.0,J. Grant misses 2-pt shot from 9 ft (block by K. Towns),,4-5,,
9:24.0,,,4-5,,Defensive rebound by K. Garnett
9:18.0,,,4-5,,Turnover by R. Rubio (lost ball; steal by T. McConnell)
9:12.0,J. Okafor makes 2-pt shot from 1 ft (assist by T. McConnell),2,6-5,,
8:58.0,,,6-5,,K. Towns misses 2-pt shot from 2 ft (block by J. Okafor)
8:57.0,Defensive rebound by J. Okafor,,6-5,,
8:44.0,J. Okafor misses 2-pt shot from 10 ft,,6-5,,
8:43.0,,,6-5,,Defensive rebound by K. Garnett
8:34.0,,,6-5,,K. Towns misses 2-pt shot from 12 ft
8:34.0,Defensive rebound by N. Noel,,6-5,,
8:19.0,Turnover by N. Noel (lost ball; steal by K. Garnett),,6-5,,
8:16.0,,,6-5,,Shooting foul by T. McConnell (drawn by R. Rubio)
8:16.0,,,6-6,1,R. Rubio makes free throw 1 of 2
8:16.0,,,6-7,1,R. Rubio makes free throw 2 of 2
8:01.0,Turnover by J. Grant (bad pass; steal by K. Garnett),,6-7,,
7:56.0,,,6-7,,R. Rubio misses 2-pt shot from 1 ft
7:54.0,,,6-7,,Offensive rebound by K. Towns
7:51.0,,,6-7,,A. Wiggins misses 2-pt shot from 7 ft
7:50.0,Defensive rebound by J. Grant,,6-7,,
7:40.0,Turnover by T. McConnell (bad pass),,6-7,,
7:23.0,,,6-9,2,K. Towns makes 2-pt shot from 8 ft (assist by A. Wiggins)
7:06.0,J. Okafor makes 2-pt shot from 5 ft,2,8-9,,
7:06.0,Shooting foul by K. Towns (drawn by J. Okafor),,8-9,,
7:06.0,,,8-9,,G. Dieng enters the game for K. Towns
7:06.0,J. Okafor misses free throw 1 of 1,,8-9,,
7:05.0,,,8-9,,Defensive rebound by K. Garnett
6:53.0,,,8-9,,A. Wiggins misses 2-pt shot from 2 ft (block by J. Grant)
6:51.0,Defensive rebound by T. McConnell,,8-9,,
6:46.0,J. Grant makes 2-pt shot at rim (assist by T. McConnell),2,10-9,,
