time,Boston,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. K. Towns (G. Dieng gains possession),,,,Jump ball: A. Johnson vs. K. Towns (G. Dieng gains possession)
11:45.0,,,0-0,,A. Wiggins misses 2-pt shot from 18 ft
11:44.0,,,0-0,,Offensive rebound by Z. LaVine
11:30.0,,,0-2,2,A. Wiggins makes 2-pt shot from 21 ft (assist by G. Dieng)
11:10.0,A. Bradley misses 3-pt shot from 22 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by R. Rubio
10:54.0,,,0-4,2,K. Towns makes 2-pt shot from 5 ft (assist by R. Rubio)
10:37.0,J. Sullinger makes 2-pt shot from 21 ft (assist by I. Thomas),2,2-4,,
10:18.0,,,2-4,,K. Towns misses 2-pt shot from 1 ft (block by A. Johnson)
10:16.0,Defensive rebound by A. Bradley,,2-4,,
10:12.0,A. Bradley misses 2-pt shot from 20 ft,,2-4,,
10:11.0,,,2-4,,Defensive rebound by R. Rubio
10:08.0,,,2-4,,Turnover by Z. LaVine (bad pass)
9:50.0,J. Sullinger makes 2-pt shot from 17 ft (assist by I. Thomas),2,4-4,,
9:32.0,,,4-6,2,G. Dieng makes 2-pt shot from 20 ft (assist by R. Rubio)
9:23.0,,,4-6,,Personal foul by R. Rubio
9:17.0,I. Thomas misses 2-pt shot from 20 ft,,4-6,,
9:16.0,,,4-6,,Defensive rebound by K. Towns
9:10.0,Personal foul by I. Thomas,,4-6,,
9:06.0,,,4-6,,A. Wiggins misses 2-pt shot from 21 ft
9:04.0,,,4-6,,Offensive rebound by G. Dieng
8:57.0,Violation by I. Thomas (kicked ball),,4-6,,
8:47.0,,,4-8,2,A. Wiggins makes 2-pt shot from 7 ft
8:38.0,Shooting foul by A. Wiggins (drawn by J. Crowder),,4-8,,
8:38.0,J. Crowder makes free throw 1 of 2,1,5-8,,
8:38.0,J. Crowder makes free throw 2 of 2,1,6-8,,
8:26.0,,,6-10,2,K. Towns makes 2-pt shot from 16 ft (assist by R. Rubio)
8:08.0,Shooting foul by K. Towns (drawn by J. Sullinger),,6-10,,
8:08.0,J. Sullinger misses free throw 1 of 2,,6-10,,
