time,Phoenix,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. I. Mahinmi (M. Ellis gains possession),,,,Jump ball: T. Chandler vs. I. Mahinmi (M. Ellis gains possession)
11:45.0,,,0-0,,Turnover by P. George (traveling)
11:24.0,T. Chandler misses 2-pt shot from 7 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by P. George
11:08.0,,,0-3,3,G. Hill makes 3-pt shot from 25 ft (assist by M. Ellis)
10:48.0,D. Booker misses 2-pt shot from 16 ft,,0-3,,
10:48.0,,,0-3,,Defensive rebound by I. Mahinmi
10:31.0,,,0-3,,M. Ellis misses 3-pt shot from 24 ft
10:31.0,Defensive rebound by J. Leuer,,0-3,,
10:17.0,T. Chandler misses 2-pt shot from 1 ft,,0-3,,
10:15.0,Offensive rebound by D. Booker,,0-3,,
10:10.0,Turnover by D. Booker (bad pass; steal by I. Mahinmi),,0-3,,
10:07.0,,,0-3,,Shooting foul by A. Goodwin (drawn by P. George)
10:07.0,,,0-4,1,P. George makes free throw 1 of 2
10:07.0,,,0-5,1,P. George makes free throw 2 of 2
9:47.0,J. Leuer misses 2-pt shot from 20 ft,,0-5,,
9:46.0,,,0-5,,Defensive rebound by P. George
9:33.0,,,0-7,2,P. George makes 2-pt shot from 1 ft (assist by L. Allen)
9:19.0,P. Tucker misses 2-pt shot from 15 ft,,0-7,,
9:18.0,,,0-7,,Defensive rebound by I. Mahinmi
9:13.0,,,0-7,,Offensive charge foul by P. George
9:13.0,,,0-7,,Turnover by P. George (offensive foul)
8:57.0,Turnover by A. Goodwin (bad pass; steal by L. Allen),,0-7,,
8:51.0,,,0-9,2,G. Hill makes 2-pt shot from 13 ft
8:50.0,Phoenix full timeout,,0-9,,
8:34.0,D. Booker misses 2-pt shot from 19 ft,,0-9,,
8:33.0,Offensive rebound by T. Chandler,,0-9,,
8:27.0,T. Chandler misses 2-pt shot from 18 ft,,0-9,,
8:26.0,,,0-9,,Defensive rebound by L. Allen
8:07.0,,,0-9,,Shooting foul by D. Booker (drawn by I. Mahinmi)
8:07.0,,,0-9,,I. Mahinmi misses free throw 1 of 2
8:07.0,,,0-9,,Offensive rebound by Team
8:07.0,,,0-9,,I. Mahinmi misses free throw 2 of 2
8:07.0,Defensive rebound by P. Tucker,,0-9,,
7:53.0,Turnover by J. Leuer (bad pass; steal by M. Ellis),,0-9,,
7:50.0,,,0-9,,M. Ellis misses 2-pt shot from 1 ft (block by A. Goodwin)
7:50.0,Defensive rebound by Team,,0-9,,
7:34.0,J. Leuer misses 3-pt shot from 24 ft,,0-9,,
7:33.0,Offensive rebound by T. Chandler,,0-9,,
7:19.0,D. Booker misses 2-pt shot from 22 ft,,0-9,,
7:19.0,,,0-9,,Defensive rebound by L. Allen
7:08.0,,,0-12,3,G. Hill makes 3-pt shot from 23 ft (assist by I. Mahinmi)
6:52.0,Turnover by J. Leuer (bad pass; steal by P. George),,0-12,,
6:44.0,,,0-12,,Turnover by M. Ellis (bad pass; steal by P. Tucker)
6:40.0,,,0-12,,Shooting block foul by M. Ellis (drawn by D. Booker)
6:40.0,D. Booker makes 2-pt shot at rim (assist by P. Tucker),2,2-12,,
6:40.0,M. Morris enters the game for T. Chandler,,2-12,,
6:40.0,D. Booker makes free throw 1 of 1,1,3-12,,
6:28.0,,,3-12,,P. George misses 3-pt shot from 28 ft
6:28.0,Defensive rebound by M. Morris,,3-12,,
6:21.0,P. Tucker misses 3-pt shot from 23 ft,,3-12,,
6:20.0,,,3-12,,Defensive rebound by L. Allen
6:03.0,,,3-12,,M. Ellis misses 2-pt shot from 20 ft
