time,Toronto,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: J. Valanciunas vs. H. Whiteside (G. Dragic gains possession)
11:46.0,,,0-2,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
11:21.0,K. Lowry misses 3-pt shot from 25 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by J. Johnson
11:04.0,,,0-2,,L. Deng misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by D. Carroll,,0-2,,
10:54.0,D. DeRozan misses 2-pt shot from 18 ft,,0-2,,
10:53.0,,,0-2,,Defensive rebound by D. Wade
10:43.0,,,0-2,,G. Dragic misses 2-pt shot from 2 ft
10:42.0,Defensive rebound by D. Carroll,,0-2,,
10:25.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. Carroll),2,2-2,,
10:01.0,,,2-2,,J. Johnson misses 2-pt shot from 17 ft
10:00.0,Defensive rebound by D. Carroll,,2-2,,
9:46.0,D. DeRozan misses 2-pt shot from 15 ft,,2-2,,
9:45.0,Offensive rebound by Team,,2-2,,
9:45.0,,,2-2,,Loose ball foul by L. Deng
9:27.0,J. Valanciunas makes 2-pt shot from 2 ft,2,4-2,,
9:20.0,,,4-2,,Turnover by G. Dragic (lost ball)
9:05.0,J. Valanciunas makes 2-pt shot from 14 ft (assist by D. DeRozan),2,6-2,,
8:41.0,,,6-4,2,H. Whiteside makes 2-pt shot from 9 ft (assist by J. Johnson)
8:18.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. Carroll),3,9-4,,
7:56.0,,,9-4,,L. Deng misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by Team,,9-4,,
7:45.0,J. Valanciunas misses 2-pt shot from 19 ft,,9-4,,
7:44.0,,,9-4,,Defensive rebound by J. Johnson
7:36.0,,,9-4,,D. Wade misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by J. Valanciunas,,9-4,,
7:15.0,D. DeRozan makes 2-pt shot from 18 ft (assist by J. Valanciunas),2,11-4,,
7:02.0,,,11-4,,G. Dragic misses 2-pt shot from 8 ft
7:01.0,Defensive rebound by J. Valanciunas,,11-4,,
6:51.0,J. Valanciunas misses 2-pt shot from 17 ft,,11-4,,
6:50.0,,,11-4,,Defensive rebound by G. Dragic
6:44.0,,,11-6,2,G. Dragic makes 2-pt shot from 15 ft
6:29.0,Turnover by K. Lowry (lost ball; steal by L. Deng),,11-6,,
6:22.0,,,11-6,,U. Haslem enters the game for H. Whiteside
6:22.0,Jump ball: G. Dragic vs. J. Valanciunas,,,,Jump ball: G. Dragic vs. J. Valanciunas
6:22.0,,,11-6,,Violation by Team (jump ball)
6:22.0,,,11-6,,Turnover by G. Dragic (jump ball violation.)
6:04.0,Offensive charge foul by J. Valanciunas,,11-6,,
6:04.0,Turnover by J. Valanciunas (offensive foul),,11-6,,
5:45.0,,,11-6,,G. Dragic misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by J. Valanciunas,,11-6,,
5:33.0,K. Lowry misses 2-pt shot from 17 ft,,11-6,,
5:32.0,,,11-6,,Defensive rebound by U. Haslem
5:17.0,,,11-9,3,D. Wade makes 3-pt shot from 24 ft
5:12.0,Toronto full timeout,,11-9,,
5:12.0,,,11-9,,J. Richardson enters the game for L. Deng
5:12.0,,,11-9,,G. Green enters the game for G. Dragic
4:58.0,D. DeRozan makes 2-pt shot from 19 ft,2,13-9,,
4:44.0,,,13-11,2,D. Wade makes 2-pt shot from 2 ft (assist by U. Haslem)
4:41.0,,,13-11,,Personal foul by J. Richardson
4:18.0,J. Valanciunas misses 2-pt shot from 2 ft,,13-11,,
4:17.0,Offensive rebound by J. Valanciunas,,13-11,,
4:12.0,D. Carroll misses 3-pt shot from 24 ft,,13-11,,
4:11.0,,,13-11,,Defensive rebound by D. Wade
4:03.0,,,13-13,2,D. Wade makes 2-pt shot from 12 ft
3:36.0,D. DeRozan makes 2-pt shot from 16 ft,2,15-13,,
3:09.0,,,15-13,,D. Wade misses 2-pt shot from 10 ft
3:08.0,,,15-13,,Offensive rebound by Team
3:08.0,,,15-13,,Turnover by Team (shot clock)
3:08.0,T. Ross enters the game for D. Carroll,,15-13,,
2:44.0,D. DeRozan misses 2-pt shot from 18 ft,,15-13,,
2:43.0,Offensive rebound by J. Valanciunas,,15-13,,
2:41.0,J. Valanciunas makes 2-pt shot at rim,2,17-13,,
2:41.0,,,17-13,,Miami full timeout
2:41.0,B. Biyombo enters the game for J. Valanciunas,,17-13,,
2:41.0,C. Joseph enters the game for K. Lowry,,17-13,,
2:41.0,,,17-13,,G. Dragic enters the game for J. Johnson
2:41.0,,,17-13,,L. Deng enters the game for D. Wade
2:14.0,,,17-13,,G. Green misses 2-pt shot from 13 ft
2:13.0,,,17-13,,Offensive rebound by U. Haslem
2:04.0,,,17-13,,J. Richardson misses 3-pt shot from 25 ft
2:03.0,Defensive rebound by B. Biyombo,,17-13,,
1:42.0,Shooting foul by G. Green (drawn by B. Biyombo),,17-13,,
1:42.0,B. Biyombo makes free throw 1 of 2,1,18-13,,
1:42.0,,,18-13,,H. Whiteside enters the game for U. Haslem
1:42.0,N. Powell enters the game for P. Patterson,,18-13,,
1:42.0,B. Biyombo makes free throw 2 of 2,1,19-13,,
1:27.0,,,19-15,2,G. Dragic makes 2-pt shot from 8 ft
1:07.0,D. DeRozan misses 2-pt shot from 14 ft,,19-15,,
1:06.0,,,19-15,,Defensive rebound by G. Green
0:59.0,,,19-15,,Turnover by G. Dragic (lost ball; steal by N. Powell)
0:57.0,Shooting foul by G. Green (drawn by D. DeRozan),,19-15,,
0:57.0,D. DeRozan makes free throw 1 of 2,1,20-15,,
0:57.0,D. DeRozan makes free throw 2 of 2,1,21-15,,
0:40.0,,,21-17,2,G. Green makes 2-pt shot from 19 ft
0:35.0,C. Joseph makes 2-pt shot from 20 ft,2,23-17,,
0:17.0,,,23-17,,Shooting foul by C. Joseph (drawn by H. Whiteside)
0:17.0,,,23-18,1,H. Whiteside makes free throw 1 of 2
0:17.0,,,23-19,1,H. Whiteside makes free throw 2 of 2
0:01.0,T. Ross misses 3-pt shot from 24 ft,,23-19,,
