time,Minnesota,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. K. Towns (J. Calderon gains possession),,,,Jump ball: R. Lopez vs. K. Towns (J. Calderon gains possession)
11:42.0,,,0-0,,A. Afflalo misses 2-pt shot from 15 ft
11:41.0,Defensive rebound by G. Dieng,,0-0,,
11:27.0,K. Towns misses 2-pt shot from 21 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by J. Calderon
11:16.0,,,0-3,3,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Calderon)
10:58.0,A. Wiggins misses 2-pt shot from 1 ft (block by K. Porzingis),,0-3,,
10:57.0,,,0-3,,Defensive rebound by C. Anthony
10:48.0,,,0-3,,K. Porzingis misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by T. Prince,,0-3,,
10:42.0,A. Wiggins misses 2-pt shot at rim (block by K. Porzingis),,0-3,,
10:41.0,Offensive rebound by K. Towns,,0-3,,
10:40.0,K. Towns makes 2-pt shot from 1 ft,2,2-3,,
10:24.0,,,2-3,,R. Lopez misses 2-pt shot from 7 ft
10:23.0,Defensive rebound by R. Rubio,,2-3,,
10:15.0,K. Towns misses 3-pt shot from 24 ft,,2-3,,
10:14.0,,,2-3,,Defensive rebound by C. Anthony
10:05.0,,,2-5,2,R. Lopez makes 2-pt shot from 6 ft (assist by C. Anthony)
9:46.0,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio),2,4-5,,
9:24.0,,,4-7,2,A. Afflalo makes 2-pt shot from 14 ft
9:10.0,K. Towns misses 2-pt shot from 14 ft,,4-7,,
9:09.0,,,4-7,,Defensive rebound by A. Afflalo
9:05.0,,,4-7,,Turnover by C. Anthony (bad pass; steal by R. Rubio)
8:57.0,A. Wiggins misses 3-pt shot from 23 ft,,4-7,,
8:56.0,,,4-7,,Defensive rebound by K. Porzingis
8:45.0,,,4-7,,C. Anthony misses 2-pt shot from 13 ft
8:44.0,Defensive rebound by R. Rubio,,4-7,,
8:25.0,A. Wiggins misses 2-pt shot from 9 ft,,4-7,,
8:24.0,,,4-7,,Defensive rebound by K. Porzingis
8:20.0,,,4-7,,Turnover by J. Calderon (bad pass; steal by R. Rubio)
8:16.0,,,4-7,,Personal foul by R. Lopez (drawn by G. Dieng)
8:06.0,R. Rubio makes 2-pt shot from 16 ft (assist by G. Dieng),2,6-7,,
7:51.0,,,6-7,,K. Porzingis misses 2-pt shot from 11 ft
7:50.0,Defensive rebound by K. Towns,,6-7,,
7:45.0,R. Rubio misses 2-pt shot from 21 ft,,6-7,,
7:43.0,,,6-7,,Defensive rebound by Team
7:43.0,Violation by Team (delay of game),,6-7,,
7:30.0,,,6-7,,J. Calderon misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by G. Dieng,,6-7,,
7:23.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,8-7,,
7:08.0,,,8-7,,Turnover by A. Afflalo (bad pass; steal by R. Rubio)
7:03.0,Turnover by K. Towns (lost ball),,8-7,,
7:03.0,,,8-7,,New York full timeout
7:03.0,,,8-7,,K. O'Quinn enters the game for R. Lopez
7:03.0,,,8-7,,L. Galloway enters the game for J. Calderon
6:44.0,,,8-9,2,K. O'Quinn makes 2-pt shot from 15 ft (assist by C. Anthony)
6:31.0,A. Wiggins misses 3-pt shot from 24 ft,,8-9,,
6:30.0,Offensive rebound by G. Dieng,,8-9,,
6:20.0,G. Dieng makes 2-pt shot from 12 ft (assist by R. Rubio),2,10-9,,
6:00.0,,,10-12,3,A. Afflalo makes 3-pt shot from 24 ft (assist by L. Galloway)
5:40.0,K. Towns misses 2-pt shot from 4 ft,,10-12,,
5:39.0,Offensive rebound by R. Rubio,,10-12,,
5:38.0,,,10-12,,Personal foul by K. O'Quinn (drawn by A. Wiggins)
5:38.0,A. Payne enters the game for G. Dieng,,10-12,,
5:26.0,A. Wiggins misses 2-pt shot from 11 ft,,10-12,,
5:25.0,Offensive rebound by A. Payne,,10-12,,
5:24.0,A. Payne misses 2-pt shot at rim (block by K. Porzingis),,10-12,,
5:23.0,,,10-12,,Defensive rebound by A. Afflalo
5:17.0,,,10-12,,L. Galloway misses 2-pt shot from 6 ft
5:15.0,Defensive rebound by A. Payne,,10-12,,
5:11.0,A. Wiggins misses 2-pt shot at rim,,10-12,,
5:10.0,,,10-12,,Defensive rebound by C. Anthony
4:58.0,,,10-12,,L. Galloway misses 3-pt shot from 25 ft
4:57.0,Defensive rebound by A. Wiggins,,10-12,,
4:47.0,A. Payne misses 3-pt shot from 24 ft,,10-12,,
4:46.0,Offensive rebound by R. Rubio,,10-12,,
4:43.0,R. Rubio makes 2-pt shot from 12 ft,2,12-12,,
4:28.0,,,12-14,2,C. Anthony makes 2-pt shot from 15 ft
4:19.0,Minnesota full timeout,,12-14,,
4:19.0,,,12-14,,S. Vujacic enters the game for K. Porzingis
4:19.0,,,12-14,,L. Thomas enters the game for A. Afflalo
4:19.0,Z. LaVine enters the game for K. Towns,,12-14,,
4:19.0,G. Dieng enters the game for R. Rubio,,12-14,,
4:06.0,A. Wiggins misses 2-pt shot from 5 ft,,12-14,,
4:05.0,Offensive rebound by A. Wiggins,,12-14,,
4:03.0,A. Wiggins makes 2-pt shot at rim,2,14-14,,
3:45.0,,,14-16,2,K. O'Quinn makes 2-pt shot at rim (assist by C. Anthony)
3:24.0,G. Dieng makes 2-pt shot from 19 ft (assist by Z. LaVine),2,16-16,,
3:04.0,,,16-16,,L. Thomas misses 2-pt shot from 1 ft
3:03.0,Defensive rebound by A. Payne,,16-16,,
2:45.0,,,16-16,,D. Williams enters the game for C. Anthony
2:45.0,,,16-16,,Violation by C. Anthony (kicked ball)
2:45.0,S. Muhammad enters the game for T. Prince,,16-16,,
2:39.0,Shooting foul by K. O'Quinn (drawn by A. Wiggins),,16-16,,
2:39.0,A. Wiggins makes free throw 1 of 2,1,17-16,,
2:39.0,A. Wiggins makes free throw 2 of 2,1,18-16,,
2:32.0,,,18-18,2,L. Thomas makes 2-pt shot at rim
2:18.0,S. Muhammad makes 2-pt shot from 11 ft,2,20-18,,
2:01.0,,,20-20,2,L. Galloway makes 2-pt shot at rim (assist by K. O'Quinn)
1:44.0,Z. LaVine misses 2-pt shot from 22 ft,,20-20,,
1:44.0,,,20-20,,Defensive rebound by Team
1:44.0,Flagrant foul type 1 by S. Muhammad (drawn by S. Vujacic),,20-20,,
1:44.0,,,20-21,1,S. Vujacic makes flagrant free throw 1 of 2
