time,New York,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Lopez (T. Gibson gains possession),,,,Jump ball: P. Gasol vs. R. Lopez (T. Gibson gains possession)
11:44.0,,,0-3,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Butler)
11:24.0,R. Lopez misses 2-pt shot from 4 ft,,0-3,,
11:23.0,,,0-3,,Defensive rebound by T. Gibson
11:17.0,,,0-5,2,K. Hinrich makes 2-pt shot from 2 ft
10:57.0,Turnover by J. Calderon (bad pass; steal by T. Gibson),,0-5,,
10:57.0,Personal foul by K. Porzingis (drawn by T. Gibson),,0-5,,
10:38.0,,,0-5,,P. Gasol misses 2-pt shot from 1 ft
10:37.0,,,0-5,,Offensive rebound by T. Gibson
10:32.0,,,0-7,2,J. Butler makes 2-pt shot from 16 ft (assist by N. Mirotic)
10:17.0,J. Calderon misses 2-pt shot from 21 ft,,0-7,,
10:16.0,Offensive rebound by R. Lopez,,0-7,,
10:16.0,R. Lopez misses 2-pt shot from 1 ft,,0-7,,
10:15.0,,,0-7,,Defensive rebound by T. Gibson
10:04.0,,,0-9,2,P. Gasol makes 2-pt shot from 14 ft (assist by N. Mirotic)
9:57.0,New York full timeout,,0-9,,
9:50.0,C. Anthony misses 2-pt shot from 15 ft,,0-9,,
9:49.0,,,0-9,,Defensive rebound by N. Mirotic
9:33.0,,,0-11,2,T. Gibson makes 2-pt shot from 15 ft (assist by J. Butler)
9:18.0,C. Anthony misses 2-pt shot from 1 ft (block by P. Gasol),,0-11,,
9:15.0,Offensive rebound by C. Anthony,,0-11,,
9:15.0,C. Anthony misses 2-pt shot at rim,,0-11,,
9:14.0,Offensive rebound by C. Anthony,,0-11,,
9:14.0,C. Anthony misses 2-pt shot at rim,,0-11,,
9:13.0,,,0-11,,Defensive rebound by T. Gibson
9:08.0,,,0-11,,N. Mirotic misses 3-pt shot from 26 ft
9:07.0,Defensive rebound by J. Calderon,,0-11,,
8:57.0,R. Lopez misses 2-pt shot from 7 ft,,0-11,,
8:57.0,Offensive rebound by Team,,0-11,,
8:57.0,,,0-11,,Loose ball foul by T. Gibson (drawn by K. Porzingis)
8:49.0,K. Porzingis misses 2-pt shot from 20 ft,,0-11,,
8:48.0,,,0-11,,Defensive rebound by K. Hinrich
8:37.0,,,0-11,,T. Gibson misses 2-pt shot from 2 ft (block by R. Lopez)
8:35.0,Defensive rebound by A. Afflalo,,0-11,,
8:28.0,A. Afflalo misses 3-pt shot from 24 ft (block by J. Butler),,0-11,,
8:26.0,,,0-11,,Defensive rebound by K. Hinrich
