time,Golden State,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. R. Gobert (D. Favors gains possession),,,,Jump ball: A. Bogut vs. R. Gobert (D. Favors gains possession)
11:42.0,,,0-0,,R. Hood misses 2-pt shot from 10 ft
11:41.0,Defensive rebound by H. Barnes,,0-0,,
11:24.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,2-0,,
11:02.0,,,2-2,2,D. Favors makes 2-pt shot from 1 ft (assist by S. Mack)
10:50.0,D. Green misses 3-pt shot from 24 ft,,2-2,,
10:50.0,Offensive rebound by A. Bogut,,2-2,,
10:47.0,A. Bogut misses 2-pt shot from 1 ft,,2-2,,
10:46.0,,,2-2,,Defensive rebound by D. Favors
10:35.0,,,2-4,2,D. Favors makes 2-pt shot from 1 ft (assist by S. Mack)
10:23.0,Turnover by A. Bogut (lost ball; steal by S. Mack),,2-4,,
10:15.0,Personal foul by A. Bogut,,2-4,,
9:58.0,,,2-7,3,R. Hood makes 3-pt shot from 26 ft
9:37.0,A. Bogut makes 2-pt shot at rim (assist by K. Thompson),2,4-7,,
9:15.0,,,4-7,,S. Mack misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by K. Thompson,,4-7,,
9:02.0,H. Barnes misses 3-pt shot from 22 ft,,4-7,,
9:02.0,,,4-7,,Defensive rebound by R. Gobert
8:51.0,,,4-10,3,G. Hayward makes 3-pt shot from 24 ft (assist by S. Mack)
8:43.0,S. Curry makes 2-pt shot from 2 ft,2,6-10,,
8:31.0,,,6-10,,R. Gobert misses 2-pt shot from 3 ft (block by A. Bogut)
8:30.0,Defensive rebound by S. Curry,,6-10,,
8:25.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,9-10,,
8:02.0,,,9-10,,D. Favors misses 2-pt shot from 15 ft
8:02.0,Defensive rebound by S. Curry,,9-10,,
7:56.0,S. Curry misses 3-pt shot from 24 ft,,9-10,,
7:55.0,,,9-10,,Defensive rebound by R. Gobert
7:35.0,,,9-12,2,G. Hayward makes 2-pt shot from 20 ft
7:19.0,H. Barnes makes 2-pt shot from 20 ft,2,11-12,,
7:01.0,,,11-12,,Turnover by G. Hayward (lost ball)
6:48.0,A. Bogut misses 2-pt shot from 3 ft,,11-12,,
6:48.0,,,11-12,,Defensive rebound by D. Favors
6:42.0,,,11-12,,Turnover by S. Mack (lost ball; steal by S. Curry)
6:34.0,S. Curry misses 2-pt shot from 2 ft,,11-12,,
6:33.0,Offensive rebound by H. Barnes,,11-12,,
6:26.0,K. Thompson makes 2-pt shot from 5 ft,2,13-12,,
6:22.0,,,13-12,,Utah full timeout
6:13.0,,,13-12,,S. Mack misses 2-pt shot from 19 ft
6:12.0,Defensive rebound by D. Green,,13-12,,
5:52.0,H. Barnes makes 2-pt shot from 16 ft,2,15-12,,
5:25.0,,,15-12,,D. Favors misses 2-pt shot from 11 ft
5:24.0,Defensive rebound by H. Barnes,,15-12,,
5:13.0,K. Thompson makes 2-pt shot at rim (assist by A. Bogut),2,17-12,,
4:58.0,,,17-12,,G. Hayward misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by Team,,17-12,,
4:57.0,,,17-12,,Personal foul by R. Gobert
4:57.0,,,17-12,,J. Ingles enters the game for R. Hood
4:57.0,,,17-12,,T. Lyles enters the game for D. Favors
4:43.0,K. Thompson misses 2-pt shot from 17 ft,,17-12,,
4:42.0,Offensive rebound by S. Curry,,17-12,,
4:35.0,H. Barnes misses 3-pt shot from 24 ft,,17-12,,
4:35.0,,,17-12,,Defensive rebound by G. Hayward
4:23.0,,,17-12,,S. Mack misses 2-pt shot from 4 ft
4:23.0,Defensive rebound by A. Bogut,,17-12,,
4:13.0,K. Thompson makes 2-pt shot from 15 ft (assist by D. Green),2,19-12,,
3:54.0,,,19-12,,R. Gobert misses 2-pt shot from 5 ft
3:54.0,Defensive rebound by S. Curry,,19-12,,
3:45.0,S. Curry misses 2-pt shot from 13 ft,,19-12,,
3:45.0,,,19-12,,Defensive rebound by R. Gobert
3:45.0,Personal foul by A. Bogut,,19-12,,
3:45.0,L. Barbosa enters the game for K. Thompson,,19-12,,
3:45.0,A. Varejao enters the game for A. Bogut,,19-12,,
3:28.0,,,19-14,2,T. Lyles makes 2-pt shot from 18 ft
3:11.0,H. Barnes misses 3-pt shot from 24 ft,,19-14,,
3:11.0,Offensive rebound by S. Curry,,19-14,,
3:05.0,S. Curry makes 3-pt shot from 24 ft,3,22-14,,
2:46.0,,,22-16,2,R. Gobert makes 2-pt shot at rim
2:46.0,,,22-16,,S. Mack misses 2-pt shot from 6 ft
2:46.0,,,22-16,,Offensive rebound by R. Gobert
2:46.0,Golden State full timeout,,22-16,,
2:46.0,S. Livingston enters the game for H. Barnes,,22-16,,
2:30.0,S. Curry misses 2-pt shot from 3 ft,,22-16,,
2:29.0,,,22-16,,Defensive rebound by J. Ingles
2:21.0,,,22-16,,S. Mack misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by S. Livingston,,22-16,,
2:12.0,Turnover by S. Curry (lost ball; steal by J. Ingles),,22-16,,
2:07.0,,,22-16,,T. Lyles misses 3-pt shot from 23 ft
2:06.0,Defensive rebound by D. Green,,22-16,,
2:01.0,Turnover by D. Green (bad pass),,22-16,,
2:01.0,B. Rush enters the game for D. Green,,22-16,,
2:01.0,,,22-16,,R. Neto enters the game for S. Mack
1:42.0,,,22-16,,G. Hayward misses 2-pt shot from 3 ft
1:42.0,,,22-16,,Offensive rebound by G. Hayward
1:42.0,,,22-16,,Shooting foul by A. Varejao (drawn by G. Hayward)
1:42.0,,,22-17,1,G. Hayward makes free throw 1 of 2
1:42.0,,,22-17,,D. Favors enters the game for R. Gobert
1:42.0,,,22-17,,G. Hayward misses free throw 2 of 2
1:41.0,Defensive rebound by B. Rush,,22-17,,
1:31.0,S. Livingston misses 2-pt shot from 14 ft,,22-17,,
