time,Toronto,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. J. Hill (K. Lowry gains possession),,,,Jump ball: B. Biyombo vs. J. Hill (K. Lowry gains possession)
11:43.0,L. Scola makes 3-pt shot from 23 ft (assist by K. Lowry),3,3-0,,
11:31.0,,,3-2,2,M. Turner makes 2-pt shot from 1 ft (assist by M. Ellis)
11:31.0,,,3-2,,Shooting foul by K. Lowry (drawn by M. Turner)
11:31.0,,,3-3,1,M. Turner makes free throw 1 of 1
11:15.0,Turnover by K. Lowry (lost ball; steal by M. Ellis),,3-3,,
11:06.0,,,3-5,2,P. George makes 2-pt shot from 16 ft
10:53.0,B. Biyombo makes 2-pt shot from 3 ft (assist by D. DeRozan),2,5-5,,
10:53.0,Shooting foul by M. Turner (drawn by B. Biyombo),,5-5,,
10:53.0,B. Biyombo makes free throw 1 of 1,1,6-5,,
10:34.0,,,6-7,2,J. Hill makes 2-pt shot from 5 ft
10:21.0,Turnover by K. Lowry (bad pass),,6-7,,
10:09.0,,,6-7,,Shooting foul by L. Scola (drawn by P. George)
10:09.0,,,6-8,1,P. George makes free throw 1 of 2
10:09.0,,,6-8,,P. George misses free throw 2 of 2
10:09.0,Defensive rebound by B. Biyombo,,6-8,,
9:49.0,L. Scola misses 2-pt shot from 4 ft,,6-8,,
9:49.0,,,6-8,,Defensive rebound by J. Hill
9:42.0,,,6-10,2,G. Hill makes 2-pt shot from 5 ft
9:26.0,N. Powell misses 2-pt shot from 8 ft,,6-10,,
9:26.0,,,6-10,,Defensive rebound by M. Ellis
9:20.0,,,6-10,,P. George misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by B. Biyombo,,6-10,,
9:09.0,D. DeRozan misses 2-pt shot from 3 ft,,6-10,,
9:08.0,,,6-10,,Defensive rebound by J. Hill
9:04.0,,,6-10,,Offensive charge foul by M. Turner
9:04.0,,,6-10,,Turnover by M. Turner (offensive foul)
9:04.0,,,6-10,,L. Allen enters the game for M. Turner
8:45.0,L. Scola misses 2-pt shot from 8 ft,,6-10,,
8:44.0,Offensive rebound by B. Biyombo,,6-10,,
8:38.0,K. Lowry misses 2-pt shot from 2 ft,,6-10,,
8:36.0,,,6-10,,Defensive rebound by L. Allen
8:34.0,,,6-10,,Turnover by L. Allen (bad pass)
8:17.0,K. Lowry misses 3-pt shot from 26 ft,,6-10,,
