time,Utah,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Howard,,,,Jump ball: R. Gobert vs. D. Howard
11:44.0,D. Favors misses 2-pt shot from 1 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by D. Motiejunas
11:23.0,,,0-0,,P. Beverley misses 2-pt shot from 11 ft
11:22.0,Defensive rebound by R. Hood,,0-0,,
11:11.0,S. Mack makes 2-pt shot from 1 ft (assist by D. Favors),2,2-0,,
10:54.0,,,2-0,,Turnover by T. Ariza (lost ball; steal by G. Hayward)
10:43.0,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors),3,5-0,,
10:26.0,,,5-0,,J. Harden misses 2-pt shot from 13 ft
10:25.0,Defensive rebound by G. Hayward,,5-0,,
10:16.0,Turnover by R. Gobert (lost ball; steal by J. Harden),,5-0,,
10:14.0,Personal foul by S. Mack,,5-0,,
10:05.0,,,5-0,,D. Motiejunas misses 3-pt shot from 25 ft
10:05.0,,,5-0,,Offensive rebound by Team
10:05.0,Loose ball foul by R. Gobert,,5-0,,
9:59.0,,,5-0,,Shooting foul by G. Hayward (drawn by D. Motiejunas)
9:59.0,,,5-0,,D. Motiejunas misses free throw 1 of 2
9:59.0,,,5-0,,Offensive rebound by Team
9:59.0,,,5-0,,D. Motiejunas misses free throw 2 of 2
9:59.0,Defensive rebound by R. Gobert,,5-0,,
9:44.0,,,5-0,,Personal foul by D. Motiejunas
9:33.0,D. Favors misses 2-pt shot from 15 ft,,5-0,,
9:32.0,Offensive rebound by R. Gobert,,5-0,,
9:28.0,R. Gobert misses 2-pt shot from 3 ft (block by D. Howard),,5-0,,
9:27.0,,,5-0,,Defensive rebound by J. Harden
9:21.0,,,5-0,,P. Beverley misses 3-pt shot from 23 ft
9:20.0,,,5-0,,Offensive rebound by D. Motiejunas
9:13.0,,,5-0,,D. Howard misses 2-pt shot from 2 ft (block by D. Favors)
9:12.0,Defensive rebound by S. Mack,,5-0,,
8:52.0,Turnover by S. Mack (traveling),,5-0,,
8:41.0,,,5-3,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
8:20.0,S. Mack misses 3-pt shot from 24 ft,,5-3,,
8:20.0,,,5-3,,Defensive rebound by J. Harden
8:13.0,,,5-3,,Houston full timeout
8:05.0,,,5-5,2,D. Motiejunas makes 2-pt shot from 2 ft (assist by P. Beverley)
7:41.0,D. Favors makes 2-pt shot from 1 ft (assist by G. Hayward),2,7-5,,
7:22.0,,,7-5,,Shooting foul by D. Favors (drawn by D. Howard)
7:22.0,,,7-6,1,D. Howard makes free throw 1 of 2
7:22.0,,,7-6,,D. Howard misses free throw 2 of 2
7:21.0,Defensive rebound by G. Hayward,,7-6,,
6:58.0,D. Favors misses 2-pt shot from 2 ft,,7-6,,
6:57.0,Offensive rebound by R. Gobert,,7-6,,
6:57.0,R. Gobert makes 2-pt shot from 2 ft,2,9-6,,
6:45.0,,,9-8,2,D. Howard makes 2-pt shot from 3 ft (assist by P. Beverley)
6:31.0,Turnover by R. Gobert (lost ball; steal by P. Beverley),,9-8,,
6:25.0,,,9-11,3,J. Harden makes 3-pt shot from 24 ft (assist by P. Beverley)
6:09.0,D. Favors misses 2-pt shot from 11 ft,,9-11,,
6:08.0,,,9-11,,Defensive rebound by D. Howard
5:59.0,,,9-13,2,J. Harden makes 2-pt shot from 17 ft
5:59.0,Utah full timeout,,9-13,,
5:59.0,,,9-13,,M. Beasley enters the game for D. Motiejunas
5:59.0,T. Booker enters the game for R. Gobert,,9-13,,
5:39.0,R. Hood misses 3-pt shot from 22 ft,,9-13,,
5:39.0,,,9-13,,Defensive rebound by D. Howard
5:30.0,,,9-13,,D. Howard misses 2-pt shot from 2 ft
5:29.0,Defensive rebound by D. Favors,,9-13,,
5:10.0,Turnover by R. Hood (lost ball; steal by J. Harden),,9-13,,
5:04.0,,,9-15,2,J. Harden makes 2-pt shot from 2 ft
4:56.0,Shooting foul by M. Beasley (drawn by D. Favors),,9-15,,
4:56.0,D. Favors makes free throw 1 of 2,1,10-15,,
4:56.0,D. Favors misses free throw 2 of 2,,10-15,,
4:56.0,,,10-15,,Defensive rebound by J. Harden
4:33.0,,,10-15,,T. Ariza misses 2-pt shot from 3 ft
4:32.0,Defensive rebound by D. Favors,,10-15,,
4:11.0,T. Booker makes 2-pt shot from 4 ft (assist by S. Mack),2,12-15,,
3:58.0,,,12-15,,Turnover by T. Ariza (lost ball; steal by S. Mack)
3:52.0,T. Booker makes 2-pt shot at rim (assist by S. Mack),2,14-15,,
3:39.0,,,14-15,,Turnover by D. Howard (lost ball; steal by S. Mack)
3:36.0,,,14-15,,Personal foul by J. Harden
3:36.0,J. Ingles enters the game for G. Hayward,,14-15,,
3:36.0,,,14-15,,C. Capela enters the game for D. Howard
3:36.0,,,14-15,,C. Brewer enters the game for T. Ariza
3:26.0,Turnover by S. Mack (lost ball; steal by J. Harden),,14-15,,
3:20.0,,,14-17,2,C. Brewer makes 2-pt shot from 1 ft (assist by P. Beverley)
3:08.0,Turnover by D. Favors (lost ball),,14-17,,
2:56.0,,,14-19,2,M. Beasley makes 2-pt shot from 18 ft (assist by J. Harden)
2:42.0,D. Favors makes 2-pt shot at rim (assist by S. Mack),2,16-19,,
2:35.0,,,16-19,,Houston full timeout
2:35.0,,,16-19,,J. Terry enters the game for P. Beverley
2:35.0,R. Neto enters the game for S. Mack,,16-19,,
2:24.0,,,16-21,2,C. Capela makes 2-pt shot from 4 ft (assist by J. Harden)
2:09.0,Shooting foul by C. Brewer (drawn by D. Favors),,16-21,,
2:09.0,D. Favors makes free throw 1 of 2,1,17-21,,
2:09.0,D. Favors makes free throw 2 of 2,1,18-21,,
1:44.0,,,18-21,,J. Terry misses 3-pt shot from 23 ft
1:43.0,Defensive rebound by D. Favors,,18-21,,
1:24.0,R. Neto misses 2-pt shot from 14 ft,,18-21,,
1:23.0,,,18-21,,Defensive rebound by C. Capela
1:19.0,,,18-21,,Shooting foul by J. Ingles (drawn by C. Capela)
1:19.0,,,18-22,1,C. Capela makes free throw 1 of 2
1:19.0,,,18-22,,K. McDaniels enters the game for J. Harden
1:19.0,,,18-22,,C. Capela misses free throw 2 of 2
1:19.0,Defensive rebound by D. Favors,,18-22,,
0:57.0,R. Hood misses 3-pt shot from 25 ft,,18-22,,
0:56.0,,,18-22,,Defensive rebound by C. Capela
0:49.0,,,18-24,2,M. Beasley makes 2-pt shot from 1 ft (assist by J. Terry)
0:24.0,R. Neto makes 3-pt shot from 24 ft (assist by T. Booker),3,21-24,,
0:22.0,Personal take foul by J. Ingles,,21-24,,
0:22.0,,,21-24,,C. Capela misses free throw 1 of 2
0:22.0,,,21-24,,Offensive rebound by Team
0:22.0,,,21-25,1,C. Capela makes free throw 2 of 2
0:02.0,Turnover by R. Hood (lost ball; steal by C. Capela),,21-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,21-25,,M. Beasley misses 2-pt shot from 19 ft
11:42.0,Defensive rebound by J. Ingles,,21-25,,
11:26.0,J. Ingles makes 3-pt shot from 23 ft (assist by T. Booker),3,24-25,,
11:09.0,,,24-28,3,C. Brewer makes 3-pt shot from 23 ft (assist by K. McDaniels)
10:49.0,J. Ingles misses 3-pt shot from 22 ft,,24-28,,
10:48.0,,,24-28,,Defensive rebound by K. McDaniels
10:42.0,,,24-28,,K. McDaniels misses 2-pt shot from 2 ft (block by G. Hayward)
10:41.0,,,24-28,,Offensive rebound by C. Capela
10:41.0,,,24-30,2,C. Capela makes 2-pt shot from 2 ft
10:19.0,G. Hayward misses 3-pt shot from 22 ft,,24-30,,
10:18.0,Offensive rebound by R. Gobert,,24-30,,
10:18.0,Turnover by R. Gobert (step out of bounds),,24-30,,
10:18.0,T. Lyles enters the game for T. Booker,,24-30,,
10:18.0,,,24-30,,T. Ariza enters the game for K. McDaniels
10:07.0,,,24-30,,Turnover by M. Beasley (bad pass)
10:07.0,C. Johnson enters the game for J. Ingles,,24-30,,
9:54.0,T. Lyles misses 2-pt shot from 10 ft,,24-30,,
9:53.0,,,24-30,,Defensive rebound by C. Capela
9:45.0,,,24-32,2,M. Beasley makes 2-pt shot from 2 ft
9:32.0,,,24-32,,Personal foul by C. Capela
9:18.0,C. Johnson misses 2-pt shot from 20 ft,,24-32,,
9:17.0,,,24-32,,Defensive rebound by C. Capela
9:08.0,,,24-32,,M. Beasley misses 2-pt shot from 1 ft
9:08.0,Defensive rebound by Team,,24-32,,
9:08.0,,,24-32,,Loose ball foul by C. Capela
8:55.0,Shooting foul by C. Brewer (drawn by G. Hayward),,24-32,,
8:55.0,Utah full timeout,,24-32,,
8:55.0,S. Mack enters the game for R. Neto,,24-32,,
8:55.0,G. Hayward makes free throw 1 of 2,1,25-32,,
8:55.0,G. Hayward makes free throw 2 of 2,1,26-32,,
8:42.0,,,26-32,,M. Beasley misses 2-pt shot from 1 ft
8:41.0,Defensive rebound by G. Hayward,,26-32,,
8:18.0,T. Lyles misses 3-pt shot from 25 ft,,26-32,,
8:16.0,,,26-32,,Defensive rebound by C. Brewer
8:09.0,,,26-34,2,C. Capela makes 2-pt shot at rim (assist by C. Brewer)
7:53.0,G. Hayward misses 3-pt shot from 24 ft,,26-34,,
7:51.0,,,26-34,,Defensive rebound by C. Brewer
7:39.0,,,26-36,2,M. Beasley makes 2-pt shot from 17 ft
7:22.0,Turnover by S. Mack (lost ball; steal by C. Capela),,26-36,,
7:10.0,,,26-36,,M. Beasley misses 2-pt shot from 6 ft
7:10.0,,,26-36,,Offensive rebound by Team
7:10.0,Loose ball foul by C. Johnson,,26-36,,
7:10.0,D. Favors enters the game for R. Gobert,,26-36,,
7:10.0,,,26-36,,D. Howard enters the game for M. Beasley
7:10.0,,,26-36,,J. Harden enters the game for C. Capela
7:10.0,,,26-36,,P. Beverley enters the game for C. Brewer
7:10.0,,,26-36,,D. Motiejunas enters the game for J. Terry
6:53.0,Personal foul by C. Johnson,,26-36,,
6:42.0,,,26-38,2,J. Harden makes 2-pt shot from 15 ft
6:20.0,T. Lyles misses 3-pt shot from 24 ft,,26-38,,
6:19.0,,,26-38,,Defensive rebound by D. Howard
6:11.0,,,26-38,,Turnover by J. Harden (bad pass)
5:50.0,S. Mack misses 3-pt shot from 23 ft,,26-38,,
5:50.0,,,26-38,,Defensive rebound by D. Howard
5:36.0,,,26-38,,P. Beverley misses 3-pt shot from 23 ft
5:35.0,Defensive rebound by T. Lyles,,26-38,,
5:27.0,,,26-38,,Personal foul by D. Howard
5:27.0,,,26-38,,Houston full timeout
5:27.0,R. Hood enters the game for C. Johnson,,26-38,,
5:19.0,D. Favors misses 2-pt shot from 2 ft (block by D. Howard),,26-38,,
5:19.0,Offensive rebound by Team,,26-38,,
5:15.0,Turnover by S. Mack (lost ball; steal by J. Harden),,26-38,,
5:07.0,,,26-38,,D. Motiejunas misses 3-pt shot from 24 ft
5:06.0,Defensive rebound by R. Hood,,26-38,,
4:52.0,T. Lyles misses 2-pt shot from 8 ft (block by D. Howard),,26-38,,
4:51.0,,,26-38,,Defensive rebound by D. Motiejunas
4:44.0,,,26-38,,J. Harden misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by T. Lyles,,26-38,,
4:35.0,T. Lyles misses 3-pt shot from 25 ft,,26-38,,
4:35.0,,,26-38,,Defensive rebound by Team
4:35.0,R. Gobert enters the game for T. Lyles,,26-38,,
4:11.0,,,26-41,3,D. Motiejunas makes 3-pt shot from 25 ft (assist by P. Beverley)
3:56.0,Shooting foul by P. Beverley (drawn by S. Mack),,26-41,,
3:56.0,S. Mack misses free throw 1 of 2,,26-41,,
3:56.0,Offensive rebound by Team,,26-41,,
3:56.0,S. Mack makes free throw 2 of 2,1,27-41,,
3:35.0,,,27-44,3,D. Motiejunas makes 3-pt shot from 25 ft (assist by T. Ariza)
3:27.0,Utah full timeout,,27-44,,
3:27.0,R. Neto enters the game for S. Mack,,27-44,,
3:17.0,R. Hood misses 2-pt shot from 11 ft,,27-44,,
3:16.0,,,27-44,,Defensive rebound by D. Howard
3:04.0,Personal foul by R. Hood,,27-44,,
2:55.0,,,27-44,,Turnover by P. Beverley (lost ball; steal by G. Hayward)
2:51.0,G. Hayward makes 2-pt shot at rim,2,29-44,,
2:34.0,,,29-47,3,T. Ariza makes 3-pt shot from 23 ft (assist by D. Motiejunas)
2:12.0,R. Gobert misses 2-pt shot from 9 ft,,29-47,,
2:11.0,Offensive rebound by D. Favors,,29-47,,
2:11.0,D. Favors makes 2-pt shot from 2 ft,2,31-47,,
1:56.0,,,31-47,,D. Motiejunas misses 3-pt shot from 24 ft
1:56.0,Defensive rebound by R. Neto,,31-47,,
1:37.0,R. Gobert misses 2-pt shot from 5 ft (block by D. Howard),,31-47,,
1:36.0,Offensive rebound by R. Neto,,31-47,,
1:32.0,R. Neto makes 3-pt shot from 23 ft,3,34-47,,
1:15.0,,,34-47,,D. Motiejunas misses 2-pt shot from 10 ft
1:14.0,Defensive rebound by D. Favors,,34-47,,
1:05.0,D. Favors misses 2-pt shot from 17 ft,,34-47,,
1:04.0,,,34-47,,Defensive rebound by D. Howard
0:55.0,,,34-49,2,T. Ariza makes 2-pt shot from 16 ft
0:41.0,R. Gobert misses 2-pt shot from 7 ft,,34-49,,
0:40.0,,,34-49,,Defensive rebound by J. Harden
0:34.0,,,34-49,,J. Harden misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by R. Neto,,34-49,,
0:10.0,R. Neto misses 2-pt shot from 19 ft,,34-49,,
0:09.0,Offensive rebound by D. Favors,,34-49,,
0:07.0,Turnover by D. Favors (lost ball; steal by J. Harden),,34-49,,
0:03.0,,,34-49,,Offensive foul by J. Harden
0:03.0,,,34-49,,Turnover by J. Harden (offensive foul)
0:03.0,T. Lyles enters the game for R. Gobert,,34-49,,
0:00.0,R. Hood misses 3-pt shot from 44 ft,,34-49,,
0:00.0,Offensive rebound by Team,,34-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,34-49,,Shooting foul by R. Gobert (drawn by D. Motiejunas)
11:44.0,,,34-49,,D. Motiejunas misses free throw 1 of 2
11:44.0,,,34-49,,Offensive rebound by Team
11:44.0,,,34-50,1,D. Motiejunas makes free throw 2 of 2
11:27.0,Turnover by R. Gobert (lost ball; steal by D. Motiejunas),,34-50,,
11:18.0,,,34-50,,Turnover by P. Beverley (lost ball; steal by R. Hood)
11:11.0,R. Hood misses 2-pt shot from 3 ft (block by T. Ariza),,34-50,,
11:10.0,,,34-50,,Defensive rebound by P. Beverley
11:05.0,,,34-50,,Turnover by J. Harden (lost ball; steal by G. Hayward)
11:02.0,,,34-50,,Personal foul by P. Beverley
11:02.0,T. Booker enters the game for R. Gobert,,34-50,,
10:44.0,T. Booker makes 2-pt shot at rim (assist by G. Hayward),2,36-50,,
10:23.0,,,36-50,,D. Motiejunas misses 2-pt shot from 9 ft
10:22.0,Defensive rebound by T. Booker,,36-50,,
10:16.0,S. Mack makes 3-pt shot from 25 ft,3,39-50,,
10:16.0,,,39-50,,Houston full timeout
10:00.0,,,39-50,,J. Harden misses 2-pt shot from 13 ft
9:57.0,Defensive rebound by T. Booker,,39-50,,
9:48.0,D. Favors makes 2-pt shot at rim (assist by R. Hood),2,41-50,,
9:25.0,,,41-50,,D. Motiejunas misses 2-pt shot from 8 ft
9:24.0,Defensive rebound by T. Booker,,41-50,,
9:04.0,S. Mack misses 2-pt shot from 12 ft,,41-50,,
9:03.0,Offensive rebound by D. Favors,,41-50,,
8:48.0,S. Mack makes 2-pt shot from 8 ft,2,43-50,,
8:31.0,,,43-50,,P. Beverley misses 2-pt shot from 4 ft (block by D. Favors)
8:29.0,Defensive rebound by D. Favors,,43-50,,
8:25.0,G. Hayward misses 2-pt shot from 2 ft,,43-50,,
8:23.0,,,43-50,,Defensive rebound by T. Ariza
8:18.0,,,43-50,,T. Ariza misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by R. Hood,,43-50,,
8:09.0,G. Hayward makes 2-pt shot from 2 ft,2,45-50,,
8:09.0,Shooting foul by J. Harden (drawn by G. Hayward),,45-50,,
8:09.0,,,45-50,,J. Terry enters the game for P. Beverley
8:09.0,,,45-50,,M. Beasley enters the game for D. Motiejunas
8:09.0,G. Hayward misses free throw 1 of 1,,45-50,,
8:08.0,Offensive rebound by G. Hayward,,45-50,,
8:06.0,G. Hayward misses 2-pt shot from 1 ft,,45-50,,
8:06.0,Offensive rebound by D. Favors,,45-50,,
8:06.0,Turnover by D. Favors (illegal assist),,45-50,,
7:54.0,,,45-50,,D. Howard misses 2-pt shot at rim
