time,Brooklyn,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. B. Lopez (T. Young gains possession),,,,Jump ball: A. Johnson vs. B. Lopez (T. Young gains possession)
11:48.0,,,0-0,,Personal foul by A. Johnson (drawn by B. Lopez)
11:39.0,B. Lopez misses 2-pt shot from 2 ft,,0-0,,
11:38.0,Offensive rebound by R. Hollis-Jefferson,,0-0,,
11:34.0,T. Young misses 2-pt shot from 15 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by J. Sullinger
11:20.0,,,0-2,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
11:05.0,J. Jack misses 2-pt shot from 17 ft,,0-2,,
11:04.0,,,0-2,,Defensive rebound by A. Johnson
10:53.0,,,0-2,,M. Smart misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by T. Young,,0-2,,
10:39.0,R. Hollis-Jefferson makes 2-pt shot from 8 ft,2,2-2,,
10:24.0,,,2-2,,I. Thomas misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by T. Young,,2-2,,
10:13.0,J. Jack misses 2-pt shot from 7 ft,,2-2,,
10:12.0,,,2-2,,Defensive rebound by J. Sullinger
10:06.0,,,2-2,,J. Sullinger misses 2-pt shot from 2 ft
10:05.0,Defensive rebound by T. Young,,2-2,,
9:59.0,T. Young makes 2-pt shot from 1 ft,2,4-2,,
9:43.0,,,4-2,,J. Crowder misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by R. Hollis-Jefferson,,4-2,,
9:30.0,,,4-2,,Personal foul by M. Smart (drawn by B. Lopez)
9:22.0,T. Young makes 2-pt shot from 1 ft (assist by J. Jack),2,6-2,,
9:00.0,,,6-4,2,M. Smart makes 2-pt shot from 5 ft
8:36.0,T. Young misses 2-pt shot from 3 ft,,6-4,,
8:35.0,,,6-4,,Defensive rebound by J. Crowder
8:17.0,,,6-6,2,A. Johnson makes 2-pt shot from 6 ft (assist by J. Sullinger)
8:04.0,Shooting foul by J. Sullinger (drawn by B. Lopez),,6-6,,
8:04.0,B. Lopez makes free throw 1 of 2,1,7-6,,
8:04.0,B. Lopez makes free throw 2 of 2,1,8-6,,
7:52.0,,,8-9,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
7:41.0,J. Johnson misses 2-pt shot from 19 ft,,8-9,,
7:40.0,,,8-9,,Defensive rebound by M. Smart
7:28.0,,,8-9,,I. Thomas misses 2-pt shot from 2 ft
7:27.0,Defensive rebound by J. Jack,,8-9,,
7:23.0,Offensive foul by R. Hollis-Jefferson,,8-9,,
7:23.0,Turnover by R. Hollis-Jefferson (offensive foul),,8-9,,
7:12.0,,,8-11,2,J. Sullinger makes 2-pt shot at rim (assist by J. Crowder)
7:02.0,Turnover by J. Jack (turnover),,8-11,,
6:43.0,,,8-11,,I. Thomas misses 3-pt shot from 26 ft
6:42.0,Defensive rebound by J. Johnson,,8-11,,
6:25.0,J. Johnson makes 3-pt shot from 26 ft (assist by J. Jack),3,11-11,,
6:10.0,,,11-11,,A. Johnson misses 2-pt shot from 2 ft
6:09.0,Defensive rebound by T. Young,,11-11,,
5:56.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by J. Johnson),2,13-11,,
5:42.0,,,13-13,2,J. Crowder makes 2-pt shot at rim (assist by J. Sullinger)
5:35.0,Turnover by J. Jack (bad pass; steal by J. Sullinger),,13-13,,
5:29.0,,,13-15,2,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas)
5:14.0,T. Young misses 2-pt shot from 3 ft,,13-15,,
5:13.0,,,13-15,,Defensive rebound by J. Sullinger
5:02.0,,,13-15,,M. Smart misses 3-pt shot from 26 ft
5:01.0,Defensive rebound by B. Lopez,,13-15,,
4:57.0,Turnover by B. Lopez (bad pass; steal by M. Smart),,13-15,,
4:51.0,,,13-15,,I. Thomas misses 3-pt shot from 25 ft
4:50.0,,,13-15,,Offensive rebound by J. Crowder
4:43.0,,,13-15,,I. Thomas misses 2-pt shot from 6 ft
4:42.0,Defensive rebound by J. Jack,,13-15,,
4:37.0,J. Jack makes 2-pt shot at rim,2,15-15,,
4:37.0,,,15-15,,Boston full timeout
4:37.0,,,15-15,,A. Bradley enters the game for M. Smart
4:37.0,,,15-15,,K. Olynyk enters the game for J. Sullinger
4:37.0,T. Robinson enters the game for B. Lopez,,15-15,,
4:27.0,,,15-15,,A. Bradley misses 2-pt shot from 17 ft
4:26.0,Defensive rebound by T. Robinson,,15-15,,
4:16.0,Turnover by J. Jack (bad pass; steal by J. Crowder),,15-15,,
4:11.0,,,15-17,2,J. Crowder makes 2-pt shot from 1 ft
3:53.0,R. Hollis-Jefferson misses 2-pt shot from 17 ft,,15-17,,
3:52.0,,,15-17,,Defensive rebound by K. Olynyk
3:42.0,,,15-19,2,A. Bradley makes 2-pt shot at rim (assist by I. Thomas)
3:21.0,J. Johnson misses 2-pt shot from 17 ft,,15-19,,
3:20.0,,,15-19,,Defensive rebound by A. Bradley
3:11.0,,,15-19,,I. Thomas misses 2-pt shot from 16 ft
3:10.0,Defensive rebound by J. Johnson,,15-19,,
2:49.0,Turnover by J. Jack (bad pass; steal by J. Crowder),,15-19,,
2:45.0,,,15-21,2,J. Crowder makes 2-pt shot at rim (assist by I. Thomas)
2:32.0,Brooklyn full timeout,,15-21,,
2:32.0,,,15-21,,J. Jerebko enters the game for A. Johnson
2:32.0,,,15-21,,E. Turner enters the game for I. Thomas
2:32.0,S. Larkin enters the game for J. Johnson,,15-21,,
2:32.0,S. Karasev enters the game for J. Jack,,15-21,,
2:15.0,T. Young makes 2-pt shot from 1 ft,2,17-21,,
2:04.0,,,17-21,,Turnover by J. Jerebko (lost ball; steal by T. Young)
1:57.0,T. Young makes 2-pt shot from 1 ft,2,19-21,,
1:49.0,Personal block foul by T. Robinson (drawn by K. Olynyk),,19-21,,
1:38.0,,,19-23,2,E. Turner makes 2-pt shot from 12 ft
1:20.0,Turnover by R. Hollis-Jefferson (lost ball; steal by J. Jerebko),,19-23,,
1:16.0,,,19-23,,A. Bradley misses 2-pt shot from 2 ft
