time,Denver,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Jokic (B. Jennings gains possession),,,,Jump ball: A. Drummond vs. N. Jokic (B. Jennings gains possession)
11:39.0,,,0-0,,A. Drummond misses 2-pt shot from 4 ft
11:39.0,,,0-0,,Offensive rebound by Team
11:35.0,,,0-2,2,S. Johnson makes 2-pt shot at rim (assist by M. Morris)
11:12.0,E. Mudiay misses 2-pt shot from 18 ft,,0-2,,
11:12.0,Offensive rebound by K. Faried,,0-2,,
11:01.0,K. Faried misses 2-pt shot at rim,,0-2,,
10:59.0,,,0-2,,Defensive rebound by A. Tolliver
10:36.0,,,0-2,,A. Drummond misses 2-pt shot from 7 ft
10:35.0,Defensive rebound by D. Gallinari,,0-2,,
10:16.0,D. Gallinari misses 2-pt shot at rim,,0-2,,
10:16.0,,,0-2,,Defensive rebound by B. Jennings
10:10.0,,,0-2,,Turnover by S. Johnson (lost ball; steal by E. Mudiay)
10:02.0,G. Harris misses 2-pt shot from 19 ft,,0-2,,
10:02.0,,,0-2,,Defensive rebound by B. Jennings
9:46.0,,,0-4,2,M. Morris makes 2-pt shot from 16 ft
9:32.0,Offensive charge foul by D. Gallinari,,0-4,,
9:32.0,Turnover by D. Gallinari (offensive foul),,0-4,,
9:15.0,,,0-6,2,S. Johnson makes 2-pt shot from 14 ft
9:07.0,D. Gallinari makes 2-pt shot at rim (assist by K. Faried),2,2-6,,
8:54.0,,,2-9,3,M. Morris makes 3-pt shot from 25 ft (assist by S. Johnson)
8:38.0,G. Harris misses 2-pt shot from 15 ft,,2-9,,
8:38.0,,,2-9,,Defensive rebound by A. Drummond
8:14.0,,,2-9,,A. Drummond misses 3-pt shot from 25 ft
8:13.0,,,2-9,,Offensive rebound by S. Johnson
8:10.0,,,2-9,,S. Johnson misses 2-pt shot from 4 ft
8:10.0,Defensive rebound by D. Gallinari,,2-9,,
8:00.0,N. Jokic misses 2-pt shot from 6 ft,,2-9,,
8:00.0,Offensive rebound by K. Faried,,2-9,,
7:57.0,K. Faried makes 2-pt shot at rim,2,4-9,,
7:39.0,,,4-9,,Turnover by B. Jennings (bad pass; steal by E. Mudiay)
7:33.0,K. Faried makes 2-pt shot at rim (assist by G. Harris),2,6-9,,
7:12.0,,,6-9,,S. Johnson misses 2-pt shot from 8 ft
7:12.0,Defensive rebound by K. Faried,,6-9,,
7:02.0,Turnover by E. Mudiay (bad pass; steal by A. Drummond),,6-9,,
6:53.0,Personal foul by E. Mudiay (drawn by M. Morris),,6-9,,
6:43.0,,,6-9,,S. Johnson misses 3-pt shot from 26 ft
6:42.0,Defensive rebound by E. Mudiay,,6-9,,
6:31.0,E. Mudiay makes 3-pt shot from 25 ft (assist by G. Harris),3,9-9,,
6:09.0,,,9-9,,M. Morris misses 2-pt shot from 6 ft
6:08.0,Defensive rebound by K. Faried,,9-9,,
5:54.0,Turnover by K. Faried (lost ball; steal by A. Tolliver),,9-9,,
5:46.0,,,9-9,,A. Tolliver misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by E. Mudiay,,9-9,,
5:38.0,G. Harris makes 2-pt shot at rim (assist by N. Jokic),2,11-9,,
5:33.0,,,11-9,,Detroit full timeout
5:33.0,,,11-9,,D. Hilliard enters the game for S. Johnson
5:19.0,,,11-9,,Shooting foul by K. Faried (drawn by M. Morris)
5:19.0,,,11-10,1,M. Morris makes free throw 1 of 2
5:19.0,,,11-10,,A. Baynes enters the game for A. Tolliver
5:19.0,,,11-11,1,M. Morris makes free throw 2 of 2
5:02.0,E. Mudiay misses 2-pt shot from 13 ft,,11-11,,
5:00.0,,,11-11,,Defensive rebound by A. Drummond
4:58.0,,,11-11,,Turnover by D. Hilliard (bad pass; steal by N. Jokic)
4:47.0,K. Faried misses 2-pt shot from 3 ft (block by A. Baynes),,11-11,,
4:46.0,,,11-11,,Defensive rebound by A. Baynes
4:42.0,,,11-13,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
4:24.0,N. Jokic misses 2-pt shot from 2 ft (block by A. Drummond),,11-13,,
4:24.0,Offensive rebound by Team,,11-13,,
4:10.0,D. Gallinari misses 2-pt shot from 15 ft,,11-13,,
4:10.0,,,11-13,,Defensive rebound by A. Drummond
3:57.0,,,11-13,,B. Jennings misses 3-pt shot from 22 ft
3:56.0,Defensive rebound by K. Faried,,11-13,,
3:47.0,K. Faried makes 2-pt shot from 6 ft (assist by E. Mudiay),2,13-13,,
3:31.0,,,13-15,2,B. Jennings makes 2-pt shot at rim (assist by A. Drummond)
