time,Portland,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Plumlee (D. Favors gains possession),,,,Jump ball: R. Gobert vs. M. Plumlee (D. Favors gains possession)
11:42.0,,,0-2,2,R. Hood makes 2-pt shot from 5 ft
11:21.0,A. Aminu misses 2-pt shot from 4 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by D. Favors
11:05.0,,,0-2,,G. Hayward misses 2-pt shot from 1 ft
11:04.0,,,0-2,,Offensive rebound by R. Gobert
10:59.0,,,0-4,2,R. Gobert makes 2-pt shot at rim
10:42.0,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu),2,2-4,,
10:19.0,,,2-7,3,R. Neto makes 3-pt shot from 24 ft (assist by R. Hood)
10:00.0,C. McCollum makes 3-pt shot from 24 ft,3,5-7,,
9:39.0,,,5-9,2,D. Favors makes 2-pt shot from 17 ft (assist by R. Hood)
9:23.0,D. Lillard makes 2-pt shot from 19 ft,2,7-9,,
9:00.0,,,7-9,,D. Favors misses 2-pt shot from 2 ft (block by M. Plumlee)
8:59.0,Defensive rebound by C. McCollum,,7-9,,
8:53.0,A. Aminu misses 2-pt shot from 1 ft (block by D. Favors),,7-9,,
8:53.0,Offensive rebound by Team,,7-9,,
8:46.0,Turnover by D. Lillard (bad pass; steal by D. Favors),,7-9,,
8:34.0,,,7-11,2,R. Hood makes 2-pt shot from 3 ft
8:18.0,C. McCollum makes 2-pt shot from 2 ft,2,9-11,,
8:03.0,,,9-11,,G. Hayward misses 3-pt shot from 23 ft
8:02.0,Defensive rebound by M. Plumlee,,9-11,,
7:47.0,Shooting foul by R. Hood (drawn by C. McCollum),,9-11,,
7:47.0,C. McCollum misses free throw 1 of 2,,9-11,,
7:47.0,Offensive rebound by Team,,9-11,,
7:47.0,C. McCollum makes free throw 2 of 2,1,10-11,,
7:28.0,,,10-11,,G. Hayward misses 2-pt shot from 1 ft
7:26.0,,,10-11,,Offensive rebound by D. Favors
7:26.0,,,10-11,,D. Favors misses 2-pt shot at rim
7:23.0,Defensive rebound by A. Aminu,,10-11,,
7:20.0,A. Aminu makes 2-pt shot from 2 ft,2,12-11,,
7:06.0,,,12-11,,R. Neto misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by M. Plumlee,,12-11,,
6:55.0,D. Lillard makes 2-pt shot from 14 ft,2,14-11,,
6:34.0,,,14-11,,D. Favors misses 2-pt shot from 15 ft
6:33.0,Defensive rebound by D. Lillard,,14-11,,
6:27.0,D. Lillard makes 3-pt shot from 24 ft,3,17-11,,
6:27.0,,,17-11,,Utah full timeout
6:07.0,,,17-11,,R. Hood misses 3-pt shot from 24 ft
6:06.0,Defensive rebound by M. Plumlee,,17-11,,
6:00.0,Turnover by M. Plumlee (bad pass; steal by D. Favors),,17-11,,
5:51.0,,,17-11,,D. Favors misses 2-pt shot from 3 ft (block by M. Leonard)
5:51.0,Defensive rebound by Team,,17-11,,
5:51.0,,,17-11,,T. Burke enters the game for R. Neto
5:51.0,A. Crabbe enters the game for C. McCollum,,17-11,,
5:32.0,Shooting foul by D. Favors (drawn by D. Lillard),,17-11,,
5:32.0,D. Lillard makes free throw 1 of 2,1,18-11,,
5:32.0,,,18-11,,T. Booker enters the game for R. Gobert
5:32.0,,,18-11,,A. Burks enters the game for R. Hood
5:32.0,D. Lillard makes free throw 2 of 2,1,19-11,,
5:17.0,,,19-13,2,G. Hayward makes 2-pt shot from 1 ft
5:02.0,D. Lillard misses 3-pt shot from 23 ft,,19-13,,
5:01.0,,,19-13,,Defensive rebound by G. Hayward
4:53.0,,,19-13,,G. Hayward misses 2-pt shot from 20 ft
4:53.0,Defensive rebound by A. Aminu,,19-13,,
4:48.0,Turnover by A. Aminu (bad pass; steal by T. Booker),,19-13,,
4:34.0,,,19-15,2,A. Burks makes 2-pt shot from 1 ft
4:26.0,Turnover by D. Lillard (bad pass; steal by T. Burke),,19-15,,
4:22.0,,,19-17,2,T. Burke makes 2-pt shot from 2 ft
4:04.0,M. Plumlee makes 2-pt shot from 1 ft,2,21-17,,
3:39.0,,,21-19,2,T. Burke makes 2-pt shot from 20 ft
3:19.0,D. Lillard misses 3-pt shot from 24 ft,,21-19,,
3:19.0,,,21-19,,Defensive rebound by T. Booker
3:11.0,,,21-19,,A. Burks misses 2-pt shot from 1 ft (block by M. Leonard)
3:11.0,,,21-19,,Offensive rebound by Team
3:11.0,E. Davis enters the game for A. Aminu,,21-19,,
3:11.0,M. Harkless enters the game for M. Plumlee,,21-19,,
3:11.0,,,21-19,,T. Lyles enters the game for D. Favors
3:11.0,,,21-19,,J. Ingles enters the game for G. Hayward
2:57.0,,,21-19,,T. Booker misses 2-pt shot from 4 ft
2:57.0,Defensive rebound by E. Davis,,21-19,,
2:49.0,D. Lillard misses 2-pt shot from 2 ft (block by T. Booker),,21-19,,
2:49.0,Offensive rebound by Team,,21-19,,
2:49.0,Portland full timeout,,21-19,,
