time,LA Clippers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Jordan (C. Paul gains possession),,,,Jump ball: T. Duncan vs. D. Jordan (C. Paul gains possession)
11:40.0,J. Redick misses 2-pt shot from 17 ft,,0-0,,
11:38.0,Offensive rebound by D. Jordan,,0-0,,
11:36.0,D. Jordan makes 2-pt shot from 2 ft,2,2-0,,
11:19.0,,,2-2,2,L. Aldridge makes 2-pt shot from 15 ft
10:52.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,2-2,,
10:51.0,,,2-2,,Defensive rebound by L. Aldridge
10:34.0,,,2-2,,K. Leonard misses 2-pt shot from 20 ft
10:33.0,Defensive rebound by J. Redick,,2-2,,
10:19.0,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin),3,5-2,,
10:05.0,,,5-2,,L. Aldridge misses 2-pt shot from 21 ft
10:04.0,Defensive rebound by L. Mbah a Moute,,5-2,,
9:53.0,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul),2,7-2,,
9:32.0,,,7-4,2,T. Duncan makes 2-pt shot from 1 ft (assist by L. Aldridge)
9:08.0,B. Griffin makes 2-pt shot from 4 ft,2,9-4,,
8:48.0,,,9-4,,K. Leonard misses 2-pt shot from 6 ft
8:46.0,Defensive rebound by B. Griffin,,9-4,,
8:25.0,C. Paul misses 2-pt shot from 18 ft (block by L. Aldridge),,9-4,,
8:23.0,,,9-4,,Defensive rebound by D. Green
8:19.0,,,9-4,,Turnover by D. Green (bad pass; steal by L. Mbah a Moute)
8:17.0,,,9-4,,Shooting block foul by D. Green (drawn by L. Mbah a Moute)
8:17.0,L. Mbah a Moute makes free throw 1 of 2,1,10-4,,
8:17.0,L. Mbah a Moute makes free throw 2 of 2,1,11-4,,
8:00.0,,,11-4,,L. Aldridge misses 2-pt shot from 1 ft
7:59.0,,,11-4,,Offensive rebound by L. Aldridge
7:59.0,,,11-6,2,L. Aldridge makes 2-pt shot from 1 ft
7:45.0,B. Griffin misses 2-pt shot from 18 ft,,11-6,,
7:44.0,,,11-6,,Defensive rebound by L. Aldridge
7:25.0,,,11-8,2,L. Aldridge makes 2-pt shot from 15 ft (assist by K. Leonard)
7:20.0,Offensive charge foul by L. Mbah a Moute,,11-8,,
7:20.0,Turnover by L. Mbah a Moute (offensive foul),,11-8,,
7:01.0,,,11-8,,D. Green misses 3-pt shot from 25 ft
7:00.0,Defensive rebound by D. Jordan,,11-8,,
6:48.0,L. Mbah a Moute makes 3-pt shot from 22 ft (assist by B. Griffin),3,14-8,,
6:47.0,,,14-8,,San Antonio full timeout
6:35.0,Def 3 sec tech foul by D. Jordan,,14-8,,
6:35.0,,,14-9,1,K. Leonard makes technical free throw
6:19.0,,,14-12,3,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker)
5:57.0,B. Griffin makes 2-pt shot from 3 ft,2,16-12,,
5:33.0,,,16-14,2,D. Green makes 2-pt shot from 2 ft (assist by T. Parker)
5:25.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by D. Green),,16-14,,
5:24.0,,,16-14,,Defensive rebound by D. Green
5:11.0,,,16-17,3,T. Parker makes 3-pt shot from 25 ft (assist by L. Aldridge)
4:56.0,C. Paul makes 2-pt shot from 18 ft,2,18-17,,
4:38.0,,,18-17,,T. Parker misses 2-pt shot from 9 ft
4:37.0,Defensive rebound by D. Jordan,,18-17,,
4:26.0,Turnover by C. Paul (bad pass; steal by T. Duncan),,18-17,,
4:19.0,,,18-19,2,T. Duncan makes 2-pt shot from 1 ft (assist by K. Leonard)
4:10.0,LA Clippers full timeout,,18-19,,
4:10.0,,,18-19,,D. West enters the game for T. Duncan
4:10.0,,,18-19,,M. Ginobili enters the game for D. Green
4:10.0,,,18-19,,P. Mills enters the game for T. Parker
4:10.0,W. Johnson enters the game for L. Mbah a Moute,,18-19,,
4:05.0,,,18-19,,Personal foul by L. Aldridge (drawn by J. Redick)
4:00.0,J. Redick misses 3-pt shot from 24 ft,,18-19,,
3:59.0,,,18-19,,Defensive rebound by K. Leonard
3:47.0,,,18-21,2,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills)
3:37.0,B. Griffin misses 2-pt shot from 17 ft,,18-21,,
3:36.0,Offensive rebound by D. Jordan,,18-21,,
3:36.0,D. Jordan misses 2-pt shot from 1 ft,,18-21,,
3:34.0,,,18-21,,Defensive rebound by L. Aldridge
3:25.0,,,18-21,,L. Aldridge misses 2-pt shot from 21 ft
3:24.0,Defensive rebound by B. Griffin,,18-21,,
3:13.0,,,18-21,,Def 3 sec tech foul by D. West
3:13.0,C. Paul makes technical free throw,1,19-21,,
3:13.0,J. Crawford enters the game for J. Redick,,19-21,,
3:13.0,J. Smith enters the game for D. Jordan,,19-21,,
3:13.0,,,19-21,,B. Diaw enters the game for L. Aldridge
3:03.0,J. Smith misses 3-pt shot from 24 ft,,19-21,,
3:01.0,,,19-21,,Defensive rebound by K. Leonard
2:52.0,Def 3 sec tech foul by B. Griffin,,19-21,,
2:52.0,,,19-21,,K. Leonard misses technical free throw
2:52.0,,,19-21,,Offensive rebound by Team
2:52.0,A. Rivers enters the game for C. Paul,,19-21,,
