time,Chicago,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. Z. Pachulia (D. Rose gains possession),,,,Jump ball: P. Gasol vs. Z. Pachulia (D. Rose gains possession)
11:45.0,N. Mirotic misses 2-pt shot from 6 ft,,0-0,,
11:44.0,Offensive rebound by N. Mirotic,,0-0,,
11:38.0,T. Gibson makes 2-pt shot from 14 ft (assist by J. Butler),2,2-0,,
11:14.0,,,2-3,3,J. Barea makes 3-pt shot from 24 ft (assist by R. Felton)
10:58.0,J. Butler misses 2-pt shot from 19 ft,,2-3,,
10:57.0,Offensive rebound by D. Rose,,2-3,,
10:48.0,J. Butler makes 3-pt shot from 24 ft (assist by D. Rose),3,5-3,,
10:39.0,,,5-3,,Turnover by J. Barea (bad pass; steal by J. Butler)
10:38.0,,,5-3,,Personal take foul by D. Nowitzki (drawn by J. Butler)
10:24.0,N. Mirotic makes 2-pt shot from 12 ft (assist by J. Butler),2,7-3,,
10:15.0,Personal foul by T. Gibson (drawn by D. Nowitzki),,7-3,,
10:15.0,,,7-3,,C. Parsons enters the game for R. Felton
10:04.0,,,7-3,,Z. Pachulia misses 2-pt shot from 15 ft
10:03.0,Defensive rebound by J. Butler,,7-3,,
9:51.0,N. Mirotic makes 3-pt shot from 22 ft,3,10-3,,
9:39.0,,,10-3,,Turnover by C. Parsons (lost ball; steal by P. Gasol)
9:28.0,P. Gasol makes 2-pt shot from 1 ft (assist by N. Mirotic),2,12-3,,
9:27.0,,,12-3,,Dallas full timeout
9:07.0,,,12-5,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea)
8:50.0,T. Gibson makes 2-pt shot from 17 ft (assist by J. Butler),2,14-5,,
8:37.0,,,14-8,3,J. Barea makes 3-pt shot from 24 ft
8:28.0,D. Rose makes 2-pt shot from 1 ft,2,16-8,,
8:12.0,,,16-8,,D. Nowitzki misses 2-pt shot from 15 ft
8:12.0,,,16-8,,Offensive rebound by Z. Pachulia
