time,Sacramento,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. W. Cauley-Stein (P. Pierce gains possession),,,,Jump ball: C. Aldrich vs. W. Cauley-Stein (P. Pierce gains possession)
11:41.0,,,0-3,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
11:30.0,Shooting foul by C. Paul (drawn by W. Cauley-Stein),,0-3,,
11:30.0,W. Cauley-Stein misses free throw 1 of 2,,0-3,,
11:30.0,Offensive rebound by Team,,0-3,,
11:30.0,W. Cauley-Stein makes free throw 2 of 2,1,1-3,,
11:11.0,,,1-3,,P. Pierce misses 2-pt shot from 12 ft
11:09.0,Defensive rebound by W. Cauley-Stein,,1-3,,
11:02.0,Shooting foul by C. Aldrich (drawn by D. Cousins),,1-3,,
11:02.0,D. Cousins makes free throw 1 of 2,1,2-3,,
11:02.0,D. Cousins makes free throw 2 of 2,1,3-3,,
10:51.0,,,3-3,,Shooting foul by B. McLemore (drawn by C. Aldrich)
10:51.0,,,3-3,,C. Aldrich misses free throw 1 of 2
10:51.0,,,3-3,,Offensive rebound by Team
10:51.0,,,3-4,1,C. Aldrich makes free throw 2 of 2
10:41.0,Turnover by R. Gay (traveling),,3-4,,
10:19.0,,,3-4,,P. Pierce misses 3-pt shot from 27 ft
10:18.0,,,3-4,,Offensive rebound by L. Mbah a Moute
10:16.0,,,3-6,2,L. Mbah a Moute makes 2-pt shot from 4 ft
10:04.0,D. Cousins misses 2-pt shot from 1 ft (block by C. Aldrich),,3-6,,
10:03.0,Offensive rebound by R. Rondo,,3-6,,
9:58.0,B. McLemore makes 3-pt shot from 24 ft (assist by R. Rondo),3,6-6,,
9:49.0,,,6-6,,C. Aldrich misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
9:47.0,Defensive rebound by R. Gay,,6-6,,
9:39.0,R. Gay misses 3-pt shot from 28 ft,,6-6,,
9:39.0,,,6-6,,Defensive rebound by L. Mbah a Moute
9:18.0,,,6-8,2,P. Pierce makes 2-pt shot from 17 ft (assist by J. Redick)
9:07.0,D. Cousins makes 3-pt shot from 27 ft (assist by R. Rondo),3,9-8,,
8:53.0,,,9-11,3,P. Pierce makes 3-pt shot from 25 ft (assist by L. Mbah a Moute)
8:43.0,R. Rondo misses 2-pt shot from 18 ft,,9-11,,
8:42.0,,,9-11,,Defensive rebound by L. Mbah a Moute
8:19.0,,,9-14,3,C. Paul makes 3-pt shot from 25 ft
8:07.0,Turnover by R. Rondo (bad pass; steal by C. Aldrich),,9-14,,
7:57.0,Def 3 sec tech foul by D. Cousins,,9-14,,
7:57.0,,,9-15,1,C. Paul makes technical free throw
7:57.0,,,9-15,,W. Johnson enters the game for P. Pierce
7:46.0,,,9-17,2,C. Aldrich makes 2-pt shot from 3 ft (assist by C. Paul)
7:45.0,Sacramento full timeout,,9-17,,
7:37.0,D. Cousins makes 2-pt shot from 4 ft (assist by R. Rondo),2,11-17,,
7:37.0,Shooting foul by L. Mbah a Moute (drawn by D. Cousins),,11-17,,
7:37.0,D. Cousins makes free throw 1 of 1,1,12-17,,
7:18.0,,,12-17,,C. Aldrich misses 2-pt shot from 3 ft
7:17.0,Defensive rebound by D. Cousins,,12-17,,
7:12.0,B. McLemore makes 2-pt shot at rim (assist by R. Rondo),2,14-17,,
7:02.0,,,14-17,,L. Mbah a Moute misses 2-pt shot from 1 ft (block by D. Cousins)
7:00.0,Defensive rebound by D. Cousins,,14-17,,
6:54.0,W. Cauley-Stein misses 2-pt shot at rim,,14-17,,
6:51.0,,,14-17,,Defensive rebound by C. Paul
6:39.0,,,14-20,3,C. Paul makes 3-pt shot from 26 ft
6:27.0,Turnover by D. Cousins (lost ball; steal by J. Redick),,14-20,,
6:22.0,,,14-20,,J. Redick misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by R. Rondo,,14-20,,
6:10.0,D. Cousins misses 2-pt shot from 3 ft,,14-20,,
6:09.0,,,14-20,,Defensive rebound by C. Aldrich
6:05.0,,,14-20,,Turnover by C. Paul (bad pass)
6:05.0,O. Casspi enters the game for W. Cauley-Stein,,14-20,,
5:53.0,R. Rondo makes 2-pt shot from 2 ft,2,16-20,,
5:44.0,,,16-20,,Offensive foul by C. Paul
5:44.0,,,16-20,,Turnover by C. Paul (offensive foul)
5:44.0,,,16-20,,A. Rivers enters the game for C. Paul
5:44.0,,,16-20,,J. Crawford enters the game for L. Mbah a Moute
5:30.0,D. Cousins makes 2-pt shot from 18 ft (assist by R. Rondo),2,18-20,,
5:15.0,,,18-20,,J. Redick misses 3-pt shot from 27 ft
5:14.0,Defensive rebound by B. McLemore,,18-20,,
5:12.0,Offensive charge foul by B. McLemore,,18-20,,
5:12.0,Turnover by B. McLemore (offensive foul),,18-20,,
5:12.0,,,18-20,,LA Clippers full timeout
5:12.0,M. Belinelli enters the game for B. McLemore,,18-20,,
4:59.0,,,18-20,,W. Johnson misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by O. Casspi,,18-20,,
4:46.0,R. Gay misses 2-pt shot from 3 ft,,18-20,,
4:45.0,,,18-20,,Defensive rebound by J. Redick
4:37.0,,,18-20,,Turnover by C. Aldrich (traveling)
4:21.0,O. Casspi makes 3-pt shot from 24 ft (assist by R. Rondo),3,21-20,,
4:04.0,,,21-20,,Shooting foul by D. Cousins (drawn by C. Aldrich)
4:04.0,,,21-21,1,C. Aldrich makes free throw 1 of 2
4:04.0,,,21-21,,P. Prigioni enters the game for J. Redick
4:04.0,,,21-21,,C. Aldrich misses free throw 2 of 2
4:01.0,Defensive rebound by R. Gay,,21-21,,
3:47.0,D. Collison enters the game for R. Gay,,21-21,,
3:44.0,M. Belinelli misses 2-pt shot from 18 ft,,21-21,,
3:43.0,Offensive rebound by D. Cousins,,21-21,,
3:39.0,M. Belinelli makes 2-pt shot from 1 ft (assist by R. Rondo),2,23-21,,
3:27.0,,,23-21,,Turnover by C. Aldrich (lost ball)
3:27.0,,,23-21,,J. Smith enters the game for C. Aldrich
3:14.0,,,23-21,,Personal foul by J. Smith (drawn by D. Cousins)
3:03.0,O. Casspi misses 3-pt shot from 24 ft,,23-21,,
3:03.0,,,23-21,,Defensive rebound by J. Smith
