time,Washington,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Gortat (J. Dudley gains possession),,,,Jump ball: M. Gasol vs. M. Gortat (J. Dudley gains possession)
11:32.0,O. Porter misses 2-pt shot from 21 ft,,0-0,,
11:31.0,Offensive rebound by J. Dudley,,0-0,,
11:31.0,J. Dudley misses 2-pt shot at rim,,0-0,,
11:28.0,Offensive rebound by M. Gortat,,0-0,,
11:28.0,M. Gortat misses 2-pt shot at rim,,0-0,,
11:28.0,Offensive rebound by M. Gortat,,0-0,,
11:28.0,M. Gortat misses 2-pt shot at rim,,0-0,,
11:27.0,,,0-0,,Defensive rebound by C. Lee
11:05.0,,,0-0,,M. Barnes misses 2-pt shot from 8 ft
11:03.0,Defensive rebound by M. Gortat,,0-0,,
10:51.0,M. Gortat misses 2-pt shot from 12 ft,,0-0,,
10:50.0,,,0-0,,Defensive rebound by J. Green
10:35.0,,,0-0,,C. Lee misses 2-pt shot from 10 ft
10:35.0,Defensive rebound by M. Gortat,,0-0,,
10:23.0,J. Wall misses 2-pt shot from 14 ft,,0-0,,
10:21.0,,,0-0,,Defensive rebound by M. Barnes
10:06.0,,,0-0,,M. Gasol misses 2-pt shot from 6 ft
10:04.0,Defensive rebound by O. Porter,,0-0,,
9:57.0,Turnover by J. Wall (bad pass; steal by M. Barnes),,0-0,,
9:51.0,,,0-3,3,C. Lee makes 3-pt shot from 23 ft (assist by J. Green)
9:31.0,J. Dudley makes 3-pt shot from 23 ft (assist by O. Porter),3,3-3,,
9:14.0,,,3-5,2,M. Gasol makes 2-pt shot from 9 ft (assist by M. Conley)
9:01.0,Turnover by G. Temple (bad pass; steal by M. Gasol),,3-5,,
8:55.0,,,3-5,,C. Lee misses 2-pt shot from 1 ft (block by G. Temple)
8:53.0,Defensive rebound by O. Porter,,3-5,,
8:48.0,Turnover by J. Wall (bad pass),,3-5,,
8:34.0,,,3-5,,Shooting foul by J. Dudley (drawn by M. Barnes)
8:34.0,,,3-6,1,M. Barnes makes free throw 1 of 2
8:34.0,,,3-7,1,M. Barnes makes free throw 2 of 2
8:14.0,J. Wall makes 3-pt shot from 24 ft (assist by G. Temple),3,6-7,,
