time,Phoenix,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. N. Vucevic (R. Price gains possession),,,,Jump ball: T. Chandler vs. N. Vucevic (R. Price gains possession)
11:48.0,T. Chandler makes 2-pt shot from 4 ft (assist by D. Booker),2,2-0,,
11:31.0,,,2-2,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
11:19.0,D. Booker misses 2-pt shot from 19 ft,,2-2,,
11:18.0,,,2-2,,Defensive rebound by N. Vucevic
11:11.0,,,2-2,,A. Gordon misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by D. Booker,,2-2,,
11:03.0,D. Booker misses 2-pt shot from 15 ft,,2-2,,
11:01.0,Offensive rebound by D. Booker,,2-2,,
11:01.0,D. Booker misses 2-pt shot from 1 ft,,2-2,,
10:59.0,,,2-2,,Defensive rebound by N. Vucevic
10:53.0,,,2-5,3,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton)
10:33.0,Turnover by T. Chandler (traveling),,2-5,,
10:23.0,,,2-5,,N. Vucevic misses 2-pt shot from 9 ft
10:22.0,Defensive rebound by P. Tucker,,2-5,,
10:11.0,A. Len makes 2-pt shot from 3 ft (assist by P. Tucker),2,4-5,,
10:03.0,,,4-7,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
9:51.0,A. Len misses 2-pt shot from 8 ft,,4-7,,
9:50.0,,,4-7,,Defensive rebound by A. Gordon
9:46.0,,,4-7,,Offensive charge foul by A. Gordon
9:46.0,,,4-7,,Turnover by A. Gordon (offensive foul)
9:26.0,A. Len makes 2-pt shot from 15 ft,2,6-7,,
9:12.0,,,6-7,,M. Hezonja misses 3-pt shot from 27 ft
9:10.0,,,6-7,,Offensive rebound by E. Payton
9:07.0,,,6-7,,Turnover by E. Payton (bad pass; steal by R. Price)
9:00.0,A. Len makes 2-pt shot from 17 ft (assist by D. Booker),2,8-7,,
8:44.0,,,8-9,2,E. Payton makes 2-pt shot from 1 ft
8:33.0,A. Len misses 2-pt shot from 1 ft,,8-9,,
8:31.0,,,8-9,,Defensive rebound by N. Vucevic
8:22.0,,,8-11,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
8:00.0,,,8-11,,Personal foul by A. Gordon (drawn by T. Chandler)
8:00.0,,,8-11,,E. Ilyasova enters the game for A. Gordon
7:55.0,T. Chandler misses 2-pt shot from 17 ft,,8-11,,
7:54.0,,,8-11,,Defensive rebound by M. Hezonja
7:48.0,,,8-11,,E. Ilyasova misses 2-pt shot from 1 ft (block by T. Chandler)
7:45.0,Defensive rebound by A. Len,,8-11,,
7:35.0,A. Len makes 2-pt shot from 16 ft,2,10-11,,
7:20.0,,,10-11,,N. Vucevic misses 2-pt shot from 15 ft
7:19.0,Defensive rebound by P. Tucker,,10-11,,
7:11.0,R. Price makes 3-pt shot from 26 ft (assist by P. Tucker),3,13-11,,
6:56.0,,,13-11,,E. Fournier misses 2-pt shot from 1 ft
6:55.0,Defensive rebound by T. Chandler,,13-11,,
6:45.0,A. Len makes 2-pt shot from 7 ft (assist by R. Price),2,15-11,,
6:35.0,,,15-13,2,E. Payton makes 2-pt shot from 1 ft
6:21.0,Turnover by A. Len (bad pass),,15-13,,
