time,Orlando,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. H. Whiteside (M. Hezonja gains possession),,,,Jump ball: N. Vucevic vs. H. Whiteside (M. Hezonja gains possession)
11:36.0,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Fournier),2,2-0,,
11:12.0,,,2-0,,Shooting foul by E. Ilyasova (drawn by L. Deng)
11:12.0,,,2-0,,L. Deng misses free throw 1 of 2
11:12.0,,,2-0,,Offensive rebound by Team
11:12.0,,,2-0,,L. Deng misses free throw 2 of 2
11:11.0,Defensive rebound by E. Ilyasova,,2-0,,
10:56.0,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Fournier),2,4-0,,
10:35.0,,,4-0,,Turnover by H. Whiteside (offensive goaltending)
10:24.0,Turnover by E. Fournier (lost ball; steal by L. Deng),,4-0,,
10:12.0,,,4-2,2,L. Deng makes 2-pt shot from 1 ft
10:05.0,E. Payton misses 2-pt shot from 4 ft (block by H. Whiteside),,4-2,,
10:04.0,Offensive rebound by Team,,4-2,,
9:55.0,E. Fournier misses 2-pt shot from 4 ft,,4-2,,
9:54.0,,,4-2,,Defensive rebound by H. Whiteside
9:34.0,,,4-5,3,L. Deng makes 3-pt shot from 23 ft (assist by D. Wade)
9:16.0,E. Fournier misses 2-pt shot from 16 ft,,4-5,,
9:15.0,,,4-5,,Defensive rebound by H. Whiteside
9:10.0,,,4-7,2,L. Deng makes 2-pt shot from 2 ft (assist by G. Dragic)
8:46.0,E. Payton misses 2-pt shot from 5 ft (block by G. Dragic),,4-7,,
8:45.0,Offensive rebound by E. Payton,,4-7,,
8:43.0,E. Payton makes 2-pt shot at rim,2,6-7,,
8:22.0,,,6-9,2,G. Dragic makes 2-pt shot from 2 ft
8:08.0,M. Hezonja makes 2-pt shot from 8 ft (assist by E. Payton),2,8-9,,
7:55.0,,,8-11,2,G. Dragic makes 2-pt shot from 1 ft
7:36.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,10-11,,
7:17.0,,,10-11,,Shooting foul by M. Hezonja (drawn by H. Whiteside)
7:17.0,,,10-12,1,H. Whiteside makes free throw 1 of 2
7:17.0,,,10-13,1,H. Whiteside makes free throw 2 of 2
7:00.0,E. Ilyasova misses 3-pt shot from 24 ft,,10-13,,
6:59.0,,,10-13,,Defensive rebound by H. Whiteside
6:49.0,,,10-13,,J. Johnson misses 2-pt shot from 2 ft
6:48.0,Defensive rebound by N. Vucevic,,10-13,,
6:35.0,Turnover by E. Ilyasova (3 sec),,10-13,,
6:30.0,Violation by E. Fournier (kicked ball),,10-13,,
6:24.0,,,10-15,2,D. Wade makes 2-pt shot from 6 ft
6:05.0,N. Vucevic makes 2-pt shot from 10 ft,2,12-15,,
5:51.0,,,12-15,,Turnover by L. Deng (lost ball; steal by E. Payton)
5:51.0,,,12-15,,Personal foul by L. Deng
5:51.0,,,12-15,,Miami full timeout
5:51.0,,,12-15,,J. Richardson enters the game for L. Deng
5:51.0,,,12-15,,J. Winslow enters the game for G. Dragic
5:42.0,E. Fournier misses 2-pt shot from 2 ft (block by H. Whiteside),,12-15,,
5:42.0,Offensive rebound by Team,,12-15,,
5:38.0,M. Hezonja makes 3-pt shot from 23 ft (assist by E. Fournier),3,15-15,,
5:17.0,,,15-15,,Turnover by H. Whiteside (traveling)
5:10.0,,,15-15,,Personal foul by J. Johnson
4:53.0,E. Fournier makes 2-pt shot from 19 ft,2,17-15,,
4:32.0,,,17-18,3,J. Winslow makes 3-pt shot from 23 ft (assist by J. Johnson)
4:22.0,N. Vucevic misses 2-pt shot from 18 ft,,17-18,,
4:21.0,,,17-18,,Defensive rebound by J. Winslow
4:14.0,,,17-20,2,D. Wade makes 2-pt shot from 8 ft
3:56.0,E. Ilyasova misses 2-pt shot from 15 ft,,17-20,,
3:55.0,,,17-20,,Defensive rebound by D. Wade
3:43.0,,,17-20,,J. Richardson misses 3-pt shot from 22 ft
3:42.0,Defensive rebound by E. Payton,,17-20,,
3:36.0,E. Payton makes 2-pt shot from 1 ft,2,19-20,,
3:15.0,,,19-20,,J. Richardson misses 2-pt shot from 18 ft
3:14.0,Defensive rebound by E. Payton,,19-20,,
3:10.0,E. Fournier makes 2-pt shot at rim (assist by E. Payton),2,21-20,,
2:47.0,,,21-20,,Turnover by D. Wade (lost ball; steal by N. Vucevic)
2:42.0,E. Ilyasova misses 2-pt shot from 1 ft,,21-20,,
2:41.0,,,21-20,,Defensive rebound by J. Johnson
2:34.0,,,21-22,2,J. Johnson makes 2-pt shot from 3 ft (assist by J. Richardson)
2:34.0,Orlando full timeout,,21-22,,
2:34.0,D. Marble enters the game for E. Fournier,,21-22,,
2:34.0,J. Smith enters the game for N. Vucevic,,21-22,,
2:34.0,C. Watson enters the game for E. Payton,,21-22,,
2:34.0,,,21-22,,J. McRoberts enters the game for J. Johnson
2:34.0,,,21-22,,G. Dragic enters the game for H. Whiteside
2:34.0,,,21-22,,L. Deng enters the game for D. Wade
2:20.0,Turnover by J. Smith (lost ball; steal by L. Deng),,21-22,,
2:09.0,,,21-24,2,G. Dragic makes 2-pt shot at rim (assist by J. McRoberts)
1:54.0,J. Smith misses 2-pt shot from 16 ft,,21-24,,
1:53.0,Offensive rebound by J. Smith,,21-24,,
1:49.0,J. Smith misses 2-pt shot from 6 ft,,21-24,,
1:47.0,Offensive rebound by J. Smith,,21-24,,
1:43.0,E. Ilyasova misses 3-pt shot from 24 ft,,21-24,,
1:41.0,,,21-24,,Defensive rebound by J. McRoberts
1:32.0,,,21-26,2,G. Dragic makes 2-pt shot from 21 ft (assist by J. McRoberts)
1:18.0,J. Smith misses 2-pt shot from 21 ft,,21-26,,
1:17.0,,,21-26,,Defensive rebound by G. Dragic
1:08.0,,,21-26,,L. Deng misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by D. Marble,,21-26,,
1:00.0,M. Hezonja makes 2-pt shot from 16 ft,2,23-26,,
0:51.0,,,23-28,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. Richardson)
0:51.0,,,23-28,,Shooting foul by C. Watson (drawn by G. Dragic)
0:51.0,A. Nicholson enters the game for E. Ilyasova,,23-28,,
0:51.0,,,23-29,1,G. Dragic makes free throw 1 of 1
0:37.0,A. Nicholson makes 2-pt shot from 8 ft,2,25-29,,
0:27.0,,,25-29,,Shooting foul by J. Smith (drawn by L. Deng)
0:27.0,,,25-30,1,L. Deng makes free throw 1 of 2
0:27.0,,,25-31,1,L. Deng makes free throw 2 of 2
0:05.0,M. Hezonja makes 3-pt shot from 24 ft,3,28-31,,
0:01.0,,,28-31,,Turnover by J. Winslow (lost ball; steal by M. Hezonja)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,28-31,,J. McRoberts misses 2-pt shot from 5 ft
11:37.0,Defensive rebound by C. Watson,,28-31,,
11:15.0,M. Hezonja misses 2-pt shot from 16 ft,,28-31,,
11:14.0,,,28-31,,Defensive rebound by J. Winslow
11:05.0,,,28-34,3,J. Richardson makes 3-pt shot from 22 ft (assist by L. Deng)
10:47.0,A. Nicholson makes 2-pt shot from 8 ft,2,30-34,,
10:29.0,,,30-37,3,J. McRoberts makes 3-pt shot from 26 ft (assist by L. Deng)
10:06.0,Shooting foul by L. Deng (drawn by A. Nicholson),,30-37,,
10:06.0,A. Nicholson makes free throw 1 of 2,1,31-37,,
10:06.0,E. Fournier enters the game for M. Hezonja,,31-37,,
10:06.0,A. Nicholson makes free throw 2 of 2,1,32-37,,
9:52.0,,,32-37,,J. McRoberts misses 2-pt shot from 7 ft
9:51.0,Defensive rebound by J. Smith,,32-37,,
9:47.0,D. Marble makes 2-pt shot from 1 ft (assist by J. Smith),2,34-37,,
9:29.0,,,34-37,,L. Deng misses 2-pt shot from 13 ft
9:28.0,,,34-37,,Offensive rebound by J. McRoberts
9:28.0,,,34-37,,Shooting foul by J. Smith (drawn by J. McRoberts)
9:28.0,,,34-37,,J. McRoberts misses free throw 1 of 2
9:28.0,,,34-37,,Offensive rebound by Team
9:28.0,,,34-37,,G. Green enters the game for L. Deng
9:28.0,,,34-38,1,J. McRoberts makes free throw 2 of 2
9:11.0,E. Fournier makes 2-pt shot from 2 ft,2,36-38,,
8:55.0,,,36-38,,G. Green misses 2-pt shot from 8 ft
8:54.0,,,36-38,,Offensive rebound by Team
8:54.0,Official timeout,,36-38,,
8:39.0,,,36-38,,G. Dragic misses 2-pt shot from 17 ft
8:38.0,Defensive rebound by J. Smith,,36-38,,
8:22.0,Turnover by A. Nicholson (lost ball; steal by J. Winslow),,36-38,,
8:19.0,,,36-38,,Shooting foul by C. Watson (drawn by J. Winslow)
8:19.0,,,36-39,1,J. Winslow makes free throw 1 of 2
8:19.0,N. Vucevic enters the game for J. Smith,,36-39,,
8:19.0,,,36-40,1,J. Winslow makes free throw 2 of 2
8:04.0,Turnover by D. Marble (traveling),,36-40,,
7:44.0,,,36-40,,Turnover by J. McRoberts (lost ball; steal by C. Watson)
7:38.0,C. Watson makes 3-pt shot from 23 ft (assist by E. Fournier),3,39-40,,
7:19.0,,,39-42,2,G. Green makes 2-pt shot at rim (assist by J. Winslow)
6:56.0,Turnover by N. Vucevic (lost ball),,39-42,,
6:56.0,,,39-42,,D. Wade enters the game for G. Dragic
6:56.0,,,39-42,,H. Whiteside enters the game for J. McRoberts
6:56.0,E. Payton enters the game for C. Watson,,39-42,,
6:37.0,,,39-42,,J. Winslow misses 2-pt shot from 18 ft
6:36.0,Defensive rebound by D. Marble,,39-42,,
6:17.0,E. Fournier misses 3-pt shot from 23 ft,,39-42,,
6:16.0,,,39-42,,Defensive rebound by J. Winslow
6:13.0,,,39-42,,Turnover by J. Winslow (lost ball)
5:55.0,Turnover by E. Payton (lost ball; steal by G. Green),,39-42,,
5:54.0,Personal foul by E. Fournier,,39-42,,
5:54.0,,,39-42,,Miami full timeout
5:54.0,M. Hezonja enters the game for A. Nicholson,,39-42,,
5:54.0,,,39-42,,J. Johnson enters the game for J. Winslow
5:47.0,,,39-42,,D. Wade misses 2-pt shot from 14 ft
5:46.0,Defensive rebound by M. Hezonja,,39-42,,
5:29.0,E. Fournier misses 2-pt shot from 20 ft,,39-42,,
5:28.0,,,39-42,,Defensive rebound by D. Wade
5:23.0,,,39-44,2,J. Richardson makes 2-pt shot from 1 ft (assist by D. Wade)
5:12.0,Turnover by D. Marble (lost ball),,39-44,,
4:58.0,,,39-44,,Shooting foul by E. Payton (drawn by J. Richardson)
4:58.0,,,39-45,1,J. Richardson makes free throw 1 of 2
4:58.0,,,39-45,,L. Deng enters the game for G. Green
4:58.0,,,39-46,1,J. Richardson makes free throw 2 of 2
4:45.0,N. Vucevic misses 2-pt shot from 16 ft,,39-46,,
4:44.0,,,39-46,,Defensive rebound by H. Whiteside
4:35.0,,,39-46,,Turnover by J. Richardson (step out of bounds)
4:26.0,D. Marble misses 2-pt shot from 15 ft,,39-46,,
4:25.0,,,39-46,,Defensive rebound by D. Wade
4:24.0,Personal foul by E. Payton,,39-46,,
4:24.0,,,39-47,1,L. Deng makes free throw 1 of 2
4:24.0,,,39-47,,L. Deng misses free throw 2 of 2
4:23.0,Defensive rebound by N. Vucevic,,39-47,,
4:11.0,E. Fournier misses 2-pt shot from 18 ft,,39-47,,
4:10.0,,,39-47,,Defensive rebound by H. Whiteside
3:56.0,,,39-47,,Shooting foul by N. Vucevic (drawn by H. Whiteside)
3:56.0,,,39-48,1,H. Whiteside makes free throw 1 of 2
3:56.0,,,39-49,1,H. Whiteside makes free throw 2 of 2
3:51.0,Shooting foul by D. Wade (drawn by E. Payton),,39-49,,
3:51.0,E. Payton makes free throw 1 of 2,1,40-49,,
3:51.0,E. Payton misses free throw 2 of 2,,40-49,,
