time,Dallas,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. Z. Pachulia (D. Nowitzki gains possession),,,,Jump ball: T. Chandler vs. Z. Pachulia (D. Nowitzki gains possession)
11:41.0,D. Nowitzki misses 2-pt shot from 20 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by E. Bledsoe
11:20.0,,,0-0,,B. Knight misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by W. Matthews,,0-0,,
11:09.0,D. Williams makes 2-pt shot from 3 ft,2,2-0,,
10:59.0,Personal foul by Z. Pachulia (drawn by T. Chandler),,2-0,,
10:51.0,,,2-0,,M. Morris misses 2-pt shot from 12 ft
10:48.0,Defensive rebound by D. Nowitzki,,2-0,,
10:30.0,D. Nowitzki misses 2-pt shot from 16 ft (block by T. Chandler),,2-0,,
10:28.0,,,2-0,,Defensive rebound by E. Bledsoe
10:22.0,,,2-2,2,P. Tucker makes 2-pt shot at rim (assist by E. Bledsoe)
10:05.0,D. Williams makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,5-2,,
9:51.0,,,5-2,,M. Morris misses 2-pt shot from 16 ft
9:48.0,Defensive rebound by D. Williams,,5-2,,
9:41.0,,,5-2,,Personal foul by P. Tucker (drawn by R. Felton)
9:35.0,R. Felton misses 2-pt shot from 8 ft,,5-2,,
9:31.0,,,5-2,,Defensive rebound by B. Knight
9:26.0,,,5-4,2,B. Knight makes 2-pt shot from 15 ft
9:04.0,W. Matthews misses 3-pt shot from 24 ft,,5-4,,
9:02.0,,,5-4,,Defensive rebound by T. Chandler
8:50.0,,,5-6,2,E. Bledsoe makes 2-pt shot from 15 ft
8:41.0,,,5-6,,Personal foul by M. Morris (drawn by D. Nowitzki)
8:30.0,Shooting foul by P. Tucker (drawn by W. Matthews),,5-6,,
8:30.0,W. Matthews misses free throw 1 of 2,,5-6,,
8:30.0,Offensive rebound by Team,,5-6,,
8:30.0,,,5-6,,T. Warren enters the game for P. Tucker
8:30.0,W. Matthews makes free throw 2 of 2,1,6-6,,
8:21.0,,,6-6,,E. Bledsoe misses 3-pt shot from 24 ft
8:20.0,,,6-6,,Offensive rebound by T. Chandler
8:16.0,Shooting block foul by D. Williams (drawn by E. Bledsoe),,6-6,,
8:16.0,,,6-7,1,E. Bledsoe makes free throw 1 of 2
8:16.0,,,6-7,,E. Bledsoe misses free throw 2 of 2
8:15.0,Defensive rebound by D. Nowitzki,,6-7,,
8:08.0,,,6-7,,Personal foul by E. Bledsoe (drawn by Z. Pachulia)
8:05.0,R. Felton makes 2-pt shot from 1 ft (assist by W. Matthews),2,8-7,,
7:57.0,,,8-7,,E. Bledsoe misses 2-pt shot from 7 ft
7:54.0,Defensive rebound by Z. Pachulia,,8-7,,
7:48.0,D. Williams makes 3-pt shot from 24 ft,3,11-7,,
7:48.0,Violation by Team (jump ball),,11-7,,
7:36.0,,,11-10,3,B. Knight makes 3-pt shot from 22 ft (assist by T. Chandler)
7:25.0,Z. Pachulia misses 2-pt shot from 1 ft,,11-10,,
7:23.0,,,11-10,,Defensive rebound by T. Warren
7:12.0,,,11-10,,B. Knight misses 3-pt shot from 24 ft
7:12.0,,,11-10,,Offensive rebound by Team
7:12.0,Loose ball foul by R. Felton (drawn by E. Bledsoe),,11-10,,
7:12.0,D. Powell enters the game for D. Nowitzki,,11-10,,
7:12.0,J. Evans enters the game for W. Matthews,,11-10,,
7:05.0,,,11-10,,M. Morris misses 2-pt shot from 8 ft
7:03.0,Defensive rebound by D. Powell,,11-10,,
6:53.0,Turnover by D. Williams (bad pass; steal by M. Morris),,11-10,,
6:49.0,,,11-12,2,B. Knight makes 2-pt shot from 2 ft (assist by E. Bledsoe)
6:38.0,,,11-12,,Personal foul by B. Knight (drawn by D. Powell)
6:38.0,D. Powell misses free throw 1 of 2,,11-12,,
6:38.0,Offensive rebound by Team,,11-12,,
6:38.0,D. Powell makes free throw 2 of 2,1,12-12,,
6:29.0,,,12-12,,Turnover by B. Knight (bad pass; steal by Z. Pachulia)
6:22.0,D. Williams misses 2-pt shot from 9 ft,,12-12,,
6:20.0,,,12-12,,Defensive rebound by M. Morris
6:13.0,,,12-12,,Offensive foul by T. Chandler
6:13.0,,,12-12,,Turnover by T. Chandler (offensive foul)
6:13.0,D. Harris enters the game for D. Williams,,12-12,,
5:58.0,Z. Pachulia misses 2-pt shot from 16 ft,,12-12,,
5:56.0,,,12-12,,Defensive rebound by Team
5:56.0,,,12-12,,Phoenix full timeout
5:56.0,,,12-12,,Violation by Team (jump ball)
5:45.0,,,12-12,,T. Warren misses 2-pt shot from 17 ft
5:42.0,Defensive rebound by D. Powell,,12-12,,
5:38.0,,,12-12,,Personal foul by M. Morris (drawn by D. Powell)
5:38.0,D. Powell makes free throw 1 of 2,1,13-12,,
5:38.0,,,13-12,,M. Teletovic enters the game for M. Morris
5:38.0,D. Powell misses free throw 2 of 2,,13-12,,
5:37.0,,,13-12,,Defensive rebound by M. Teletovic
5:26.0,,,13-12,,Offensive foul by T. Chandler
5:26.0,,,13-12,,Turnover by T. Chandler (offensive foul)
5:26.0,,,13-12,,A. Len enters the game for T. Chandler
5:17.0,Turnover by D. Harris (bad pass),,13-12,,
5:07.0,,,13-12,,E. Bledsoe misses 2-pt shot from 2 ft
5:03.0,Defensive rebound by Z. Pachulia,,13-12,,
4:58.0,R. Felton makes 2-pt shot from 20 ft,2,15-12,,
4:48.0,,,15-12,,Turnover by B. Knight (bad pass; steal by Z. Pachulia)
4:37.0,R. Felton misses 2-pt shot from 14 ft,,15-12,,
4:35.0,,,15-12,,Defensive rebound by T. Warren
4:19.0,,,15-12,,E. Bledsoe misses 2-pt shot from 1 ft
4:16.0,Defensive rebound by D. Powell,,15-12,,
4:12.0,,,15-12,,Shooting block foul by A. Len (drawn by Z. Pachulia)
4:12.0,Z. Pachulia makes free throw 1 of 2,1,16-12,,
4:12.0,J. Barea enters the game for R. Felton,,16-12,,
4:12.0,,,16-12,,S. Weems enters the game for E. Bledsoe
4:12.0,Z. Pachulia makes free throw 2 of 2,1,17-12,,
4:04.0,Personal foul by J. Evans (drawn by T. Warren),,17-12,,
4:00.0,,,17-15,3,T. Warren makes 3-pt shot from 25 ft (assist by M. Teletovic)
3:45.0,Z. Pachulia misses 2-pt shot from 17 ft,,17-15,,
3:43.0,,,17-15,,Defensive rebound by B. Knight
3:40.0,,,17-17,2,A. Len makes 2-pt shot at rim (assist by B. Knight)
3:39.0,Dallas full timeout,,17-17,,
3:39.0,D. Nowitzki enters the game for Z. Pachulia,,17-17,,
3:26.0,D. Powell misses 2-pt shot from 7 ft,,17-17,,
3:24.0,,,17-17,,Defensive rebound by M. Teletovic
3:19.0,,,17-17,,Turnover by B. Knight (traveling)
3:11.0,D. Powell misses 2-pt shot from 3 ft,,17-17,,
3:09.0,,,17-17,,Defensive rebound by A. Len
3:04.0,,,17-17,,M. Teletovic misses 2-pt shot from 5 ft
3:02.0,Defensive rebound by D. Powell,,17-17,,
2:49.0,Shooting foul by A. Len (drawn by D. Powell),,17-17,,
2:49.0,D. Powell makes free throw 1 of 2,1,18-17,,
2:49.0,W. Matthews enters the game for J. Evans,,18-17,,
2:49.0,D. Powell misses free throw 2 of 2,,18-17,,
2:48.0,,,18-17,,Defensive rebound by A. Len
2:31.0,,,18-17,,T. Warren misses 2-pt shot from 1 ft
2:29.0,,,18-17,,Offensive rebound by A. Len
2:29.0,,,18-17,,A. Len misses 2-pt shot at rim
2:28.0,,,18-17,,Offensive rebound by A. Len
2:25.0,,,18-17,,Offensive foul by M. Teletovic
2:25.0,,,18-17,,Turnover by M. Teletovic (offensive foul)
2:14.0,J. Barea makes 2-pt shot at rim (assist by D. Nowitzki),2,20-17,,
2:00.0,,,20-17,,M. Teletovic misses 3-pt shot from 24 ft
1:58.0,,,20-17,,Offensive rebound by A. Len
1:54.0,,,20-17,,M. Teletovic misses 3-pt shot from 23 ft
1:52.0,,,20-17,,Offensive rebound by B. Knight
1:49.0,,,20-17,,S. Weems misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by J. Barea,,20-17,,
1:35.0,D. Nowitzki makes 2-pt shot from 14 ft,2,22-17,,
1:21.0,,,22-19,2,T. Warren makes 2-pt shot from 18 ft
1:10.0,J. Barea misses 2-pt shot from 21 ft,,22-19,,
1:08.0,,,22-19,,Defensive rebound by A. Len
0:55.0,,,22-19,,Shooting foul by D. Powell (drawn by A. Len)
0:55.0,,,22-19,,A. Len misses free throw 1 of 2
0:55.0,,,22-19,,Offensive rebound by Team
0:55.0,,,22-20,1,A. Len makes free throw 2 of 2
0:35.0,Turnover by J. Barea (bad pass; steal by S. Weems),,22-20,,
0:29.0,,,22-20,,T. Warren misses 2-pt shot from 19 ft
0:26.0,Defensive rebound by D. Harris,,22-20,,
0:24.0,Shooting foul by S. Weems (drawn by D. Harris),,22-20,,
0:24.0,D. Harris makes free throw 1 of 2,1,23-20,,
0:24.0,,,23-20,,J. Leuer enters the game for A. Len
0:24.0,J. Evans enters the game for D. Nowitzki,,23-20,,
0:24.0,D. Harris makes free throw 2 of 2,1,24-20,,
0:00.0,,,24-22,2,J. Leuer makes 2-pt shot from 15 ft (assist by B. Knight)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,24-24,2,J. Leuer makes 2-pt shot from 15 ft
11:26.0,Offensive foul by D. Powell,,24-24,,
11:26.0,Turnover by D. Powell (offensive foul),,24-24,,
11:09.0,,,24-24,,Turnover by R. Price (bad pass; steal by D. Harris)
11:02.0,W. Matthews misses 3-pt shot from 25 ft,,24-24,,
11:00.0,,,24-24,,Defensive rebound by J. Leuer
10:52.0,,,24-26,2,J. Leuer makes 2-pt shot from 1 ft
10:52.0,,,24-26,,Shooting foul by D. Nowitzki (drawn by J. Leuer)
10:52.0,J. Evans enters the game for D. Powell,,24-26,,
10:52.0,,,24-26,,J. Leuer misses free throw 1 of 1
10:52.0,,,24-26,,Offensive rebound by J. Leuer
10:50.0,,,24-26,,M. Teletovic misses 2-pt shot from 12 ft
10:47.0,Defensive rebound by D. Nowitzki,,24-26,,
10:43.0,D. Harris misses 2-pt shot from 6 ft,,24-26,,
10:41.0,,,24-26,,Defensive rebound by Team
10:40.0,D. Williams enters the game for D. Harris,,24-26,,
10:27.0,,,24-26,,T. Warren misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by J. Barea,,24-26,,
10:20.0,Shooting foul by J. Leuer (drawn by J. Barea),,24-26,,
10:20.0,J. Barea misses free throw 1 of 2,,24-26,,
10:20.0,Offensive rebound by Team,,24-26,,
10:20.0,,,24-26,,M. Morris enters the game for M. Teletovic
10:20.0,J. Barea makes free throw 2 of 2,1,25-26,,
10:05.0,,,25-26,,R. Price misses 3-pt shot from 25 ft
10:03.0,,,25-26,,Offensive rebound by J. Leuer
9:57.0,,,25-28,2,M. Morris makes 2-pt shot from 9 ft
9:55.0,,,25-28,,Personal foul by M. Morris (drawn by W. Matthews)
9:55.0,,,25-28,,T. Chandler enters the game for M. Morris
9:55.0,Z. Pachulia enters the game for J. Evans,,25-28,,
9:48.0,,,25-28,,Personal foul by J. Leuer (drawn by D. Nowitzki)
9:33.0,D. Nowitzki misses 2-pt shot from 17 ft,,25-28,,
9:30.0,,,25-28,,Defensive rebound by S. Weems
9:26.0,,,25-28,,T. Warren misses 2-pt shot from 14 ft
9:20.0,,,25-28,,Offensive rebound by T. Chandler
9:20.0,,,25-30,2,T. Chandler makes 2-pt shot from 1 ft
9:13.0,Z. Pachulia misses 2-pt shot at rim,,25-30,,
9:11.0,Offensive rebound by Z. Pachulia,,25-30,,
9:06.0,Z. Pachulia makes 2-pt shot at rim,2,27-30,,
8:51.0,,,27-30,,J. Leuer misses 2-pt shot from 8 ft
8:50.0,Defensive rebound by D. Nowitzki,,27-30,,
8:45.0,Shooting foul by R. Price (drawn by J. Barea),,27-30,,
8:45.0,Official timeout,,27-30,,
8:45.0,,,27-30,,E. Bledsoe enters the game for T. Warren
8:45.0,C. Villanueva enters the game for D. Nowitzki,,27-30,,
8:45.0,J. Barea makes free throw 1 of 2,1,28-30,,
8:45.0,J. Barea makes free throw 2 of 2,1,29-30,,
8:27.0,,,29-30,,E. Bledsoe misses 2-pt shot from 21 ft
8:25.0,Defensive rebound by W. Matthews,,29-30,,
8:10.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams),3,32-30,,
7:52.0,,,32-30,,S. Weems misses 2-pt shot from 21 ft
7:50.0,Defensive rebound by D. Williams,,32-30,,
7:48.0,Offensive charge foul by J. Barea,,32-30,,
7:48.0,Turnover by J. Barea (offensive foul),,32-30,,
7:48.0,,,32-30,,A. Goodwin enters the game for S. Weems
7:48.0,R. Felton enters the game for J. Barea,,32-30,,
7:33.0,,,32-30,,Shooting foul by C. Villanueva (drawn by J. Leuer)
7:33.0,,,32-31,1,J. Leuer makes free throw 1 of 2
7:33.0,,,32-31,,D. Booker enters the game for R. Price
7:33.0,,,32-32,1,J. Leuer makes free throw 2 of 2
7:22.0,Z. Pachulia makes 2-pt shot from 15 ft,2,34-32,,
6:59.0,,,34-32,,E. Bledsoe misses 3-pt shot from 24 ft
6:57.0,,,34-32,,Offensive rebound by E. Bledsoe
6:56.0,,,34-34,2,E. Bledsoe makes 2-pt shot from 2 ft
