time,LA Lakers,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. N. Jokic (J. Sampson gains possession),,,,Jump ball: R. Hibbert vs. N. Jokic (J. Sampson gains possession)
11:44.0,,,0-2,2,G. Harris makes 2-pt shot from 16 ft (assist by N. Jokic)
11:27.0,D. Russell makes 2-pt shot from 20 ft,2,2-2,,
11:15.0,,,2-4,2,N. Jokic makes 2-pt shot from 19 ft
10:57.0,J. Clarkson makes 3-pt shot from 24 ft (assist by D. Russell),3,5-4,,
10:37.0,,,5-4,,N. Jokic misses 2-pt shot from 17 ft
10:36.0,Defensive rebound by D. Russell,,5-4,,
10:30.0,Turnover by R. Hibbert (3 sec),,5-4,,
10:07.0,,,5-7,3,E. Mudiay makes 3-pt shot from 25 ft (assist by G. Harris)
9:46.0,R. Hibbert misses 2-pt shot from 4 ft,,5-7,,
9:43.0,Offensive rebound by J. Randle,,5-7,,
9:43.0,J. Randle misses 2-pt shot from 1 ft,,5-7,,
9:41.0,,,5-7,,Defensive rebound by N. Jokic
9:38.0,,,5-9,2,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay)
9:19.0,D. Russell makes 2-pt shot from 18 ft (assist by K. Bryant),2,7-9,,
9:08.0,,,7-12,3,E. Mudiay makes 3-pt shot from 22 ft (assist by G. Harris)
8:49.0,D. Russell misses 2-pt shot from 8 ft,,7-12,,
8:48.0,,,7-12,,Defensive rebound by N. Jokic
8:43.0,,,7-12,,G. Harris misses 2-pt shot from 22 ft
8:43.0,Defensive rebound by Team,,7-12,,
8:43.0,,,7-12,,Loose ball foul by N. Jokic (drawn by R. Hibbert)
8:25.0,J. Randle misses 2-pt shot from 16 ft,,7-12,,
8:24.0,,,7-12,,Defensive rebound by N. Jokic
8:19.0,,,7-12,,Turnover by N. Jokic (bad pass; steal by D. Russell)
8:13.0,K. Bryant misses 3-pt shot from 25 ft,,7-12,,
8:12.0,,,7-12,,Defensive rebound by G. Harris
8:04.0,,,7-12,,Shooting foul by R. Hibbert (drawn by N. Jokic)
8:04.0,,,7-12,,N. Jokic misses free throw 1 of 2
8:04.0,,,7-12,,Offensive rebound by Team
8:04.0,,,7-13,1,N. Jokic makes free throw 2 of 2
7:49.0,Turnover by J. Clarkson (lost ball; steal by G. Harris),,7-13,,
7:43.0,,,7-15,2,E. Mudiay makes 2-pt shot from 1 ft
7:20.0,R. Hibbert misses 2-pt shot from 8 ft,,7-15,,
7:19.0,,,7-15,,Defensive rebound by J. Sampson
7:17.0,,,7-15,,Turnover by E. Mudiay (bad pass)
7:03.0,Shooting foul by E. Mudiay (drawn by D. Russell),,7-15,,
7:03.0,D. Russell misses free throw 1 of 2,,7-15,,
7:03.0,Offensive rebound by Team,,7-15,,
7:03.0,D. Russell makes free throw 2 of 2,1,8-15,,
6:50.0,,,8-15,,N. Jokic misses 2-pt shot from 12 ft
6:50.0,,,8-15,,Offensive rebound by E. Mudiay
6:45.0,,,8-17,2,E. Mudiay makes 2-pt shot from 1 ft
6:30.0,Turnover by D. Russell (traveling),,8-17,,
