time,Oklahoma City,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gasol (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. M. Gasol (S. Ibaka gains possession)
11:46.0,Turnover by S. Adams (lost ball; steal by T. Allen),,0-0,,
11:40.0,,,0-2,2,J. Green makes 2-pt shot at rim (assist by T. Allen)
11:27.0,Turnover by A. Morrow (lost ball; steal by M. Conley),,0-2,,
11:11.0,,,0-2,,Turnover by M. Gasol (bad pass; steal by R. Westbrook)
10:56.0,S. Ibaka misses 2-pt shot from 6 ft,,0-2,,
10:56.0,Offensive rebound by Team,,0-2,,
10:40.0,Shooting foul by M. Gasol (drawn by S. Adams),,0-2,,
10:40.0,S. Adams makes free throw 1 of 2,1,1-2,,
10:40.0,S. Adams makes free throw 2 of 2,1,2-2,,
10:28.0,Personal foul by K. Singler (drawn by J. Green),,2-2,,
10:15.0,,,2-4,2,M. Conley makes 2-pt shot from 1 ft
10:03.0,R. Westbrook makes 2-pt shot from 15 ft,2,4-4,,
9:49.0,,,4-4,,Turnover by M. Gasol (turnover)
9:39.0,S. Ibaka makes 2-pt shot from 16 ft (assist by R. Westbrook),2,6-4,,
9:22.0,,,6-6,2,M. Gasol makes 2-pt shot from 9 ft (assist by T. Allen)
8:59.0,S. Ibaka makes 2-pt shot from 2 ft (assist by R. Westbrook),2,8-6,,
8:46.0,,,8-6,,Z. Randolph misses 2-pt shot from 19 ft
8:43.0,,,8-6,,Offensive rebound by M. Gasol
8:43.0,,,8-8,2,M. Gasol makes 2-pt shot at rim
8:25.0,S. Ibaka misses 2-pt shot from 19 ft,,8-8,,
8:25.0,,,8-8,,Defensive rebound by Z. Randolph
8:12.0,,,8-8,,M. Gasol misses 2-pt shot from 15 ft
8:11.0,,,8-8,,Offensive rebound by M. Conley
8:08.0,,,8-8,,M. Conley misses 3-pt shot from 23 ft
8:07.0,Defensive rebound by A. Morrow,,8-8,,
7:57.0,A. Morrow misses 3-pt shot from 25 ft,,8-8,,
7:57.0,,,8-8,,Defensive rebound by Team
7:57.0,Loose ball foul by K. Singler (drawn by M. Gasol),,8-8,,
7:57.0,D. Waiters enters the game for K. Singler,,8-8,,
7:50.0,,,8-8,,Turnover by J. Green (traveling)
7:27.0,S. Adams misses 2-pt shot at rim,,8-8,,
7:26.0,Offensive rebound by S. Adams,,8-8,,
7:26.0,S. Adams makes 2-pt shot at rim,2,10-8,,
7:03.0,,,10-10,2,M. Conley makes 2-pt shot from 2 ft (assist by Z. Randolph)
6:45.0,S. Ibaka misses 2-pt shot from 1 ft,,10-10,,
6:44.0,Offensive rebound by S. Adams,,10-10,,
6:40.0,S. Ibaka misses 2-pt shot from 13 ft,,10-10,,
6:40.0,,,10-10,,Defensive rebound by Z. Randolph
6:28.0,,,10-10,,M. Gasol misses 2-pt shot from 8 ft
6:25.0,Defensive rebound by D. Waiters,,10-10,,
6:12.0,Turnover by R. Westbrook (bad pass; steal by J. Green),,10-10,,
5:56.0,,,10-10,,Z. Randolph misses 2-pt shot from 19 ft
5:56.0,Defensive rebound by S. Ibaka,,10-10,,
5:46.0,R. Westbrook misses 2-pt shot from 12 ft,,10-10,,
5:44.0,,,10-10,,Defensive rebound by Z. Randolph
5:37.0,,,10-13,3,J. Green makes 3-pt shot from 24 ft (assist by M. Conley)
5:29.0,Oklahoma City full timeout,,10-13,,
5:29.0,N. Collison enters the game for S. Ibaka,,10-13,,
5:29.0,E. Kanter enters the game for S. Adams,,10-13,,
5:29.0,,,10-13,,J. Green enters the game for Z. Randolph
5:29.0,,,10-13,,C. Lee enters the game for T. Allen
5:18.0,E. Kanter makes 2-pt shot from 15 ft,2,12-13,,
5:02.0,,,12-13,,J. Green misses 2-pt shot from 18 ft
5:00.0,Defensive rebound by D. Waiters,,12-13,,
4:43.0,R. Westbrook misses 3-pt shot from 26 ft,,12-13,,
4:41.0,,,12-13,,Defensive rebound by M. Conley
4:27.0,,,12-15,2,M. Gasol makes 2-pt shot from 7 ft (assist by M. Conley)
4:02.0,D. Waiters makes 3-pt shot from 25 ft,3,15-15,,
3:40.0,Personal foul by N. Collison (drawn by M. Gasol),,15-15,,
3:40.0,,,15-15,,M. Chalmers enters the game for M. Conley
3:30.0,,,15-15,,M. Chalmers misses 3-pt shot from 24 ft
3:28.0,Defensive rebound by N. Collison,,15-15,,
3:17.0,Shooting foul by J. Green (drawn by E. Kanter),,15-15,,
3:17.0,E. Kanter makes free throw 1 of 2,1,16-15,,
3:17.0,E. Kanter makes free throw 2 of 2,1,17-15,,
3:13.0,,,17-15,,Memphis full timeout
3:13.0,,,17-15,,M. Barnes enters the game for J. Green
3:05.0,,,17-15,,Shooting foul by D. Waiters (drawn by C. Lee)
3:05.0,,,17-16,1,C. Lee makes free throw 1 of 2
3:05.0,,,17-17,1,C. Lee makes free throw 2 of 2
2:54.0,Turnover by R. Westbrook (bad pass; steal by C. Lee),,17-17,,
2:35.0,,,17-17,,Turnover by M. Chalmers (lost ball; steal by A. Morrow)
2:31.0,R. Westbrook makes 2-pt shot from 1 ft (assist by A. Morrow),2,19-17,,
2:31.0,Shooting foul by M. Barnes (drawn by R. Westbrook),,19-17,,
2:31.0,D. Augustin enters the game for A. Morrow,,19-17,,
2:31.0,R. Westbrook misses free throw 1 of 1,,19-17,,
2:30.0,,,19-17,,Defensive rebound by M. Chalmers
2:11.0,,,19-17,,Turnover by M. Gasol (turnover)
2:11.0,C. Payne enters the game for R. Westbrook,,19-17,,
1:53.0,E. Kanter makes 2-pt shot at rim,2,21-17,,
1:28.0,,,21-17,,M. Gasol misses 2-pt shot from 3 ft
1:27.0,Defensive rebound by D. Waiters,,21-17,,
1:21.0,D. Waiters makes 2-pt shot from 2 ft,2,23-17,,
1:13.0,,,23-17,,M. Chalmers misses 2-pt shot from 20 ft
1:12.0,,,23-17,,Offensive rebound by M. Barnes
1:12.0,,,23-17,,Shooting foul by E. Kanter (drawn by M. Barnes)
1:12.0,,,23-18,1,M. Barnes makes free throw 1 of 2
1:12.0,,,23-18,,Z. Randolph enters the game for M. Gasol
1:12.0,,,23-19,1,M. Barnes makes free throw 2 of 2
1:00.0,Turnover by D. Waiters (traveling),,23-19,,
0:50.0,,,23-21,2,M. Chalmers makes 2-pt shot from 2 ft
0:50.0,,,23-21,,Shooting foul by C. Payne (drawn by M. Chalmers)
0:50.0,,,23-22,1,M. Chalmers makes free throw 1 of 1
0:34.0,E. Kanter makes 2-pt shot from 12 ft (assist by D. Waiters),2,25-22,,
0:28.0,,,25-25,3,M. Chalmers makes 3-pt shot from 25 ft
0:07.0,D. Waiters misses 3-pt shot from 24 ft,,25-25,,
0:06.0,,,25-25,,Defensive rebound by M. Chalmers
0:03.0,,,25-25,,Shooting foul by C. Payne (drawn by M. Chalmers)
0:03.0,,,25-26,1,M. Chalmers makes free throw 1 of 3
0:03.0,,,25-27,1,M. Chalmers makes free throw 2 of 3
