time,Portland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. M. Plumlee (C. McCollum gains possession),,,,Jump ball: A. Johnson vs. M. Plumlee (C. McCollum gains possession)
11:37.0,N. Vonleh makes 2-pt shot from 6 ft,2,2-0,,
11:14.0,,,2-2,2,J. Crowder makes 2-pt shot from 18 ft (assist by A. Johnson)
10:54.0,A. Aminu makes 2-pt shot from 16 ft (assist by D. Lillard),2,4-2,,
10:43.0,,,4-2,,J. Sullinger misses 2-pt shot from 19 ft
10:41.0,Defensive rebound by D. Lillard,,4-2,,
10:23.0,A. Aminu misses 3-pt shot from 24 ft,,4-2,,
10:23.0,,,4-2,,Defensive rebound by A. Johnson
10:17.0,Violation by M. Plumlee (def goaltending),,4-2,,
10:17.0,,,4-4,2,I. Thomas makes 2-pt shot from 2 ft
9:59.0,C. McCollum makes 3-pt shot from 22 ft,3,7-4,,
9:44.0,,,7-4,,I. Thomas misses 2-pt shot from 2 ft (block by D. Lillard)
9:43.0,,,7-4,,Offensive rebound by Team
9:34.0,,,7-4,,Turnover by J. Sullinger (traveling)
9:20.0,D. Lillard makes 2-pt shot from 17 ft,2,9-4,,
9:18.0,,,9-4,,Boston full timeout
9:04.0,,,9-4,,A. Bradley misses 3-pt shot from 25 ft
9:03.0,,,9-4,,Offensive rebound by J. Sullinger
8:58.0,,,9-7,3,J. Crowder makes 3-pt shot from 26 ft (assist by J. Sullinger)
8:40.0,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum),2,11-7,,
8:27.0,,,11-9,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
8:08.0,C. McCollum makes 3-pt shot from 25 ft (assist by M. Plumlee),3,14-9,,
7:39.0,,,14-12,3,I. Thomas makes 3-pt shot from 25 ft
7:19.0,N. Vonleh misses 2-pt shot from 5 ft (block by A. Johnson),,14-12,,
7:18.0,Offensive rebound by N. Vonleh,,14-12,,
7:17.0,N. Vonleh makes 2-pt shot from 1 ft,2,16-12,,
7:09.0,,,16-12,,I. Thomas misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by M. Plumlee,,16-12,,
7:02.0,Turnover by M. Plumlee (bad pass; steal by A. Bradley),,16-12,,
6:50.0,,,16-12,,A. Johnson misses 2-pt shot from 10 ft
6:49.0,,,16-12,,Offensive rebound by J. Sullinger
6:46.0,,,16-12,,Turnover by J. Sullinger (lost ball; steal by M. Plumlee)
6:41.0,D. Lillard misses 3-pt shot from 25 ft,,16-12,,
6:36.0,Offensive rebound by D. Lillard,,16-12,,
