time,Orlando,pts.away,score,pts.home,Philadelphia
1:27.0,M. Hezonja misses 2-pt shot from 2 ft,,22-17,,
1:27.0,,,22-17,,Defensive rebound by Team
1:02.0,,,22-17,,J. Okafor misses 2-pt shot at rim (block by J. Smith)
1:00.0,Defensive rebound by J. Smith,,22-17,,
0:56.0,C. Watson misses 3-pt shot from 26 ft,,22-17,,
0:54.0,,,22-17,,Defensive rebound by J. Okafor
0:42.0,,,22-17,,I. Canaan misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by C. Watson,,22-17,,
0:29.0,A. Gordon misses 3-pt shot from 26 ft,,22-17,,
0:27.0,,,22-17,,Defensive rebound by P. Pressey
0:20.0,,,22-17,,H. Thompson misses 3-pt shot from 25 ft
0:18.0,Defensive rebound by J. Smith,,22-17,,
0:01.0,A. Gordon makes 3-pt shot from 26 ft (assist by C. Watson),3,25-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,M. Hezonja misses 2-pt shot from 2 ft,,25-17,,
11:42.0,Offensive rebound by J. Smith,,25-17,,
11:39.0,M. Hezonja makes 2-pt shot from 6 ft (assist by J. Smith),2,27-17,,
11:14.0,,,27-20,3,I. Canaan makes 3-pt shot from 25 ft (assist by J. Okafor)
11:00.0,M. Hezonja misses 2-pt shot from 18 ft,,27-20,,
10:58.0,,,27-20,,Defensive rebound by P. Pressey
10:47.0,,,27-22,2,J. Okafor makes 2-pt shot from 1 ft (assist by P. Pressey)
10:25.0,J. Smith makes 2-pt shot from 17 ft (assist by C. Watson),2,29-22,,
9:58.0,,,29-22,,J. Okafor misses 2-pt shot from 16 ft
9:56.0,Defensive rebound by S. Napier,,29-22,,
9:54.0,Turnover by S. Napier (bad pass),,29-22,,
9:54.0,,,29-22,,N. Noel enters the game for J. Okafor
9:54.0,,,29-22,,N. Stauskas enters the game for P. Pressey
9:43.0,D. Dedmon enters the game for J. Smith,,29-22,,
9:33.0,,,29-22,,N. Noel misses 2-pt shot from 12 ft
9:32.0,Defensive rebound by A. Gordon,,29-22,,
9:10.0,Shooting foul by N. Noel (drawn by S. Napier),,29-22,,
9:10.0,S. Napier misses free throw 1 of 2,,29-22,,
9:10.0,Offensive rebound by Team,,29-22,,
9:10.0,,,29-22,,T. McConnell enters the game for I. Canaan
9:10.0,,,29-22,,R. Holmes enters the game for J. Grant
9:10.0,S. Napier makes free throw 2 of 2,1,30-22,,
8:58.0,,,30-24,2,H. Thompson makes 2-pt shot at rim
8:44.0,M. Hezonja makes 2-pt shot from 18 ft (assist by A. Gordon),2,32-24,,
8:30.0,,,32-24,,Turnover by T. McConnell (traveling)
8:30.0,Official timeout,,32-24,,
8:30.0,E. Fournier enters the game for S. Napier,,32-24,,
8:11.0,E. Fournier makes 2-pt shot from 5 ft (assist by C. Watson),2,34-24,,
8:00.0,,,34-26,2,N. Stauskas makes 2-pt shot from 1 ft
7:48.0,,,34-26,,Personal foul by N. Stauskas (drawn by E. Fournier)
7:48.0,T. Harris enters the game for A. Gordon,,34-26,,
7:41.0,M. Hezonja makes 2-pt shot from 17 ft (assist by C. Watson),2,36-26,,
7:24.0,,,36-26,,N. Noel misses 2-pt shot from 7 ft
7:21.0,,,36-26,,Offensive rebound by R. Holmes
7:20.0,,,36-28,2,R. Holmes makes 2-pt shot from 1 ft
7:08.0,M. Hezonja misses 2-pt shot from 3 ft (block by R. Holmes),,36-28,,
7:06.0,,,36-28,,Defensive rebound by H. Thompson
6:56.0,,,36-28,,Shooting foul by T. Harris (drawn by H. Thompson)
6:56.0,,,36-28,,H. Thompson misses free throw 1 of 3
6:56.0,,,36-28,,Offensive rebound by Team
6:56.0,,,36-29,1,H. Thompson makes free throw 2 of 3
6:56.0,E. Payton enters the game for C. Watson,,36-29,,
6:56.0,A. Gordon enters the game for T. Harris,,36-29,,
6:56.0,V. Oladipo enters the game for M. Hezonja,,36-29,,
6:56.0,,,36-29,,H. Thompson misses free throw 3 of 3
