time,Houston,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. N. Vucevic (C. Capela gains possession),,,,Jump ball: D. Howard vs. N. Vucevic (C. Capela gains possession)
11:38.0,J. Harden makes 2-pt shot from 14 ft,2,2-0,,
11:19.0,,,2-2,2,N. Vucevic makes 2-pt shot from 13 ft
11:04.0,Shooting foul by T. Harris (drawn by D. Howard),,2-2,,
11:04.0,D. Howard misses free throw 1 of 2,,2-2,,
11:04.0,Offensive rebound by Team,,2-2,,
11:04.0,D. Howard misses free throw 2 of 2,,2-2,,
11:02.0,,,2-2,,Defensive rebound by N. Vucevic
10:42.0,,,2-4,2,N. Vucevic makes 2-pt shot from 4 ft
10:31.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,4-4,,
10:15.0,,,4-7,3,C. Frye makes 3-pt shot from 22 ft (assist by E. Payton)
9:54.0,T. Ariza misses 3-pt shot from 23 ft,,4-7,,
9:52.0,,,4-7,,Defensive rebound by E. Fournier
9:42.0,,,4-7,,E. Payton misses 2-pt shot from 1 ft
9:40.0,Defensive rebound by J. Harden,,4-7,,
9:27.0,,,4-7,,Personal foul by E. Payton (drawn by J. Harden)
9:20.0,T. Ariza makes 2-pt shot from 17 ft (assist by P. Beverley),2,6-7,,
9:02.0,Violation by D. Howard (def goaltending),,6-7,,
9:02.0,,,6-9,2,C. Frye makes 2-pt shot from 7 ft (assist by E. Payton)
8:42.0,D. Howard misses 2-pt shot from 1 ft,,6-9,,
8:42.0,Offensive rebound by Team,,6-9,,
8:31.0,P. Beverley makes 2-pt shot from 12 ft,2,8-9,,
8:24.0,Personal foul by C. Capela (drawn by C. Frye),,8-9,,
8:15.0,,,8-11,2,E. Payton makes 2-pt shot from 1 ft
8:06.0,Turnover by P. Beverley (bad pass; steal by E. Payton),,8-11,,
8:02.0,,,8-11,,E. Payton misses 2-pt shot from 1 ft (block by C. Capela)
7:59.0,,,8-11,,Offensive rebound by C. Frye
7:53.0,,,8-11,,E. Fournier misses 2-pt shot from 16 ft
7:51.0,Defensive rebound by T. Ariza,,8-11,,
7:48.0,Shooting foul by C. Frye (drawn by C. Capela),,8-11,,
7:48.0,C. Capela misses free throw 1 of 2,,8-11,,
7:48.0,Offensive rebound by Team,,8-11,,
7:48.0,C. Capela misses free throw 2 of 2,,8-11,,
7:46.0,,,8-11,,Defensive rebound by T. Harris
7:26.0,,,8-11,,Shooting foul by D. Howard (drawn by T. Harris)
7:26.0,,,8-12,1,E. Payton makes free throw 1 of 2
7:26.0,T. Jones enters the game for C. Capela,,8-12,,
7:26.0,,,8-13,1,E. Payton makes free throw 2 of 2
7:12.0,P. Beverley misses 2-pt shot from 2 ft,,8-13,,
7:10.0,,,8-13,,Defensive rebound by E. Payton
6:57.0,,,8-15,2,E. Fournier makes 2-pt shot from 1 ft (assist by N. Vucevic)
6:57.0,Shooting block foul by P. Beverley (drawn by E. Fournier),,8-15,,
6:57.0,,,8-16,1,E. Fournier makes free throw 1 of 1
6:47.0,Shooting foul by E. Fournier (drawn by J. Harden),,8-16,,
6:47.0,J. Harden makes free throw 1 of 2,1,9-16,,
6:47.0,J. Harden makes free throw 2 of 2,1,10-16,,
6:35.0,,,10-16,,T. Harris misses 2-pt shot from 11 ft
6:33.0,,,10-16,,Offensive rebound by N. Vucevic
6:33.0,,,10-18,2,N. Vucevic makes 2-pt shot from 1 ft
6:18.0,Offensive foul by D. Howard,,10-18,,
6:18.0,Turnover by D. Howard (offensive foul),,10-18,,
6:18.0,C. Capela enters the game for D. Howard,,10-18,,
5:58.0,,,10-20,2,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Payton)
5:49.0,Houston full timeout,,10-20,,
5:42.0,T. Jones makes 3-pt shot from 24 ft (assist by P. Beverley),3,13-20,,
5:21.0,,,13-20,,E. Fournier misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by T. Ariza,,13-20,,
5:13.0,T. Jones makes 2-pt shot from 2 ft (assist by J. Harden),2,15-20,,
5:13.0,Shooting foul by C. Frye (drawn by T. Jones),,15-20,,
5:13.0,,,15-20,,V. Oladipo enters the game for C. Frye
5:13.0,,,15-20,,J. Smith enters the game for E. Fournier
5:13.0,T. Jones makes free throw 1 of 1,1,16-20,,
4:53.0,,,16-22,2,T. Harris makes 2-pt shot from 17 ft
4:39.0,Turnover by J. Harden (bad pass),,16-22,,
4:39.0,T. Lawson enters the game for P. Beverley,,16-22,,
4:30.0,Personal foul by J. Harden (drawn by V. Oladipo),,16-22,,
4:21.0,,,16-22,,N. Vucevic misses 2-pt shot from 6 ft
4:20.0,Defensive rebound by C. Capela,,16-22,,
4:07.0,J. Harden makes 2-pt shot from 12 ft,2,18-22,,
3:42.0,,,18-22,,Turnover by J. Smith (traveling)
3:31.0,T. Ariza misses 3-pt shot from 27 ft,,18-22,,
3:29.0,Offensive rebound by C. Capela,,18-22,,
3:25.0,J. Harden makes 3-pt shot from 25 ft (assist by C. Capela),3,21-22,,
3:13.0,,,21-22,,Shooting foul by C. Capela (drawn by N. Vucevic)
3:13.0,,,21-22,,N. Vucevic misses free throw 1 of 2
3:13.0,,,21-22,,Offensive rebound by Team
3:13.0,C. Brewer enters the game for T. Ariza,,21-22,,
3:13.0,,,21-23,1,N. Vucevic makes free throw 2 of 2
3:01.0,J. Harden misses 2-pt shot from 1 ft,,21-23,,
2:59.0,Offensive rebound by C. Capela,,21-23,,
2:59.0,C. Capela makes 2-pt shot at rim,2,23-23,,
2:47.0,,,23-23,,Shooting foul by T. Lawson (drawn by E. Payton)
2:47.0,,,23-23,,Orlando full timeout
2:47.0,,,23-23,,A. Nicholson enters the game for N. Vucevic
2:47.0,,,23-23,,E. Payton misses free throw 1 of 2
2:47.0,,,23-23,,Offensive rebound by Team
2:47.0,,,23-23,,E. Payton misses free throw 2 of 2
2:46.0,Defensive rebound by C. Capela,,23-23,,
2:34.0,T. Lawson makes 2-pt shot from 11 ft,2,25-23,,
2:18.0,,,25-23,,V. Oladipo misses 3-pt shot from 23 ft
2:17.0,Defensive rebound by C. Brewer,,25-23,,
2:02.0,J. Harden misses 3-pt shot from 26 ft,,25-23,,
2:01.0,Offensive rebound by C. Brewer,,25-23,,
1:56.0,T. Lawson misses 3-pt shot from 24 ft,,25-23,,
1:55.0,Offensive rebound by T. Jones,,25-23,,
1:49.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,27-23,,
1:28.0,,,27-23,,Turnover by E. Payton (bad pass; steal by C. Brewer)
1:24.0,C. Brewer makes 2-pt shot at rim,2,29-23,,
1:18.0,,,29-23,,J. Smith misses 3-pt shot from 23 ft
1:16.0,,,29-23,,Offensive rebound by T. Harris
1:16.0,,,29-25,2,T. Harris makes 2-pt shot from 1 ft
1:02.0,J. Harden makes 2-pt shot from 1 ft,2,31-25,,
0:45.0,,,31-27,2,T. Harris makes 2-pt shot at rim
0:32.0,T. Jones misses 3-pt shot from 26 ft,,31-27,,
0:30.0,,,31-27,,Defensive rebound by V. Oladipo
0:25.0,,,31-27,,E. Payton misses 2-pt shot from 2 ft
0:23.0,Defensive rebound by C. Brewer,,31-27,,
0:20.0,Shooting foul by J. Smith (drawn by J. Harden),,31-27,,
0:20.0,J. Harden makes free throw 1 of 2,1,32-27,,
0:20.0,T. Ariza enters the game for T. Lawson,,32-27,,
0:20.0,,,32-27,,M. Hezonja enters the game for E. Payton
0:20.0,J. Harden makes free throw 2 of 2,1,33-27,,
0:07.0,,,33-27,,V. Oladipo misses 2-pt shot from 2 ft
0:04.0,Defensive rebound by J. Harden,,33-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,33-27,,Shooting foul by C. Brewer (drawn by A. Gordon)
11:47.0,,,33-28,1,A. Gordon makes free throw 1 of 2
11:47.0,,,33-28,,A. Gordon misses free throw 2 of 2
11:46.0,Defensive rebound by C. Brewer,,33-28,,
11:34.0,Turnover by D. Motiejunas (lost ball; steal by A. Gordon),,33-28,,
11:29.0,,,33-30,2,A. Gordon makes 2-pt shot at rim (assist by M. Hezonja)
11:18.0,C. Brewer misses 2-pt shot at rim,,33-30,,
11:16.0,Offensive rebound by D. Howard,,33-30,,
11:13.0,M. Thornton makes 3-pt shot from 25 ft (assist by D. Howard),3,36-30,,
10:58.0,,,36-33,3,A. Nicholson makes 3-pt shot from 26 ft (assist by V. Oladipo)
10:40.0,C. Brewer misses 3-pt shot from 24 ft,,36-33,,
10:40.0,,,36-33,,Defensive rebound by Team
10:31.0,,,36-35,2,J. Smith makes 2-pt shot at rim (assist by V. Oladipo)
10:13.0,D. Motiejunas misses 2-pt shot from 5 ft,,36-35,,
10:12.0,,,36-35,,Defensive rebound by M. Hezonja
10:05.0,,,36-35,,A. Gordon misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by M. Thornton,,36-35,,
10:00.0,C. Brewer makes 2-pt shot at rim (assist by M. Thornton),2,38-35,,
9:40.0,,,38-35,,A. Gordon misses 2-pt shot at rim
9:38.0,,,38-35,,Offensive rebound by A. Gordon
