time,Dallas,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: Z. Pachulia vs. H. Whiteside (G. Dragic gains possession)
11:40.0,,,0-0,,L. Deng misses 2-pt shot from 11 ft
11:39.0,Defensive rebound by C. Parsons,,0-0,,
11:14.0,J. Barea misses 3-pt shot from 23 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by H. Whiteside
11:03.0,,,0-2,2,G. Dragic makes 2-pt shot from 15 ft
10:43.0,J. Barea misses 3-pt shot from 23 ft,,0-2,,
10:42.0,,,0-2,,Defensive rebound by T. Johnson
10:30.0,,,0-2,,T. Johnson misses 2-pt shot from 19 ft
10:29.0,Defensive rebound by Z. Pachulia,,0-2,,
10:07.0,D. Nowitzki misses 3-pt shot from 25 ft,,0-2,,
10:06.0,,,0-2,,Defensive rebound by T. Johnson
9:59.0,Violation by D. Nowitzki (kicked ball),,0-2,,
9:45.0,,,0-2,,H. Whiteside misses 2-pt shot from 3 ft
9:44.0,Defensive rebound by D. Nowitzki,,0-2,,
9:32.0,C. Parsons misses 2-pt shot from 2 ft,,0-2,,
9:31.0,,,0-2,,Defensive rebound by G. Dragic
9:27.0,,,0-2,,G. Dragic misses 2-pt shot from 1 ft
9:26.0,,,0-2,,Offensive rebound by C. Bosh
9:25.0,,,0-4,2,C. Bosh makes 2-pt shot at rim
9:07.0,D. Nowitzki misses 2-pt shot from 15 ft,,0-4,,
9:06.0,,,0-4,,Defensive rebound by Team
8:55.0,,,0-4,,G. Dragic misses 2-pt shot from 15 ft
8:54.0,Defensive rebound by Z. Pachulia,,0-4,,
8:45.0,Z. Pachulia makes 2-pt shot from 8 ft (assist by J. Barea),2,2-4,,
8:27.0,,,2-4,,G. Dragic misses 2-pt shot from 2 ft (block by Z. Pachulia)
8:26.0,Defensive rebound by Z. Pachulia,,2-4,,
8:23.0,Turnover by Z. Pachulia (bad pass; steal by G. Dragic),,2-4,,
8:23.0,Personal foul by J. Barea,,2-4,,
8:05.0,Personal foul by D. Nowitzki (drawn by C. Bosh),,2-4,,
7:58.0,,,2-4,,C. Bosh misses 2-pt shot from 13 ft
7:57.0,Defensive rebound by Z. Pachulia,,2-4,,
7:49.0,J. Barea makes 2-pt shot from 2 ft,2,4-4,,
7:40.0,Violation by D. Nowitzki (kicked ball),,4-4,,
7:33.0,,,4-4,,H. Whiteside misses 2-pt shot from 6 ft
7:32.0,,,4-4,,Offensive rebound by H. Whiteside
7:28.0,,,4-6,2,H. Whiteside makes 2-pt shot from 6 ft
7:14.0,D. Nowitzki misses 2-pt shot from 14 ft,,4-6,,
7:13.0,Offensive rebound by Z. Pachulia,,4-6,,
7:06.0,Z. Pachulia misses 2-pt shot from 1 ft,,4-6,,
7:05.0,,,4-6,,Defensive rebound by H. Whiteside
6:57.0,,,4-6,,C. Bosh misses 3-pt shot from 25 ft
6:56.0,Defensive rebound by Z. Pachulia,,4-6,,
6:47.0,J. Barea misses 3-pt shot from 25 ft,,4-6,,
6:46.0,,,4-6,,Defensive rebound by H. Whiteside
6:36.0,,,4-8,2,G. Dragic makes 2-pt shot from 1 ft
6:35.0,Dallas full timeout,,4-8,,
6:35.0,R. Felton enters the game for C. Parsons,,4-8,,
6:35.0,D. Williams enters the game for D. Nowitzki,,4-8,,
6:35.0,D. Powell enters the game for J. Barea,,4-8,,
6:35.0,,,4-8,,G. Green enters the game for C. Bosh
6:24.0,W. Matthews misses 3-pt shot from 23 ft,,4-8,,
6:23.0,Offensive rebound by D. Powell,,4-8,,
6:13.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by R. Felton),2,6-8,,
5:50.0,,,6-8,,Turnover by T. Johnson (bad pass; steal by Z. Pachulia)
5:37.0,R. Felton misses 2-pt shot from 16 ft,,6-8,,
5:36.0,,,6-8,,Defensive rebound by H. Whiteside
5:30.0,,,6-11,3,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic)
5:10.0,D. Williams makes 2-pt shot from 13 ft (assist by Z. Pachulia),2,8-11,,
4:52.0,,,8-14,3,T. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic)
4:34.0,D. Williams misses 2-pt shot from 18 ft,,8-14,,
4:33.0,,,8-14,,Defensive rebound by H. Whiteside
4:16.0,,,8-16,2,H. Whiteside makes 2-pt shot from 14 ft (assist by L. Deng)
3:58.0,D. Williams misses 3-pt shot from 24 ft,,8-16,,
3:57.0,,,8-16,,Defensive rebound by H. Whiteside
3:48.0,,,8-18,2,H. Whiteside makes 2-pt shot from 18 ft (assist by G. Dragic)
3:48.0,Dallas full timeout,,8-18,,
3:48.0,,,8-18,,B. Udrih enters the game for G. Dragic
3:33.0,R. Felton misses 2-pt shot from 6 ft,,8-18,,
