time,Denver,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. T. Mozgov (C. Frye gains possession),,,,Jump ball: N. Jokic vs. T. Mozgov (C. Frye gains possession)
11:44.0,,,0-0,,Turnover by J. Smith (lost ball; steal by N. Jokic)
11:24.0,J. Sampson makes 2-pt shot from 20 ft (assist by N. Jokic),2,2-0,,
11:03.0,,,2-0,,K. Irving misses 2-pt shot from 10 ft
11:00.0,,,2-0,,Offensive rebound by K. Irving
10:57.0,,,2-0,,C. Frye misses 3-pt shot from 27 ft
10:57.0,Defensive rebound by D. Arthur,,2-0,,
10:48.0,E. Mudiay misses 2-pt shot at rim,,2-0,,
10:47.0,,,2-0,,Defensive rebound by C. Frye
10:39.0,,,2-0,,K. Irving misses 2-pt shot from 18 ft
10:37.0,,,2-0,,Offensive rebound by T. Mozgov
10:34.0,,,2-0,,Turnover by T. Mozgov (lost ball; steal by N. Jokic)
10:28.0,G. Harris misses 2-pt shot at rim (block by C. Frye),,2-0,,
10:27.0,,,2-0,,Defensive rebound by T. Mozgov
10:05.0,,,2-0,,L. James misses 2-pt shot from 1 ft
10:04.0,,,2-0,,Offensive rebound by T. Mozgov
9:57.0,,,2-2,2,J. Smith makes 2-pt shot from 7 ft
9:41.0,D. Arthur misses 2-pt shot from 17 ft,,2-2,,
9:38.0,,,2-2,,Defensive rebound by L. James
9:33.0,,,2-5,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
9:09.0,N. Jokic makes 2-pt shot from 7 ft (assist by G. Harris),2,4-5,,
8:53.0,,,4-8,3,C. Frye makes 3-pt shot from 23 ft (assist by L. James)
8:40.0,G. Harris makes 2-pt shot from 9 ft (assist by N. Jokic),2,6-8,,
8:26.0,,,6-8,,J. Smith misses 3-pt shot from 26 ft
8:26.0,,,6-8,,Offensive rebound by Team
8:26.0,Loose ball foul by G. Harris,,6-8,,
8:16.0,,,6-8,,Turnover by T. Mozgov (lost ball)
8:05.0,N. Jokic misses 2-pt shot from 14 ft,,6-8,,
8:05.0,,,6-8,,Defensive rebound by L. James
7:57.0,,,6-8,,T. Mozgov misses 2-pt shot at rim
7:54.0,,,6-8,,Offensive rebound by L. James
7:54.0,,,6-10,2,L. James makes 2-pt shot at rim
7:45.0,G. Harris makes 3-pt shot from 24 ft (assist by D. Arthur),3,9-10,,
7:24.0,,,9-12,2,K. Irving makes 2-pt shot from 22 ft
7:08.0,N. Jokic misses 3-pt shot from 25 ft,,9-12,,
7:08.0,Offensive rebound by J. Sampson,,9-12,,
7:05.0,,,9-12,,Personal foul by J. Smith
