time,Memphis,pts.away,score,pts.home,New York
5:08.0,Defensive rebound by Z. Randolph,,14-10,,
4:56.0,M. Chalmers makes 2-pt shot at rim (assist by M. Gasol),2,16-10,,
4:39.0,,,16-10,,A. Afflalo misses 2-pt shot from 17 ft
4:38.0,Defensive rebound by M. Gasol,,16-10,,
4:21.0,Z. Randolph makes 2-pt shot at rim,2,18-10,,
4:01.0,,,18-10,,K. O'Quinn misses 2-pt shot from 1 ft (block by M. Chalmers)
4:00.0,,,18-10,,Offensive rebound by K. O'Quinn
3:59.0,,,18-12,2,K. O'Quinn makes 2-pt shot at rim
3:45.0,,,18-12,,Personal foul by K. Porzingis (drawn by M. Gasol)
3:45.0,J. Green enters the game for Z. Randolph,,18-12,,
3:45.0,M. Barnes enters the game for T. Allen,,18-12,,
3:45.0,,,18-12,,D. Williams enters the game for L. Galloway
3:30.0,M. Chalmers misses 3-pt shot from 26 ft,,18-12,,
3:29.0,,,18-12,,Defensive rebound by K. Porzingis
3:19.0,,,18-15,3,J. Calderon makes 3-pt shot from 24 ft
3:06.0,Turnover by M. Gasol (traveling),,18-15,,
3:06.0,,,18-15,,J. Grant enters the game for A. Afflalo
2:44.0,,,18-15,,K. O'Quinn misses 2-pt shot from 3 ft
2:44.0,Defensive rebound by M. Chalmers,,18-15,,
2:40.0,R. Hollins enters the game for M. Gasol,,18-15,,
2:40.0,,,18-15,,K. Seraphin enters the game for K. O'Quinn
2:40.0,,,18-15,,S. Vujacic enters the game for K. Porzingis
2:34.0,Shooting foul by J. Calderon (drawn by M. Chalmers),,18-15,,
2:34.0,M. Chalmers makes free throw 1 of 2,1,19-15,,
2:34.0,,,19-15,,L. Galloway enters the game for J. Calderon
2:34.0,M. Chalmers makes free throw 2 of 2,1,20-15,,
2:28.0,Personal foul by M. Barnes (drawn by S. Vujacic),,20-15,,
2:17.0,,,20-15,,D. Williams misses 2-pt shot from 18 ft
2:16.0,,,20-15,,Offensive rebound by S. Vujacic
1:57.0,,,20-17,2,K. Seraphin makes 2-pt shot from 10 ft
1:35.0,C. Lee misses 2-pt shot from 2 ft,,20-17,,
