time,Philadelphia,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Grant (D. Rose gains possession),,,,Jump ball: P. Gasol vs. J. Grant (D. Rose gains possession)
11:41.0,,,0-0,,T. Snell misses 3-pt shot from 22 ft
11:41.0,Defensive rebound by Team,,0-0,,
11:18.0,J. Okafor misses 2-pt shot from 18 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by T. Gibson
11:07.0,,,0-0,,Offensive charge foul by T. Snell
11:07.0,,,0-0,,Turnover by T. Snell (offensive foul)
10:49.0,I. Canaan misses 3-pt shot from 24 ft,,0-0,,
10:47.0,,,0-0,,Defensive rebound by T. Gibson
10:39.0,,,0-0,,Turnover by D. Rose (bad pass)
10:18.0,J. Grant misses 2-pt shot from 2 ft (block by T. Gibson),,0-0,,
10:16.0,,,0-0,,Defensive rebound by T. Snell
10:09.0,,,0-0,,T. Snell misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by R. Covington,,0-0,,
9:55.0,J. Grant misses 2-pt shot from 2 ft,,0-0,,
9:53.0,,,0-0,,Defensive rebound by P. Gasol
9:48.0,,,0-0,,D. Rose misses 2-pt shot from 19 ft
9:46.0,Defensive rebound by J. Grant,,0-0,,
9:32.0,J. Okafor misses 2-pt shot from 18 ft,,0-0,,
9:31.0,Offensive rebound by J. Grant,,0-0,,
9:24.0,J. Grant misses 2-pt shot from 3 ft,,0-0,,
9:23.0,,,0-0,,Defensive rebound by T. Gibson
9:10.0,,,0-0,,Shooting foul by J. Okafor (drawn by P. Gasol)
9:10.0,,,0-1,1,P. Gasol makes free throw 1 of 2
9:10.0,,,0-2,1,P. Gasol makes free throw 2 of 2
8:45.0,R. Covington misses 2-pt shot from 19 ft (block by J. Butler),,0-2,,
8:43.0,,,0-2,,Defensive rebound by P. Gasol
8:37.0,,,0-4,2,P. Gasol makes 2-pt shot from 20 ft (assist by D. Rose)
8:20.0,I. Canaan misses 3-pt shot from 25 ft,,0-4,,
8:19.0,,,0-4,,Defensive rebound by P. Gasol
8:14.0,,,0-4,,Turnover by P. Gasol (bad pass)
8:01.0,T. Wroten misses 2-pt shot from 2 ft,,0-4,,
8:00.0,Offensive rebound by J. Okafor,,0-4,,
8:00.0,J. Okafor makes 2-pt shot from 1 ft,2,2-4,,
7:37.0,,,2-4,,J. Butler misses 2-pt shot from 14 ft
7:36.0,Defensive rebound by R. Covington,,2-4,,
7:25.0,J. Okafor makes 2-pt shot from 15 ft,2,4-4,,
6:58.0,,,4-4,,P. Gasol misses 2-pt shot from 15 ft
6:57.0,Defensive rebound by R. Covington,,4-4,,
6:52.0,J. Okafor misses 2-pt shot from 3 ft,,4-4,,
6:51.0,,,4-4,,Defensive rebound by P. Gasol
6:37.0,,,4-6,2,T. Gibson makes 2-pt shot from 2 ft (assist by D. Rose)
6:36.0,Philadelphia full timeout,,4-6,,
6:36.0,H. Thompson enters the game for T. Wroten,,4-6,,
6:36.0,T. McConnell enters the game for J. Grant,,4-6,,
6:16.0,J. Okafor misses 2-pt shot from 13 ft,,4-6,,
6:14.0,Offensive rebound by R. Covington,,4-6,,
6:14.0,R. Covington makes 2-pt shot at rim,2,6-6,,
5:53.0,,,6-8,2,J. Butler makes 2-pt shot from 14 ft (assist by P. Gasol)
5:31.0,T. McConnell misses 2-pt shot from 16 ft,,6-8,,
5:30.0,Offensive rebound by J. Okafor,,6-8,,
5:30.0,Shooting foul by P. Gasol (drawn by J. Okafor),,6-8,,
5:30.0,J. Okafor makes free throw 1 of 2,1,7-8,,
5:30.0,N. Stauskas enters the game for I. Canaan,,7-8,,
5:30.0,,,7-8,,J. Noah enters the game for T. Gibson
