time,Sacramento,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. R. Lopez (Q. Acy gains possession),,,,Jump ball: D. Cousins vs. R. Lopez (Q. Acy gains possession)
11:43.0,D. Cousins makes 2-pt shot from 3 ft,2,2-0,,
11:25.0,,,2-0,,A. Afflalo misses 2-pt shot from 18 ft
11:24.0,,,2-0,,Offensive rebound by S. Vujacic
11:20.0,,,2-2,2,R. Lopez makes 2-pt shot from 4 ft (assist by S. Vujacic)
10:53.0,R. Rondo misses 3-pt shot from 22 ft,,2-2,,
10:52.0,,,2-2,,Defensive rebound by S. Vujacic
10:39.0,,,2-2,,R. Lopez misses 2-pt shot from 14 ft
10:38.0,Defensive rebound by R. Gay,,2-2,,
10:31.0,R. Gay misses 3-pt shot from 24 ft,,2-2,,
10:30.0,,,2-2,,Defensive rebound by K. Porzingis
10:18.0,,,2-4,2,R. Lopez makes 2-pt shot from 3 ft (assist by J. Calderon)
9:58.0,D. Cousins misses 2-pt shot from 17 ft,,2-4,,
9:57.0,,,2-4,,Defensive rebound by K. Porzingis
9:37.0,,,2-4,,A. Afflalo misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by Team,,2-4,,
9:13.0,Q. Acy misses 3-pt shot from 25 ft,,2-4,,
9:12.0,,,2-4,,Defensive rebound by S. Vujacic
9:06.0,Personal foul by Q. Acy,,2-4,,
8:56.0,,,2-4,,Turnover by J. Calderon (lost ball; steal by R. Rondo)
8:46.0,D. Cousins makes 3-pt shot from 24 ft (assist by D. Collison),3,5-4,,
8:32.0,,,5-4,,Turnover by K. Porzingis (lost ball; steal by D. Collison)
8:28.0,D. Collison makes 2-pt shot from 1 ft,2,7-4,,
8:13.0,,,7-4,,K. Porzingis misses 3-pt shot from 26 ft
8:12.0,Defensive rebound by D. Cousins,,7-4,,
7:53.0,R. Gay misses 3-pt shot from 24 ft,,7-4,,
7:52.0,Offensive rebound by Team,,7-4,,
7:52.0,,,7-4,,Loose ball foul by A. Afflalo
