time,Portland,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: M. Plumlee vs. N. Vucevic (C. Frye gains possession)
11:40.0,,,0-2,2,N. Vucevic makes 2-pt shot from 7 ft
11:22.0,N. Vonleh makes 2-pt shot from 15 ft (assist by D. Lillard),2,2-2,,
11:04.0,,,2-2,,N. Vucevic misses 2-pt shot from 1 ft (block by M. Plumlee)
11:01.0,Defensive rebound by M. Plumlee,,2-2,,
10:54.0,Turnover by D. Lillard (bad pass; steal by E. Fournier),,2-2,,
10:49.0,,,2-4,2,T. Harris makes 2-pt shot at rim (assist by E. Fournier)
10:32.0,C. McCollum makes 2-pt shot from 16 ft,2,4-4,,
10:10.0,,,4-6,2,N. Vucevic makes 2-pt shot from 9 ft
9:55.0,,,4-6,,Def 3 sec tech foul by C. Frye
9:55.0,D. Lillard makes technical free throw,1,5-6,,
9:49.0,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard),3,8-6,,
9:30.0,,,8-6,,N. Vucevic misses 2-pt shot from 15 ft
9:29.0,Defensive rebound by M. Plumlee,,8-6,,
9:18.0,C. McCollum misses 3-pt shot from 24 ft,,8-6,,
9:16.0,,,8-6,,Defensive rebound by N. Vucevic
9:11.0,,,8-6,,Shooting foul by N. Vonleh (drawn by E. Payton)
9:11.0,,,8-8,2,E. Payton makes 2-pt shot from 1 ft
9:11.0,,,8-8,,E. Payton misses free throw 1 of 1
9:10.0,Defensive rebound by D. Lillard,,8-8,,
8:52.0,N. Vonleh makes 2-pt shot from 1 ft (assist by A. Aminu),2,10-8,,
8:44.0,Personal foul by C. McCollum (drawn by E. Fournier),,10-8,,
8:44.0,,,10-8,,V. Oladipo enters the game for E. Fournier
8:33.0,,,10-8,,T. Harris misses 3-pt shot from 24 ft
8:31.0,,,10-8,,Offensive rebound by N. Vucevic
8:24.0,,,10-10,2,T. Harris makes 2-pt shot at rim (assist by C. Frye)
8:09.0,D. Lillard makes 2-pt shot from 1 ft (assist by C. McCollum),2,12-10,,
7:52.0,,,12-12,2,N. Vucevic makes 2-pt shot from 3 ft (assist by E. Payton)
7:37.0,Shooting foul by N. Vucevic (drawn by D. Lillard),,12-12,,
7:37.0,D. Lillard makes free throw 1 of 2,1,13-12,,
7:37.0,D. Lillard makes free throw 2 of 2,1,14-12,,
7:18.0,,,14-14,2,N. Vucevic makes 2-pt shot from 5 ft (assist by C. Frye)
6:54.0,N. Vonleh misses 3-pt shot from 25 ft,,14-14,,
6:53.0,,,14-14,,Defensive rebound by V. Oladipo
6:42.0,,,14-14,,E. Payton misses 2-pt shot at rim
6:40.0,Defensive rebound by M. Plumlee,,14-14,,
6:32.0,C. McCollum misses 2-pt shot from 13 ft (block by E. Payton),,14-14,,
6:30.0,,,14-14,,Defensive rebound by N. Vucevic
6:27.0,,,14-16,2,T. Harris makes 2-pt shot at rim (assist by V. Oladipo)
6:14.0,Turnover by M. Plumlee (lost ball; steal by T. Harris),,14-16,,
6:01.0,,,14-16,,C. Frye misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by M. Plumlee,,14-16,,
5:49.0,C. McCollum makes 3-pt shot from 25 ft (assist by M. Plumlee),3,17-16,,
5:28.0,,,17-18,2,V. Oladipo makes 2-pt shot from 4 ft
5:10.0,Turnover by D. Lillard (lost ball),,17-18,,
5:10.0,,,17-18,,Orlando full timeout
5:10.0,M. Leonard enters the game for N. Vonleh,,17-18,,
5:01.0,,,17-20,2,N. Vucevic makes 2-pt shot from 8 ft (assist by V. Oladipo)
4:43.0,Turnover by M. Plumlee (traveling),,17-20,,
4:32.0,,,17-20,,N. Vucevic misses 2-pt shot from 18 ft
4:30.0,,,17-20,,Offensive rebound by T. Harris
4:22.0,,,17-22,2,C. Frye makes 2-pt shot from 16 ft (assist by V. Oladipo)
4:09.0,Shooting foul by E. Payton (drawn by D. Lillard),,17-22,,
4:09.0,D. Lillard makes free throw 1 of 2,1,18-22,,
4:09.0,M. Harkless enters the game for C. McCollum,,18-22,,
4:09.0,A. Crabbe enters the game for A. Aminu,,18-22,,
4:09.0,D. Lillard makes free throw 2 of 2,1,19-22,,
3:59.0,,,19-22,,Turnover by V. Oladipo (traveling)
3:47.0,A. Crabbe misses 3-pt shot from 25 ft,,19-22,,
3:45.0,,,19-22,,Defensive rebound by N. Vucevic
3:27.0,,,19-22,,N. Vucevic misses 2-pt shot from 9 ft
3:26.0,,,19-22,,Offensive rebound by T. Harris
3:26.0,,,19-24,2,T. Harris makes 2-pt shot from 1 ft
3:06.0,A. Crabbe makes 2-pt shot from 14 ft (assist by D. Lillard),2,21-24,,
2:44.0,,,21-24,,E. Payton misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by A. Crabbe,,21-24,,
2:34.0,Turnover by D. Lillard (bad pass; steal by T. Harris),,21-24,,
2:31.0,,,21-26,2,T. Harris makes 2-pt shot at rim
2:30.0,Portland full timeout,,21-26,,
2:30.0,,,21-26,,A. Nicholson enters the game for C. Frye
2:30.0,,,21-26,,J. Smith enters the game for N. Vucevic
2:30.0,E. Davis enters the game for M. Plumlee,,21-26,,
2:17.0,D. Lillard misses 3-pt shot from 24 ft,,21-26,,
2:16.0,,,21-26,,Defensive rebound by V. Oladipo
2:05.0,,,21-26,,Shooting foul by M. Harkless (drawn by T. Harris)
2:05.0,,,21-26,,T. Harris misses free throw 1 of 2
2:05.0,,,21-26,,Offensive rebound by Team
2:05.0,,,21-27,1,T. Harris makes free throw 2 of 2
1:51.0,A. Crabbe makes 2-pt shot from 15 ft (assist by D. Lillard),2,23-27,,
1:37.0,,,23-27,,Shooting foul by M. Harkless (drawn by T. Harris)
1:37.0,,,23-28,1,T. Harris makes free throw 1 of 2
1:37.0,,,23-29,1,T. Harris makes free throw 2 of 2
1:24.0,,,23-29,,A. Gordon enters the game for T. Harris
1:24.0,Jump ball: D. Lillard vs. E. Payton (J. Smith gains possession),,,,Jump ball: D. Lillard vs. E. Payton (J. Smith gains possession)
1:24.0,Turnover by D. Lillard (lost ball; steal by E. Payton),,23-29,,
1:09.0,,,23-29,,J. Smith misses 2-pt shot from 18 ft
1:07.0,,,23-29,,Offensive rebound by A. Nicholson
1:06.0,,,23-29,,A. Nicholson misses 2-pt shot from 5 ft
1:02.0,Defensive rebound by M. Leonard,,23-29,,
0:58.0,,,23-29,,Personal foul by A. Nicholson (drawn by D. Lillard)
0:58.0,,,23-29,,E. Fournier enters the game for E. Payton
0:53.0,Offensive foul by D. Lillard,,23-29,,
0:53.0,Turnover by D. Lillard (offensive foul),,23-29,,
