time,LA Clippers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Ezeli vs. D. Jordan (C. Paul gains possession),,,,Jump ball: F. Ezeli vs. D. Jordan (C. Paul gains possession)
11:43.0,D. Jordan makes 2-pt shot at rim (assist by J. Redick),2,2-0,,
11:23.0,,,2-0,,D. Green misses 3-pt shot from 24 ft
11:22.0,,,2-0,,Offensive rebound by H. Barnes
11:17.0,,,2-3,3,S. Curry makes 3-pt shot from 25 ft (assist by H. Barnes)
11:10.0,Turnover by B. Griffin (lost ball),,2-3,,
11:01.0,,,2-3,,F. Ezeli misses 2-pt shot from 2 ft (block by B. Griffin)
10:59.0,Defensive rebound by L. Stephenson,,2-3,,
10:36.0,L. Stephenson misses 2-pt shot from 6 ft,,2-3,,
10:36.0,Offensive rebound by Team,,2-3,,
10:36.0,,,2-3,,Loose ball foul by F. Ezeli (drawn by D. Jordan)
10:31.0,C. Paul makes 2-pt shot from 12 ft (assist by J. Redick),2,4-3,,
10:19.0,,,4-5,2,F. Ezeli makes 2-pt shot at rim (assist by S. Curry)
10:11.0,Turnover by B. Griffin (bad pass),,4-5,,
10:02.0,,,4-5,,D. Green misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by L. Stephenson,,4-5,,
9:53.0,B. Griffin makes 2-pt shot from 20 ft (assist by L. Stephenson),2,6-5,,
9:49.0,Personal foul by B. Griffin (drawn by D. Green),,6-5,,
9:34.0,,,6-7,2,K. Thompson makes 2-pt shot from 17 ft (assist by H. Barnes)
9:21.0,,,6-7,,Personal foul by S. Curry (drawn by D. Jordan)
9:15.0,,,6-7,,Personal foul by S. Curry (drawn by C. Paul)
9:15.0,,,6-7,,S. Livingston enters the game for S. Curry
9:07.0,B. Griffin misses 2-pt shot at rim (block by F. Ezeli),,6-7,,
9:07.0,Offensive rebound by Team,,6-7,,
9:02.0,B. Griffin misses 2-pt shot from 20 ft,,6-7,,
8:58.0,,,6-7,,Defensive rebound by K. Thompson
8:52.0,,,6-7,,K. Thompson misses 2-pt shot from 19 ft
8:52.0,Defensive rebound by Team,,6-7,,
8:38.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,8-7,,
8:23.0,,,8-9,2,D. Green makes 2-pt shot from 6 ft (assist by K. Thompson)
8:09.0,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul),2,10-9,,
8:01.0,,,10-9,,Shooting foul by D. Jordan (drawn by H. Barnes)
8:01.0,,,10-10,1,H. Barnes makes free throw 1 of 2
8:01.0,,,10-11,1,H. Barnes makes free throw 2 of 2
7:50.0,C. Paul misses 2-pt shot from 8 ft,,10-11,,
7:49.0,,,10-11,,Defensive rebound by F. Ezeli
7:39.0,,,10-13,2,F. Ezeli makes 2-pt shot from 7 ft (assist by K. Thompson)
7:30.0,D. Jordan makes 2-pt shot from 5 ft (assist by C. Paul),2,12-13,,
7:16.0,,,12-13,,H. Barnes misses 3-pt shot from 26 ft
7:16.0,Defensive rebound by J. Redick,,12-13,,
7:06.0,C. Paul makes 2-pt shot from 17 ft,2,14-13,,
6:52.0,,,14-13,,K. Thompson misses 2-pt shot from 14 ft
6:51.0,Defensive rebound by C. Paul,,14-13,,
6:49.0,Turnover by J. Redick (step out of bounds),,14-13,,
6:33.0,,,14-13,,Turnover by K. Thompson (lost ball; steal by C. Paul)
6:33.0,C. Paul makes 2-pt shot from 3 ft,2,16-13,,
6:33.0,Shooting foul by S. Livingston (drawn by C. Paul),,16-13,,
6:33.0,,,16-13,,Golden State full timeout
6:33.0,,,16-13,,A. Iguodala enters the game for H. Barnes
6:33.0,C. Paul makes free throw 1 of 1,1,17-13,,
6:21.0,,,17-13,,K. Thompson misses 2-pt shot from 18 ft
6:20.0,,,17-13,,Offensive rebound by K. Thompson
6:16.0,,,17-15,2,K. Thompson makes 2-pt shot from 14 ft
6:03.0,J. Redick misses 2-pt shot from 21 ft,,17-15,,
6:02.0,,,17-15,,Defensive rebound by F. Ezeli
5:45.0,,,17-15,,D. Green misses 3-pt shot from 25 ft
5:44.0,,,17-15,,Offensive rebound by F. Ezeli
5:30.0,,,17-15,,K. Thompson misses 2-pt shot from 9 ft
5:28.0,Defensive rebound by D. Jordan,,17-15,,
5:23.0,Offensive foul by L. Stephenson,,17-15,,
5:23.0,Turnover by L. Stephenson (offensive foul),,17-15,,
5:23.0,P. Pierce enters the game for L. Stephenson,,17-15,,
5:13.0,,,17-17,2,F. Ezeli makes 2-pt shot at rim (assist by S. Livingston)
4:51.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,19-17,,
4:40.0,,,19-19,2,S. Livingston makes 2-pt shot from 12 ft
