time,Denver,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Lauvergne (D. Gallinari gains possession),,,,Jump ball: S. Adams vs. J. Lauvergne (D. Gallinari gains possession)
11:46.0,D. Gallinari makes 3-pt shot from 24 ft (assist by J. Lauvergne),3,3-0,,
11:24.0,,,3-0,,Turnover by R. Westbrook (bad pass; steal by E. Mudiay)
11:10.0,D. Gallinari misses 3-pt shot from 24 ft,,3-0,,
11:07.0,,,3-0,,Defensive rebound by R. Westbrook
10:53.0,,,3-2,2,S. Ibaka makes 2-pt shot from 13 ft (assist by K. Durant)
10:31.0,J. Lauvergne misses 2-pt shot from 20 ft,,3-2,,
10:30.0,,,3-2,,Defensive rebound by R. Westbrook
10:25.0,,,3-2,,R. Westbrook misses 2-pt shot from 18 ft
10:24.0,Defensive rebound by D. Gallinari,,3-2,,
10:15.0,K. Faried misses 2-pt shot from 8 ft (block by S. Adams),,3-2,,
10:14.0,Offensive rebound by K. Faried,,3-2,,
10:12.0,K. Faried misses 2-pt shot from 1 ft,,3-2,,
10:09.0,,,3-2,,Defensive rebound by K. Durant
9:59.0,,,3-4,2,R. Westbrook makes 2-pt shot from 2 ft (assist by S. Ibaka)
9:48.0,Shooting foul by S. Adams (drawn by K. Faried),,3-4,,
9:48.0,K. Faried makes 2-pt shot at rim (assist by J. Lauvergne),2,5-4,,
9:48.0,K. Faried misses free throw 1 of 1,,5-4,,
9:47.0,,,5-4,,Defensive rebound by A. Roberson
9:30.0,,,5-6,2,K. Durant makes 2-pt shot from 15 ft
9:09.0,J. Lauvergne misses 2-pt shot from 4 ft (block by K. Durant),,5-6,,
9:08.0,,,5-6,,Defensive rebound by A. Roberson
8:58.0,,,5-6,,A. Roberson misses 3-pt shot from 25 ft
8:58.0,Defensive rebound by J. Lauvergne,,5-6,,
8:50.0,E. Mudiay misses 2-pt shot from 12 ft,,5-6,,
8:50.0,,,5-6,,Defensive rebound by A. Roberson
8:48.0,,,5-6,,Turnover by A. Roberson (bad pass; steal by D. Gallinari)
8:46.0,,,5-6,,Personal foul by A. Roberson (drawn by D. Gallinari)
8:34.0,D. Gallinari misses 2-pt shot from 1 ft (block by S. Ibaka),,5-6,,
8:33.0,,,5-6,,Defensive rebound by R. Westbrook
8:30.0,,,5-8,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
8:17.0,D. Gallinari makes 3-pt shot from 24 ft (assist by J. Lauvergne),3,8-8,,
8:00.0,,,8-8,,S. Ibaka misses 2-pt shot from 2 ft
7:59.0,,,8-8,,Offensive rebound by S. Ibaka
7:55.0,,,8-10,2,S. Ibaka makes 2-pt shot from 1 ft
7:37.0,D. Gallinari misses 2-pt shot from 23 ft,,8-10,,
7:36.0,,,8-10,,Defensive rebound by Team
7:26.0,,,8-10,,A. Roberson misses 3-pt shot from 24 ft
7:26.0,Defensive rebound by J. Lauvergne,,8-10,,
7:16.0,E. Mudiay makes 2-pt shot from 6 ft,2,10-10,,
7:03.0,,,10-10,,R. Westbrook misses 3-pt shot from 24 ft
7:03.0,Defensive rebound by J. Lauvergne,,10-10,,
6:45.0,E. Mudiay makes 2-pt shot from 19 ft (assist by K. Faried),2,12-10,,
6:29.0,,,12-12,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
6:19.0,E. Mudiay misses 3-pt shot from 23 ft,,12-12,,
6:19.0,,,12-12,,Defensive rebound by A. Roberson
6:12.0,,,12-12,,Turnover by K. Durant (bad pass)
6:12.0,,,12-12,,D. Waiters enters the game for A. Roberson
5:57.0,Shooting foul by K. Durant (drawn by D. Gallinari),,12-12,,
5:57.0,,,12-12,,Oklahoma City full timeout
5:57.0,D. Gallinari makes free throw 1 of 2,1,13-12,,
5:57.0,D. Gallinari makes free throw 2 of 2,1,14-12,,
5:44.0,,,14-12,,Turnover by R. Westbrook (bad pass)
5:29.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,16-12,,
5:11.0,,,16-14,2,K. Durant makes 2-pt shot from 7 ft
4:54.0,E. Mudiay misses 2-pt shot from 15 ft,,16-14,,
4:54.0,,,16-14,,Defensive rebound by K. Durant
4:43.0,,,16-14,,S. Ibaka misses 2-pt shot from 20 ft
4:42.0,Defensive rebound by Team,,16-14,,
4:27.0,Shooting foul by K. Durant (drawn by D. Gallinari),,16-14,,
4:27.0,D. Gallinari misses free throw 1 of 2,,16-14,,
4:27.0,Offensive rebound by Team,,16-14,,
4:27.0,,,16-14,,K. Singler enters the game for K. Durant
4:27.0,D. Gallinari makes free throw 2 of 2,1,17-14,,
4:18.0,,,17-14,,Shooting foul by J. Lauvergne (drawn by D. Waiters)
4:18.0,,,17-15,1,D. Waiters makes free throw 1 of 2
4:18.0,,,17-15,,Violation by Team (double lane)
4:18.0,Jump ball: S. Adams vs. J. Lauvergne (K. Faried gains possession),,,,Jump ball: S. Adams vs. J. Lauvergne (K. Faried gains possession)
4:18.0,,,17-15,,Turnover by S. Adams (lost ball; steal by J. Lauvergne)
4:08.0,Turnover by K. Faried (lost ball; steal by D. Waiters),,17-15,,
4:02.0,,,17-17,2,R. Westbrook makes 2-pt shot from 1 ft (assist by D. Waiters)
3:47.0,Turnover by E. Mudiay (lost ball; steal by R. Westbrook),,17-17,,
3:43.0,,,17-19,2,S. Ibaka makes 2-pt shot at rim (assist by D. Waiters)
3:43.0,,,17-19,,Shooting foul by E. Mudiay (drawn by S. Ibaka)
3:43.0,,,17-19,,D. Augustin enters the game for R. Westbrook
3:43.0,,,17-20,1,S. Ibaka makes free throw 1 of 1
3:24.0,Turnover by D. Gallinari (lost ball; steal by K. Singler),,17-20,,
3:19.0,,,17-20,,K. Singler misses 2-pt shot from 1 ft (block by K. Faried)
3:19.0,,,17-20,,Offensive rebound by Team
3:19.0,D. Arthur enters the game for K. Faried,,17-20,,
3:19.0,J. Nelson enters the game for E. Mudiay,,17-20,,
3:12.0,,,17-22,2,S. Ibaka makes 2-pt shot from 17 ft (assist by D. Augustin)
2:58.0,J. Nelson misses 2-pt shot from 15 ft,,17-22,,
2:58.0,,,17-22,,Defensive rebound by D. Waiters
2:47.0,,,17-22,,D. Waiters misses 2-pt shot at rim
2:47.0,,,17-22,,Offensive rebound by S. Adams
2:47.0,,,17-24,2,S. Adams makes 2-pt shot at rim
2:47.0,Denver full timeout,,17-24,,
2:47.0,N. Jokic enters the game for J. Lauvergne,,17-24,,
2:47.0,R. Foye enters the game for G. Harris,,17-24,,
2:47.0,,,17-24,,E. Kanter enters the game for S. Adams
2:30.0,J. Nelson misses 3-pt shot from 24 ft,,17-24,,
2:29.0,,,17-24,,Defensive rebound by S. Ibaka
2:22.0,,,17-24,,D. Waiters misses 2-pt shot from 19 ft
2:21.0,,,17-24,,Offensive rebound by K. Singler
2:04.0,,,17-24,,Offensive foul by E. Kanter
2:04.0,,,17-24,,Turnover by E. Kanter (offensive foul)
2:04.0,,,17-24,,N. Collison enters the game for S. Ibaka
2:04.0,W. Barton enters the game for D. Gallinari,,17-24,,
1:50.0,W. Barton makes 3-pt shot from 25 ft (assist by J. Nelson),3,20-24,,
1:37.0,,,20-24,,Shooting foul by D. Arthur (drawn by N. Collison)
1:37.0,,,20-25,1,N. Collison makes free throw 1 of 2
1:37.0,,,20-26,1,N. Collison makes free throw 2 of 2
1:17.0,R. Foye misses 3-pt shot from 24 ft,,20-26,,
