time,Toronto,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. J. Valanciunas (M. Turner gains possession),,,,Jump ball: I. Mahinmi vs. J. Valanciunas (M. Turner gains possession)
11:41.0,,,0-0,,I. Mahinmi misses 2-pt shot from 1 ft
11:41.0,Defensive rebound by J. Valanciunas,,0-0,,
11:18.0,K. Lowry misses 2-pt shot from 12 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by P. George
11:06.0,,,0-0,,M. Ellis misses 2-pt shot from 4 ft
11:06.0,Defensive rebound by J. Valanciunas,,0-0,,
11:01.0,,,0-0,,Shooting block foul by P. George (drawn by D. Carroll)
11:01.0,D. Carroll makes free throw 1 of 2,1,1-0,,
11:01.0,D. Carroll makes free throw 2 of 2,1,2-0,,
10:37.0,,,2-2,2,I. Mahinmi makes 2-pt shot from 6 ft (assist by M. Ellis)
10:11.0,J. Valanciunas misses 2-pt shot from 4 ft (block by I. Mahinmi),,2-2,,
10:11.0,Offensive rebound by Team,,2-2,,
10:11.0,Turnover by Team (shot clock),,2-2,,
9:56.0,,,2-2,,P. George misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by K. Lowry,,2-2,,
9:44.0,J. Valanciunas misses 2-pt shot from 5 ft,,2-2,,
9:44.0,Offensive rebound by D. DeRozan,,2-2,,
9:44.0,D. DeRozan makes 2-pt shot at rim,2,4-2,,
9:32.0,,,4-2,,Turnover by I. Mahinmi (lost ball; steal by D. Carroll)
9:28.0,D. Carroll makes 2-pt shot at rim,2,6-2,,
9:12.0,,,6-2,,M. Ellis misses 3-pt shot from 24 ft
9:10.0,,,6-2,,Offensive rebound by P. George
9:08.0,,,6-2,,P. George misses 2-pt shot at rim (block by J. Valanciunas)
9:07.0,,,6-2,,Offensive rebound by M. Ellis
8:59.0,,,6-2,,G. Hill misses 2-pt shot from 10 ft
8:58.0,,,6-2,,Offensive rebound by Team
8:50.0,Personal foul by D. Carroll,,6-2,,
8:40.0,,,6-2,,M. Turner misses 2-pt shot from 14 ft
8:38.0,Defensive rebound by K. Lowry,,6-2,,
8:32.0,K. Lowry makes 2-pt shot from 1 ft,2,8-2,,
8:31.0,,,8-2,,Indiana full timeout
8:14.0,,,8-2,,G. Hill misses 2-pt shot from 1 ft
8:13.0,Defensive rebound by D. DeRozan,,8-2,,
8:03.0,Turnover by D. DeRozan (lost ball; steal by M. Ellis),,8-2,,
7:59.0,,,8-2,,Shooting foul by K. Lowry (drawn by G. Hill)
7:59.0,,,8-3,1,G. Hill makes free throw 1 of 2
7:59.0,,,8-4,1,G. Hill makes free throw 2 of 2
7:41.0,P. Patterson misses 2-pt shot from 6 ft,,8-4,,
7:37.0,Offensive rebound by Team,,8-4,,
7:15.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry),3,11-4,,
6:47.0,,,11-4,,I. Mahinmi misses 2-pt shot from 4 ft
6:47.0,Defensive rebound by J. Valanciunas,,11-4,,
6:27.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan),3,14-4,,
6:06.0,,,14-6,2,I. Mahinmi makes 2-pt shot at rim (assist by G. Hill)
5:54.0,P. Patterson makes 2-pt shot from 21 ft (assist by K. Lowry),2,16-6,,
5:44.0,,,16-6,,G. Hill misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by Team,,16-6,,
5:30.0,D. Carroll makes 2-pt shot from 4 ft (assist by K. Lowry),2,18-6,,
5:25.0,,,18-6,,Indiana full timeout
5:25.0,,,18-6,,S. Hill enters the game for M. Turner
5:12.0,,,18-6,,P. George misses 2-pt shot from 8 ft (block by J. Valanciunas)
5:11.0,Defensive rebound by P. Patterson,,18-6,,
5:06.0,K. Lowry misses 3-pt shot from 24 ft,,18-6,,
5:05.0,Offensive rebound by J. Valanciunas,,18-6,,
5:05.0,J. Valanciunas misses 2-pt shot from 1 ft,,18-6,,
5:04.0,,,18-6,,Defensive rebound by G. Hill
4:50.0,,,18-6,,P. George misses 2-pt shot from 1 ft
4:49.0,Defensive rebound by K. Lowry,,18-6,,
4:43.0,,,18-6,,Personal foul by S. Hill
4:33.0,Turnover by K. Lowry (lost ball; steal by M. Ellis),,18-6,,
4:28.0,,,18-8,2,M. Ellis makes 2-pt shot at rim (assist by P. George)
4:06.0,D. DeRozan misses 3-pt shot from 26 ft,,18-8,,
4:04.0,,,18-8,,Defensive rebound by I. Mahinmi
3:55.0,,,18-8,,M. Ellis misses 3-pt shot from 26 ft
3:54.0,Defensive rebound by J. Valanciunas,,18-8,,
3:36.0,D. Carroll misses 2-pt shot from 8 ft,,18-8,,
3:35.0,Offensive rebound by J. Valanciunas,,18-8,,
3:35.0,J. Valanciunas makes 2-pt shot at rim,2,20-8,,
3:21.0,,,20-11,3,S. Hill makes 3-pt shot from 27 ft (assist by G. Hill)
3:14.0,Toronto full timeout,,20-11,,
3:14.0,B. Biyombo enters the game for D. Carroll,,20-11,,
