time,Utah,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. N. Noel (R. Hood gains possession),,,,Jump ball: R. Gobert vs. N. Noel (R. Hood gains possession)
11:50.0,,,0-0,,Personal foul by I. Canaan (drawn by R. Neto)
11:34.0,R. Neto misses 2-pt shot from 3 ft (block by N. Noel),,0-0,,
11:34.0,Offensive rebound by Team,,0-0,,
11:34.0,Turnover by Team (shot clock),,0-0,,
11:19.0,,,0-0,,Turnover by I. Canaan (bad pass; steal by D. Favors)
11:16.0,,,0-0,,Personal foul by J. Sampson (drawn by R. Hood)
11:16.0,R. Hood makes free throw 1 of 2,1,1-0,,
11:16.0,R. Hood makes free throw 2 of 2,1,2-0,,
10:57.0,,,2-0,,J. Okafor misses 2-pt shot from 5 ft
10:56.0,Defensive rebound by D. Favors,,2-0,,
10:43.0,Shooting foul by H. Thompson (drawn by G. Hayward),,2-0,,
10:43.0,G. Hayward makes free throw 1 of 2,1,3-0,,
10:43.0,G. Hayward makes free throw 2 of 2,1,4-0,,
10:27.0,,,4-3,3,I. Canaan makes 3-pt shot from 26 ft
10:08.0,Shooting foul by H. Thompson (drawn by D. Favors),,4-3,,
10:08.0,D. Favors makes free throw 1 of 2,1,5-3,,
10:08.0,D. Favors makes free throw 2 of 2,1,6-3,,
9:50.0,,,6-5,2,J. Sampson makes 2-pt shot from 2 ft (assist by N. Noel)
9:39.0,R. Gobert misses 2-pt shot from 8 ft,,6-5,,
9:38.0,Offensive rebound by D. Favors,,6-5,,
9:32.0,D. Favors misses 2-pt shot from 14 ft,,6-5,,
9:31.0,,,6-5,,Defensive rebound by J. Sampson
9:20.0,,,6-5,,N. Noel misses 2-pt shot from 7 ft
9:19.0,Defensive rebound by D. Favors,,6-5,,
9:10.0,G. Hayward misses 3-pt shot from 24 ft,,6-5,,
9:08.0,,,6-5,,Defensive rebound by I. Canaan
9:01.0,Personal block foul by R. Hood (drawn by J. Sampson),,6-5,,
8:52.0,,,6-5,,Shooting foul by R. Hood (drawn by J. Sampson)
8:52.0,,,6-5,,J. Sampson misses free throw 1 of 2
8:52.0,,,6-5,,Offensive rebound by Team
8:52.0,E. Millsap enters the game for R. Hood,,6-5,,
8:52.0,,,6-6,1,J. Sampson makes free throw 2 of 2
8:42.0,G. Hayward misses 2-pt shot from 18 ft,,6-6,,
8:40.0,,,6-6,,Defensive rebound by N. Noel
8:32.0,,,6-6,,N. Noel misses 2-pt shot at rim
8:30.0,Defensive rebound by G. Hayward,,6-6,,
8:22.0,D. Favors misses 2-pt shot from 11 ft,,6-6,,
8:20.0,,,6-6,,Defensive rebound by J. Sampson
8:03.0,,,6-6,,J. Okafor misses 2-pt shot from 4 ft (block by D. Favors)
8:03.0,,,6-6,,Offensive rebound by Team
8:03.0,,,6-6,,N. Stauskas enters the game for H. Thompson
7:59.0,,,6-6,,Shooting foul by R. Neto (drawn by I. Canaan)
7:59.0,,,6-6,,I. Canaan misses free throw 1 of 3
7:59.0,,,6-6,,Offensive rebound by Team
7:59.0,,,6-6,,I. Canaan misses free throw 2 of 3
7:59.0,,,6-6,,Offensive rebound by Team
7:59.0,,,6-7,1,I. Canaan makes free throw 3 of 3
7:43.0,R. Neto makes 3-pt shot from 26 ft (assist by G. Hayward),3,9-7,,
7:26.0,,,9-9,2,J. Okafor makes 2-pt shot from 20 ft (assist by I. Canaan)
7:08.0,D. Favors makes 2-pt shot from 1 ft,2,11-9,,
6:40.0,,,11-12,3,N. Stauskas makes 3-pt shot from 26 ft (assist by N. Noel)
6:20.0,G. Hayward makes 2-pt shot from 1 ft,2,13-12,,
6:10.0,,,13-12,,Turnover by N. Noel (bad pass)
6:10.0,A. Burks enters the game for E. Millsap,,13-12,,
6:10.0,,,13-12,,J. Grant enters the game for N. Noel
5:57.0,R. Neto misses 2-pt shot from 4 ft (block by J. Grant),,13-12,,
5:55.0,Offensive rebound by G. Hayward,,13-12,,
5:50.0,G. Hayward misses 2-pt shot from 22 ft,,13-12,,
5:49.0,,,13-12,,Defensive rebound by I. Canaan
5:46.0,,,13-12,,Turnover by I. Canaan (bad pass)
5:46.0,,,13-12,,Philadelphia full timeout
5:46.0,,,13-12,,T. McConnell enters the game for I. Canaan
5:38.0,A. Burks makes 2-pt shot from 7 ft (assist by G. Hayward),2,15-12,,
5:24.0,,,15-12,,Turnover by N. Stauskas (bad pass)
5:12.0,Shooting foul by J. Grant (drawn by D. Favors),,15-12,,
5:12.0,D. Favors misses free throw 1 of 2,,15-12,,
5:12.0,Offensive rebound by Team,,15-12,,
5:12.0,D. Favors makes free throw 2 of 2,1,16-12,,
4:52.0,,,16-12,,J. Grant misses 2-pt shot from 2 ft
4:50.0,Defensive rebound by D. Favors,,16-12,,
4:41.0,A. Burks makes 2-pt shot at rim,2,18-12,,
4:41.0,,,18-12,,Philadelphia full timeout
4:22.0,,,18-12,,N. Stauskas misses 3-pt shot from 26 ft
4:20.0,Defensive rebound by R. Gobert,,18-12,,
4:16.0,,,18-12,,Personal foul by J. Sampson (drawn by G. Hayward)
4:16.0,G. Hayward makes free throw 1 of 2,1,19-12,,
4:16.0,,,19-12,,H. Thompson enters the game for J. Sampson
4:16.0,T. Burke enters the game for R. Gobert,,19-12,,
4:16.0,T. Booker enters the game for R. Neto,,19-12,,
4:16.0,G. Hayward makes free throw 2 of 2,1,20-12,,
4:04.0,,,20-12,,T. McConnell misses 2-pt shot from 4 ft
4:00.0,Defensive rebound by T. Booker,,20-12,,
3:49.0,T. Burke makes 2-pt shot from 19 ft (assist by D. Favors),2,22-12,,
3:36.0,,,22-12,,J. Grant misses 2-pt shot from 3 ft (block by D. Favors)
3:34.0,Defensive rebound by D. Favors,,22-12,,
3:31.0,T. Booker misses 2-pt shot from 2 ft,,22-12,,
3:29.0,,,22-12,,Defensive rebound by N. Stauskas
3:23.0,,,22-12,,Turnover by J. Grant (lost ball; steal by A. Burks)
3:18.0,T. Burke makes 2-pt shot at rim (assist by A. Burks),2,24-12,,
2:59.0,,,24-14,2,J. Okafor makes 2-pt shot at rim (assist by T. McConnell)
2:36.0,T. Burke misses 2-pt shot from 17 ft,,24-14,,
2:35.0,,,24-14,,Defensive rebound by J. Grant
2:22.0,,,24-14,,Shooting foul by D. Favors (drawn by N. Stauskas)
2:22.0,Utah full timeout,,24-14,,
2:22.0,,,24-14,,N. Noel enters the game for J. Okafor
2:22.0,T. Lyles enters the game for D. Favors,,24-14,,
2:22.0,J. Ingles enters the game for G. Hayward,,24-14,,
2:22.0,,,24-14,,N. Stauskas misses free throw 1 of 2
2:22.0,,,24-14,,Offensive rebound by Team
2:22.0,,,24-14,,R. Holmes enters the game for H. Thompson
2:22.0,,,24-15,1,N. Stauskas makes free throw 2 of 2
2:04.0,A. Burks makes 2-pt shot from 8 ft,2,26-15,,
1:53.0,,,26-17,2,J. Grant makes 2-pt shot at rim (assist by N. Stauskas)
1:29.0,T. Booker misses 2-pt shot from 19 ft,,26-17,,
1:28.0,,,26-17,,Defensive rebound by J. Grant
1:15.0,,,26-17,,N. Noel misses 2-pt shot from 5 ft
1:12.0,Defensive rebound by J. Ingles,,26-17,,
0:56.0,A. Burks misses 2-pt shot from 15 ft,,26-17,,
0:54.0,,,26-17,,Defensive rebound by N. Stauskas
0:46.0,,,26-17,,Shooting foul by T. Lyles (drawn by N. Noel)
0:46.0,,,26-18,1,N. Noel makes free throw 1 of 2
0:46.0,,,26-18,,I. Canaan enters the game for N. Stauskas
0:46.0,,,26-19,1,N. Noel makes free throw 2 of 2
0:31.0,T. Booker makes 2-pt shot at rim (assist by T. Burke),2,28-19,,
0:09.0,,,28-19,,N. Noel misses 2-pt shot from 4 ft
0:08.0,Defensive rebound by T. Lyles,,28-19,,
0:00.0,T. Burke misses 2-pt shot from 18 ft,,28-19,,
0:00.0,Offensive rebound by Team,,28-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Personal foul by T. Booker (drawn by J. Okafor),,28-19,,
11:49.0,R. Gobert enters the game for T. Lyles,,28-19,,
11:36.0,,,28-19,,I. Canaan misses 3-pt shot from 25 ft
11:33.0,,,28-19,,Offensive rebound by N. Noel
11:18.0,,,28-21,2,J. Okafor makes 2-pt shot from 2 ft
10:54.0,Turnover by A. Burks (bad pass; steal by T. McConnell),,28-21,,
10:45.0,,,28-21,,Shooting foul by T. Booker (drawn by J. Grant)
10:45.0,,,28-22,1,J. Grant makes free throw 1 of 2
10:45.0,,,28-22,,H. Thompson enters the game for T. McConnell
10:45.0,,,28-23,1,J. Grant makes free throw 2 of 2
10:21.0,J. Ingles misses 3-pt shot from 23 ft,,28-23,,
10:19.0,,,28-23,,Defensive rebound by N. Noel
10:14.0,,,28-23,,Offensive foul by I. Canaan
10:14.0,,,28-23,,Turnover by I. Canaan (offensive foul)
10:14.0,R. Hood enters the game for J. Ingles,,28-23,,
10:14.0,,,28-23,,J. Sampson enters the game for J. Grant
10:01.0,T. Burke misses 2-pt shot from 3 ft,,28-23,,
9:58.0,Offensive rebound by R. Gobert,,28-23,,
9:58.0,R. Gobert makes 2-pt shot at rim,2,30-23,,
9:32.0,,,30-23,,J. Okafor misses 2-pt shot from 17 ft
9:31.0,Defensive rebound by A. Burks,,30-23,,
9:20.0,R. Gobert misses 2-pt shot from 1 ft,,30-23,,
9:14.0,Offensive rebound by A. Burks,,30-23,,
8:58.0,R. Hood makes 3-pt shot from 25 ft (assist by R. Gobert),3,33-23,,
8:57.0,,,33-23,,Philadelphia full timeout
8:39.0,,,33-23,,H. Thompson misses 2-pt shot from 20 ft
8:37.0,Defensive rebound by A. Burks,,33-23,,
8:19.0,A. Burks makes 3-pt shot from 23 ft (assist by T. Burke),3,36-23,,
8:19.0,Shooting foul by J. Sampson (drawn by A. Burks),,36-23,,
