time,Houston,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. I. Mahinmi (M. Turner gains possession),,,,Jump ball: D. Howard vs. I. Mahinmi (M. Turner gains possession)
11:41.0,,,0-3,3,P. George makes 3-pt shot from 23 ft (assist by G. Hill)
11:30.0,T. Ariza misses 3-pt shot from 29 ft,,0-3,,
11:29.0,,,0-3,,Defensive rebound by I. Mahinmi
11:08.0,,,0-3,,P. George misses 3-pt shot from 27 ft
11:07.0,Defensive rebound by J. Harden,,0-3,,
10:59.0,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley),3,3-3,,
10:39.0,,,3-3,,P. George misses 3-pt shot from 22 ft
10:39.0,Defensive rebound by D. Motiejunas,,3-3,,
10:20.0,Shooting foul by M. Turner (drawn by D. Motiejunas),,3-3,,
10:20.0,D. Motiejunas makes free throw 1 of 2,1,4-3,,
10:20.0,D. Motiejunas misses free throw 2 of 2,,4-3,,
10:18.0,,,4-3,,Defensive rebound by I. Mahinmi
10:13.0,Personal foul by P. Beverley,,4-3,,
10:08.0,,,4-5,2,P. George makes 2-pt shot from 1 ft (assist by I. Mahinmi)
9:55.0,P. Beverley makes 2-pt shot at rim,2,6-5,,
9:33.0,,,6-5,,M. Ellis misses 3-pt shot from 25 ft
9:32.0,,,6-5,,Offensive rebound by M. Ellis
9:25.0,,,6-5,,I. Mahinmi misses 2-pt shot from 2 ft (block by D. Howard)
9:24.0,Defensive rebound by J. Harden,,6-5,,
9:19.0,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden),2,8-5,,
9:11.0,,,8-7,2,M. Ellis makes 2-pt shot at rim
8:57.0,D. Motiejunas misses 2-pt shot from 11 ft,,8-7,,
8:56.0,,,8-7,,Defensive rebound by G. Hill
8:46.0,,,8-7,,M. Turner misses 2-pt shot at rim (block by D. Howard)
8:45.0,,,8-7,,Offensive rebound by M. Ellis
8:34.0,,,8-9,2,M. Ellis makes 2-pt shot from 1 ft
8:15.0,T. Ariza misses 2-pt shot from 1 ft,,8-9,,
8:15.0,,,8-9,,Defensive rebound by I. Mahinmi
8:07.0,,,8-11,2,P. George makes 2-pt shot at rim (assist by M. Ellis)
8:04.0,Houston full timeout,,8-11,,
7:53.0,J. Harden misses 3-pt shot from 24 ft,,8-11,,
7:52.0,,,8-11,,Defensive rebound by I. Mahinmi
7:35.0,,,8-11,,M. Turner misses 2-pt shot from 18 ft
7:34.0,Defensive rebound by D. Howard,,8-11,,
7:21.0,Turnover by D. Howard (3 sec),,8-11,,
7:09.0,,,8-11,,M. Turner misses 2-pt shot from 18 ft
7:09.0,Defensive rebound by J. Harden,,8-11,,
6:55.0,J. Harden misses 3-pt shot from 26 ft,,8-11,,
6:54.0,Offensive rebound by D. Howard,,8-11,,
6:51.0,D. Howard makes 2-pt shot at rim,2,10-11,,
6:33.0,,,10-11,,P. George misses 3-pt shot from 26 ft
6:31.0,,,10-11,,Offensive rebound by I. Mahinmi
6:25.0,,,10-11,,M. Turner misses 2-pt shot from 1 ft
6:25.0,Defensive rebound by D. Howard,,10-11,,
6:19.0,,,10-11,,Personal foul by M. Turner
6:19.0,M. Beasley enters the game for D. Motiejunas,,10-11,,
6:19.0,,,10-11,,S. Hill enters the game for M. Turner
6:09.0,T. Ariza misses 3-pt shot from 26 ft,,10-11,,
6:08.0,,,10-11,,Defensive rebound by P. George
5:53.0,,,10-13,2,P. George makes 2-pt shot from 14 ft
5:44.0,Turnover by T. Ariza (bad pass),,10-13,,
5:35.0,,,10-15,2,P. George makes 2-pt shot at rim (assist by S. Hill)
5:19.0,M. Beasley misses 2-pt shot from 7 ft,,10-15,,
5:19.0,Offensive rebound by Team,,10-15,,
5:19.0,,,10-15,,Loose ball foul by S. Hill
5:19.0,C. Capela enters the game for D. Howard,,10-15,,
5:11.0,Turnover by T. Ariza (lost ball; steal by S. Hill),,10-15,,
5:09.0,Shooting block foul by M. Beasley (drawn by P. George),,10-15,,
5:09.0,,,10-16,1,P. George makes free throw 1 of 2
5:09.0,J. Terry enters the game for P. Beverley,,10-16,,
5:09.0,,,10-16,,J. Hill enters the game for I. Mahinmi
5:09.0,,,10-17,1,P. George makes free throw 2 of 2
4:56.0,M. Beasley makes 2-pt shot from 5 ft,2,12-17,,
4:33.0,,,12-19,2,M. Ellis makes 2-pt shot from 1 ft
4:08.0,M. Beasley misses 2-pt shot from 1 ft,,12-19,,
4:07.0,,,12-19,,Defensive rebound by P. George
3:57.0,,,12-21,2,J. Hill makes 2-pt shot from 4 ft
3:49.0,,,12-21,,Personal foul by G. Hill
3:49.0,C. Brewer enters the game for T. Ariza,,12-21,,
3:41.0,C. Brewer makes 2-pt shot from 6 ft (assist by J. Terry),2,14-21,,
3:25.0,,,14-21,,M. Ellis misses 2-pt shot from 19 ft
3:24.0,Defensive rebound by J. Terry,,14-21,,
3:19.0,J. Harden makes 2-pt shot from 1 ft (assist by J. Terry),2,16-21,,
3:01.0,,,16-21,,J. Hill misses 2-pt shot at rim
3:00.0,Defensive rebound by M. Beasley,,16-21,,
2:56.0,Shooting foul by M. Ellis (drawn by C. Brewer),,16-21,,
2:56.0,,,16-21,,Indiana full timeout
2:56.0,,,16-21,,T. Lawson enters the game for M. Ellis
2:56.0,,,16-21,,R. Stuckey enters the game for G. Hill
2:56.0,C. Brewer misses free throw 1 of 2,,16-21,,
2:56.0,Offensive rebound by Team,,16-21,,
2:56.0,C. Brewer makes free throw 2 of 2,1,17-21,,
2:33.0,,,17-21,,J. Hill misses 2-pt shot at rim
2:32.0,Defensive rebound by C. Brewer,,17-21,,
2:26.0,C. Brewer misses 2-pt shot from 2 ft (block by P. George),,17-21,,
2:23.0,Offensive rebound by C. Capela,,17-21,,
2:23.0,C. Capela makes 2-pt shot at rim,2,19-21,,
2:16.0,,,19-21,,Offensive charge foul by S. Hill
2:16.0,,,19-21,,Turnover by S. Hill (offensive foul)
2:16.0,,,19-21,,L. Allen enters the game for S. Hill
1:59.0,M. Beasley makes 2-pt shot from 19 ft (assist by J. Harden),2,21-21,,
1:42.0,,,21-21,,Shooting foul by C. Capela (drawn by L. Allen)
1:42.0,,,21-22,1,L. Allen makes free throw 1 of 2
1:42.0,D. Howard enters the game for C. Capela,,21-22,,
1:42.0,,,21-22,,L. Allen misses free throw 2 of 2
1:42.0,Defensive rebound by M. Beasley,,21-22,,
1:29.0,Turnover by J. Terry (lost ball),,21-22,,
1:18.0,,,21-25,3,P. George makes 3-pt shot from 23 ft (assist by T. Lawson)
1:07.0,Shooting foul by J. Hill (drawn by J. Harden),,21-25,,
1:07.0,J. Harden makes free throw 1 of 2,1,22-25,,
1:07.0,J. Harden misses free throw 2 of 2,,22-25,,
1:07.0,,,22-25,,Defensive rebound by P. George
0:52.0,,,22-25,,T. Lawson misses 3-pt shot from 25 ft
0:50.0,Defensive rebound by D. Howard,,22-25,,
0:48.0,Turnover by D. Howard (lost ball; steal by P. George),,22-25,,
0:43.0,,,22-27,2,R. Stuckey makes 2-pt shot from 14 ft (assist by P. George)
0:31.0,J. Terry misses 3-pt shot from 27 ft,,22-27,,
0:31.0,Offensive rebound by M. Beasley,,22-27,,
0:28.0,M. Beasley makes 2-pt shot at rim,2,24-27,,
0:05.0,,,24-30,3,R. Stuckey makes 3-pt shot from 23 ft (assist by T. Lawson)
0:00.0,C. Brewer misses 3-pt shot from 39 ft,,24-30,,
0:00.0,,,24-30,,Defensive rebound by J. Hill
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,Violation by Team (jump ball),,24-30,,
11:47.0,D. Howard makes 2-pt shot at rim (assist by M. Beasley),2,26-30,,
11:47.0,Shooting foul by J. Hill (drawn by D. Howard),,26-30,,
11:47.0,,,26-30,,I. Mahinmi enters the game for J. Hill
11:47.0,D. Howard makes free throw 1 of 1,1,27-30,,
11:25.0,,,27-30,,R. Stuckey misses 3-pt shot from 26 ft
11:23.0,Defensive rebound by C. Brewer,,27-30,,
11:09.0,P. Beverley misses 3-pt shot from 24 ft,,27-30,,
11:07.0,Offensive rebound by Team,,27-30,,
11:05.0,J. Terry misses 3-pt shot from 23 ft,,27-30,,
11:04.0,,,27-30,,Defensive rebound by L. Allen
10:52.0,,,27-32,2,L. Allen makes 2-pt shot from 19 ft (assist by T. Lawson)
10:37.0,P. Beverley misses 2-pt shot from 1 ft (block by I. Mahinmi),,27-32,,
10:36.0,,,27-32,,Defensive rebound by L. Allen
10:29.0,,,27-32,,C. Miles misses 3-pt shot from 23 ft
10:28.0,,,27-32,,Offensive rebound by L. Allen
10:16.0,,,27-34,2,I. Mahinmi makes 2-pt shot from 4 ft
9:54.0,C. Brewer misses 3-pt shot from 26 ft,,27-34,,
9:54.0,Offensive rebound by P. Beverley,,27-34,,
9:51.0,P. Beverley makes 2-pt shot at rim,2,29-34,,
9:45.0,,,29-36,2,C. Miles makes 2-pt shot at rim (assist by T. Lawson)
9:44.0,Houston full timeout,,29-36,,
9:28.0,M. Beasley misses 3-pt shot from 24 ft,,29-36,,
9:28.0,,,29-36,,Defensive rebound by Team
9:28.0,Loose ball foul by D. Howard,,29-36,,
9:12.0,,,29-36,,Offensive foul by I. Mahinmi
9:12.0,,,29-36,,Turnover by I. Mahinmi (offensive foul)
8:54.0,D. Howard makes 2-pt shot from 9 ft,2,31-36,,
8:38.0,,,31-38,2,C. Miles makes 2-pt shot from 2 ft
8:23.0,M. Beasley misses 2-pt shot from 9 ft,,31-38,,
8:23.0,,,31-38,,Defensive rebound by I. Mahinmi
8:13.0,,,31-40,2,T. Lawson makes 2-pt shot from 19 ft
7:55.0,M. Beasley misses 2-pt shot from 1 ft (block by L. Allen),,31-40,,
7:53.0,,,31-40,,Defensive rebound by L. Allen
7:48.0,,,31-40,,R. Stuckey misses 2-pt shot at rim
7:48.0,Defensive rebound by C. Brewer,,31-40,,
7:44.0,Turnover by P. Beverley (lost ball; steal by T. Lawson),,31-40,,
7:36.0,,,31-42,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by C. Miles)
7:32.0,Houston full timeout,,31-42,,
7:32.0,D. Motiejunas enters the game for D. Howard,,31-42,,
7:32.0,T. Ariza enters the game for M. Beasley,,31-42,,
7:32.0,J. Harden enters the game for J. Terry,,31-42,,
7:32.0,C. Capela enters the game for C. Brewer,,31-42,,
7:24.0,,,31-42,,Personal foul by T. Lawson
7:16.0,P. Beverley misses 2-pt shot from 12 ft,,31-42,,
7:13.0,,,31-42,,Defensive rebound by T. Lawson
7:05.0,Personal foul by P. Beverley,,31-42,,
6:52.0,,,31-42,,C. Miles misses 2-pt shot from 19 ft
6:52.0,Defensive rebound by C. Capela,,31-42,,
6:41.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,33-42,,
6:26.0,,,33-42,,Turnover by L. Allen (lost ball; steal by C. Capela)
6:26.0,Houston full timeout,,33-42,,
6:26.0,,,33-42,,G. Hill enters the game for R. Stuckey
6:26.0,,,33-42,,M. Turner enters the game for I. Mahinmi
6:26.0,,,33-42,,M. Ellis enters the game for T. Lawson
6:00.0,J. Harden misses 2-pt shot from 17 ft,,33-42,,
5:59.0,Offensive rebound by C. Capela,,33-42,,
5:46.0,P. Beverley misses 3-pt shot from 25 ft,,33-42,,
5:46.0,,,33-42,,Defensive rebound by G. Hill
5:32.0,,,33-42,,Turnover by C. Miles (lost ball; steal by D. Motiejunas)
5:26.0,J. Harden makes 2-pt shot at rim (assist by T. Ariza),2,35-42,,
5:08.0,,,35-45,3,C. Miles makes 3-pt shot from 26 ft (assist by M. Ellis)
4:58.0,Shooting foul by G. Hill (drawn by J. Harden),,35-45,,
4:58.0,J. Harden makes free throw 1 of 3,1,36-45,,
4:58.0,J. Harden makes free throw 2 of 3,1,37-45,,
4:58.0,,,37-45,,P. George enters the game for G. Hill
4:58.0,J. Harden makes free throw 3 of 3,1,38-45,,
4:48.0,,,38-45,,M. Turner misses 2-pt shot at rim
4:48.0,Defensive rebound by C. Capela,,38-45,,
4:42.0,J. Harden misses 3-pt shot from 26 ft,,38-45,,
4:41.0,,,38-45,,Defensive rebound by P. George
4:33.0,,,38-45,,Turnover by M. Ellis (bad pass)
4:17.0,C. Capela makes 2-pt shot at rim (assist by P. Beverley),2,40-45,,
3:55.0,,,40-45,,C. Miles misses 3-pt shot from 23 ft
3:54.0,,,40-45,,Offensive rebound by L. Allen
3:53.0,,,40-45,,Shooting foul by C. Capela (drawn by L. Allen)
3:53.0,,,40-46,1,L. Allen makes free throw 1 of 2
3:53.0,,,40-47,1,L. Allen makes free throw 2 of 2
3:41.0,J. Harden makes 2-pt shot from 1 ft,2,42-47,,
3:25.0,,,42-50,3,M. Ellis makes 3-pt shot from 24 ft (assist by C. Miles)
3:07.0,D. Motiejunas misses 3-pt shot from 23 ft,,42-50,,
3:06.0,Offensive rebound by D. Motiejunas,,42-50,,
3:03.0,Turnover by D. Motiejunas (lost ball; steal by M. Ellis),,42-50,,
2:52.0,,,42-50,,C. Miles misses 2-pt shot at rim
2:51.0,,,42-50,,Offensive rebound by C. Miles
2:51.0,,,42-50,,C. Miles misses 2-pt shot at rim
2:47.0,Defensive rebound by T. Ariza,,42-50,,
2:47.0,,,42-50,,Personal take foul by P. George
2:47.0,Official timeout,,42-50,,
2:47.0,,,42-50,,Violation by Team (jump ball)
2:47.0,,,42-50,,I. Mahinmi enters the game for L. Allen
2:47.0,D. Howard enters the game for C. Capela,,42-50,,
2:27.0,D. Motiejunas misses 2-pt shot at rim (block by M. Ellis),,42-50,,
2:26.0,,,42-50,,Defensive rebound by M. Turner
2:18.0,,,42-50,,P. George misses 2-pt shot from 16 ft
2:17.0,,,42-50,,Offensive rebound by I. Mahinmi
2:00.0,,,42-53,3,C. Miles makes 3-pt shot from 24 ft (assist by I. Mahinmi)
1:49.0,J. Harden misses 3-pt shot from 24 ft,,42-53,,
1:48.0,,,42-53,,Defensive rebound by M. Ellis
1:41.0,,,42-55,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis)
1:25.0,D. Motiejunas makes 3-pt shot from 24 ft (assist by P. Beverley),3,45-55,,
